B.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	sur ĝi estas ankaŭ ~	siinä on myös ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	siinä on myös osoite	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	siellä on osoite verkkosivustolle	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	osoite sivustolle, jossa on espernato-kurssi	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Kiitos	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Lähetän sinulle sähköpostia	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Okei!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	nähdään taas ja hyvää yötä!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	nähdään!	see you!	grupo	alternativoj	prononco
level	aperas en ~	näkyy ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	pikaviestintä	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ näkyy pikaviestinnässä	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	oletko se henkilö?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	se henkilö, joka oli tanssinut kanssani	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	lauantai-ilta	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	oletko sinä se henkilö, joka tanssi kanssani lauantai-iltana?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	kyllä se olen minä	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Olen iloinen, että ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Olen iloinen, että tulit sivustolle	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	miellyttääkö se sinua? (Pidätkö siitä?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	kyllä, joo	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	se on erittäin kaunis	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	vaikuttaa mielenkiintoiselta	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	se on erittäin kaunis ja näyttää mielenkiintoiselta	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ei vielä ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ei ole täysin valmis	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	se ei ole vielä täysin valmis	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	mutta pian se on	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	ymmärrän (näen)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	mutta apuvälineitä on jo monia	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	sanakirja	a dictionary	grupo	alternativoj	prononco
level	superrigardo	yleiskatsaus	an overview	grupo	alternativoj	prononco
level	ekzerco	ylimääräinen	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	esimerkkisanat, yleiskatsaus, viestintä ja harjoitukset	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	yleiskatsaus kielioppiin	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	pikaviestintä ja erilaisia harjoituksia	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	se on hyvä alku	it is a good start	grupo	alternativoj	prononco
level	pardonon	anteeksi, olen pahoillani	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Minun täytyy puhua ~ kanssa	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	puhua toisen ihmisen kanssa	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Olen pahoillani, minun pitäisi puhua toisen kanssa	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	kieliapulainen	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Olen hänen kieliapulaisensa	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	ja nyt hän haluaa puhua ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	puhua harjoituksesta	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	tulee pian takaisin	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Palaan luoksesi pian	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	muutaman minuutin kuluttua	after several minutes	grupo	alternativoj	prononco
level	finparolis	lopetti puhumisen	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nyt olemme lopettaneet puhumisen harjoituksesta	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	sillä välin, jonkin aikaa	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Luin esperantoa sillä välin	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	En ole varma	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	tietää tarpeeksi ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	En osaa vielä tarpeeksi kieltä	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	fiksu vastaus	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Katson sivustolta	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ja yrittää oppia vähän	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	haluatko olla kieliapulaiseni?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	mielellään!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	ole hyvä!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ei kiitos, mutta suudelman arvoinen	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	sanoo sen esperantoksi	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	mitä? En ymmärrä	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	voit katsoa sanakirjasta	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	valitettavasti	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Minun täytyy nyt poistua Internetistä	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Palaan illalla	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Luulen, että olen paikalla siihen mennessä	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	täydellinen!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	no, nähdään sitten!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	nähdään myöhemmin!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	illalla myös pikaviestinnässä	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Hei taas! (uudelleen-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Hei taas!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Katsoin melkein kaikki sivut sivustolta	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	melko hyvä! mahtava!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Minulla on useita kysymyksiä	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Onko sinulla aikaa?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	kyllä, olen vapaa illalla	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	niin, kirjoita kysymyksesi	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Yritän vastata	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Luin, että esperantolla on kulttuuria	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	en kuitenkaan ymmärrä ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	mistä löydän sellaisen kulttuurin	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	löydät kaikkialta, missä ~ on	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	missä tahansa esperantoa puhuvia ihmisiä	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	mutta kukaan ei käytä esperantoa	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	oikein!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	mutta esperantoa puhuvia ihmisiä	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	matkustaa usein ja tavata muita esperantisteja	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	näiden kokousten aikana	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	he käyttävät kieltä useimmissa erilaisissa tilanteissa	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	joten sieltä löydät ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	löydät kulttuurin	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	löytää esperanton kulttuurin	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	okei, onko musiikkia olemassa?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musiikkia, kirjallisuutta, teatteria	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	jne	etc	grupo	alternativoj	prononco
level	same kiel ~	sama kuin ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	samat kuin muilla kielillä	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	määrä ei ole niin suuri	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	yhtä suuri kuin kansallisilla kielillä	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	mutta se ei ole tärkeää	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	ei ainakaan minulle	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	jos haluat kuunnella ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	kuuntelemaan esperantonkielistä laulua	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	tässä on laulu &quot;Lisa maalaa kuvia&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	kuuntelee biisiä	listens to the song	grupo	alternativoj	prononco
level	ne malbone	ei paha	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	ja löydät monia esperantonkielisiä kirjoja	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	katsoo kirjoja	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	tarpeeksi monta	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	luetko paljon esperantoa?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	kyllä, joskus (ajoittain)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	jos opit kieltä	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Suosittelen sinulle hyviä kirjoja	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	on noin ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	Toinen kysymykseni koskee nimeäni	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	sanoit aiemmin, että ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	on suhde ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sanoi, että sillä on yhteys esperantoon	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ai niin, siitä	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	mies nimeltä ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	asui kerran mies nimeltä ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	hän oli erittäin aktiivinen esperantoliikkeessä	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	kun se oli täysin uusi	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	käänsi kirjan kielelle ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	ja käänsi monia kirjoja esperantoksi	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	ja se teki hänestä kuuluisan?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	yksi esperanton tärkeimmistä tuohon aikaan	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ja hänellä oli paljon vaikutusta kielityyliin	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ei, hän oli varmasti tärkeä ja hänellä oli vaikutusvaltaa	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	hän kuitenkin yhtäkkiä hylkäsi liikkeen	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Kuvittelen, että ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Uskon, että se oli suuri shokki monille	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	miksi hän jätti esperanton?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Uskon, että ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	hän oli tyytymätön esperantisteihin	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	hän sanoi jotain samanlaista kuin ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperantistien on opittava esperanto itse!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	mitä hän tarkoitti sanoa ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	mitä hän tarkoitti sillä sanoa?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	on todennäköistä, että ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	ihmiset puhuivat esperantoa huonosti	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	on todennäköistä, että ihmiset puhuivat huonosti	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	vuonna 1911 hän jätti esperanton	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	mutta mielestäni ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	on korkeampi	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	nykyään kielitaso on korkeampi	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantistien kielitaso	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	mutta luulen, että tänään taso on korkeampi	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	joten minun on opittava kieli hyvin	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	siitä, että olen hyvä ihminen	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	ja sinun tulee käyttää yksinkertaista tyyliä	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	koska se oli hänelle erittäin tärkeää	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	se miellyttää minua (pidän siitä)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	esperantossa on jopa sana ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	siellä on jopa sana &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	luopumaan liikkeestä	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	sana &quot;kabei&quot;, joka tarkoittaa liikkeen hylkäämistä	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	Tämäpä kiintoisaa!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	nyt tiedän yhden sanan esperantoksi	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	me emme ikinä unohda	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	enkä varmaan koskaan unohda sitä	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	kahvilassa muutaman viikon kuluttua	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	hän onnistui oppimaan esperantoa	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	ja he käyttävät kieltä	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	kutsua, kutsu	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	tässä, katso, kutsu IJK:hen!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	mitä? Ee-jo-mitä?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	nuori ihminen, ryhmä nuoria	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK on kansainvälinen nuorisokongressi	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Aion mennä siihen	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	haluatko sinäkin mennä?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	no, &quot;kongressi&quot; ei kuulosta kovin mielenkiintoiselta	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	mutta se on (mielenkiintoista)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	älä ajattele mitään tylsää hidasta kongressia	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	kyse on vain ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	kyse on vain nuorten tapaamisesta	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	Tapaaminen monista maista tulevien nuorten kanssa	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Paikalle tulee 300-400 henkilöä	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	siellä on luultavasti 300-400 ihmistä	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	melkein kaikki	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	ja melkein kaikki puhuvat esperantoa	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	ei puhu hyvin	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, mutta en puhu esperantoa hyvin	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	sillä ei ole väliä	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	on mahdollista osallistua ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	osallistua siellä esperantokursseille	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	yleensä	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	yleensä on kaksi tasoa	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	ihmisiä, jotka olivat jo oppineet kielen	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	yksi aloittelijoille	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	ja toinen niille, jotka ovat jo oppineet kielen	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jees, mitä?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	sanoit &quot;yleensä&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK tapahtuu joka vuosi	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	joka kerta toisessa maassa	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	tästä syystä jokainen IJK on erilainen	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	mutta on myös ohjelmia	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	ohjelmia, jotka palaavat usein	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	mutta on myös ohjelmia, jotka palaavat usein	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	esimerkiksi	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	esimerkiksi urheilun ja korttien pelaaminen on lähes aina mahdollista	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	jutella ystävien kanssa koko yön	to talk with friends all night	grupo	alternativoj	prononco
