A.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	ne, mi ne laboras	não, eu não trabalho	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	qual é o nome dela?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	quem está respondendo agora?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	a língua de sua mãe	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	é o seu nome ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	estamos sentados e respondendo	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	sua cadeira de trabalho	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	seu nome não é ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	a língua dela é a língua deles	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	nosso pai e nossa mãe	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	seu aluno, seus alunos	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	eles são seus alunos?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	você é estudante?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	você está na sala?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Eu não sou ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	um esperantista e uma mulher esperantista	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	fez check-in no quarto do hotel	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	uma linguista e uma trabalhadora	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	a namorada dele é ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	estudantes e esportistas	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	meu nome de família é ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	quem é ela? qual é ela?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	É sua namorada	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	é seu amigo ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	está escrevendo agora na sala	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	o amigo seu é pai ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	trabalha em um hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	O que está na mesa?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	na mesa do nosso quarto	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	é o livro de esperanto ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	está na sua mesa	is on your table	grupo	alternativoj	prononco
level	havas amikinon	tem um amigo	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	o nome dela é ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	jovem e linda	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	é jovem e bonito	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	jovens e lindos amigos	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	são amigos homens e mulheres	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	uma casa de seu professor	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	veio para casa	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	a casa de ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	por favor entre	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Olá O que você está fazendo?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	o que você faz? O que você está fazendo?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	mas agora eu quero ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	eu quero falar	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	com três amigos homens e mulheres	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	falei com você	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	quer falar com você	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	você tem amigos homens e mulheres	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	Ele tem um livro	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	tem um bom livro	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Sim, eu tenho	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	eles gostam disso	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ela leu um livro	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	gosta de ler livros	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	só um bom livro	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	muitos bons livros	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	leia apenas bons livros	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	gosta de ler bons livros	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	você quer ler?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	o jovem tomou café	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	quer beber água	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	um pai e uma mãe; pais	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	um incômodo e uma irmã, irmãos	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	seus pais e irmãos	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	está em sua casa	is in your home	grupo	alternativoj	prononco
level	jen la kafo	aqui está o café	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	ainda não bebi	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ainda está quente	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	cozinhei ontem	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	agora eu cozinhei	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	obrigado. então ele disse.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	pode beber e comer	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	tomei café frio	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	café ainda quente	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	bebe café frio também	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	também pode beber café frio	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	olha nos olhos dela	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	o olho mais lindo	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	os lindos olhos	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	olhou os lindos olhos	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	os lindos olhos dela	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vê e entende	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Eu vejo isso ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	que ele a ama	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ela sente que ele a ama	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	pergunta se isso foi grande	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	sobre uma pergunta fácil	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	disse sobre um novo dinheiro	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	Lindos olhos	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	olhou o irmão mais velho	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	uma irmã mais nova esqueceu	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	um acusativo (objetivo)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	não se esqueça do final acusativo	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	quem você está vendo? qual você vê?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Eu vejo um amigo	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	tem bons amigos homens e mulheres	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	eles estão trabalhando na velha casa	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	funciona, funcionou, vai funcionar	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vê, que eu como	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	disse que ele irá	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	feio e ruim	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	o que ela disse?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	o que você está esperando?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	entrou no quarto	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	um conteúdo é muito difícil	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	chegou na reunião	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	bem-vindo à reunião	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	um velho deu uma dica	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	chegou e foi bem recebido	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	eles odeiam, mas cooperam	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	fui para o hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	tem livros fáceis	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	como estava sua mãe?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	sua antiga casa	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	quais livros você leu?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	eles eram bons?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	fez o que ontem?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	na pequena sala	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	falou por muito tempo	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	na frente da escola, antes da escola	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	falou antes da escola	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	mais tarde falou sobre o livro	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	felizmente fui para a escola	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	pela rua	through the street	grupo	alternativoj	prononco
level	iris tra la strato	passou pela rua	went through the street	grupo	alternativoj	prononco
level	estis varma tago	foi um dia quente	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	eles viram um café'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	vi biscoitos vermelhos	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	vi biscoitos nele	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	vi um café' e nele biscoitos	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	entre e coma!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	vamos entrar e comer	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	tem dinheiro suficiente	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	você tem dinheiro suficiente?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	você entende?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	claro!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	isso não é suficiente	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	cem dólares são suficientes	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	um dólar, dólares, dólares (objetivo plural)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	tem cem dólares	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	claro que tenho	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	oh! você é rico!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	uma água, uma garçonete	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	um garçom traz um cardápio	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	trouxe isso para nós, trouxe isso	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	um garçom trouxe muitos biscoitos	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	eles comeram um pouco (um pouco)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	depois de comer (refeição)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	novo, de novo	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	o garçom veio de novo	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	em algum lugar	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	tinha procurado em algum lugar	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	procurei em outro lugar	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	seu rosto estava alegre	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ela estava triste	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	no final e finalmente finalmente	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	sua voz forte	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	com voz fraca	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	não tem dinheiro	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	o que aconteceu lá?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	um acidente aconteceu depois	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	você sabe quando isso aconteceu?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	sabe do assunto	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ainda resta uma coisa	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	você ou ela, qualquer pessoa	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	como um cantor, como um signatário	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	cantou como um cantor profissional	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	o lugar onde ela morava	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	como você sabe sobre o carro?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	bem, olhe para o carro rápido	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	um suco sem açúcar	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	ele tem um veículo rápido	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	muito fortemente	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	ele abriu com muita força	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	dirigiu (viajou) muito rápido	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	comi com uma colher	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	duvidamos fortemente	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	uma carta verdadeira dele	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	uma carta de amor com cinco fotos	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	voltou, as pessoas que voltaram	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	também seis cartas retornaram	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	queria ver a foto	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	voltou da escola	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	quando a irmã voltará?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	queria ler de novo	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	fez (fez), tornou-se	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	rapidamente ficou vermelho	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	em uma sala, em uma sala	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	levantou-se e sentou-se	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	ali estava na frente da foto	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	eu tenho isso	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	o que você tem na mão?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	na frente ou atrás?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	antes ou depois?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	lá atrás da porta	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	outros, outras pessoas	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	cartas de outros	letters from others	grupo	alternativoj	prononco
level	falis el la mano	caiu da mão	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	em cima da mesa, em cima da mesa	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	caiu na mesa	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	pediu perdão	asked for pardon	grupo	alternativoj	prononco
