C.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	legi	lugema	to read	grupo	alternativoj	prononco
level	silenta	vaikne	silent	grupo	alternativoj	prononco
level	la	a	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(liide) tööriist, meetod	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	juua (alkoholivaba)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(liide) väike, vähe	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(liide) suur, suur	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(eessõna) ~ vahel	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(sufiksiga) seotud käitumine	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(sufiks) hulk, rühm	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(liide) rühma liige	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	tänada	to thank	grupo	alternativoj	prononco
level	-ind-	(liide) väärt, väärt	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	veelgi rohkem, edasi ja nii edasi, rohkem	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	kuidas, nagu, mil viisil, nagu	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	selline, sel viisil, nii	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(eessõna) keeles ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(eessõna) ~ kõrval, ~ kõrval	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(eessõna) all, all ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(eessõna) ~ peal	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(eessõna) määramatu prep., juures, sisse, poolt, edasi	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(määrsõna) ikka, veel	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(eessõna) ~ ümber	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	aga	but	grupo	alternativoj	prononco
level	ie	kusagil	somewhere	grupo	alternativoj	prononco
level	kie	kus, mis kohas	where, at what place	grupo	alternativoj	prononco
level	silente	vaikselt	silently	grupo	alternativoj	prononco
level	ĉie	kõikjal, kõik umbes	everywhere, all about	grupo	alternativoj	prononco
level	nenie	mitte kusagil, mitte mingil juhul, mitte kuskil	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	seal, seal, sealpool	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	see ~	this ~	grupo	alternativoj	prononco
level	kanti	laulma	to sing	grupo	alternativoj	prononco
level	morti	surema, lahkuma	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(eessõna) ~ ajal, samal ajal kui ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	rahvust	a nation	grupo	alternativoj	prononco
level	koni	(isikut) tundma, temaga kursis olema	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	teadma (fakt, teadmine), teadma, kuidas	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	alati, alati	always, ever	grupo	alternativoj	prononco
level	iam	mingil ajal, üks kord	at some time, once	grupo	alternativoj	prononco
level	tiam	siis	then	grupo	alternativoj	prononco
level	-em-	(sufiks) kalduvus	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	mingisugune	some kind of	grupo	alternativoj	prononco
level	sukcesi	et olla edukas	to succeed	grupo	alternativoj	prononco
level	ĉia	igat liiki, igat liiki	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ei, ei mingit, mitte ühtegi	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(sufiks) järglane	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	tuba, kamber	a room, a chamber	grupo	alternativoj	prononco
level	patro	isa	a father	grupo	alternativoj	prononco
level	porko	siga, siga	a pig, swine	grupo	alternativoj	prononco
level	bo-	(eesliide) -äi, abielu järgi	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	tõepoolest	indeed	grupo	alternativoj	prononco
level	-ism-	(liide) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	midagi	something	grupo	alternativoj	prononco
level	veturi	(sõidukit) juhtima	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kukk, kana, kana, kana	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	tasuta	free	grupo	alternativoj	prononco
level	lasta	viimane	last	grupo	alternativoj	prononco
level	ĝoji	rõõmustama, rõõmustama, nautima	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	haarama, kinni võtma	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	lehm, härg, veis	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	teine, teine, veel	another, other, else	grupo	alternativoj	prononco
level	varma	kuum, soe	hot, warm	grupo	alternativoj	prononco
level	loĝi	elama, elama, elama, elama	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	uskuma	to believe	grupo	alternativoj	prononco
level	glacio	kena	an ice	grupo	alternativoj	prononco
level	loko	koht, asukoht	a place, a location	grupo	alternativoj	prononco
level	ovo	muna	an egg	grupo	alternativoj	prononco
level	multa	palju, palju, palju	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	valdus	a possession	grupo	alternativoj	prononco
level	ŝafo	lammas	a sheep	grupo	alternativoj	prononco
level	sono	heli	a sound	grupo	alternativoj	prononco
level	fiŝo	kala	a fish	grupo	alternativoj	prononco
level	bela	ilus, ilus, ilus	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	vastama, vastama, vastama	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	juhus, aeg	an occasion, a time	grupo	alternativoj	prononco
level	demandi	küsima	to ask	grupo	alternativoj	prononco
level	forta	tugev	strong	grupo	alternativoj	prononco
level	preter ~	väljaspool ~, minevik ~, otse minevik	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	vaikus	a silence	grupo	alternativoj	prononco
level	infano	laps, imik	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	õnnelik, õnnelik, õnnelik	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	püüdma, püüdma, maadlema	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	soovida, soovida	to desire, to wish	grupo	alternativoj	prononco
level	longa	pikk	long	grupo	alternativoj	prononco
level	mondo	maailm	a world	grupo	alternativoj	prononco
level	okazi	juhtuma, juhtuma, tekkima	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	põld, põld	field, a field	grupo	alternativoj	prononco
level	filo	poeg	a son	grupo	alternativoj	prononco
level	montri	näitama, näitama, osutama	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	süda	a heart	grupo	alternativoj	prononco
level	knabo	poiss	a boy	grupo	alternativoj	prononco
level	meti	panema, asetama, maha panema	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	abikaasa	a husband	grupo	alternativoj	prononco
level	pako	pakett	package	grupo	alternativoj	prononco
level	rapida	kiire, kiire, kiire	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	näima, näima olevat	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	tervitus, tervitus, tervitus	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	kirjutama	to write	grupo	alternativoj	prononco
level	peti	paluma, paluma, paluma, kerjama	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	lendama	to fly	grupo	alternativoj	prononco
level	kapo	pea, keep	a head, a cape	grupo	alternativoj	prononco
level	krii	karjuda, nutta, karjuda, karjuda	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	punane	red	grupo	alternativoj	prononco
level	sinjoro	härra, härrasmees	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	kinni hoidma, kinni hoidma	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	aeg, aeg	time, a time	grupo	alternativoj	prononco
level	tuta	kokku, kõik, tervik, täielik, üldine	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	mees	a man	grupo	alternativoj	prononco
level	vojo	tee, tee, marsruut	a way, a path, a route	grupo	alternativoj	prononco
level	movi	liikuma	to move	grupo	alternativoj	prononco
level	militi	sõda katkestama, sõdima, sõda pidama	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	paar, mitu	a few, several	grupo	alternativoj	prononco
level	dekstra	parem, parem (külg, suund), parem käsi	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	sulgema, sulgema	to close, to shut	grupo	alternativoj	prononco
level	okupi	hõivama, võtma	to occupy, to take	grupo	alternativoj	prononco
level	levi	kangi tõstma, tõstma, tõstma	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	peksma, lööma, lööma, lööma, lööma	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	vajama, tahtma, nõudma	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	aru saama, aru saama	to understand, to realise	grupo	alternativoj	prononco
level	iri	minema	to go	grupo	alternativoj	prononco
level	veni	tulema	to come	grupo	alternativoj	prononco
level	porti	kandma, kandma	to carry, to wear	grupo	alternativoj	prononco
level	kovri	katma	to cover	grupo	alternativoj	prononco
level	hela	särav, selge ja kerge	bright, clear and light	grupo	alternativoj	prononco
level	sana	terved	healthy	grupo	alternativoj	prononco
level	aperi	ilmuma, esile kerkima	to appear, to emerge	grupo	alternativoj	prononco
level	libro	raamat	a book	grupo	alternativoj	prononco
level	atendi	ootama, ootama, ootama	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	käsi	a hand	grupo	alternativoj	prononco
level	pentri	maalima	to paint	grupo	alternativoj	prononco
level	instrui	õpetama, juhendama	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	istuma	to sit	grupo	alternativoj	prononco
level	stari	seisma	to stand	grupo	alternativoj	prononco
level	afero	asi, objekt, juhtum, mure, asi	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	täis, täielik	full, complete	grupo	alternativoj	prononco
level	klara	selge	clear	grupo	alternativoj	prononco
level	komenci	alustada, alustada	to begin, to commence	grupo	alternativoj	prononco
level	dormi	magama, magama jääma	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	osa, osa	a part, a share	grupo	alternativoj	prononco
level	mono	raha	money	grupo	alternativoj	prononco
level	ricevi	saama	to receive	grupo	alternativoj	prononco
level	ami	armastama	to love	grupo	alternativoj	prononco
level	devi	peab, peab, peaks, peaks	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	oskama, oskama	be able to, can	grupo	alternativoj	prononco
level	labori	töötama, töötama	to work, to labor	grupo	alternativoj	prononco
level	dio	jumal	a god	grupo	alternativoj	prononco
level	urbo	linn, linn	a city, a town	grupo	alternativoj	prononco
level	ofta	sageli, sageli	freqent, often	grupo	alternativoj	prononco
level	soni	kõlama, häält tegema	to sound, to make sound	grupo	alternativoj	prononco
level	tero	maa, maa, muld	earth, land, soil	grupo	alternativoj	prononco
level	vivi	elada, elus olla	to live, to be alive	grupo	alternativoj	prononco
level	resti	jääma, jääma	to stay, to remain	grupo	alternativoj	prononco
level	ridi	naerda	to laugh	grupo	alternativoj	prononco
level	homo	inimene, mees	a human, a man	grupo	alternativoj	prononco
level	akvo	vesi	water	grupo	alternativoj	prononco
level	vorto	Sõna	a word	grupo	alternativoj	prononco
level	certa	kindel, kindel	certain, sure	grupo	alternativoj	prononco
level	lando	maa, riik	a land, a country	grupo	alternativoj	prononco
level	sama	sama	same	grupo	alternativoj	prononco
level	ĵeti	Viskama	to throw	grupo	alternativoj	prononco
level	stelo	täht	a star	grupo	alternativoj	prononco
level	domo	maja, kodu	a house, a home	grupo	alternativoj	prononco
level	nomo	nimi, nimetus	a name, an appellation	grupo	alternativoj	prononco
level	vidi	et näha	to see	grupo	alternativoj	prononco
level	mola	pehme	soft	grupo	alternativoj	prononco
level	horo	tund, kell, aeg	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	vorm, kujund	a form, a shape	grupo	alternativoj	prononco
level	tago	päev	a day	grupo	alternativoj	prononco
level	fumo	suits	a smoke	grupo	alternativoj	prononco
level	ĉevalo	hobune	a horse	grupo	alternativoj	prononco
level	jaro	aasta	a year	grupo	alternativoj	prononco
level	vojaĝi	reisima	to travel	grupo	alternativoj	prononco
level	celo	eesmärk, siht, eesmärk, eesmärk	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	sünnitama, kandma, genereerima	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	igatsema, puudu olema, puudu olema	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	lind	a bird	grupo	alternativoj	prononco
level	halti	peatuma, seisma jääma, seisma jääma	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	vend	a brother	grupo	alternativoj	prononco
level	monto	Mägi	a mountain	grupo	alternativoj	prononco
level	pensi	mõtlema	to think	grupo	alternativoj	prononco
level	permesi	lubama, lubama	to permit, to allow	grupo	alternativoj	prononco
level	kosti	maksma	to cost	grupo	alternativoj	prononco
level	lito	voodi, diivan	a bed, a couch	grupo	alternativoj	prononco
level	perdi	kaotama	to lose	grupo	alternativoj	prononco
level	miri	üllatada, hämmastada, hämmastada	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	isik	a person	grupo	alternativoj	prononco
level	diversa	mitmekesine, mitmekesine, mitmekesine	diverse, varied, various	grupo	alternativoj	prononco
level	provi	proovima, proovima	to try, to attempt	grupo	alternativoj	prononco
level	pagi	maksma	to pay	grupo	alternativoj	prononco
level	prezenti	esitlema, tutvustama	to present, to introduce	grupo	alternativoj	prononco
level	aparta	lahus, eriline, eraldiseisev	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	õige, õigus	right, a right	grupo	alternativoj	prononco
level	mateno	hommik, hommik	morning, a morning	grupo	alternativoj	prononco
level	agrabla	meeldiv, meeldiv, meeldiv	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	õhtu, õhtu	evening, an evening	grupo	alternativoj	prononco
level	muro	seina	a wall	grupo	alternativoj	prononco
level	suno	päike, päike	sun, a sun	grupo	alternativoj	prononco
level	rigardi	vaatama, vaatama	to look, to look at	grupo	alternativoj	prononco
level	senti	tunnetama, aimama	to feel, to sense	grupo	alternativoj	prononco
level	blanka	valge, tühi	white, blank	grupo	alternativoj	prononco
level	simpla	lihtne	simple	grupo	alternativoj	prononco
level	rimarki	märgata	to notice	grupo	alternativoj	prononco
level	lingvo	keel, keel	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	muutma, pöörama	to change, to turn	grupo	alternativoj	prononco
level	renkonti	kohtuma, kohtuma, kokku saama	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	kasutada	to use	grupo	alternativoj	prononco
level	timi	kartma, kartma	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	tõeline, tõsi	real, true	grupo	alternativoj	prononco
level	sola	üksi, ainult, üksinda, üksildane	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	rahu, rahu	peace, a peace	grupo	alternativoj	prononco
