B.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	kaj provos iom lerni	og vil prøve at lære lidt	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vil du være min sproghjælper?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	med vilje!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	selv tak!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ikke en tak værd, men et kys værd	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	siger det på esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	hvad? Jeg forstår det ikke	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	du kan kigge i en ordbog	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	desværre	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Jeg skal væk fra internettet nu	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Jeg kommer tilbage om aftenen	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Jeg tror, at jeg vil være på stedet til den tid	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	Perfekt!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	jamen så ses vi!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	vi ses senere!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	om aftenen, også ved instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Hej igen! (gen-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Hej igen!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Jeg kiggede næsten alle sider fra siden	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ret godt! fantastisk!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Jeg har flere spørgsmål	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Har du tid?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ja, jeg har fri om aftenen	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	så skriv dine spørgsmål	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Jeg vil prøve at svare	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Jeg læste, at esperanto har en kultur	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	dog forstår jeg ikke ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	hvor jeg kan finde sådan en kultur	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	du finder overalt, hvor ~ er	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	ethvert sted, hvor der er folk, der taler esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	men ingen bruger esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	højre!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	men folk der taler esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	rejser ofte og møder andre esperantister	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	under disse møder	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	de bruger sproget i de fleste forskellige situationer	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	så der finder du ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	du finder kulturen	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	vil finde Esperantos kultur	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	okay, findes musik?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musik, litteratur, teater	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc	etc	grupo	alternativoj	prononco
level	same kiel ~	samme som ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	samme som der er for andre sprog	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	mængden er ikke så stor	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	lige så store som på nationale sprog	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	men det er ikke vigtigt	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	i hvert fald ikke for mig	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	hvis du vil lytte ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	at lytte til en sang på esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	her er sangen &quot;Lisa maler billeder&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	lytter til sangen	listens to the song	grupo	alternativoj	prononco
level	ne malbone	ikke dårligt	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	og du vil finde mange bøger på esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	ser i bøgerne	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	nok mange	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	læser du meget på esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ja, nogle gange (fra tid til anden)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	hvis du nogensinde lærer sproget	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Jeg vil anbefale dig nogle gode bøger	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	handler om ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	mit andet spørgsmål handler om mit navn	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	du sagde tidligere, at ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	har en relation til ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sagde, at det har en relation til esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	åh, ja, om det	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	en mand med navnet ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	engang levede en mand med navnet ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	han var meget aktiv i esperantobevægelsen	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	da den var helt ny	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	oversatte bogen til ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	og oversatte mange bøger til esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	og det gjorde ham berømt?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	en af de vigtigste for Esperanto på det tidspunkt	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	og han havde stor indflydelse på sprogstilen	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nej, bestemt var han vigtig og havde indflydelse	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	dog opgav han pludselig Bevægelsen	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Jeg forestiller mig, at ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Jeg forestiller mig, at det var et stort chok for mange	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	hvorfor forlod han Esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Jeg tror, at ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	han var utilfreds med esperantisterne	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	han sagde noget lignende ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto skal læres af esperantister selv!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	hvad mente han at sige med ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	hvad mente han at sige med det?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	det er sandsynligt, at ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	folk talte esperanto dårligt	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	det er sandsynligt, at folk talte dårligt	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	i år 1911 forlod han Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	men jeg tror, at ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	er højere	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	i dag er sprogniveauet højere	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantisternes sprogniveau	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	men jeg tror, at niveauet i dag er højere	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	så jeg skal lære sproget godt	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	for at være et godt menneske	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	og du bør bruge enkel stil	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	fordi det var meget vigtigt for ham	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	det glæder mig (det kan jeg godt lide)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	på esperanto er der endda et ord ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	der er endda et ord &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	at opgive bevægelsen	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	et ord &quot;kabei&quot;, som betyder at opgive bevægelsen	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	det er interessant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	nu kan jeg et ord på esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	vil aldrig glemme	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	og jeg glemmer det nok aldrig	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	på en cafe' efter flere uger	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	han nåede at lære esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	og de bruger sproget	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	at invitere, en invitation	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	her, se, en invitation til IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	hvad? Ee-jo-hvad?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	et ungt menneske, en gruppe unge mennesker	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK er en international ungdomskongres	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Jeg planlægger at gå efter det	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vil du også med?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	godt, &quot;kongres&quot; lyder ikke særlig interessant	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	men det er (interessant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	tænk ikke på noget kedeligt træg kongres	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	det handler kun om ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	det handler bare om at møde unge mennesker	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	et møde med unge fra mange lande	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 til 400 mennesker vil være der	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	der vil formentlig være 300 til 400 mennesker der	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	næsten alle	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	og næsten alle vil tale esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	taler ikke godt	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, men jeg taler ikke godt esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	det er lige meget	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	det er muligt at deltage i ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	at deltage i esperanto-kurser der	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	som regel	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	normalt er der to niveauer	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	mennesker, der allerede havde lært sproget	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	en for begyndere	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	og den anden for dem, der allerede har lært sproget	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jes, hvad?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	du sagde &quot;normalt&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	åh, IJK sker hvert år	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	hver gang i et andet land	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	af denne grund er hver IJK anderledes	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	men der er også programmer	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programmer, der ofte vender tilbage	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	men der er også programmer, der vender tilbage ofte	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	for eksempel	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	for eksempel er det næsten altid muligt at spille sport og kort	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	at snakke med venner hele natten	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	at synge om ild og at danse	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	at deltage i koncerter og så videre	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	godt, det kan jeg også gøre derhjemme	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	rigtigt, men	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	men det vigtige under IJK er ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	kommer fra mange forskellige lande	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	er, at deltagerne kommer fra forskellige lande	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	på grund af den blanding af forskellige mennesker	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	det er en god stemning, som jeg holder meget af	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	okay, det lyder som interesse	all right, sounds like interest	grupo	alternativoj	prononco
