B.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	kia estas ~ ?	~ яаж байна?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	харилцаа ямар байна вэ?	how is the relation?	grupo	alternativoj	prononco
level	ho!	өө!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	энэ бол урт түүх	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	чамд хэлэх болно	will tell you	grupo	alternativoj	prononco
level	se vi volas	хэрэв та хүсвэл	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Хэрвээ хүсвэл би чамд дараа хэлье	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	энэ газар (энэ байршилд)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	хэт их дуу чимээ	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	энэ газар хэтэрхий их чимээ шуугиантай байна	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	тийм ээ, чиний зөв	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Бид бүжиглэж болно?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	сайхан санаа!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	сайхан үдшийг өнгөрүүлсэнд баярлалаа	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	баярлалаа (та нарт)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	маш сайн байсан	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	хөгжим ~ нь тааламжтай байдаг	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	хөгжим надад их таалагдсан	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	бас надад	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	бүжиглэх нь маш хөгжилтэй	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	чамтай бүжиглэх	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	чамтай бүжиглэх нь маш хөгжилтэй байсан	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	энд миний нэрийн хуудас байна	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Хэрэв та хүсвэл	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	Хэрэв та хүсвэл миний карт энд байна	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	үүн дээр бас ~ байна	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	үүн дээр бас хаяг байгаа	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	вэб сайтын хаяг байна	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	Эспернато хэлний курс бүхий сайтын хаяг	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	баярлалаа	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Би танд и-мэйл илгээх болно	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	зүгээр!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	дахин уулзая, сайн шөнө!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	баяртай!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~-д харагдана	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	шуурхай мессенжер	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ шуурхай мессенжерт гарч ирнэ	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	чи тэр хүн мөн үү?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	надтай бүжиглэж байсан тэр хүн	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Бямба гаригийн шөнө	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	Бямба гарагийн орой надтай бүжиглэсэн тэр хүн чи мөн үү?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	тиймээ энэ бол би	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Үүнд би баяртай байна ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Таныг сайтад ирсэнд баяртай байна	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	чамд таалагдаж байна уу? (энэ таалагдаж байна уу?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	тийм ээ	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	энэ үнэхээр үзэсгэлэнтэй юм	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	сонирхолтой санагдаж байна	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	Энэ нь маш үзэсгэлэнтэй бөгөөд сонирхолтой санагдаж байна	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	хараахан болоогүй байна ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	бүрэн бэлэн биш байна	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	хараахан бүрэн бэлэн болоогүй байна	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	гэхдээ удахгүй болно	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Би ойлгож байна (би харж байна)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	гэхдээ аль хэдийн олон туслах хэрэгсэл байдаг	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	толь бичиг	a dictionary	grupo	alternativoj	prononco
level	superrigardo	тойм	an overview	grupo	alternativoj	prononco
level	ekzerco	онцгой	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	жишээ үгс, тойм, мессенжер, дасгал	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	дүрмийн тойм	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	шуурхай мессенжер болон төрөл бүрийн дасгалууд	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	Энэ бол сайн эхлэл юм	it is a good start	grupo	alternativoj	prononco
level	pardonon	уучлаарай намайг уучлаарай	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Би ~-тай ярих ёстой	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	өөр хүнтэй ярих	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Уучлаарай, би өөр хүнтэй ярилцах ёстой	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	хэлний туслагч	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Би түүний хэлний туслагч	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	одоо тэр ~ тухай ярихыг хүсч байна	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	дасгалын тухай ярих	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	удахгүй эргэж ирнэ	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Би чам дээр удахгүй эргэж ирнэ	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	хэдэн минутын дараа	after several minutes	grupo	alternativoj	prononco
level	finparolis	ярьж дууслаа	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	Одоо бид дасгалын талаар ярьж дууслаа	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	Энэ хооронд, хэсэг хугацаанд	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Энэ хооронд би эсперанто хэлний тухай уншсан	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Би итгэлтэй биш байна	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~-ийн талаар хангалттай мэддэг	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Би хэлний талаар хангалттай сайн мэдэхгүй байна	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ухаалаг хариулт	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Би сайтаас үзэх болно	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	мөн бага зэрэг сурах болно	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	чи миний хэлний туслагч болмоор байна уу?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	сайн дураараа!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	тавтай морил!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	талархал илэрхийлэхгүй ч үнсэх нь зүйтэй	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	эсперанто хэлээр ингэж хэлдэг	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	юу? Би ойлгохгүй байна	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	Та толь бичгээс харж болно	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	харамсалтай нь	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Би одоо интернетээс гарах ёстой	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Би орой буцаж ирнэ	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Би тэр үед сайт дээр байх болно гэж бодож байна	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	төгс!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	за тэгвэл уулзацгаая!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	дараа уулзацгаая!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	орой, мөн мессенжерээр	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	дахин сайн уу! (дахин)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	дахин сайн уу!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Би сайтын бараг бүх хуудсыг үзсэн	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	маш сайн! гайхалтай!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Надад хэд хэдэн асуулт байна	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Танд зав байна уу?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	тиймээ, би орой чөлөөтэй байна	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	За асуултаа бичээрэй	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Би хариулахыг хичээх болно	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Эсперанто хэл соёлтой гэж уншсан	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	гэхдээ би ойлгохгүй байна ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	Би ийм соёлыг хаанаас олох вэ	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	чи хаана ч, хаана ч олох болно	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	Эсперанто хэлээр ярьдаг хүмүүс хаана ч байдаг	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	гэхдээ эсперанто хэл хэрэглэдэг хүн байхгүй	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	зөв!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	гэхдээ эсперанто хэлээр ярьдаг хүмүүс	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	ихэвчлэн аялж, бусад эсперантистуудтай уулздаг	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	эдгээр уулзалтуудын үеэр	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	Тэд энэ хэлийг янз бүрийн нөхцөл байдалд ашигладаг	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	тэгэхээр тэндээс та ~ олох болно	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	Та соёлыг олох болно	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	эсперантогийн соёлыг олох болно	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	За, хөгжим байдаг уу?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	хөгжим, уран зохиол, театр	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	гэх мэт	etc	grupo	alternativoj	prononco
level	same kiel ~	~-тай адил	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	бусад хэлнүүдийн нэгэн адил	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	тоо хэмжээ тийм ч их биш	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	үндэсний хэл дээрх шиг том	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	гэхдээ энэ нь чухал биш	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	ядаж миний хувьд биш	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	сонсохыг хүсвэл ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	эсперанто хэлээр дуу сонсох	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	Энд &quot;Лиза зураг зурдаг&quot; дуу байна.	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	дуу сонсдог	listens to the song	grupo	alternativoj	prononco
level	ne malbone	муугүй шүү	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	мөн та эсперанто хэлээр олон ном олох болно	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	номнуудыг хардаг	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	хангалттай олон	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	Та эсперанто хэлээр их уншдаг уу?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	тиймээ, заримдаа (үе үе)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	Хэзээ нэгэн цагт хэл сурвал	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Би танд хэдэн сайхан ном санал болгох болно	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~ тухай юм	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	миний нөгөө асуулт бол миний нэрний тухай юм	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	Чи түрүүн хэлсэн ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~-тай холбоотой байдаг	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	эсперанто хэлтэй холбоотой гэж хэлсэн	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	өө, тийм ээ, энэ тухай	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~ нэртэй хүн	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	Нэгэн цагт ~ нэртэй хүн амьдарч байжээ	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	тэр эсперанто хөдөлгөөнд маш идэвхтэй байсан	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	цоо шинэ байсан үед	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	номыг ~ руу орчуулав	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	мөн эсперанто хэл рүү олон ном орчуулсан	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	Энэ нь түүнийг алдартай болгосон уу?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	тэр үеийн эсперантогийн хувьд хамгийн чухал зүйлсийн нэг	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	мөн тэрээр хэлний хэв маягт маш их нөлөө үзүүлсэн	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	Үгүй ээ, тэр үнэхээр чухал, нөлөөтэй байсан	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	гэвч тэр гэнэт хөдөлгөөнөө орхисон	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Би тэгж төсөөлж байна ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Энэ нь олон хүнд цочирдуулсан гэж би төсөөлж байна	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	тэр яагаад эсперантог орхисон бэ?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Би үүнд итгэж байна ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	тэр эсперантистуудад сэтгэл дундуур байв	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	тэр ~-тэй төстэй зүйл хэлсэн	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Эсперанто хэлийг эсперантистууд өөрсдөө сурах ёстой!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	тэр ~ гэж юу хэлэх гэсэн юм бэ?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	тэр үүгээр юу хэлэх гэсэн юм бэ?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	магадгүй ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	хүмүүс эсперантогоор муу ярьдаг	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	хүмүүс муу ярьсан байх магадлалтай	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911 онд тэрээр Эсперантог орхисон	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	гэхдээ би ~ гэж бодож байна	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	илүү өндөр байна	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	Өнөөдөр хэлний түвшин өндөр байна	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	эсперантистуудын хэлний түвшин	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	гэхдээ өнөөдөр түвшин өндөр байгаа гэж бодож байна	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	тиймээс би хэлээ сайн сурах ёстой	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	сайн хүн байсны төлөө	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	мөн та энгийн хэв маягийг ашиглах хэрэгтэй	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	Учир нь энэ нь түүний хувьд маш чухал байсан	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	энэ нь надад таалагдаж байна (би үүнд дуртай)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	эсперанто хэлэнд ~ гэдэг үг хүртэл байдаг	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	&quot;кабей&quot; гэдэг үг хүртэл байдаг	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	хөдөлгөөнийг орхих	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	хөдөлгөөнийг орхих гэсэн утгатай &quot;кабей&quot; гэдэг үг	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	нь сонирхолтой юм!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	Одоо би эсперанто хэлээр нэг үг мэддэг болсон	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	хэзээ ч мартахгүй	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	мөн би үүнийг хэзээ ч мартахгүй байх	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	хэдэн долоо хоногийн дараа кафед	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	тэр эсперанто хэл сурч чадсан	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	мөн тэд хэлийг ашиглаж байна	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	урих, урилга	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	Энд, хараарай, IJK-д зориулсан урилга!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	юу? Э-ё-юу?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	залуу хүн, хэсэг залуус	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK бол Олон улсын залуучуудын конгресс юм	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Би үүний төлөө явахаар төлөвлөж байна	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	чи бас явмаар байна уу?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	За, &quot;конгресс&quot; тийм ч сонирхолтой сонсогдохгүй байна	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	гэхдээ энэ нь (сонирхолтой)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	уйтгартай удаашралтай конгресс гэж битгий бодоорой	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	энэ нь зүгээр л ~ тухай юм	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	энэ бол зүгээр л залуучуудтай уулзах тухай юм	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	олон орны залуустай хийсэн уулзалт	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Тэнд 300-400 хүн байна	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	тэнд 300-400 хүн байх магадлалтай	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	бараг бүх хүн	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	бараг бүх хүн эсперанто хэлээр ярьдаг	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	сайн ярьдаггүй	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	зүгээр, гэхдээ би эсперанто сайн ярьдаггүй	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	хамаагүй	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	~-д оролцох боломжтой	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	тэнд эсперанто хэлний курст хамрагдах	to take part in Esperanto courses there	grupo	alternativoj	prononco
