B.ko-kr content.tsv
Level	Esperanto	ko-kr	en-us	Grupo	Alternativoj	Pronoco
level	danci kun vi	당신과 같이 춤을 추는 것	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	당신과 춤을 추는 것은 매우 재미있었다	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	여기 내 명함이 있습니다	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	만약 당신이 그것을 원하신다면	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	원하시면, 여기 제 카드가 있습니다	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	그 위에 ~도 있습니다	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	그 위에 주소도 있습니다	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	사이트로 가는 주소도 있습니다	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	에스페란토 강좌가 있는 페이지로 가는 주소	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	감사합니다	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	내가 당신에게 이메일을 보내겠습니다	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	좋습니다	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	안녕, 그리고 안녕히 주무세요!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	안녕히!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~에 나타난다	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	메신저	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~가 메신저에 나타난다	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	당신이 그 사람인가요?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	나와 춤을 췄던 그 사람	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	토요일 밤	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	당신이 토요일 밤에 나랑 춤춘 그 사람인가요?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	예 저입니다	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	나는 ~해서 기쁩니다	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	나는 당신이 그 사이트로 와서 기쁩니다	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	그게 당신 마음에 듭니까?	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	예, 예	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	그게 매우 아름답습니다	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	흥미로워 보입니다	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	그게 매우 아름답고 흥미롭게 여겨집니다	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	아직 ~하지 않은	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	완전히 준비되지 않은 상태다	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	그게 아직 완전히 준비되지는 않았다	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	그렇지만 금방 될 것이다	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	이해하겠습니다 (알겠습니다)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	하지만 이미 많은 보조도구들이 있습니다	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	사전	a dictionary	grupo	alternativoj	prononco
level	superrigardo	개괄, 개요	an overview	grupo	alternativoj	prononco
level	ekzerco	연습	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	예를들어 사전, 전체둘러보기, 메신저, 그리고 연습문제들	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	문법에 대한 개괄	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	메신저와 다양한 연습문제들	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	좋은 출발이다	it is a good start	grupo	alternativoj	prononco
level	pardonon	미안합니다	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	나는 ~랑 얘기해야 합니다	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	다른 사람과 말하다	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	미안해요, 다른 사람과 얘기해야 합니다	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	언어 도움이	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	나는 그녀의 언어 도움이 입니다	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	그리고 지금 그녀는 ~에 대해서 말하고 싶어한다	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	연습문제 하나에 대해서 얘기하다	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	곧 돌아올 것이다	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	나는 곧 당신에게 돌아오겠다	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	몇 분 후에	after several minutes	grupo	alternativoj	prononco
level	finparolis	말하기를 끝냈다	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	지금 우리는 그 연습에 대해 얘기하기를 끝냈다	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	그 동안에	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	그동안 나는 에스페란토에 대해서 읽었다	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	저는 확실하지 않습니다	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~에 대해서 충분히 안다	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	나는 아직 그 언어에 대해서 충분히 알고 있지 않다	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	현명한 대답	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	그 웹사이트에서 좀 둘러 보겠습니다	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	그리고 약간 배우기를 시도해 볼 겁니다	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	나의 언어도움이가 되어 주시겠습니까?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	기꺼이!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	천만에요!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	천만에요! (감사할 만하지 않지만) 키스할만은 하지요	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	그것을 에스페란토로 말한다	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	뭐라고요? 이해를 못하겠습니다	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	사전을 볼 수 있습니다	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	애석하게도	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	나는 지금 인터넷을 떠나야 한다	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	저녁에 다시 돌아오겠다	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	내 생각에 나는 그 시간에 그 사이트에 있을 것이다	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	완벽해요!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	자, 그때까지!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	다음까지!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	저녁에, 메신저에서도	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	또 안녕! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	안녕 다시!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	나는 이 사이트의 거의 모든 페이지를 다 봤다	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	대단히 좋아요!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	몇개의 질문이 있습니다	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	시간이 있으신가요?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	예, 저녁시간이 여유가 있습니다	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	자, 당신의 질문들을 적어 보세요	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	제가 대답하도록 해 보겠습니다	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	나는 에스페란토에 문화가 있다고 읽었습니다	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	하지만 나는 ~를 이해할 수 없습니다	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	내가 어디서 그런 문화를 찾을 지	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	당신은 ~가 있는 곳에서는 어디든지 그걸 발견할 겁니다	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	에스페란토를 말하는 사람들이 있는 곳이라면 어디든	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	그러나 아무 민족도 에스페란토를 사용하지 않는다	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	맞습니다	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	그러나 에스페란토를 말하는 그 사람들은 	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	자주 여행하고, 다른 에스페란티스토들을 만난다	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	그러한 만남 중에서 (만나는 동안)	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	그들은 그 언어를 가장 다양한 상황에서 사용한다	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	그래서 거기에서 ~를 발견할(볼 수 있을) 것이다	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	(그) 문화를 발견할(볼 수 있을) 것이다	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	에스페란토의 문화를 발견할(볼 수 있을)것이다	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	좋아요 음악이 존재하나요?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	음악, 문학, 연극	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	기타등등	etc	grupo	alternativoj	prononco
level	same kiel ~	~와 마찬가지로	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	다른 언어들에 있는 것과 마찬가지로	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	양은 똑같이 크지는 않다	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	국가의 언어들 만큼 큰	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	하지만 그것은 중요하지 않다	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	적어도 나에게는 아니다	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	당신이 ~를 듣고 싶다면	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	에스페란토로 된 노래를 듣다	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	여기 노래가 있어요 "리자는 그림을 그린다"	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	(그) 노래를 듣는다	listens to the song	grupo	alternativoj	prononco
level	ne malbone	나쁘지 않네	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	그리고 당신은 많은 에스페란토 책을 발견할 것입니다	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	책들을 본다	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	충분히 많은	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	당신은 에스페란토로 많이 읽습니까?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	예, 때때로	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	당신이 언젠가 그 언어를 배운다면	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	당신에게 몇몇 좋은 책들을 소개 해 드리겠습니다	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~에 관한 것이다	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	나의 다른 질문은 내 이름에 관한 것입니다	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	당신은 전에 ~라고 말했습니다	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~와 관계를 가지고 있다	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	그것이 에스페란토와 관계가 있다고 말했다	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	하, 예, 그것에 대해서	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~라는 이름을 가진 남자	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	(예전에)언젠가 ~라는 이름의 남자가 살았었습니다	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	그는 에스페란토 운동에 매우 활동적이었습니다	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	그게 완전히 새로웠을 때	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	(그)책을 ~로 번역했다	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	그리고 많은 책을 에스페란토로 번역했습니다	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	그래서 그게 그를 유명하게 만들었나요?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	그 당시 에스페란토에서 중요한 사람 중에 한사람	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	그리고 그는 언어의 스타일에 많은 영향을 끼쳤다	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	아뇨, 그는 확실히 중요했고, 영향을 많이 끼치기는 했지만	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	하지만, 그는 갑자기 운동을 떠나버렸습니다	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	나는 ~라고 상상한다	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	많은 사람들에게 커다란 쇼크였을 것이라고 상상한다	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	그가 왜 에스페란토를 그만 뒀는가?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	나는 ~라고 믿는다	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	그는 에스페란티스토들에게 실망했었다	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	그가 ~와 비슷한 걸 얘기했다	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	에스페란토는 에스페란티스토 자신들부터 배워야 한다	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	그가 ~를 가지고 뭘 얘기하려고 했었는가? (무슨 뜻이었는가?)	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	그가 그걸로 뭘 얘기하려고 했었는가? (무슨 뜻이었는가?)	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	~일 것 같다, ~일 것 처럼 보인다	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	사람들이 에스페란토를 서투르게 말했었다	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	틀림없이 그 때는 사람들이 서투르게 말했었다	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911년에 그는 에스페란토를 떠났다	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	그러나 나는 ~라고 생각한다	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	더 높다	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	오늘날 언어 수준이 더 높다	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	에스페란티스토들의 언어 수준	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	하지만 내 생각에, 오늘날 그 수준이 더 높다	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	따라서 내가 그 언어를 잘 배워야만 한다	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	좋은 사람이 되기 위해서	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	그리고 당신은 단순한 스타일을 사용해야 합니다	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	왜냐하면 그게 그에게 매우 중요했기 때문입니다	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	그게 내 맘에 드네요	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	에스페란토에는 ~라는 단어조차 존재한다	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	"kabei"라는 단어조차 존재한다	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	활동을 떠난다 (그만둔다)	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	"kabei"라는 단어는 활동을 떠난다는 것을 뜻한다	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	흥미롭네요!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	이제 저는 에스페란토 단어 하나를 알게 되었습니다	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	영원히 잊지 않을 것이다	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	그리고 명확히 나는 그것을 영원히 잊지 못할 것입니다	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	카페에서, 몇 주 후에	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	그는 에스페란토 배우는 것에 성공했다	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	그리고 그들은 지금 그 언어를 사용한다	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	초청하다, 초청장	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	자 여기, 봐보세요 세계청년대회(IJK) 초대장!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	뭐라고, 이요뭐라고?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	젊은이, 청년모임	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK는 국체 청년 대회의 약자입니다	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	나는 거기에 가려고 계획하고 있다	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	당신도 가고 싶은가요?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	어, "대회"는 크게 흥미롭게 들리지 않습니다	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	하지만 그래요 (흥미로와요)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	어떤 지루하고 활기없는 대회를 생각하지 마세요	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	~에 대한 것일 뿐이다	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	청년들과 만나는 것일 뿐이다	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	여러 나라에서 온 청년들과의 만남	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 에서 400 명의 사람들이 거기에 있을 것이다	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	틀림없이 거기에는 300~400명의 사람들이 올 것이다	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	거의 모두가	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	그리고 거의 모두가 에스페란토를 말할 것이다	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	잘 말하지 못한다	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	좋아요, 하지만 나는 에스페란토를 잘 말하지 못합니다	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	중요하지 않습니다	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	~에 참여하는 것이 가능합니다	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	거기서 에스페란토 강습들에 참가하다	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	보통은	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	보통은 두 레벨이 있다	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	사람들, 그 언어를 이미 배웠던 그 사람들	people who had already learned the language	grupo	alternativoj	prononco
