A.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi fartas bone?	நீங்கள் நன்றாக இருக்கிறீர்களா? (எப்படி இருக்கிறீர்கள்?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ஆம். நான் நலம்	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	இல்லை, இல்லை	no, not at all	grupo	alternativoj	prononco
level	tre, tro	மிக மிக அதிகம்	very, too much	grupo	alternativoj	prononco
level	granda, grande	பெரிய, பெருமளவில்	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	மிகவும் நல்லது, மிகப் பெரியது	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	நீங்கள் நன்றாக செய்கிறீர்கள்	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	அவ்வளவாக சரியில்லை	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	கற்க, ஒரு கற்றல்	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	பார்க்கிறார், ஒரு பார்வையாளன்	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	கற்றல், ஒரு மாணவர் (கற்றல் நபர்)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	என்பது -ing, செய்துகொண்டிருக்கும் ஒரு நபர்	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ஒரு மாணவர், கற்றவர்	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	நான் ஒரு மாணவன்.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ என் நண்பன்	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	அவன், அவள்	he, she	grupo	alternativoj	prononco
level	sidi, sidas	உட்கார, அமர்கிறது	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	உட்கார்ந்து, உட்கார்ந்து, உட்கார்ந்து இருக்கும்	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	அவன் அமர்ந்திருக்கிறான், அவள் கற்றுக் கொண்டிருக்கிறாள்	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ஒரு அறை	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	ஒரு அறையில் கற்றுக்கொள்கிறார்	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ஒரு மாணவர் மற்றும் ஒரு விளையாட்டு வீரர்	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	விளையாட்டு மற்றும் விளையாட்டு வீரர்	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ஒரு விளையாட்டு வீரர் விளையாடுகிறார்	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	அவன் ஒரு மாணவன்	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	அவர் ஒரு மாணவர் மற்றும் விளையாட்டு வீரர்	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	அவர் இப்போது அமர்ந்திருக்கிறார்	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	மற்றும் இப்போது கற்றுக்கொள்கிறார்	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	உட்கார்ந்து கற்றுக்கொண்டிருக்கிறார்	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	இப்போது ஒரு அறையில்	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ஒரு மேஜையில் உள்ளது	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ஒரு காகிதம் மற்றும் காகிதங்கள்	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ஒரு அட்டவணை மற்றும் அட்டவணைகள்	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ஒரு புத்தகம் மற்றும் புத்தகங்கள்	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	காகிதங்கள் மற்றும் புத்தகங்கள்	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	அது ஒரு மேஜையில் உள்ளது.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	எழுதும் மேசையில் எழுதுகிறார்	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	புத்தகங்கள் ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	மேசையின் மேல்	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ஒரு பாடநூல் மற்றும் பாடப்புத்தகங்கள்	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	மேஜையில் உள்ளது ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ஒரு தந்தை மற்றும் ஒரு தாய்	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	தந்தை மற்றும் தாய்	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	என் நண்பனின் தாய்	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	அறையில்	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	அறையில் இல்லை	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	அவர்கள் இப்போது வேலை செய்கிறார்கள்	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	அவரது தந்தை ஒரு தொழிலாளி	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	அவர் ஒரு ஹோட்டலில் வேலை செய்கிறார்	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	தாய் கற்பிக்கிறாள்	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	அவள் ஒரு ஆசிரியை	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	அவள் தாயா?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	இல்லை, அவள் ஒரு ஹோட்டல் தொழிலாளி	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	இல்லை, நான் வேலை செய்யவில்லை	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	அவளுடைய பெயர் என்ன?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	இப்போது பதில் சொல்வது யார்?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	அவர்களின் தாயின் மொழி	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	உங்கள் பெயர் ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	நாங்கள் உட்கார்ந்து பதில் சொல்கிறோம்	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	அவளுடைய வேலை நாற்காலி	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	அதன் பெயர் ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	அவளுடைய மொழி அவர்களின் மொழி	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	எங்கள் அப்பா மற்றும் அம்மா	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	உங்கள் மாணவர், உங்கள் மாணவர்கள்	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	அவர்கள் உங்கள் மாணவர்களா?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	நீங்கள் ஒரு மாணவரா?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	நீங்கள் அறையில் இருக்கிறீர்களா?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	நான் இல்லை ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	ஒரு எஸ்பரான்டிஸ்ட் மற்றும் ஒரு பெண் எஸ்பரண்டிஸ்ட்	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	ஹோட்டல் அறையில் சோதனை செய்தார்	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	ஒரு மொழியியலாளர் மற்றும் ஒரு பெண் தொழிலாளி	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	அவரது பெண் தோழி ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	மாணவர்கள் மற்றும் விளையாட்டு வீரர்கள்	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	என் குடும்பப் பெயர் ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	யார் அவள்? அவள் யார்?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	உங்கள் பெண் தோழி	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	உங்கள் நண்பரா ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	அறையில் இப்போது எழுதுகிறார்	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	உங்கள் தந்தையின் நண்பரா?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	ஹோட்டலில் வேலை செய்கிறார்	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	மேஜையில் என்ன இருக்கிறது?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	எங்கள் அறையில் உள்ள மேஜையில்	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	எஸ்பெராண்டோ பாடநூல் ~?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	உங்கள் மேஜையில் உள்ளது	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ஒரு நண்பர் இருக்கிறார்	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	அவள் பெயர் ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	இளமை மற்றும் அழகான	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	இளமையாகவும் அழகாகவும் இருக்கிறது	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	இளம் மற்றும் அழகான நண்பர்கள்	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	ஆண்-பெண் நண்பர்கள்	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	அவளுடைய ஆசிரியரின் வீடு	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	வீட்டிற்கு வந்தார்	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ இன் வீடு	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	தயவு செய்து வாருங்கள்	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	வணக்கம், நீங்கள் என்ன செய்கிறீர்கள்?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	நீ என்ன செய்கிறாய்? நீ என்ன செய்து கொண்டிருக்கிறாய்?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ஆனால் இப்போது எனக்கு வேண்டும் ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	நான் பேச வேண்டும்	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	மூன்று ஆண்-பெண் நண்பர்களுடன்	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	உன்னுடன் பேசினார்	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	உன்னுடன் பேச வேண்டும்	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	உங்களுக்கு ஆண்-பெண் நண்பர்கள் இருக்கிறார்களா?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	அவரிடம் ஒரு புத்தகம் உள்ளது	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ஒரு நல்ல புத்தகம் உள்ளது	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ஆமாம் என்னிடம் இருக்கிறது	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	அவர்கள் அதை விரும்புகிறார்கள்	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	அவள் ஒரு புத்தகத்தைப் படித்தாள்	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	புத்தகங்கள் படிக்க பிடிக்கும்	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	ஒரு நல்ல புத்தகம் மட்டுமே	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	பல நல்ல புத்தகங்கள்	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	நல்ல புத்தகங்களை மட்டுமே படியுங்கள்	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	நல்ல புத்தகங்கள் படிக்க பிடிக்கும்	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	நீங்கள் படிக்க விரும்புகிறீர்களா?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	இளைஞன் காபி குடித்தான்	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	தண்ணீர் குடிக்க வேண்டும்	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ஒரு தந்தை மற்றும் ஒரு தாய்; பெற்றோர்கள்	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ஒரு தொந்தரவு மற்றும் ஒரு சகோதரி, உடன்பிறப்புகள்	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	உங்கள் பெற்றோர் மற்றும் உடன்பிறந்தவர்கள்	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	உங்கள் வீட்டில் உள்ளது	is in your home	grupo	alternativoj	prononco
level	jen la kafo	இதோ காபி	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	இன்னும் குடிக்கவில்லை	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	இன்னும் சூடாக இருக்கிறது	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	நேற்று சமைத்தேன்	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	இப்போது சமைத்தேன்	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	நன்றி. அதனால் அவர் கூறினார்.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	குடிக்கவும் சாப்பிடவும் முடியும்	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	குளிர்ந்த காபி குடித்தார்	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	இன்னும் சூடான காபி	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	குளிர் காபியும் அருந்துகிறார்	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	குளிர் காபி கூட குடிக்கலாம்	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	அவள் கண்ணைப் பார்க்கிறான்	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	மிக அழகான கண்	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	அழகான கண்கள்	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	அழகான கண்கள் பார்த்தன	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	அவளுடைய அழகான கண்கள்	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	பார்த்து புரிந்து கொள்கிறது	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	நான் அதை பார்க்கிறேன் ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	அவன் அவளை காதலிக்கிறான் என்று	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	அவன் அவளை காதலிப்பதாக அவள் உணர்கிறாள்	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	அது பெரியதா என்று கேட்கிறார்	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	ஒரு எளிதான கேள்வி பற்றி	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	ஒரு புதிய பணம் பற்றி கூறினார்	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	மிக அழகான கண்கள்	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	பெரிய அண்ணனைப் பார்த்தார்	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	ஒரு சிறிய சகோதரி அதை மறந்துவிட்டார்	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ஒரு குற்றச்சாட்டு (நோக்கம்)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	குற்றஞ்சாட்டப்பட்ட முடிவை மறந்துவிடாதீர்கள்	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	நீ யாரைப் பார்க்கிறாய்? நீங்கள் எதைப் பார்க்கிறீர்கள்?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	நான் ஒரு நண்பரைப் பார்க்கிறேன்	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	நல்ல ஆண்-பெண் நண்பர்கள் உண்டு	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	அவர்கள் பழைய வீட்டைப் பற்றி வேலை செய்கிறார்கள்	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	வேலை, வேலை, வேலை செய்யும்	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	பார்க்கிறேன், நான் சாப்பிடுகிறேன் என்று	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	அவர் செல்வார் என்று கூறினார்	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	அசிங்கமான மற்றும் மோசமான	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	அவள் என்ன சொன்னாள்?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	எதற்காக காத்திருக்கிறாய்?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	அறைக்குள் சென்றார்	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	உள்ளடக்கம் மிகவும் கடினம்	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	கூட்டத்திற்கு வந்தார்	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	கூட்டத்திற்கு வரவேற்கிறோம்	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	ஒரு முதியவர் ஒரு குறிப்பு கொடுத்தார்	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	வந்து வரவேற்றார்	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	அவர்கள் வெறுக்கிறார்கள் ஆனால் ஒத்துழைக்கிறார்கள்	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ஹோட்டலுக்கு சென்றார்	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	எளிதான பாடப்புத்தகங்கள் உள்ளன	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	உன் அம்மா எப்படி இருந்தாள்?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	உங்கள் பழைய வீடு	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	நீங்கள் எந்த புத்தகங்களைப் படித்தீர்கள்?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	அவர்கள் நன்றாக இருந்தார்களா?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	நேற்று என்ன செய்தார்?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	சிறிய அறையில்	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	மிக நீண்ட நேரம் பேசினார்	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	பள்ளி முன், பள்ளி முன்	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	பள்ளி முன்பு பேசினார்	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	பின்னர் புத்தகம் பற்றி பேசினார்	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	மகிழ்ச்சியுடன் பள்ளிக்குச் சென்றார்	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	தெரு வழியாக	through the street	grupo	alternativoj	prononco
level	iris tra la strato	தெரு வழியாக சென்றார்	went through the street	grupo	alternativoj	prononco
level	estis varma tago	ஒரு சூடான நாள்	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	அவர்கள் ஒரு ஓட்டலைப் பார்த்தார்கள்	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	சிவப்பு குக்கீகளை பார்த்தேன்	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	அதில் குக்கீகளை பார்த்தேன்	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	ஒரு ஓட்டலைப் பார்த்தேன்' மற்றும் அதில் குக்கீகள்	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	உள்ளே சென்று சாப்பிடு!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	உள்ளே வந்து சாப்பிடலாம்	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	போதுமான பணம் உள்ளது	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	உங்களிடம் போதுமான பணம் இருக்கிறதா?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	உனக்கு புரிகிறதா?	do you understand?	grupo	alternativoj	prononco
