B.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	ĝi ankoraŭ ne estas tute preta	non è ancora del tutto pronto	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ma presto lo sarà	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Capisco (vedo)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ma ci sono già molti strumenti di aiuto	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	un dizionario	a dictionary	grupo	alternativoj	prononco
level	superrigardo	una panoramica	an overview	grupo	alternativoj	prononco
level	ekzerco	un'accisa	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	parole di esempio, panoramica, messanger ed esercizi	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	una panoramica della grammatica	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	un servizio di messaggistica istantanea e vari esercizi	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	è un buon inizio	it is a good start	grupo	alternativoj	prononco
level	pardonon	perdonami, mi dispiace	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Devo parlare con ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	parlare con un'altra persona	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Mi dispiace, dovrei parlare con un'altra persona	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	un aiutante linguistico	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Sono il suo aiutante linguistico	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	e ora vuole parlare di ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	per parlare di un esercizio	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	presto tornerà	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Tornerò presto da te	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	dopo diversi minuti	after several minutes	grupo	alternativoj	prononco
level	finparolis	finito di parlare	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	ora abbiamo finito di parlare dell'esercizio	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	nel frattempo, per un po'	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Nel frattempo ho letto dell'esperanto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Non ne sono sicuro	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	ne sa abbastanza di ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Non conosco ancora abbastanza la lingua	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	una risposta intelligente	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Guarderò nel sito	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	e proverò a imparare un po'	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vuoi essere il mio aiutante linguistico?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	volentieri!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Prego!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	non vale un ringraziamento, ma vale un bacio	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	lo dice in esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Che cosa? Non capisco	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	puoi cercare in un dizionario	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Purtroppo	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Devo uscire da Internet adesso	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Tornerò la sera	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Penso che sarò sul posto per quell'ora	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfetto!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	beh, ci vediamo allora!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	arrivederci!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	la sera, anche tramite la messaggistica istantanea	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Ciao di nuovo! (Rif-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Ciao di nuovo!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Ho guardato quasi tutte le pagine del sito	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	abbastanza buono! Eccezionale!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Ho diverse domande	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Hai tempo?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	sì, sono libero la sera	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	quindi, scrivi le tue domande	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Proverò a rispondere	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Ho letto che l'esperanto ha una cultura	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	tuttavia non capisco ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	dove posso trovare una tale cultura	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	troverai ovunque, dov'è ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	qualsiasi posto dove ci siano persone che parlano esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ma nessuno usa l'esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Giusto!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ma persone che parlano esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	viaggiano spesso e incontrano altri esperantisti	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	durante quegli incontri	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	usano la lingua nelle situazioni più diverse	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	quindi lì troverai ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	troverai la cultura	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	troverà la cultura dell'esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ok, esiste la musica?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musica, letteratura, teatro	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	eccetera	etc	grupo	alternativoj	prononco
level	same kiel ~	uguale a ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	come per le altre lingue	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	la quantità non è così grande	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	grande quanto nelle lingue nazionali	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ma questo non è importante	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	almeno non per me	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	se vuoi ascoltare ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	ascoltare una canzone in esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	ecco la canzone &quot;Lisa dipinge quadri&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ascolta la canzone	listens to the song	grupo	alternativoj	prononco
level	ne malbone	non male	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	e troverai molti libri in esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	guarda i libri	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	abbastanza tanti	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	leggi molto in esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	sì, a volte (di tanto in tanto)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	se mai imparerai la lingua	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Ti consiglierò dei buoni libri	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	riguarda ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	l'altra mia domanda riguarda il mio nome	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	hai detto prima che ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	ha una relazione con ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	ha detto che ha una relazione con l'esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh, sì, a questo proposito	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	un uomo con il nome ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	una volta viveva un uomo con il nome ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	fu molto attivo nel movimento esperantista	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	quando era completamente nuovo	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	ha tradotto il libro in ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	e tradusse molti libri in esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	e questo lo ha reso famoso?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	uno dei più importanti per l'esperanto dell'epoca	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	e ha avuto molta influenza sullo stile linguistico	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	no, certamente era importante e aveva influenza	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	tuttavia, abbandonò improvvisamente il movimento	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Immagino che ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Immagino che sia stato un grande shock per molti	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	perché ha lasciato l'esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Credo che ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	era insoddisfatto degli esperantisti	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	ha detto qualcosa di simile a ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	L'esperanto deve essere imparato dagli stessi esperantisti!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	cosa intendeva dire con ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	cosa voleva dire con questo?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	è probabile che ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	la gente parlava male l'esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	è probabile che la gente abbia parlato male	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	nel 1911 lasciò l'esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ma penso che ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	è più alto	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	oggi il livello linguistico è più alto	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	il livello linguistico degli esperantisti	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ma penso che oggi il livello sia più alto	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	quindi devo imparare bene la lingua	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	per essere una brava persona	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	e dovresti usare uno stile semplice	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	perché per lui era molto importante	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	questo mi fa piacere (mi piace)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	in esperanto c'è anche la parola ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	c'è anche una parola &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	abbandonare il movimento	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	una parola &quot;kabei&quot;, che significa abbandonare il movimento	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	Interessante!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	ora conosco una parola in esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	non dimenticherà mai	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	e probabilmente non lo dimenticherò mai	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	in un bar' dopo diverse settimane	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	è riuscito a imparare l'esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	e stanno usando la lingua	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	invitare, un invito	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	ecco, guarda, un invito per IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Che cosa? Ee-yo-cosa?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	un giovane, un gruppo di giovani	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK è un congresso internazionale della gioventù	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Ho intenzione di farlo	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vuoi andare anche tu?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	beh, &quot;congresso&quot; non sembra molto interessante	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	ma è (interessante)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	non pensare a qualcosa di noioso congressuale pigro	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	si tratta solo di ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	si tratta solo di incontrare i giovani	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	un incontro con giovani provenienti da molti paesi	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Saranno presenti dalle 300 alle 400 persone	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	probabilmente ci saranno dalle 300 alle 400 persone lì	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	quasi tutti	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	e quasi tutti parleranno esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	non parla bene	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, ma non parlo bene l'esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	non importa	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	è possibile partecipare a ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	per partecipare ai corsi di esperanto lì	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	Generalmente	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	di solito ci sono due livelli	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	persone che avevano già imparato la lingua	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	uno per principianti	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	e l'altro per chi ha già imparato la lingua	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	sì, cosa?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	hai detto &quot;di solito&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK accade ogni anno	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	ogni volta in un altro paese	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	per questo motivo ogni IJK è diverso	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	ma ci sono anche dei programmi	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programmi che ritorna spesso	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	ma ci sono anche programmi che ritornano spesso	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Per esempio	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	ad esempio è quasi sempre possibile praticare sport e carte	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	parlare con gli amici tutta la notte	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	cantare attorno al fuoco e ballare	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	partecipare a concerti e così via	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	beh, posso farlo anche a casa	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	giusto, ma	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	ma la cosa importante durante l'IJK è ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	proviene da molti paesi diversi	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	è che i partecipanti provengono da paesi diversi	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	a causa di quel mix di persone diverse	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	è una bella atmosfera che mi piace molto	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
