B.lt content.tsv
Level	Esperanto	lt	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vere?	tikrai?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	man naujiena	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	tai man naujiena	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ar girdėjai apie ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ar girdėjai apie esperanto kalbą?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Aš nežinojau, kad ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	bet aš nežinojau, kad mano vardas yra susijęs su juo	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	faktiškai	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	kaip sekasi ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	kaip santykiai?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oi!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	tai ilga istorija	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	tau pasakys	will tell you	grupo	alternativoj	prononco
level	se vi volas	Jeigu nori	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Papasakosiu vėliau, jei norėsi	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	šioje vietoje (šioje vietoje)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	per daug triukšmo	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	šioje vietoje per daug triukšmo	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Taip tu teisus	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	gal pašokime?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	gera idėja!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	ačiū už malonų vakarą	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ačiū (tau)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	buvo labai gerai	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	muzika patinka ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	muzika man labai patiko	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	taip pat man	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	šokti labai juokinga	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	šokti su tavimi	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	buvo labai smagu su tavimi šokti	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	čia mano vardo kortelė	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	jeigu tu nori to	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	čia mano kortelė, jei nori	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	ant jo taip pat yra ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	ant jo taip pat yra adresas	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	yra svetainės adresas	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adresas į svetainę su espernato kursu	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Ačiū	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Atsiųsiu tau el	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Gerai!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	iki pasimatymo ir labanakt!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	iki!	see you!	grupo	alternativoj	prononco
level	aperas en ~	pasirodo ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	momentinis pasiuntinys	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ pasirodo momentinių pranešimų programoje	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ar tu tas žmogus?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	tas žmogus, kuris šoko su manimi	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	šeštadienio naktis	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ar tu esi tas žmogus, kuris šoko su manimi šeštadienio vakarą?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	taip, tai aš	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Džiaugiuosi, kad ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Džiaugiuosi, kad atėjote į svetainę	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ar tau tai malonu? (ar tau tai patinka?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	taip, taip	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	tai labai gražu	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	atrodo įdomu	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	tai labai gražu ir atrodo įdomu	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	dar ne ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nėra visiškai paruoštas	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	jis dar nėra visiškai paruoštas	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	bet greit bus	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	suprantu (matau)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	bet jau yra daug pagalbos įrankių	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	Žodynas	a dictionary	grupo	alternativoj	prononco
level	superrigardo	apžvalga	an overview	grupo	alternativoj	prononco
level	ekzerco	akcizas	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	žodžių pavyzdžiai, apžvalga, pasiuntinys ir užduotys	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	gramatikos apžvalga	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	momentinis pasiuntinys ir įvairios pratybos	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	tai gera pradžia	it is a good start	grupo	alternativoj	prononco
level	pardonon	atleisk, atsiprašau	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Turiu pasikalbėti su ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	pasikalbėti su kitu žmogumi	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Atsiprašau, turėčiau pasikalbėti su kitu žmogumi	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	kalbos pagalbininkas	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Aš esu jos kalbos pagalbininkas	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	o dabar ji nori pakalbėti apie ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	pasikalbėti apie pratimą	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	greitai sugrįš	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Greitai grįšiu pas jus	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	po kelių minučių	after several minutes	grupo	alternativoj	prononco
level	finparolis	baigė kalbėti	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	dabar baigėme pokalbį apie pratimą	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	tuo tarpu kurį laiką	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Tuo tarpu skaičiau apie esperanto kalbą	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Nesu tikras	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	pakankamai žino apie ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Kol kas nemoku pakankamai kalbos	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	protingas atsakymas	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Pažiūrėsiu svetainėje	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ir pasistengsiu šiek tiek išmokti	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	ar nori būti mano kalbos pagalbininku?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	noriai!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	prašom!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	neverta padėkos, bet verta bučinio	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	sako, kad esperanto kalba	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	ką? nesuprantu	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	galite ieškoti žodyne	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Deja	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Dabar turiu išeiti iš interneto	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	grįšiu vakare	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Manau, kad iki to laiko būsiu svetainėje	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	puikus!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	na, iki pasimatymo!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	pasimatysime vėliau!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	vakare, taip pat pas momentinį pasiuntinį	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Labas dar kartą! (pakartotinai)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Labas dar kartą!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Peržiūrėjau beveik visus svetainės puslapius	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	Gana gerai! nuostabu!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Turiu kelis klausimus	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Ar turi laiko?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	taip, vakare esu laisva	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	taigi, parašykite savo klausimus	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	pabandysiu atsakyti	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Skaičiau, kad esperanto turi savo kultūrą	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	bet aš nesuprantu ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	kur galiu rasti tokią kultūrą	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	rasite visur, kur yra ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	bet kurioje vietoje, kur yra žmonių, kalbančių esperanto kalba	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	bet niekas nevartoja esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	teisingai!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	bet žmonės, kalbantys esperanto kalba	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	dažnai keliauja ir susitinka su kitais esperantininkais	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	tų susitikimų metu	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	jie vartoja kalbą įvairiose situacijose	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	taigi ten rasite ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	atrasi kultūrą	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	atras esperanto kultūrą	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	gerai, ar muzika egzistuoja?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	muzika, literatūra, teatras	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	ir tt	etc	grupo	alternativoj	prononco
level	same kiel ~	toks pat kaip ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	kaip ir kitomis kalbomis	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	kiekis nėra toks didelis	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	tiek pat, kiek nacionalinėmis kalbomis	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	bet tai nėra svarbu	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	bent jau ne man	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	jei nori klausytis ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	klausytis dainos esperanto kalba	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	štai daina „Lisa piešia paveikslus“	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	klausosi dainos	listens to the song	grupo	alternativoj	prononco
level	ne malbone	neblogai	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	ir rasite daug knygų esperanto kalba	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	žiūri į knygas	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	pakankamai daug	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	ar daug skaitai esperanto kalba?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	taip, kartais (kartais nuo karto)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	jei kada nors išmoksi kalbos	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Aš jums rekomenduosiu keletą gerų knygų	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	yra apie ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	Kitas mano klausimas yra apie mano vardą	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	anksčiau sakei, kad ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	turi ryšį su ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sakė, kad tai susiję su esperanto kalba	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	o, taip, apie tai	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	vyras vardu ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	kadaise gyveno vyras vardu ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	jis labai aktyviai dalyvavo esperantininkų judėjime	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	kai jis buvo visiškai naujas	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	išvertė knygą į ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	ir išvertė daug knygų į esperanto kalbą	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	ir tai jį išgarsino?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	vienas svarbiausių to meto esperanto kalbai	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ir jis turėjo daug įtakos kalbos stiliui	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ne, tikrai jis buvo svarbus ir turėjo įtakos	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	tačiau staiga atsisakė judėjimo	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Įsivaizduoju, kad ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Įsivaizduoju, kad daugeliui tai buvo didelis šokas	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	kodėl jis paliko esperanto kalbą?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Tikiu, kad ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	jis buvo nepatenkintas esperantininkais	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	jis pasakė kažką panašaus į ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto kalbos turi išmokti patys esperantininkai!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	ką jis norėjo pasakyti sakydamas ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	ką jis tuo norėjo pasakyti?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	tikėtina, kad ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	žmonės blogai kalbėjo esperanto kalba	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	tikėtina, kad žmonės blogai kalbėjo	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911 m. jis paliko esperanto kalbą	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	bet aš manau, kad ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	yra aukštesnis	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	šiandien kalbos lygis aukštesnis	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantininkų kalbos lygis	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	bet manau, kad šiandien lygis yra aukštesnis	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	todėl turiu gerai išmokti kalbą	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	už tai, kad esi geras žmogus	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	ir jūs turėtumėte naudoti paprastą stilių	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	nes tai jam buvo labai svarbu	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	tai man patinka (man tai patinka)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	esperanto kalboje yra net žodis ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	yra net žodis &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	atsisakyti judėjimo	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	žodis „kabei“, reiškiantis judėjimo atsisakymą	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	tai įdomu!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	dabar žinau vieną žodį esperanto kalba	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	niekada nepamiršiu	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	ir tikriausiai niekada to nepamiršiu	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	kavinėje“ po kelių savaičių	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	jam pavyko išmokti esperanto kalbą	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	ir jie vartoja kalbą	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	pakviesti, pakvietimas	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	štai, žiūrėk, kvietimas į IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	ką? Ee-yo-ką?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	jaunas žmogus, jaunų žmonių grupė	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK yra tarptautinis jaunimo kongresas	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Aš planuoju eiti į jį	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	ar tu irgi nori?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	na, &quot;kongresas&quot; skamba nelabai įdomiai	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	bet tai (įdomu)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	negalvok apie kažką nuobodaus vangaus kongreso	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	tai tik apie ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	tai tik apie susitikimą su jaunais žmonėmis	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	susitikimas su jaunimu iš daugelio šalių	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Ten bus 300–400 žmonių	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	ten tikriausiai bus 300–400 žmonių	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	beveik visi	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	ir beveik visi kalbės esperanto kalba	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nekalba gerai	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	gerai, bet aš nekalbu gerai esperanto kalba	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	nesvarbu	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	galima dalyvauti ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	dalyvauti ten esperanto kalbos kursuose	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	paprastai	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	paprastai yra du lygiai	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	žmonių, kurie jau buvo išmokę kalbą	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	vienas pradedantiesiems	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	o kitas – tiems, kurie jau išmoko kalbą	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jes, kas?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	tu sakei: &quot;dažniausiai&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	o, IJK vyksta kiekvienais metais	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	kiekvieną kartą kitoje šalyje	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	dėl šios priežasties kiekvienas IJK yra skirtingas	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	bet yra ir programų	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	dažnai grįžtančios programos	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	bet yra ir programų, kurios dažnai grįžta	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	pavyzdžiui	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	pavyzdžiui, beveik visada galima sportuoti ir kortomis	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	visą naktį kalbėtis su draugais	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	dainuoti aplink ugnį ir šokti	to sing around fire and to dance	grupo	alternativoj	prononco
