C.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	legi	унших	to read	grupo	alternativoj	prononco
level	silenta	чимээгүй	silent	grupo	alternativoj	prononco
level	la	нь	the	grupo	alternativoj	prononco
level	ha!	ха!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) хэрэгсэл, арга	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	уух (архигүй)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) жижиг, бага	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) том, том	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) ~ хооронд	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) холбоотой зан үйл	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) багц, бүлэг	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) бүлгийн гишүүн	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	талархах	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) үнэ цэнэтэй, зохистой	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	бүр илүү, цааш, гэх мэт, илүү	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	яаж, гэх мэт, ямар замаар, гэх мэт	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	ийм, ийм байдлаар, ийм байдлаар	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) ~-д	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) ~-ийн хажууд, ~-ын хажууд	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) дор, доор ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) дээр ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) indefinate prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) одоо ч гэсэн	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) эргэн тойронд ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	гэхдээ	but	grupo	alternativoj	prononco
level	ie	хаа нэгтээ	somewhere	grupo	alternativoj	prononco
level	kie	хаана, ямар газар	where, at what place	grupo	alternativoj	prononco
level	silente	чимээгүйхэн	silently	grupo	alternativoj	prononco
level	ĉie	хаа сайгүй, бүх талаар	everywhere, all about	grupo	alternativoj	prononco
level	nenie	хаана ч, ямар ч тохиолдолд, хаана ч биш	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	тэнд, тэнд, тэнд	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	энэ ~	this ~	grupo	alternativoj	prononco
level	kanti	дуулах	to sing	grupo	alternativoj	prononco
level	morti	үхэх, өнгөрөх	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) үед ~, байхад ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	үндэстэн	a nation	grupo	alternativoj	prononco
level	koni	мэдэх (хүн), танил болох	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	мэдэх (баримт, мэдлэг), яаж мэдэх	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	үргэлж, хэзээд	always, ever	grupo	alternativoj	prononco
level	iam	зарим үед, нэг удаа	at some time, once	grupo	alternativoj	prononco
level	tiam	тэгээд	then	grupo	alternativoj	prononco
level	-em-	(suffix) хандлага	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	зарим төрлийн	some kind of	grupo	alternativoj	prononco
level	sukcesi	амжилттай	to succeed	grupo	alternativoj	prononco
level	ĉia	бүх төрлийн, бүх төрлийн	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	үгүй, ямар ч төрлийн биш, ямар ч биш	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) үр удам	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	өрөө, танхим	a room, a chamber	grupo	alternativoj	prononco
level	patro	аав	a father	grupo	alternativoj	prononco
level	porko	гахай, гахай	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -хадм, гэрлэлтээр	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	үнэхээр	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -изм	(suffix)  -ism	grupo	alternativoj	prononco
level	io	ямар нэг зүйл	something	grupo	alternativoj	prononco
level	veturi	жолоодох (тээврийн хэрэгсэл)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	тахиа, тахиа, тахиа, шувуу	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	үнэгүй	free	grupo	alternativoj	prononco
level	lasta	сүүлчийн	last	grupo	alternativoj	prononco
level	ĝoji	баярлах, баярлах, таашаал авах	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	авах, барих	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	үхэр, үхэр, үхэр	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	өөр, өөр, өөр	another, other, else	grupo	alternativoj	prononco
level	varma	халуун, дулаахан	hot, warm	grupo	alternativoj	prononco
level	loĝi	оршин суух, амьдрах, оршин суух, оршин суух	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	итгэх	to believe	grupo	alternativoj	prononco
level	glacio	сайхан	an ice	grupo	alternativoj	prononco
level	loko	газар, байршил	a place, a location	grupo	alternativoj	prononco
level	ovo	өндөг	an egg	grupo	alternativoj	prononco
level	multa	маш их, маш их, олон	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	эзэмшил	a possession	grupo	alternativoj	prononco
level	ŝafo	хонь	a sheep	grupo	alternativoj	prononco
level	sono	дуу чимээ	a sound	grupo	alternativoj	prononco
level	fiŝo	загас	a fish	grupo	alternativoj	prononco
level	bela	үзэсгэлэнтэй, царайлаг, хөөрхөн	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	хариулах, хариулах, хариулах	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	тохиолдол, цаг хугацаа	an occasion, a time	grupo	alternativoj	prononco
level	demandi	асуух	to ask	grupo	alternativoj	prononco
level	forta	хүчтэй	strong	grupo	alternativoj	prononco
level	preter ~	beyond ~, өнгөрсөн ~, шулуун өнгөрсөн	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	чимээгүй байдал	a silence	grupo	alternativoj	prononco
level	infano	хүүхэд, нялх хүүхэд	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	аз жаргалтай, азтай, азтай	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	барих, барьж авах, атгах	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	хүсэх, хүсэх	to desire, to wish	grupo	alternativoj	prononco
level	longa	урт	long	grupo	alternativoj	prononco
level	mondo	ертөнц	a world	grupo	alternativoj	prononco
level	okazi	тохиолдох, тохиолдох, гарах	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	талбай, талбай	field, a field	grupo	alternativoj	prononco
level	filo	хүү	a son	grupo	alternativoj	prononco
level	montri	харуулах, харуулах, зааж өгөх	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	зүрх	a heart	grupo	alternativoj	prononco
level	knabo	хүү	a boy	grupo	alternativoj	prononco
level	meti	тавих, тавих, тавих	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	нөхөр	a husband	grupo	alternativoj	prononco
level	pako	багц	package	grupo	alternativoj	prononco
level	rapida	хурдан, хурдан, хурдан	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	харагдах, харагдах	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	мэндчилгээ, мэндчилгээ, мэндчилгээ	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	бичих	to write	grupo	alternativoj	prononco
level	peti	гуйх, гуйх, гуйх, гуйх	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	нисэх	to fly	grupo	alternativoj	prononco
level	kapo	толгой, нөмрөг	a head, a cape	grupo	alternativoj	prononco
level	krii	хашгирах, уйлах, хашгирах, хашгирах	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	улаан	red	grupo	alternativoj	prononco
level	sinjoro	ноён, эрхэм	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	барих, зүүгдэх	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	цаг хугацаа, цаг хугацаа	time, a time	grupo	alternativoj	prononco
level	tuta	нийт, бүх, бүхэлд нь, бүрэн, нийт	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	эр хүн	a man	grupo	alternativoj	prononco
level	vojo	зам, зам, зам	a way, a path, a route	grupo	alternativoj	prononco
level	movi	хөдлөх	to move	grupo	alternativoj	prononco
level	militi	дайныг эвдэх, тулалдах, дайн хийх	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	хэд хэдэн, хэд хэдэн	a few, several	grupo	alternativoj	prononco
level	dekstra	баруун, баруун (тал, чиглэл), баруун гар	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	хаах, хаах	to close, to shut	grupo	alternativoj	prononco
level	okupi	эзлэх, авах	to occupy, to take	grupo	alternativoj	prononco
level	levi	хөшүүрэг, өргөх, өргөх	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	зодох, цохих, цохих, цохих, цохих	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	хэрэгтэй, хүсэх, шаардах	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	ойлгох, ухаарах	to understand, to realise	grupo	alternativoj	prononco
level	iri	явах	to go	grupo	alternativoj	prononco
level	veni	ирэх	to come	grupo	alternativoj	prononco
level	porti	авч явах, өмсөх	to carry, to wear	grupo	alternativoj	prononco
level	kovri	бүрхэх	to cover	grupo	alternativoj	prononco
level	hela	тод, тод, гэрэлтэй	bright, clear and light	grupo	alternativoj	prononco
level	sana	эрүүл	healthy	grupo	alternativoj	prononco
level	aperi	гарч ирэх, гарч ирэх	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ном	a book	grupo	alternativoj	prononco
level	atendi	хүлээх, хүлээх, хүлээх	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	гар	a hand	grupo	alternativoj	prononco
level	pentri	будах	to paint	grupo	alternativoj	prononco
level	instrui	заах, зааварлах	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	суух	to sit	grupo	alternativoj	prononco
level	stari	зогсох	to stand	grupo	alternativoj	prononco
level	afero	зүйл, объект, хэрэг, асуудал, материал	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	бүрэн, бүрэн	full, complete	grupo	alternativoj	prononco
level	klara	тодорхой	clear	grupo	alternativoj	prononco
level	komenci	эхлэх, эхлэх	to begin, to commence	grupo	alternativoj	prononco
level	dormi	унтах, унтах	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	хэсэг, хувь	a part, a share	grupo	alternativoj	prononco
level	mono	мөнгө	money	grupo	alternativoj	prononco
level	ricevi	хүлээж авах	to receive	grupo	alternativoj	prononco
level	ami	хайрлах	to love	grupo	alternativoj	prononco
level	devi	байх ёстой, байх ёстой, ёстой, ёстой	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	чадах, чадах	be able to, can	grupo	alternativoj	prononco
level	labori	ажиллах, хөдөлмөрлөх	to work, to labor	grupo	alternativoj	prononco
level	dio	бурхан	a god	grupo	alternativoj	prononco
level	urbo	хот, хот	a city, a town	grupo	alternativoj	prononco
level	ofta	байнга, байнга	freqent, often	grupo	alternativoj	prononco
level	soni	дуугарах, дуугарах	to sound, to make sound	grupo	alternativoj	prononco
level	tero	газар, газар, хөрс	earth, land, soil	grupo	alternativoj	prononco
level	vivi	амьдрах, амьд байх	to live, to be alive	grupo	alternativoj	prononco
level	resti	үлдэх, үлдэх	to stay, to remain	grupo	alternativoj	prononco
level	ridi	инээх	to laugh	grupo	alternativoj	prononco
level	homo	хүн, хүн	a human, a man	grupo	alternativoj	prononco
level	akvo	ус	water	grupo	alternativoj	prononco
level	vorto	үг	a word	grupo	alternativoj	prononco
level	certa	тодорхой, гарцаагүй	certain, sure	grupo	alternativoj	prononco
level	lando	газар нутаг, улс	a land, a country	grupo	alternativoj	prononco
level	sama	адилхан	same	grupo	alternativoj	prononco
level	ĵeti	шидэх	to throw	grupo	alternativoj	prononco
level	stelo	од	a star	grupo	alternativoj	prononco
level	domo	байшин, гэр	a house, a home	grupo	alternativoj	prononco
level	nomo	нэр, нэр	a name, an appellation	grupo	alternativoj	prononco
level	vidi	харах	to see	grupo	alternativoj	prononco
level	mola	зөөлөн	soft	grupo	alternativoj	prononco
level	horo	цаг, цаг, цаг	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	хэлбэр, хэлбэр	a form, a shape	grupo	alternativoj	prononco
level	tago	өдөр	a day	grupo	alternativoj	prononco
level	fumo	утаа	a smoke	grupo	alternativoj	prononco
level	ĉevalo	морь	a horse	grupo	alternativoj	prononco
level	jaro	Жилд	a year	grupo	alternativoj	prononco
level	vojaĝi	аялах	to travel	grupo	alternativoj	prononco
level	celo	зорилго, зорилт, зорилго, зорилго	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	төрөх, төрүүлэх, төрүүлэх	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	үгүйлэгдэх, дутагдах, үгүйлэгдэх	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	шувуу	a bird	grupo	alternativoj	prononco
level	halti	зогсох, зогсох, зогсох	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	ах	a brother	grupo	alternativoj	prononco
level	monto	Уул	a mountain	grupo	alternativoj	prononco
level	pensi	бодох	to think	grupo	alternativoj	prononco
level	permesi	зөвшөөрөх, зөвшөөрөх	to permit, to allow	grupo	alternativoj	prononco
level	kosti	өртөг нь	to cost	grupo	alternativoj	prononco
level	lito	ор, буйдан	a bed, a couch	grupo	alternativoj	prononco
level	perdi	алдах	to lose	grupo	alternativoj	prononco
level	miri	гайхуулах, гайхуулах, гайхшруулах	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	хүн	a person	grupo	alternativoj	prononco
