B.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	ĉu ĝi plaĉas al vi?	آیا برای شما خوشایند است؟ (دوست داری؟)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	بله، بله	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	بسیار زیباست	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	جالب به نظر میاد	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	بسیار زیباست و جالب به نظر می رسد	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	هنوز نه ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	کاملا آماده نیست	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	هنوز کاملا آماده نیست	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	اما به زودی خواهد شد	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	می فهمم (می بینم)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	اما در حال حاضر ابزارهای کمکی زیادی وجود دارد	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	یک دیکشنری	a dictionary	grupo	alternativoj	prononco
level	superrigardo	یک مرور کلی	an overview	grupo	alternativoj	prononco
level	ekzerco	یک مالیات	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	کلمات مثال، نمای کلی، پیام رسان و تمرینات	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	مروری بر گرامر	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	یک پیام رسان فوری و تمرین های مختلف	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	شروع خوبی است	it is a good start	grupo	alternativoj	prononco
level	pardonon	ببخشید متاسفم	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	من باید با ~ صحبت کنم	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	برای صحبت با شخص دیگری	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	متاسفم، من باید با شخص دیگری صحبت کنم	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	کمک زبان	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	من یاور زبان او هستم	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	و حالا او می خواهد در مورد ~ صحبت کند	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	صحبت کردن در مورد یک تمرین	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	به زودی باز خواهد گشت	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	به زودی به شما باز خواهم گشت	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	بعد از چند دقیقه	after several minutes	grupo	alternativoj	prononco
level	finparolis	صحبت را تمام کرد	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	حالا ما صحبت در مورد تمرین را تمام کردیم	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	در ضمن برای مدتی	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	من در این مدت در مورد اسپرانتو مطالعه کردم	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	من مطمئن نیستم	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	به اندازه کافی در مورد ~ می داند	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	من هنوز به اندازه کافی در مورد زبان نمی دانم	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	یک پاسخ هوشمندانه	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	من در سایت نگاه خواهم کرد	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	و سعی خواهد کرد کمی یاد بگیرد	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	آیا می خواهید یاور زبان من باشید؟	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	با کمال میل!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	خواهش میکنم!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ارزش تشکر ندارد، اما ارزش یک بوسه را دارد	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	این را به اسپرانتو می گوید	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	چی؟ من نمی فهمم	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	می توانید در فرهنگ لغت نگاه کنید	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	متاسفانه	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	الان باید از اینترنت برم	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	عصر برمی گردم	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	فکر می کنم تا آن زمان در سایت باشم	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	کامل!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	خوب، پس می بینمت!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	بعدا میبینمت!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	در شب، همچنین در پیام رسان فوری	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	دوباره سلام! (دوباره)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	دوباره سلام!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	تقریباً تمام صفحات سایت را نگاه کردم	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	بسیار خوب! عالی!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	من چندین سوال دارم	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	وقت داری؟	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	بله، من شب آزاد هستم	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	پس سوالات خود را بنویسید	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	سعی میکنم جواب بدم	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	خواندم که اسپرانتو دارای فرهنگ است	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	با این حال من نمی فهمم ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	جایی که بتوانم چنین فرهنگی را پیدا کنم	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	شما در هر کجا، جایی که ~ است پیدا خواهید کرد	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	هر جایی که افرادی هستند که اسپرانتو صحبت می کنند	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	اما هیچ کس از اسپرانتو استفاده نمی کند	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	درست!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	اما افرادی که اسپرانتو صحبت می کنند	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	اغلب سفر می کنند و با دیگر اسپرانتیست ها ملاقات می کنند	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	در طول آن جلسات	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	آنها از زبان در اکثر موقعیت های مختلف استفاده می کنند	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	بنابراین در آنجا ~ خواهید یافت	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	شما فرهنگ را پیدا خواهید کرد	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	فرهنگ اسپرانتو را پیدا خواهد کرد	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	خوب، آیا موسیقی وجود دارد؟	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	موسیقی، ادبیات، تئاتر	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	و غیره	etc	grupo	alternativoj	prononco
level	same kiel ~	همان ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	همانطور که برای سایر زبان ها وجود دارد	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	مقدار آنقدر زیاد نیست	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	به اندازه زبان های ملی	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	اما این مهم نیست	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	حداقل برای من اینجوری نیست	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	اگر می خواهید گوش کنید ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	برای گوش دادن به آهنگی به زبان اسپرانتو	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	در اینجا آهنگ &quot;لیزا نقاشی می کند&quot; است	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	به آهنگ گوش می دهد	listens to the song	grupo	alternativoj	prononco
level	ne malbone	بد نیست	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	و کتاب های زیادی به زبان اسپرانتو پیدا خواهید کرد	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	به کتاب ها نگاه می کند	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	به اندازه کافی زیاد	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	آیا شما زیاد به اسپرانتو می خوانید؟	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	بله، گاهی اوقات (از زمان به زمان)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	اگر روزی زبان را یاد گرفتی	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	من به شما چند کتاب خوب توصیه می کنم	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	در مورد ~ است	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	سوال دیگر من در مورد نام من است	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	قبلا گفتی که ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	با ~ رابطه دارد	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	گفت که ارتباطی با اسپرانتو دارد	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	اوه، بله، در مورد آن	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	مردی با نام ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	زمانی مردی با نام ~ زندگی می کرد	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	او در جنبش اسپرانتو بسیار فعال بود	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	وقتی کاملا نو بود	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	کتاب را به ~ ترجمه کرد	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	و کتابهای زیادی را به اسپرانتو ترجمه کرد	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	و این باعث شهرت او شد؟	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	یکی از مهم ترین ها برای اسپرانتو در آن زمان	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	و تأثیر زیادی بر سبک زبان داشت	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	نه، مطمئناً او مهم بود و تأثیر داشت	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	با این حال، او به طور ناگهانی حرکت را رها کرد	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	من تصور می کنم که ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	من تصور می کنم که این یک شوک بزرگ برای بسیاری بود	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	چرا اسپرانتو را ترک کرد؟	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	من معتقدم که ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	او از اسپرانتیست ها ناراضی بود	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	او چیزی شبیه به ~ گفت	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	اسپرانتو را خود اسپرانتیست ها باید یاد بگیرند!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	منظورش از ~ چی بود؟	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	منظور او از گفتن آن چه بود؟	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	به احتمال زیاد ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	مردم اسپرانتو بد صحبت می کردند	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	به احتمال زیاد مردم بد صحبت کردند	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	در سال 1911 اسپرانتو را ترک کرد	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	اما من فکر می کنم که ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	بالاتر است	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	امروز سطح زبان بالاتر است	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	سطح زبان اسپرانتیست ها	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	اما من فکر می کنم که امروز سطح بالاتر است	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	پس باید زبان را خوب یاد بگیرم	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	برای اینکه آدم خوبی بودن	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	و باید از سبک ساده استفاده کنید	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	زیرا این برای او بسیار مهم بود	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	که من را خوشحال می کند (من آن را دوست دارم)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	در اسپرانتو حتی یک کلمه ~ وجود دارد	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	حتی یک کلمه &quot;کبی&quot; وجود دارد	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	برای رها کردن جنبش	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	کلمه &quot;کبی&quot; به معنای ترک حرکت است	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	جالبه!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	حالا یک کلمه به زبان اسپرانتو بلدم	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	هرگز فراموش نخواهد شد	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	و احتمالا هرگز آن را فراموش نخواهم کرد	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	بعد از چند هفته در یک کافه	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	او توانست اسپرانتو را یاد بگیرد	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	و از زبان استفاده می کنند	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	دعوت کردن، دعوت کردن	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	اینجا، نگاه کنید، یک دعوتنامه برای IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	چی؟ ای-یو-چی؟	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	یک جوان، یک گروه جوان	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK یک کنگره بین المللی جوانان است	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	من قصد دارم برای آن بروم	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	تو هم میخوای بری؟	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	خوب، &quot;کنگره&quot; چندان جالب به نظر نمی رسد	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	اما این است (جالب)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	به چیزی خسته کننده کنگره تنبل فکر نمی کنم	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	این فقط در مورد ~ است	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	این فقط در مورد ملاقات با جوانان است	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	دیدار با جوانان بسیاری از کشورها	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 تا 400 نفر آنجا خواهند بود	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	احتمالاً 300 تا 400 نفر آنجا خواهند بود	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	تقریبا همه	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	و تقریباً همه به اسپرانتو صحبت خواهند کرد	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	خوب صحبت نمی کند	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	خوب، اما من به خوبی اسپرانتو صحبت نمی کنم	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	مهم نیست	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	امکان شرکت در ~ وجود دارد	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	برای شرکت در دوره های اسپرانتو در آنجا	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	معمولا	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	معمولا دو سطح وجود دارد	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	افرادی که قبلاً زبان را یاد گرفته بودند	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	یکی برای مبتدیان	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	و دیگری برای کسانی که قبلا زبان را یاد گرفته اند	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	جیس، چی؟	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	گفتی &quot;معمولا&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	اوه، IJK هر سال اتفاق می افتد	oh, IJK happens every year	grupo	alternativoj	prononco
