B.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi aŭdis pri ~?	~'ı duydun mu?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	Esperanto'yu duydun mu?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Bunu bilmiyordum ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ama adımın bununla bağlantılı olduğunu bilmiyordum	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	Aslında	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	~ nasıl?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	ilişki nasıl?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ah!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	bu uzun bir hikaye	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	sana söyleyeceğim	will tell you	grupo	alternativoj	prononco
level	se vi volas	eğer istersen	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	İstersen sonra anlatırım	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	bu yerde (bu konumda)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	çok fazla gürültü	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	burada çok fazla gürültü var	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Evet haklısın	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	dans edelim mi?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	İyi bir fikir!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	keyifli bir akşam için teşekkür ederim	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	sana teşekkür ederim)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	Çok güzeldi	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	hoş bir müzik ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	müzik bana çok hoş geldi	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	bana da	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dans etmek çok komik	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	seninle dans etmek	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	seninle dans etmek çok eğlenceliydi	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	işte isim kartım	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Eğer onu istiyorsan	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	eğer istersen işte kartım	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	üzerinde ayrıca ~ var	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	üzerinde ayrıca bir adres var	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	bir web sitesinin adresi var	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	Espernato kursu olan bir sitenin adresi	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Teşekkürler	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Sana e-mail göndereceğim	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Tamam!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	tekrar görüşürüz, iyi geceler!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	Görüşürüz!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~'da görünür	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	anlık mesajlaşma aracı	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ anlık mesajlaşmada görünür	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	sen o kişi misin?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	benimle dans eden o kişi	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Cumartesi gecesi	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	Cumartesi gecesi benimle dans eden o kişi sen misin?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Evet o benim	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	buna sevindim~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	siteye gelmenize sevindim	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	hoşuna gidiyor mu? (Hoşuna gitti mi?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	evet evet	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	bu çok güzel	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ilginç görünüyor	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	çok güzel ve ilginç görünüyor	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	henüz değil ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	tamamen hazır değil	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	henüz tam olarak hazır değil	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ama yakında olacak	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	anlıyorum (görüyorum)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ancak zaten birçok yardım aracı var	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	bir sözlük	a dictionary	grupo	alternativoj	prononco
level	superrigardo	Genel Bakış	an overview	grupo	alternativoj	prononco
level	ekzerco	aşırılık	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	örnek kelimeler, genel bakış, haberci ve uygulamalar	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	gramere genel bakış	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	anlık mesajlaşma ve çeşitli alıştırmalar	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	bu iyi bir başlangıç	it is a good start	grupo	alternativoj	prononco
level	pardonon	kusura bakma özür dilerim	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	~ ile konuşmam lazım	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	başka biriyle konuşmak	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Üzgünüm, başka biriyle konuşmalıyım	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	dil yardımcısı	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Ben onun dil yardımcısıyım	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	ve şimdi ~ hakkında konuşmak istiyor	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	bir egzersiz hakkında konuşmak için	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	yakında geri gelecek	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	yakında sana geri döneceğim	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	birkaç dakika sonra	after several minutes	grupo	alternativoj	prononco
level	finparolis	konuşmayı bitirdi	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	şimdi egzersiz hakkında konuşmayı bitirdik	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	bu arada bir süreliğine	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Bu arada Esperanto hakkında okudum	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Emin değilim	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ hakkında yeterince şey biliyor	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Henüz dil hakkında yeterince bilgim yok	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	akıllı bir cevap	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	siteye bakacağım	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	ve biraz öğrenmeye çalışacağım	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	dil yardımcım olmak ister misin?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	isteyerek!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Rica ederim!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	teşekküre değil ama öpmeye değer	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	Esperanto'da bunu söylüyor	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Ne? Anlamıyorum	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	bir sözlüğe bakabilirsin	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	Ne yazık ki	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Şimdi internetten çıkmam lazım	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	akşam geri döneceğim	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	O zamana kadar sitede olacağımı düşünüyorum	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	mükemmel!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	peki, görüşürüz o zaman!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	sonra görüşürüz!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	akşamları, ayrıca anlık mesajlaşma programında	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	tekrar merhaba! (tekrar-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	tekrar merhaba!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Sitenin neredeyse tüm sayfalarına baktım	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	oldukça iyi! Mükemmel!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	birkaç sorum var	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Zamanın varmı?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	evet akşamları boşum	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	peki, sorularınızı yazın	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	cevaplamaya çalışacağım	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Esperanto'nun bir kültürü olduğunu okudum	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ancak anlamıyorum ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	böyle bir kültürü nerede bulabilirim	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	~'in nerede olduğunu her yerde bulacaksın	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	Esperanto konuşan insanların olduğu herhangi bir yer	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ama hiç kimse Esperanto kullanmıyor	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Sağ!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ama Esperanto konuşan insanlar	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	sık sık seyahat eder ve diğer Esperantistlerle tanışırız	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	bu toplantılar sırasında	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	dili birçok farklı durumda kullanırlar	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	yani orada bulacaksın ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	kültürü bulacaksınız	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	Esperanto kültürünü bulacaksınız	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	tamam, müzik var mı?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	müzik, edebiyat, tiyatro	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	vesaire	etc	grupo	alternativoj	prononco
level	same kiel ~	~ ile aynı	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	diğer dillerde olduğu gibi	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	miktar o kadar büyük değil	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	ulusal dillerdeki kadar büyük	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ama bu önemli değil	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	en azından benim için değil	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	dinlemek istersen ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	Esperanto dilinde bir şarkı dinlemek	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	işte şarkı, &quot;Lisa resim çiziyor&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	şarkıyı dinler	listens to the song	grupo	alternativoj	prononco
level	ne malbone	Fena değil	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	ve Esperanto dilinde birçok kitap bulacaksınız	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	kitaplara benziyor	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	yeterince çok	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	Esperanto'da çok okuyor musun?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	evet bazen (zaman zaman)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	eğer dili öğrenirsen	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	sana güzel kitaplar önereceğim	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	yaklaşık ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	diğer sorum ismimle ilgili	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	daha önce şunu söylemiştin ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~ ile bir ilişkisi var	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	Esperanto ile bir ilişkisi olduğunu söyledi	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ah evet bu konuda	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~ isimli bir adam	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	bir zamanlar ~ adında bir adam yaşardı	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	Esperanto hareketinde çok aktifti	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	tamamen yeniyken	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	kitabı ~ diline çevirdi	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	ve birçok kitabı Esperanto'ya çevirdi	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	ve bu onu ünlü mü yaptı?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	o zamanlar Esperanto için en önemlilerinden biri	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ve dil stili üzerinde çok fazla etkisi vardı	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	hayır, kesinlikle önemliydi ve etkisi vardı	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	ancak aniden hareketi bıraktı	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Bunu hayal ediyorum ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Birçok kişi için büyük bir şok olduğunu düşünüyorum	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	Esperanto'yu neden bıraktı?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Buna inanıyorum ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	Esperantistlerden memnun değildi	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	~'a benzer bir şey söyledi	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto, Esperantistler tarafından öğrenilmelidir!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	~ derken ne demek istedi?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	bununla ne demek istedi?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	büyük ihtimalle ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	insanlar Esperanto'yu kötü konuşuyordu	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	muhtemelen insanlar kötü konuşuyordur	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911 yılında Esperanto'dan ayrıldı	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ama sanırım ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	daha yüksek	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	bugün dil seviyesi daha yüksek	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	Esperantistlerin dil seviyesi	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ama bugün seviyenin daha yüksek olduğunu düşünüyorum	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	bu yüzden dili iyi öğrenmem gerekiyor	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	iyi bir insan olduğun için	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	ve basit bir stil kullanmalısınız	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	çünkü bu onun için çok önemliydi	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	bu beni memnun ediyor (bu hoşuma gidiyor)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	Esperanto'da bir kelime bile var ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	&quot;kabei&quot; kelimesi bile var	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	hareketi bırakmak	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	Hareketi terk etmek anlamına gelen &quot;kabei&quot; kelimesi	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	ilginç!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	artık Esperanto'da bir kelime biliyorum	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	asla unutmayacak	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	ve muhtemelen bunu asla unutmayacağım	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	birkaç hafta sonra bir kafede	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	Esperanto öğrenmeyi başardı	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	ve dili kullanıyorlar	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	davet etmek, davetiye	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	bak, IJK için bir davetiye!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Ne? Ee-yo-ne?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	bir genç, bir grup genç	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK bir Uluslararası Gençlik Kongresidir	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	onun için gitmeyi planlıyorum	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	sen de gitmek ister misin?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	peki, &quot;kongre&quot; kulağa pek ilginç gelmiyor	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	ama bu (ilginç)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	sıkıcı, uyuşuk bir şey düşünmeyin kongre	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	bu sadece ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	bu sadece gençlerle tanışmakla ilgili	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	birçok ülkeden gençlerle toplantı	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 ila 400 kişi orada olacak	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	orada muhtemelen 300 ila 400 kişi olacak	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	neredeyse herkes	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	ve neredeyse herkes Esperanto konuşacak	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	iyi konuşmuyor	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	tamam ama Esperanto'yu iyi konuşamıyorum	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	Önemli değil	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	~'e katılmak mümkündür	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	orada Esperanto kurslarına katılmak	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	genellikle	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	genellikle iki seviye vardır	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	dili zaten öğrenmiş insanlar	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	yeni başlayanlar için bir tane	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	diğeri ise dili zaten öğrenmiş olanlar için	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	evet, ne?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	&quot;genellikle&quot; dedin	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	IJK her sene oluyor	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	her seferinde başka bir ülkede	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	bu nedenle her IJK farklıdır	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	ama programlar da var	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	sık sık geri dönen programlar	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	ancak sıklıkla geri dönen programlar da var	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Örneğin	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	örneğin spor ve kart oynamak neredeyse her zaman mümkündür	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	bütün gece arkadaşlarımla konuşmak	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	ateşin etrafında şarkı söylemek ve dans etmek	to sing around fire and to dance	grupo	alternativoj	prononco
