C.ja-jp content.tsv
Level	Esperanto	ja-jp	en-us	Grupo	Alternativoj	Pronoco
level	-ant-	<接尾辞>〜しつつある、〜してる人（能動態現在）	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	<接尾辞>〜し終わって、〜した人（能動態過去）	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	<接尾辞>～しようとして、～しようとする人（能動態未来）	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	そして、〜と、〜と	and	grupo	alternativoj	prononco
level	aŭ	または、あるいは	or	grupo	alternativoj	prononco
level	alta	高い	high, tall	grupo	alternativoj	prononco
level	jes	はい	yes	grupo	alternativoj	prononco
level	ne	いいえ	not, no	grupo	alternativoj	prononco
level	tiom	それだけ	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	良い、	good	grupo	alternativoj	prononco
level	kiom	いくら、どのくらい	how much, how many	grupo	alternativoj	prononco
level	ofte	しばしば、	often, frequently	grupo	alternativoj	prononco
level	iom	少し、少量、いくらか	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	新しい	new, novel	grupo	alternativoj	prononco
level	-at-	<接尾辞>受動態現在	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	<接尾辞>受動態過去	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	<接尾辞>受動態未来	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	非常に	very, quite, very much	grupo	alternativoj	prononco
level	tro	あまり	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	しかし、	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	ああ！ほお！ (感嘆詞)	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	～したもの （従属接続詞）	that ~	grupo	alternativoj	prononco
level	ĉar ~	なぜなら〜	because ~	grupo	alternativoj	prononco
level	ĉu	〜ですか？	whether ~	grupo	alternativoj	prononco
level	-ej-	<接尾辞>場所を表す	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	<接尾辞>特性や傾向を表す	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	両方、	both ~	grupo	alternativoj	prononco
level	tuj	すぐに、	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	まるで〜のように	as if ~	grupo	alternativoj	prononco
level	kiam	いつ	when	grupo	alternativoj	prononco
level	silenti	静かにする、沈黙する	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	いつも決して〜ない	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	そういうわけで、だから	therefore, so	grupo	alternativoj	prononco
level	kial	なぜ	why, what for	grupo	alternativoj	prononco
level	kvankam	とはいえ、にもかかわらず	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	～で（場所）、～に（接触）	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	〜以上(比較を表す副詞)	more	grupo	alternativoj	prononco
level	plej	最も（最上級）	most	grupo	alternativoj	prononco
level	diri	話す、伝える	to say, to tell	grupo	alternativoj	prononco
level	ol ~	〜より、〜に比べて	than ~	grupo	alternativoj	prononco
level	paroli	話す、発言する	to speak, to talk	grupo	alternativoj	prononco
level	kia	どんな（性質、種類、状態を求める）	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	そのような、	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	やっと、かろうじて、ほとんど〜しない	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	送る	to send	grupo	alternativoj	prononco
level	ĵus	たった今に	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	動詞命令形語尾	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	〜外で、〜の外に	outside ~	grupo	alternativoj	prononco
level	ge-	男女の、両性の	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	動詞仮定形語尾	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	まもなく	soon	grupo	alternativoj	prononco
level	almenaŭ	少なくとも	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	<接頭辞>分離、分散を表す	dis-	grupo	alternativoj	prononco
level	-uj-	<接尾辞>収納容器を表す	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	学ぶ	to learn	grupo	alternativoj	prononco
level	ek-	<接頭辞>開始、瞬間を表す	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	もし<接続詞>	if, provided that	grupo	alternativoj	prononco
level	eĉ	〜すら、〜さえ	even	grupo	alternativoj	prononco
level	amo	愛	a love	grupo	alternativoj	prononco
level	jam	もう、すでに	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	さあ、ほら	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	〜を終える、終わる	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	したがって、だから	so, then, therefore	grupo	alternativoj	prononco
level	ajn	無差別の、制限のない、～でも	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	簡単な	easy, facile	grupo	alternativoj	prononco
level	re-	また、繰り返し <接頭辞>	(prefix)  re-	grupo	alternativoj	prononco
level	granda	大きい	big, great, large	grupo	alternativoj	prononco
level	-ist-	職業を表す <接尾辞>	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	〜のせいで	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	団体の長を表す <接尾辞>	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	何	what	grupo	alternativoj	prononco
level	manĝi	食べる	to eat	grupo	alternativoj	prononco
level	nenio	全くない、何もないもの（代名詞）	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	若い	young	grupo	alternativoj	prononco
level	ĉio	すべて（代名詞）	everything	grupo	alternativoj	prononco
level	riĉa	豊かな	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	これ、それ、あれ（代名詞）	that thing, that	grupo	alternativoj	prononco
level	konstrui	建設する	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	<接頭辞>中心的なものを表す	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	~なしに	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	~と	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	～のほかに、～以外	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	友達	a friend	grupo	alternativoj	prononco
level	kies	誰の、誰のもの	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	〜で、〜を使って、〜を介して＜前置詞＞	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	〜に対して＜前置詞＞	against ~	grupo	alternativoj	prononco
level	el ~	～中から(方向)、～から（材料）	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	今日	today	grupo	alternativoj	prononco
level	hieraŭ	昨日	yesterday	grupo	alternativoj	prononco
level	nur	ただ、〜だけ	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	助ける	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	遠く、遠くに	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	〜でもない（他の不定詞の後ろに使用）	nor, neither	grupo	alternativoj	prononco
level	malamo	憎しみ	a hate	grupo	alternativoj	prononco
level	preskaŭ	ほぼ	almost, nearly	grupo	alternativoj	prononco
level	tra ~	＜前置詞＞〜を貫いて、〜を通って	through ~	grupo	alternativoj	prononco
level	super	＜前置詞＞〜の上方に、〜の上に	over, above	grupo	alternativoj	prononco
level	trans ~	＜前置詞＞～の向こうに、～を越えて、渡って	over ~, accross ~	grupo	alternativoj	prononco
level	nu	（周りの気を引くために）さあ！ねえ！	well, well then, now	grupo	alternativoj	prononco
level	pri ~	＜前置詞＞〜について	about ~	grupo	alternativoj	prononco
level	por ~	＜前置詞＞〜のため	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	明日	tomorrow	grupo	alternativoj	prononco
level	nun	今	now, at present	grupo	alternativoj	prononco
level	laŭ ~	〜にしたがって〜、に沿って＜前置詞＞	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	すべての、それぞれの、すべての人	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	誰、どれ	who, which, which one	grupo	alternativoj	prononco
level	tiu	かの人、そのひと	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	誰か、ある人、何か	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	誰も（どれも）（否定代名詞）	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	～へ＜前置詞＞	to ~	grupo	alternativoj	prononco
level	-ebl-	可能を意味する<接尾辞>	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	希望する	to hope	grupo	alternativoj	prononco
level	unu	1（一）	one	grupo	alternativoj	prononco
level	du	2（二）	two	grupo	alternativoj	prononco
level	tri	3（三）	three	grupo	alternativoj	prononco
level	kvar	4（四）	four	grupo	alternativoj	prononco
level	kvin	5（五）	five	grupo	alternativoj	prononco
level	ses	6(六)	six	grupo	alternativoj	prononco
level	sep	7(七)	seven	grupo	alternativoj	prononco
level	ok	8(八)	eight	grupo	alternativoj	prononco
level	naŭ	9(九)	nine	grupo	alternativoj	prononco
level	dek	10(十)	ten	grupo	alternativoj	prononco
level	cent	100(百)	a hundred	grupo	alternativoj	prononco
level	mil	1000(千)	a thousand	grupo	alternativoj	prononco
level	-obl-	～倍の、倍数を表す<接尾辞>	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	 ～分の一、分数を表示する<接尾辞>	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	愛の	of love	grupo	alternativoj	prononco
level	anstataŭ ~	〜代わりに＜前置詞＞	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	〜になることを意味する<接尾辞>	(suffix)  become	grupo	alternativoj	prononco
level	voli	欲しい、望む	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	〜させるを表す<接尾辞>	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	続く、従う	to follow	grupo	alternativoj	prononco
level	ĝoje	喜んで	gladly	grupo	alternativoj	prononco
level	legi	読む	to read	grupo	alternativoj	prononco
level	silenta	静かな	silent	grupo	alternativoj	prononco
level	la	（定冠詞）	the	grupo	alternativoj	prononco
level	ha!	ハ！ (感嘆詞)	ha!	grupo	alternativoj	prononco
level	-il-	道具を表す<接尾辞>	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	飲む	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	＜接尾辞＞小、弱を表す	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	＜接尾辞＞大、強を表す	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	＜前置詞＞〜あいだ	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	＜接尾辞＞（関係する）行動、（関係する）傾向	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	＜接尾辞＞集合体を表す	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	＜接尾辞＞構成員を表す	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	感謝する	to thank	grupo	alternativoj	prononco
level	-ind-	＜接尾辞＞〜する価値がある	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	（時間空間、数量的に）もっと、さらに	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	どのように	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	そのように	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	＜前置詞＞〜の中、〜の中に、	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	＜前置詞＞ ～隣に、～そばに、～近くに	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	＜前置詞＞〜下	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	＜前置詞＞の上に	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	＜前置詞＞ 時間に、様々に適用可能な前置詞	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	＜副詞＞まだ、今でも、まだ	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	＜前置詞＞ ～周り、～四方へ	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	しかし	but	grupo	alternativoj	prononco
level	ie	どこかに	somewhere	grupo	alternativoj	prononco
level	kie	どこに	where, at what place	grupo	alternativoj	prononco
level	silente	静かに	silently	grupo	alternativoj	prononco
level	ĉie	どこでも	everywhere, all about	grupo	alternativoj	prononco
level	nenie	どこにもないように、どこにもなく（副詞）	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	ここに、そこに、あそこに	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	＜指示副詞＞ この（近接を示す）	this ~	grupo	alternativoj	prononco
level	kanti	歌う	to sing	grupo	alternativoj	prononco
level	morti	死ぬ	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	＜前置詞＞〜の期間中	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	国、国家	a nation	grupo	alternativoj	prononco
level	koni	わかる、知っている	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	（知識を）知っている	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	いつも	always, ever	grupo	alternativoj	prononco
level	iam	いつか（不定）	at some time, once	grupo	alternativoj	prononco
level	tiam	この時、その時、あの時	then	grupo	alternativoj	prononco
level	-em-	＜接尾辞＞傾向、習慣	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	ある類の	some kind of	grupo	alternativoj	prononco
level	sukcesi	成功する	to succeed	grupo	alternativoj	prononco
level	ĉia	あらゆる種類の	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	どんなでもない	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	＜接尾辞＞子ども、息子	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	部屋	a room, a chamber	grupo	alternativoj	prononco
level	patro	父	a father	grupo	alternativoj	prononco
level	porko	豚	a pig, swine	grupo	alternativoj	prononco
level	bo-	＜接尾辞＞婚姻による親戚関係	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	実に、まさに	indeed	grupo	alternativoj	prononco
level	-ism-	＜接尾辞＞思想、主義	(suffix)  -ism	grupo	alternativoj	prononco
level	io	＜代名詞＞（不特定）何か	something	grupo	alternativoj	prononco
level	veturi	乗る	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ニワトリ	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	自由な	free	grupo	alternativoj	prononco
level	lasta	最後の	last	grupo	alternativoj	prononco
level	ĝoji	嬉しい、喜ぶ	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	捕まえる, 取る,  握る	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	牛	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	もう一つの、別の、他の	another, other, else	grupo	alternativoj	prononco
level	varma	暑い、熱い	hot, warm	grupo	alternativoj	prononco
level	loĝi	住む	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	信じる	to believe	grupo	alternativoj	prononco
level	glacio	氷	an ice	grupo	alternativoj	prononco
level	loko	場所	a place, a location	grupo	alternativoj	prononco
level	ovo	卵、卵	an egg	grupo	alternativoj	prononco
level	multa	たくさんの	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	持っているもの、所有物	a possession	grupo	alternativoj	prononco
level	ŝafo	羊	a sheep	grupo	alternativoj	prononco
level	sono	音	a sound	grupo	alternativoj	prononco
level	fiŝo	魚	a fish	grupo	alternativoj	prononco
level	bela	美しい	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	答える	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	回、回数	an occasion, a time	grupo	alternativoj	prononco
level	demandi	尋ねる、質問する	to ask	grupo	alternativoj	prononco
level	forta	強い	strong	grupo	alternativoj	prononco
level	preter ~	＜前置詞＞~そばを過ぎて	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	沈黙	a silence	grupo	alternativoj	prononco
level	infano	子供	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	幸せな	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	つかむ、捕まえる	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	~を望む	to desire, to wish	grupo	alternativoj	prononco
level	longa	長い	long	grupo	alternativoj	prononco
level	mondo	世界	a world	grupo	alternativoj	prononco
level	okazi	発生する、開催される	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	野、畑	field, a field	grupo	alternativoj	prononco
level	filo	息子	a son	grupo	alternativoj	prononco
level	montri	見せる、示す	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	心、胸、心臓	a heart	grupo	alternativoj	prononco
level	knabo	少年	a boy	grupo	alternativoj	prononco
level	meti	置く、	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	夫	a husband	grupo	alternativoj	prononco
level	pako	パッケージ、荷物、	package	grupo	alternativoj	prononco
level	rapida	早い	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	〜のように見える、〜のようだ	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	挨拶	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	書く	to write	grupo	alternativoj	prononco
level	peti	頼む	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	飛ぶ	to fly	grupo	alternativoj	prononco
level	kapo	頭	a head, a cape	grupo	alternativoj	prononco
level	krii	叫ぶ	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	赤い	red	grupo	alternativoj	prononco
level	sinjoro	紳士	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	手に取る、支える	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	時、歳月、時代	time, a time	grupo	alternativoj	prononco
level	tuta	すべて、全体	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	男	a man	grupo	alternativoj	prononco
level	vojo	道	a way, a path, a route	grupo	alternativoj	prononco
level	movi	〜を動かす、移す	to move	grupo	alternativoj	prononco
level	militi	戦う、戦争する	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	いくつか	a few, several	grupo	alternativoj	prononco
level	dekstra	右	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	閉じる	to close, to shut	grupo	alternativoj	prononco
level	okupi	占める、占領する	to occupy, to take	grupo	alternativoj	prononco
level	levi	起こす、上げる	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	打つ	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	〜を必要とする	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	理解する	to understand, to realise	grupo	alternativoj	prononco
level	iri	行く	to go	grupo	alternativoj	prononco
level	veni	来る	to come	grupo	alternativoj	prononco
level	porti	運ぶ、着用する	to carry, to wear	grupo	alternativoj	prononco
level	kovri	覆う	to cover	grupo	alternativoj	prononco
level	hela	明るい	bright, clear and light	grupo	alternativoj	prononco
level	sana	健康な	healthy	grupo	alternativoj	prononco
level	aperi	現れる	to appear, to emerge	grupo	alternativoj	prononco
level	libro	本	a book	grupo	alternativoj	prononco
level	atendi	待つ	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	手	a hand	grupo	alternativoj	prononco
level	pentri	絵で描く、	to paint	grupo	alternativoj	prononco
level	instrui	教える	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	座っている（座る）	to sit	grupo	alternativoj	prononco
level	stari	立つ、立っている	to stand	grupo	alternativoj	prononco
level	afero	事件、事柄、事、事物	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	いっぱい、充実した	full, complete	grupo	alternativoj	prononco
level	klara	クリアな、クリーンな、明白な	clear	grupo	alternativoj	prononco
level	komenci	始める	to begin, to commence	grupo	alternativoj	prononco
level	dormi	寝る	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	一部、部分	a part, a share	grupo	alternativoj	prononco
level	mono	お金	money	grupo	alternativoj	prononco
level	ricevi	受け取る	to receive	grupo	alternativoj	prononco
level	ami	愛する	to love	grupo	alternativoj	prononco
level	devi	~ねばならない	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	~できる	be able to, can	grupo	alternativoj	prononco
level	labori	働く	to work, to labor	grupo	alternativoj	prononco
level	dio	神	a god	grupo	alternativoj	prononco
level	urbo	都市、街、市	a city, a town	grupo	alternativoj	prononco
level	ofta	頻繁な、たびたびの	freqent, often	grupo	alternativoj	prononco
level	soni	鳴る	to sound, to make sound	grupo	alternativoj	prononco
level	tero	地、陸、土、地球	earth, land, soil	grupo	alternativoj	prononco
level	vivi	生きる	to live, to be alive	grupo	alternativoj	prononco
level	resti	残っている、滞在する	to stay, to remain	grupo	alternativoj	prononco
level	ridi	笑う	to laugh	grupo	alternativoj	prononco
level	homo	人、人間	a human, a man	grupo	alternativoj	prononco
level	akvo	水	water	grupo	alternativoj	prononco
level	vorto	単語、	a word	grupo	alternativoj	prononco
level	certa	確かな、自信がある	certain, sure	grupo	alternativoj	prononco
level	lando	国	a land, a country	grupo	alternativoj	prononco
level	sama	同じ	same	grupo	alternativoj	prononco
level	ĵeti	投げる	to throw	grupo	alternativoj	prononco
level	stelo	星	a star	grupo	alternativoj	prononco
level	domo	家	a house, a home	grupo	alternativoj	prononco
level	nomo	名前	a name, an appellation	grupo	alternativoj	prononco
level	vidi	見る、会う	to see	grupo	alternativoj	prononco
level	mola	柔らかい	soft	grupo	alternativoj	prononco
level	horo	時間、1時間	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	形状	a form, a shape	grupo	alternativoj	prononco
level	tago	日、昼	a day	grupo	alternativoj	prononco
level	fumo	煙	a smoke	grupo	alternativoj	prononco
level	ĉevalo	馬	a horse	grupo	alternativoj	prononco
level	jaro	年	a year	grupo	alternativoj	prononco
level	vojaĝi	旅行する	to travel	grupo	alternativoj	prononco
level	celo	目的	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	産む	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	不足する、欠けている	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	鳥	a bird	grupo	alternativoj	prononco
level	halti	停止する、止まる	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	兄弟（兄または弟）	a brother	grupo	alternativoj	prononco
level	monto	山	a mountain	grupo	alternativoj	prononco
level	pensi	考える	to think	grupo	alternativoj	prononco
level	permesi	許可する	to permit, to allow	grupo	alternativoj	prononco
level	kosti	(費用が)かかる、値する	to cost	grupo	alternativoj	prononco
level	lito	ベッド	a bed, a couch	grupo	alternativoj	prononco
level	perdi	失う、（機会を）逃す	to lose	grupo	alternativoj	prononco
level	miri	驚く	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	人、個人	a person	grupo	alternativoj	prononco
level	diversa	様々な、いろいろな	diverse, varied, various	grupo	alternativoj	prononco
level	provi	試す	to try, to attempt	grupo	alternativoj	prononco
level	pagi	支払う	to pay	grupo	alternativoj	prononco
level	prezenti	紹介する、提示する、上演する	to present, to introduce	grupo	alternativoj	prononco
level	aparta	離れて、別々の、特別な	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	権利	right, a right	grupo	alternativoj	prononco
level	mateno	朝	morning, a morning	grupo	alternativoj	prononco
level	agrabla	快適な、快い	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	夕方	evening, an evening	grupo	alternativoj	prononco
level	muro	壁	a wall	grupo	alternativoj	prononco
level	suno	太陽	sun, a sun	grupo	alternativoj	prononco
level	rigardi	眺める、見つめる	to look, to look at	grupo	alternativoj	prononco
level	senti	感じる	to feel, to sense	grupo	alternativoj	prononco
level	blanka	白い	white, blank	grupo	alternativoj	prononco
level	simpla	シンプル、単純な	simple	grupo	alternativoj	prononco
level	rimarki	気づく、感知する	to notice	grupo	alternativoj	prononco
level	lingvo	言語	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	変える	to change, to turn	grupo	alternativoj	prononco
level	renkonti	会う	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	使う	to use	grupo	alternativoj	prononco
level	timi	怖がる、恐れる	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	真実の、真の、本当の	real, true	grupo	alternativoj	prononco
level	sola	独りの、唯一の	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	平和	peace, a peace	grupo	alternativoj	prononco
level	rakonti	話す、物語る	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	色	color, a color	grupo	alternativoj	prononco
level	pura	きれいな、純粋な	clean, pure	grupo	alternativoj	prononco
level	aŭdi	聞く	to hear	grupo	alternativoj	prononco
level	punkto	ポイント、点	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	口	a mouth	grupo	alternativoj	prononco
level	araneo	クモ	a spider	grupo	alternativoj	prononco
level	serĉi	探す	to search, to look for, to seek	grupo	alternativoj	prononco
level	letero	手紙	a letter	grupo	alternativoj	prononco
level	frua	早い	early, premature	grupo	alternativoj	prononco
level	grava	重要な	important, serious	grupo	alternativoj	prononco
level	nigra	黒い	black	grupo	alternativoj	prononco
level	trankvila	穏やかな、安定した	tranquil, calm	grupo	alternativoj	prononco
level	flanko	脇、側面	a side	grupo	alternativoj	prononco
level	libroj	本（複数）	books	grupo	alternativoj	prononco
