B.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	jen mia karto, se vi volas	voici ma carte, si tu veux	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	dessus il y a aussi ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	dessus il y a aussi une adresse	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	Il y a aussi une adresse vers un site Web	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	une adresse vers un site avec un cours Esperanto	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	merci	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	je t'enverrai un e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	d'accord!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	à bientôt et bonne nuit !	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	à bientôt!	see you!	grupo	alternativoj	prononco
level	aperas en ~	apparaît dans ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	une messagerie instantanée	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ apparaît dans la messagerie instantanée	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	es-tu cette personne ?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	cette personne qui avait dansé avec moi	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	samedi soir	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	es-tu cette personne qui a dansé avec moi samedi soir ?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Oui, c'est moi	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Je suis content que ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Je suis heureux que vous soyez venu sur le site	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	est-ce que ça vous plaît ? (aimez-vous?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	oui, ouais	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	c'est très beau	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	ça semble intéressant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	c'est très beau et ça semble intéressant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	pas encore ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	n'est pas complètement prêt	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ce n'est pas encore totalement prêt	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	mais bientôt ce sera le cas	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Je comprends (je vois)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	mais il existe déjà de nombreux outils d'aide	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	un dictionnaire	a dictionary	grupo	alternativoj	prononco
level	superrigardo	un aperçu	an overview	grupo	alternativoj	prononco
level	ekzerco	une exercice	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	exemples de mots, aperçu, messagerie instantanée et exercices	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	un aperçu de la grammaire	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	une messagerie instantanée et divers exercices	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	C'est un bon début	it is a good start	grupo	alternativoj	prononco
level	pardonon	pardonne-moi, je suis désolé	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Je dois parler avec ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	parler avec une autre personne	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	pardon, je dois parler avec une autre personne	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	un assistant linguistique	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Je suis son aide linguistique	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	et maintenant elle veut parler de ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	parler d'un exercice	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	reviendra bientôt	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	je reviendrai vers toi bientôt	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	après quelques minutes	after several minutes	grupo	alternativoj	prononco
level	finparolis	fini de parler	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	maintenant nous avons fini de parler de l'exercice	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	en attendant, pendant un moment	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Entre-temps, j'ai lu des articles sur l'espéranto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	je ne suis pas sûr	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	en sait assez sur ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Je ne connais pas encore suffisamment la langue	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	une réponse sage	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	je vais regarder sur le site	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	et je vais essayer d'apprendre un peu	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	veux-tu être mon assistant linguistique ?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	volontiers!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	de rien (je vous en prie)	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ça ne vaut pas un merci, mais ça vaut un baiser	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	dit ça en espéranto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	quoi ? Je ne comprends pas	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	tu peux chercher dans un dictionnaire	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	malheureusement	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Je dois quitter Internet maintenant	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	je reviendrai le soir	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Je pense que je serai sur le site à ce moment-là	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	parfait!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	eh bien, à bientôt alors !	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	à plus tard!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	le soir, également sur la messagerie instantanée	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	bonjour à nouveau! (concernant-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	bonjour à nouveau!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	J'ai regardé presque toutes les pages du site	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	Excellent ! (Super !)	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	j'ai quelques questions	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	As-tu du temps?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	oui, j'ai une soirée libre	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	alors, écris tes questions	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	je vais essayer de répondre	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	J'ai lu que l'espéranto a une culture	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	mais je ne comprends pas ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	où puis-je trouver cette culture ?	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	tu trouveras partout, où que se trouve ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	n'importe quel endroit où se trouvent des gens qui parlent espéranto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	mais aucun peuple n'utilise l'Espéranto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	Exactement ! (Tout à fait !)	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	mais les gens qui parlent espéranto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	voyagent souvent et je rencontre d'autres espérantistes	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	lors de ces réunions	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	ils utilisent la langue dans des situations très diverses	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	donc là vous trouverez ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	tu trouveras la culture	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	trouvera la culture de l'espéranto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ok, est-ce que la musique existe ?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musique, littérature, théâtre	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc.	etc	grupo	alternativoj	prononco
level	same kiel ~	pareil que ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	comme pour les autres langues	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	la quantité n'est pas si grande	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	aussi gros que dans les langues nationales	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	mais ce n'est pas important	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	Au moins pas pour moi	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	si tu veux écouter ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	écouter une chanson en espéranto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	voici la chanson; Lisa peint des images;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	écoute la chanson	listens to the song	grupo	alternativoj	prononco
level	ne malbone	pas mal	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	et vous trouverez de nombreux livres en espéranto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	regarde les livres	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	assez nombreux	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	lisez-vous beaucoup en espéranto ?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	oui, parfois (de temps en temps)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	si jamais tu apprends la langue	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Je vous recommanderai quelques bons livres	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	il s'agit de ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	mon autre question concerne mon nom	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	tu as dit plus tôt que ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	a un rapport avec ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	a dit qu'il avait un rapport avec l'espéranto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh, oui, à propos de ça	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	un homme avec le nom ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	vivait autrefois un homme portant le nom ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	il était très actif dans le mouvement espérantiste	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	quand c'était complètement nouveau	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	traduit le livre en ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	et traduit de nombreux livres en espéranto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	et ça l'a rendu célèbre ?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	l'un des plus importants pour l'espéranto à cette époque	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	et il a eu beaucoup d'influence sur le style de langage	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	Non, il était certainement important et a beaucoup influencé	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	cependant, il abandonna brusquement le mouvement	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	J'imagine que ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	J'imagine que ça a été un grand choc pour beaucoup	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	pourquoi a-t-il quitté l'espéranto ?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Je crois que ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	il n'était pas satisfait des espérantistes	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	il a dit quelque chose de similaire à ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	L’espéranto doit être appris par les espérantistes eux-mêmes !	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	que voulait-il dire par ~ ?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	que voulait-il dire par là ?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	il est probable que ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	les gens parlaient mal l'espéranto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	Il est probable que les gens parlaient mal à cette époque	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	en 1911, il quitta l'espéranto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	mais je pense que ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	est plus élevé	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	aujourd'hui le niveau de langue est plus élevé	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	le niveau de langue des espérantistes	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	mais je pense qu'aujourd'hui le niveau est plus élevé	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	donc je dois bien apprendre la langue	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	pour être une bonne personne	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	et vous devriez utiliser un style simple	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	parce que c'était très important pour lui	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	ça me plaît (j'aime ça)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	en espéranto, il y a même un mot ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	Il existe même le mot ''kabei''	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	abandonner le mouvement	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	un mot « kabei », qui signifie abandonner le mouvement	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	C'est intéressant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	maintenant je connais un mot en espéranto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	je n'oublierai jamais	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	et je ne l'oublierai probablement jamais	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	dans un café après plusieurs semaines	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	il a réussi à apprendre l'espéranto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	Et ils utilisent maintenant la langue	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	inviter, une invitation	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	Tiens, regarde, une invitation pour IJK !	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	quoi ? I-J-quoi ?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	un jeune, un groupe de jeunes	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK est un congrès international de la jeunesse	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	je compte y aller	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	Est-ce que toi aussi tu veux aller	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	eh bien, "congrès" n'a pas l'air très intéressant	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	mais c'est (intéressant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	Ne pense pas à un congrès ennuyeux et fastidieux	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	Il s'agit simplement de ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	Il s'agit simplement d'une rencontre avec des jeunes.	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	une rencontre avec des jeunes de nombreux pays	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 à 400 personnes seront là	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	il y aura probablement 300 à 400 personnes	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	presque tout le monde	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	et presque tout le monde parlera l'espéranto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	ne parle pas bien	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, mais je ne parle pas bien l'espéranto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	cela n'a pas d'importance	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	il est possible de participer à ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	participer à des cours d'espéranto là-bas	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	généralement	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	il y a généralement deux niveaux	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	des personnes qui ont déjà commencé à apprendre la langue	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	un pour les débutants	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	et l'autre pour des personnes qui ont déjà commencé à apprendre la langue	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	oui, quoi ?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	tu as dit "habituellement"	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK a lieu chaque année	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	à chaque fois dans un autre pays	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	pour cette raison, chaque IJK est différent	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	mais il y a aussi des programmes	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	des programmes qui reviennent souvent	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	mais il y a aussi des programmes qui reviennent souvent	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Par exemple	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	par exemple, il est presque toujours possible de faire du sport, de jouer aux cartes	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	parler avec des amis toute la nuit	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	chanter autour du feu et danser	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	participer à des concerts, etc.	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	eh bien, ça, je peux le faire aussi à la maison	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	c'est vrai, mais	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	mais la chose importante pendant IJK est ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
