A.sw content.tsv
Level	Esperanto	sw	en-us	Grupo	Alternativoj	Pronoco
level	ĝi estas sur tablo	iko kwenye meza.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	anaandika kwenye meza ya kuandika	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	the books are ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	juu ya meza	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	kitabu cha kiada na vitabu vya kiada	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	juu ya meza there is ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	baba na mama	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	baba na mama	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mama wa rafiki yangu	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	ndani ya chumba	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	hayupo chumbani	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	wanafanya kazi sasa	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	baba yake ni mfanyakazi	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	anafanya kazi hotelini	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	mama anafundisha	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	yeye ni mwalimu	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	yeye ni mama?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	hapana, yeye ni mfanyabiashara wa hoteli	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	hapana, sifanyi kazi	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	jina lake nani?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	nani sasa anajibu?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	lugha ya mama yao	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	Je, jina lako ni ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	tumekaa na kujibu	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	kiti chake cha kazi	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	jina lake si ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	lugha yake ni lugha yao	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	baba na mama yetu	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	mwanafunzi wako, wanafunzi wako	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ni wanafunzi wako?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	wewe ni mwanafunzi?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	upo chumbani?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Mimi si ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	Esperantist na Esperantist wa kike	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	aliingia kwa chumba cha hoteli	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	mtaalamu wa lugha na mfanyakazi wa kike	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	rafiki yake wa kike is ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	wanafunzi na wanamichezo	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	my familia name is ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	yeye ni nani? yeye ni yupi?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	ni rafiki yako wa kike	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ni rafiki yako ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	anaandika sasa chumbani	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	ni rafiki yako baba ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	kazi katika hoteli	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	kuna nini mezani?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	kwenye meza kwenye chumba chetu	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	is the Esperanto textbook ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	iko kwenye meza yako	is on your table	grupo	alternativoj	prononco
level	havas amikinon	ana rafiki	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	jina lake ni ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	kijana na mzuri	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	ni mchanga na mrembo	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	vijana na marafiki wazuri	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	ni marafiki wa kiume na wa kike	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	nyumbani kwa mwalimu wake	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	alikuja nyumbani	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	nyumba ya ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	tafadhali ingia	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	habari, unafanya nini?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	unafanya nini? unafanya nini?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	lakini sasa nataka ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Nataka kuzungumza	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	na marafiki watatu wa kiume na wa kike	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	alizungumza na wewe	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	anataka kuongea na wewe	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	una marafiki wa kiume na wa kike	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	ana kitabu	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	ina kitabu kizuri	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ndio ninayo	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	wanapenda	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	alisoma kitabu	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	anapenda kusoma vitabu	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	kitabu kizuri tu	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	vitabu vingi vizuri	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	soma vitabu vizuri tu	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	anapenda kusoma vitabu vizuri	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	unataka kusoma?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	kijana alikunywa kahawa	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	anataka kunywa maji	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	baba na mama; wazazi	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	kusumbua na dada, ndugu	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	wazazi na ndugu zako	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	iko nyumbani kwako	is in your home	grupo	alternativoj	prononco
level	jen la kafo	hapa ni kahawa	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	bado hakunywa	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	bado ni joto	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	alipika jana	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Sasa nilipika	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Asante. hivyo alisema.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	anaweza kunywa na kula	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	alikunywa kahawa baridi	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	kahawa bado ya joto	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	hunywa kahawa baridi pia	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	unaweza pia kunywa kahawa baridi	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	anaangalia jicho lake	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	jicho zuri zaidi	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	macho mazuri	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	inaonekana macho mazuri	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	macho yake mazuri	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	anaona na kuelewa	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Naona hiyo ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	kwamba anampenda	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	anahisi kwamba anampenda	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	anauliza kama hiyo ilikuwa kubwa	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	kuhusu swali rahisi	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	alisema juu ya pesa mpya	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	macho mazuri sana	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	alionekana kaka mkubwa	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	dada mdogo alisahau	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	mshtaki (lengo)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	usisahau mwisho wa tuhuma	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	unaona nani? unaona yupi?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Naona rafiki	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	ana marafiki wazuri wa kiume na wa kike	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	wanafanya kazi kuhusu nyumba ya zamani	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	kazi, kazi, itafanya kazi	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	anaona, kwamba mimi kula	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	alisema, kwamba atakwenda	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	mbaya na mbaya	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	alisema nini?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	unasubiri nini?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	akaingia chumbani	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	maudhui ni magumu sana	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	walifika kwenye mkutano	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	karibu kwenye mkutano	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	mzee alitoa kidokezo	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	alifika na kukaribishwa	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	wanachukia lakini wanashirikiana	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	akaenda hotelini	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	ina vitabu vya kiada rahisi	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	mama yako alikuwaje?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	nyumba yako ya zamani	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	umesoma vitabu gani?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	walikuwa wazuri?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	jana alifanya nini?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	kwenye chumba kidogo	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	aliongea kwa muda mrefu sana	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	mbele ya shule, kabla ya shule	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	alizungumza kabla ya shule	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	baadaye alizungumza kuhusu kitabu hicho	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	kwa furaha kwenda shule	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	kupitia barabarani	through the street	grupo	alternativoj	prononco
level	iris tra la strato	kupita mitaani	went through the street	grupo	alternativoj	prononco
level	estis varma tago	ilikuwa siku ya joto	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	waliona cafe'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	aliona cookies nyekundu	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	niliona vidakuzi ndani yake	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	niliona cafe' na vidakuzi ndani yake	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ingia na kula!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	twende tukale	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	ana pesa za kutosha	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	una pesa za kutosha?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	unaelewa?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	bila shaka!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	hiyo haitoshi	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	dola mia zinatosha	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	dola, dola, dola (lengo la wingi)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	ina dola mia moja	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	bila shaka, nina	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	oh! wewe ni tajiri!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	maji, mhudumu	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	mhudumu huleta menyu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	ilileta hiyo kwetu, ikaleta hiyo	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	mhudumu alileta kiki nyingi	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	walikula (kidogo)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	baada ya kula (mlo)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	mpya, tena	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	mhudumu akaja tena	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	mahali fulani	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	alikuwa ametafuta mahali fulani	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	alitafuta mahali pengine	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	uso wake ulikuwa na furaha	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	alikuwa na huzuni	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	mwisho na mwishowe	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	sauti yako kali	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	kwa sauti dhaifu	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	hana pesa	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	nini kilitokea hapo?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	ajali ilitokea baadaye	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	unajua ilitokea lini?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	anajua kuhusu jambo hilo	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	bado jambo moja limebaki	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	wewe au yeye, mtu yeyote	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	kama mwimbaji, kama saini	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	aliimba kama mwimbaji mtaalamu	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a mahali, ambapo aliishi	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	unajuaje kuhusu gari?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	vizuri, angalia gari la haraka	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	juisi bila sukari	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	ana gari la haraka	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	kwa nguvu sana	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	alifungua kwa nguvu sana	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	aliendesha (alisafiri) haraka sana	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	alikula na kijiko	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	tuna shaka sana	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	barua ya kweli kutoka kwake	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	barua ya mapenzi yenye picha tano	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	waliorudi, watu waliorudi	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	pia barua sita zilirudishwa	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	alitaka kuona picha	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	alirudi kutoka shuleni	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	dada atarudi lini?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	alitaka kusoma tena	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	alifanya (ilifanya), ikawa	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	haraka ikawa nyekundu	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	chumbani, chumbani	in a room, into a room	grupo	alternativoj	prononco
