A.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	junaj kaj belaj amikoj	年轻漂亮的朋友	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	是男女朋友	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	她老师的家	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	来到家里	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	的家~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	请进来	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	你好，你在做什么？	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	你做什么工作？你在干什么？	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	但现在我想要~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	我想说话	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	和三位男女朋友	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	与你交谈	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	想和你说话	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	你有男性和女性朋友吗	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	他有一本书	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	有一本好书	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	是的，我有	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	他们喜欢它	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	她读了一本书	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	喜欢看书	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	只是一本好书	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	很多好书	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	只读好书	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	喜欢读好书	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	你想读书吗？	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	年轻人喝了咖啡	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	想喝水	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	父亲和母亲；父母	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	一个麻烦和一个姐妹，兄弟姐妹	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	你的父母和兄弟姐妹	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	在你家里	is in your home	grupo	alternativoj	prononco
level	jen la kafo	这是咖啡	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	还没喝	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	仍然温暖	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	昨天煮的	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	我现在煮了	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	谢谢。他说。	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	能喝能吃	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	喝了冷咖啡	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	仍然温热的咖啡	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	也喝冷咖啡	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	还可以喝冷咖啡	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	看着她的眼睛	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	最美丽的眼睛	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	美丽的眼睛	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	看着美丽的眼睛	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	她美丽的眼睛	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	看到并理解	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	我看到了~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	他爱她	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	她感觉他爱她	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	问那是否很大	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	关于一个简单的问题	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	说到新钱	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	非常美丽的眼睛	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	看起来是大哥	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	有一个小妹妹忘记了	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	宾格（宾语）	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	不要忘记宾格结尾	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	你在见谁？你看到哪一个？	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	我看到一个朋友	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	有很好的男女朋友	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	他们正在修旧房子	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	工作，工作，将会工作	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	看到，我吃	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	说他会去	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	又丑又坏	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	她说了什么？	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	你在等什么？	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	走进房间	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	内容非常困难	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	到达会议地点	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	欢迎参加会议	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	一位老人给了小费	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	到达并受到欢迎	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	他们讨厌但合作	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	去了酒店	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	有简单的教科书	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	你妈妈怎么样？	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	你的老家	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	你读了哪些书？	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	他们好吗？	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	昨天做了什么？	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	在小房间里	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	说了很长一段时间	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	学校前面，学校前面	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	在学校之前讲话	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	后来谈到这本书	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	高高兴兴地去了学校	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	穿过街道	through the street	grupo	alternativoj	prononco
level	iris tra la strato	穿过街道	went through the street	grupo	alternativoj	prononco
level	estis varma tago	是一个温暖的一天	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	他们看到了一家咖啡馆”	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	看到红色饼干	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	看到里面有饼干	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	看到一家咖啡馆，里面有饼干	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	进去吃饭吧！	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	我们进来吃饭吧	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	有足够的钱	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	你有足够的钱吗？	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	你明白吗？	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	当然！	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	这还不够	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	一百块钱就够了	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	一美元，美元，美元（复数目标）	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	有一百美元	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	当然，我有	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	哦！你好有钱！	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	一杯水，一个女服务员	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	服务员拿来菜单	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	给我们带来了，带来了	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	服务员送来了很多饼干	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	他们吃了一些（一点点）	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	吃完饭后	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	新的，又来了	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	服务员又来了	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	在某个地方	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	在某个地方搜索过	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	在其他地方搜索过	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	他的脸很高兴	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	她很伤心	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	最后最后最后	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	你强有力的声音	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	用微弱的声音	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	没有钱	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	那里发生了什么？	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	后来发生了意外	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	你知道什么时候发生的吗？	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	知道此事	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	还剩下一件事	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	你或她，任何人	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	像歌手一样，像签名者一样	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	像专业歌手一样唱歌	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a 她住的地方	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	你怎么知道这辆车的？	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	好吧，看看那辆快车	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	不加糖的果汁	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	他有一辆很快的车	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	太强烈了	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	他打开得太用力了	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	开车（行驶）太快	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	用勺子吃	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	我们强烈怀疑	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	他的一封真实的信	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	一封带有五张照片的情书	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	回来了，回来的人	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	还退回了六封信	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	想看照片	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	从学校回来	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	姐姐什么时候回来？	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	想再读一遍	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	做了（做），成为	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	迅速变红	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	在一个房间里，进入一个房间	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	站着又坐着	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	照片前面站着	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	我有这个	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	你手里有什么？	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	在前面还是后面？	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	之前还是之后？	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	门后面有	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	其他人，其他人	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	别人的来信	letters from others	grupo	alternativoj	prononco
level	falis el la mano	从手中掉下来	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	桌子上，桌子上	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	它掉在桌子上	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	请求原谅	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	正在寻找五本书	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	抱歉，我正在寻找我的书。	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	但你很清楚	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	不在我的桌子上	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	你的书不在我的桌子上	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	再次给予，回报	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	把信还给我	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	受到了很好的教训	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	又洗了，又吃了	further washed, ate any more	grupo	alternativoj	prononco
level	ne plu legos	将不再阅读	will no longer read	grupo	alternativoj	prononco
