C.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	juna	joven	young	grupo	alternativoj	prononco
level	ĉio	todo	everything	grupo	alternativoj	prononco
level	riĉa	rico, rico, acomodado	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	esa cosa, esa	that thing, that	grupo	alternativoj	prononco
level	konstrui	construir, construir	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefijo) jefe, líder, principal	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposición) sin ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposición) con ~ (juntos)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposición) excepto ~, además ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	un amigo	a friend	grupo	alternativoj	prononco
level	kies	de quién, de cuál, de cuál	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposición) por ~ (un método), con ~ (una herramienta)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	contra ~	against ~	grupo	alternativoj	prononco
level	el ~	fuera de ~, de ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	hoy	today	grupo	alternativoj	prononco
level	hieraŭ	ayer	yesterday	grupo	alternativoj	prononco
level	nur	sólo, sólo, exclusivamente	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	ayudar, ayudar, asistir	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverbio) lejos, lejos	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ni, tampoco	nor, neither	grupo	alternativoj	prononco
level	malamo	un odio	a hate	grupo	alternativoj	prononco
level	preskaŭ	casi cerca	almost, nearly	grupo	alternativoj	prononco
level	tra ~	a través de ~	through ~	grupo	alternativoj	prononco
level	super	más arriba	over, above	grupo	alternativoj	prononco
level	trans ~	sobre ~, al otro lado de ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	bueno, bueno entonces, ahora	well, well then, now	grupo	alternativoj	prononco
level	pri ~	acerca de ~	about ~	grupo	alternativoj	prononco
level	por ~	para ~, para ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	mañana	tomorrow	grupo	alternativoj	prononco
level	nun	ahora, en la actualidad	now, at present	grupo	alternativoj	prononco
level	laŭ ~	según ~, junto ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	cada uno, cada, todos, todos los	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	quién, cuál, cuál	who, which, which one	grupo	alternativoj	prononco
level	tiu	esa persona, esa ~, esa, allá	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	alguien, alguien, algunos	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nadie, nadie, tampoco	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	a ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(sufijo) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	a la esperanza	to hope	grupo	alternativoj	prononco
level	unu	uno	one	grupo	alternativoj	prononco
level	du	dos	two	grupo	alternativoj	prononco
level	tri	tres	three	grupo	alternativoj	prononco
level	kvar	cuatro	four	grupo	alternativoj	prononco
level	kvin	cinco	five	grupo	alternativoj	prononco
level	ses	seis	six	grupo	alternativoj	prononco
level	sep	Siete	seven	grupo	alternativoj	prononco
level	ok	ocho	eight	grupo	alternativoj	prononco
level	naŭ	nueve	nine	grupo	alternativoj	prononco
level	dek	diez	ten	grupo	alternativoj	prononco
level	cent	un centenar	a hundred	grupo	alternativoj	prononco
level	mil	mil	a thousand	grupo	alternativoj	prononco
level	-obl-	(sufijo) para multiplicidad, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(sufijo) ~th, fracción	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	de amor	of love	grupo	alternativoj	prononco
level	anstataŭ ~	en lugar de ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(sufijo) convertirse	(suffix)  become	grupo	alternativoj	prononco
level	voli	querer, querer, estar dispuesto a	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(sufijo) causa para convertirse	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	seguir	to follow	grupo	alternativoj	prononco
level	ĝoje	con alegría	gladly	grupo	alternativoj	prononco
level	legi	leer	to read	grupo	alternativoj	prononco
level	silenta	silencioso	silent	grupo	alternativoj	prononco
level	la	el	the	grupo	alternativoj	prononco
level	ha!	¡Ja!	ha!	grupo	alternativoj	prononco
level	-il-	(sufijo) herramienta, método	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	beber (sin alcohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(sufijo) pequeño, pequeño	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(sufijo) grande, grande	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposición) entre ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(sufijo) comportamiento relacionado	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(sufijo) conjunto, grupo	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(sufijo) miembro de un grupo	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	Agradecer	to thank	grupo	alternativoj	prononco
level	-ind-	(sufijo) digno, digno	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	aún más, más lejos, y así sucesivamente, más	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	cómo, como, de qué manera, como, por ejemplo	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tal, de esa manera, así	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposición) en ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposición) al lado de ~, al lado de ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposición) debajo, debajo ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposición) en ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposición) prep. indefinida, en, en, por, en	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverbio) todavía, todavía	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposición) alrededor ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	pero	but	grupo	alternativoj	prononco
level	ie	en algún lugar	somewhere	grupo	alternativoj	prononco
level	kie	dónde, en qué lugar	where, at what place	grupo	alternativoj	prononco
level	silente	silenciosamente	silently	grupo	alternativoj	prononco
level	ĉie	en todas partes, todo sobre	everywhere, all about	grupo	alternativoj	prononco
level	nenie	en ninguna parte, en ningún caso, en ninguna parte	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	allá, allá, allá	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	esto ~	this ~	grupo	alternativoj	prononco
level	kanti	cantar	to sing	grupo	alternativoj	prononco
level	morti	morir, fallecer	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposición) durante ~, mientras ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	una nación	a nation	grupo	alternativoj	prononco
level	koni	conocer (una persona), estar familiarizado con	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	saber (un hecho, conocimiento), saber cómo	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	siempre, alguna vez	always, ever	grupo	alternativoj	prononco
level	iam	en algún momento, una vez	at some time, once	grupo	alternativoj	prononco
level	tiam	entonces	then	grupo	alternativoj	prononco
level	-em-	(sufijo) tendencia	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	alguna clase de	some kind of	grupo	alternativoj	prononco
level	sukcesi	para triunfar	to succeed	grupo	alternativoj	prononco
level	ĉia	de todo tipo, todo tipo de	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	no, no cualquier tipo de, no cualquiera	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(sufijo) descendencia	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	una habitación, una cámara	a room, a chamber	grupo	alternativoj	prononco
level	patro	Un padre	a father	grupo	alternativoj	prononco
level	porko	un cerdo, cerdo	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefijo) -en-ley, por matrimonio	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	en efecto	indeed	grupo	alternativoj	prononco
level	-ism-	(sufijo) -ismo	(suffix)  -ism	grupo	alternativoj	prononco
level	io	algo	something	grupo	alternativoj	prononco
level	veturi	conducir (un vehículo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	un gallo, una gallina, una gallina, un ave	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratis	free	grupo	alternativoj	prononco
level	lasta	último	last	grupo	alternativoj	prononco
level	ĝoji	alegrarse, alegrarse, gozar	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	tomar, apoderarse de	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	una vaca, un buey, un animal bovino	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	otro, otro, más	another, other, else	grupo	alternativoj	prononco
level	varma	tibio	hot, warm	grupo	alternativoj	prononco
level	loĝi	residir, vivir, morar, habitar	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	creer	to believe	grupo	alternativoj	prononco
level	glacio	un buen	an ice	grupo	alternativoj	prononco
level	loko	un lugar, una ubicación	a place, a location	grupo	alternativoj	prononco
level	ovo	un huevo	an egg	grupo	alternativoj	prononco
level	multa	mucho, mucho, muchos	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	una posesión	a possession	grupo	alternativoj	prononco
level	ŝafo	una oveja	a sheep	grupo	alternativoj	prononco
level	sono	un sonido	a sound	grupo	alternativoj	prononco
level	fiŝo	un pez	a fish	grupo	alternativoj	prononco
level	bela	hermoso, guapo, bonito	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	responder, responder, responder	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	una ocasión, un tiempo	an occasion, a time	grupo	alternativoj	prononco
level	demandi	preguntar	to ask	grupo	alternativoj	prononco
level	forta	fuerte	strong	grupo	alternativoj	prononco
level	preter ~	más allá ~, pasado ~, justo pasado	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	un silencio	a silence	grupo	alternativoj	prononco
level	infano	un niño, un infante	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	feliz, afortunado, afortunado	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	atrapar, capturar, agarrar	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	desear, desear	to desire, to wish	grupo	alternativoj	prononco
level	longa	largo	long	grupo	alternativoj	prononco
level	mondo	un mundo	a world	grupo	alternativoj	prononco
level	okazi	ocurrir, suceder, ocurrir	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	campo, un campo	field, a field	grupo	alternativoj	prononco
level	filo	un hijo	a son	grupo	alternativoj	prononco
level	montri	mostrar, indicar, señalar	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	un corazón	a heart	grupo	alternativoj	prononco
level	knabo	Un niño	a boy	grupo	alternativoj	prononco
level	meti	poner, colocar, acostar	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	un marido	a husband	grupo	alternativoj	prononco
level	pako	paquete	package	grupo	alternativoj	prononco
level	rapida	rápido, rápido, veloz	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	parecer, parecer ser	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	un saludo, saludo, saludo	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	escribir	to write	grupo	alternativoj	prononco
level	peti	pedir, pedir, solicitar, suplicar	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	para volar	to fly	grupo	alternativoj	prononco
level	kapo	una cabeza, una capa	a head, a cape	grupo	alternativoj	prononco
level	krii	gritar, llorar, gritar, gritar	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rojo	red	grupo	alternativoj	prononco
level	sinjoro	un señor, un caballero	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	sostener, aferrarse	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tiempo, un tiempo	time, a time	grupo	alternativoj	prononco
level	tuta	total, todo, entero, completo, total	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	un hombre	a man	grupo	alternativoj	prononco
level	vojo	un camino, un camino, una ruta	a way, a path, a route	grupo	alternativoj	prononco
level	movi	para mover	to move	grupo	alternativoj	prononco
level	militi	romper una guerra, pelear, hacer la guerra	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	unos pocos, varios	a few, several	grupo	alternativoj	prononco
level	dekstra	derecha, derecha (lado, dirección), derecha	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	cerrar, cerrar	to close, to shut	grupo	alternativoj	prononco
level	okupi	ocupar, tomar	to occupy, to take	grupo	alternativoj	prononco
level	levi	hacer palanca, levantar, levantar	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	golpear, golpear, golpear, golpear, azotar	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	necesitar, querer, requerir	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	entender, darse cuenta	to understand, to realise	grupo	alternativoj	prononco
level	iri	ir	to go	grupo	alternativoj	prononco
level	veni	venir	to come	grupo	alternativoj	prononco
level	porti	llevar, vestir	to carry, to wear	grupo	alternativoj	prononco
level	kovri	cubrir	to cover	grupo	alternativoj	prononco
level	hela	brillante, claro y ligero	bright, clear and light	grupo	alternativoj	prononco
level	sana	saludable	healthy	grupo	alternativoj	prononco
level	aperi	aparecer, surgir	to appear, to emerge	grupo	alternativoj	prononco
level	libro	un libro	a book	grupo	alternativoj	prononco
level	atendi	esperar, esperar, esperar	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	una mano	a hand	grupo	alternativoj	prononco
level	pentri	pintar	to paint	grupo	alternativoj	prononco
level	instrui	enseñar, instruir	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sentarse	to sit	grupo	alternativoj	prononco
level	stari	estar de pie	to stand	grupo	alternativoj	prononco
level	afero	una cosa, un objeto, un caso, una preocupación, un asunto	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	lleno, completo	full, complete	grupo	alternativoj	prononco
level	klara	claro	clear	grupo	alternativoj	prononco
level	komenci	comenzar, comenzar	to begin, to commence	grupo	alternativoj	prononco
level	dormi	dormir, estar dormido	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	una parte, una parte	a part, a share	grupo	alternativoj	prononco
level	mono	dinero	money	grupo	alternativoj	prononco
level	ricevi	para recibir	to receive	grupo	alternativoj	prononco
level	ami	amar	to love	grupo	alternativoj	prononco
level	devi	tener que, debe, debería, debería	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	poder, poder	be able to, can	grupo	alternativoj	prononco
level	labori	trabajar, trabajar	to work, to labor	grupo	alternativoj	prononco
level	dio	un Dios	a god	grupo	alternativoj	prononco
level	urbo	una ciudad, un pueblo	a city, a town	grupo	alternativoj	prononco
level	ofta	frecuente, a menudo	freqent, often	grupo	alternativoj	prononco
level	soni	sonar, hacer sonido	to sound, to make sound	grupo	alternativoj	prononco
level	tero	tierra, tierra, suelo	earth, land, soil	grupo	alternativoj	prononco
level	vivi	vivir, estar vivo	to live, to be alive	grupo	alternativoj	prononco
level	resti	quedarse, permanecer	to stay, to remain	grupo	alternativoj	prononco
level	ridi	reír	to laugh	grupo	alternativoj	prononco
level	homo	un humano, un hombre	a human, a man	grupo	alternativoj	prononco
level	akvo	agua	water	grupo	alternativoj	prononco
level	vorto	una palabra	a word	grupo	alternativoj	prononco
level	certa	cierto, seguro	certain, sure	grupo	alternativoj	prononco
level	lando	una tierra, un país	a land, a country	grupo	alternativoj	prononco
level	sama	mismo	same	grupo	alternativoj	prononco
level	ĵeti	tirar	to throw	grupo	alternativoj	prononco
level	stelo	una estrella	a star	grupo	alternativoj	prononco
level	domo	una casa, un hogar	a house, a home	grupo	alternativoj	prononco
level	nomo	un nombre, una denominación	a name, an appellation	grupo	alternativoj	prononco
level	vidi	para ver	to see	grupo	alternativoj	prononco
level	mola	suave	soft	grupo	alternativoj	prononco
level	horo	una hora, en punto, tiempo	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	una forma, una forma	a form, a shape	grupo	alternativoj	prononco
level	tago	un día	a day	grupo	alternativoj	prononco
level	fumo	un humo	a smoke	grupo	alternativoj	prononco
level	ĉevalo	un caballo	a horse	grupo	alternativoj	prononco
level	jaro	un año	a year	grupo	alternativoj	prononco
level	vojaĝi	viajar	to travel	grupo	alternativoj	prononco
level	celo	una meta, una meta, un propósito, un objetivo	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	parir, parir, engendrar	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	extrañar, faltar, faltar	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	un pájaro	a bird	grupo	alternativoj	prononco
level	halti	detenerse, detenerse, detenerse	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	un hermano	a brother	grupo	alternativoj	prononco
level	monto	una montaña	a mountain	grupo	alternativoj	prononco
level	pensi	pensar	to think	grupo	alternativoj	prononco
level	permesi	permitir, permitir	to permit, to allow	grupo	alternativoj	prononco
level	kosti	Costar	to cost	grupo	alternativoj	prononco
level	lito	una cama, un sofá	a bed, a couch	grupo	alternativoj	prononco
level	perdi	perder	to lose	grupo	alternativoj	prononco
level	miri	sorprender, asombrarse, asombrarse	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	una persona	a person	grupo	alternativoj	prononco
level	diversa	diverso, variado, variado	diverse, varied, various	grupo	alternativoj	prononco
level	provi	intentar, intentar	to try, to attempt	grupo	alternativoj	prononco
level	pagi	pagar	to pay	grupo	alternativoj	prononco
level	prezenti	presentar, presentar	to present, to introduce	grupo	alternativoj	prononco
level	aparta	aparte, particular, separado	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	cierto, un derecho	right, a right	grupo	alternativoj	prononco
level	mateno	mañana, una mañana	morning, a morning	grupo	alternativoj	prononco
level	agrabla	agradable, simpático, simpático	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	tarde, una tarde	evening, an evening	grupo	alternativoj	prononco
level	muro	una pared	a wall	grupo	alternativoj	prononco
level	suno	sol, un sol	sun, a sun	grupo	alternativoj	prononco
level	rigardi	mirar, mirar	to look, to look at	grupo	alternativoj	prononco
level	senti	sentir, sentir	to feel, to sense	grupo	alternativoj	prononco
level	blanka	blanco, en blanco	white, blank	grupo	alternativoj	prononco
level	simpla	simple	simple	grupo	alternativoj	prononco
level	rimarki	notar	to notice	grupo	alternativoj	prononco
level	lingvo	un idioma, lengua	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	cambiar, girar	to change, to turn	grupo	alternativoj	prononco
level	renkonti	encontrarse, toparse, toparse	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	usar	to use	grupo	alternativoj	prononco
level	timi	temer, tener miedo de	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	verdad real	real, true	grupo	alternativoj	prononco
level	sola	solo, único, único, solitario	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	paz, una paz	peace, a peace	grupo	alternativoj	prononco
level	rakonti	narrar, contar, relatar	to narrate, to tell, to relate	grupo	alternativoj	prononco
