A.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	tablo kaj tabloj	bir masa ve masalar	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	bir kitap ve kitaplar	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	gazeteler ve kitaplar	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	bir masanın üstünde.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	yazı masasına yazıyor	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	kitaplar ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	masanın üstünde	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	bir ders kitabı ve ders kitapları	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	masanın üzerinde ~ var	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	bir baba ve bir anne	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	baba ve anne	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	arkadaşımın annesi	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	odada	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	odada değil	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	şimdi çalışıyorlar	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	babası bir işçi	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	bir otelde çalışıyor	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	anne öğretir	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	o bir öğretmen	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	o bir anne mi?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	hayır, o bir otelci	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	hayır çalışmıyorum	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	onun adı ne?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	şimdi kim cevap veriyor?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	annelerinin dili	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	adın ~ mı?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	oturuyoruz ve cevaplıyoruz	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	onun çalışma koltuğu	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	adı ~ değil	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	onun dili onların dili	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	babamız ve annemiz	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	öğrenciniz, öğrencileriniz	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	onlar sizin öğrencileriniz mi?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	Siz öğrenci misiniz?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	odada mısın?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	ben değilim ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	bir Esperantist ve bir kadın Esperantist	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	otel odasına giriş yapıldı	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	bir dilbilimci ve bir kadın işçi	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	onun kız arkadaşı ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	öğrenciler ve sporcular	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	aile adım ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	o kim? hangisi o?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	kız arkadaşın mı	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	arkadaşın mı ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	şimdi odada yazıyor	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	babanın arkadaşı mı ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	bir otelde çalışıyor	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	masada ne var?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	odamızdaki masanın üzerinde	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	Esperanto ders kitabı ~ mı?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	masanda	is on your table	grupo	alternativoj	prononco
level	havas amikinon	bir arkadaşı var	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	onun adı ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	genç ve güzel	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	genç ve güzel	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	genç ve güzel arkadaşlar	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	erkek ve kadın arkadaşlar	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	öğretmeninin evi	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	eve geldi	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~'in evi	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	lütfen içeri gel	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Merhaba ne yapıyorsun?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	Ne yapıyorsun? Ne yapıyorsun?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	ama şimdi istiyorum ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	konuşmak istiyorum	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	üç erkek ve kadın arkadaşıyla	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	seninle konuştum	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	seninle konuşmak istiyor	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	erkek ve bayan arkadaşların var mı	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	Onun bir kitabı var	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	iyi bir kitabı var	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Evet bende var	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	Onlar onu beğenir	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	o bir kitap okudu	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	kitap okumayı sever	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	sadece iyi bir kitap	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	birçok iyi kitap	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	sadece iyi kitapları oku	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	iyi kitaplar okumayı sever	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	okumak ister misin?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	genç kahve içti	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	su içmek istiyor	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	bir baba ve bir anne; ebeveynler	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	bir dert ve bir kız kardeş, kardeşler	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	ebeveynleriniz ve kardeşleriniz	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	senin evinde	is in your home	grupo	alternativoj	prononco
level	jen la kafo	işte kahve	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	henüz içmedim	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	hala sıcak	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	dün pişirdim	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	şimdi pişirdim	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Teşekkürler. öyle dedi.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	içebilir ve yiyebilir	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	soğuk kahve içtim	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	hala sıcak kahve	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	soğuk kahve de içer	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	soğuk kahve de içebilir	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	onun gözüne bakar	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	en güzel göz	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	güzel gözler	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	güzel gözlere baktım	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	onun güzel gözleri	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	görüyor ve anlıyor	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Bunu görüyorum ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	onu sevdiğini	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	onu sevdiğini hissediyor	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	bunun büyük olup olmadığını sorar	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	kolay bir soru hakkında	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	yeni paradan bahsetti	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	çok güzel gözler	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	büyük kardeşe baktım	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	küçük kız kardeşim bunu unuttu	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	suçlayıcı (nesnel)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	suçlayıcı sonunu unutma	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	kimi görüyorsun? hangisini görüyorsun?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	bir arkadaşımı görüyorum	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	iyi erkek ve kadın arkadaşları var	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	eski ev üzerinde çalışıyorlar	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	çalışıyor, çalıştı, çalışacak	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	yediğimi görüyor	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	gideceğini söyledi	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	çirkin ve kötü	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ne dedi?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	ne için bekliyorsun?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	odaya gitti	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	bir içerik çok zor	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	toplantıya vardık	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	toplantıya hoş geldiniz	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	yaşlı bir adam bir ipucu verdi	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	geldi ve karşılandı	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	nefret ediyorlar ama işbirliği yapıyorlar	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	otele gittim	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	kolay ders kitapları var	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	annen nasıldı?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	eski evin	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	hangi kitapları okudun?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	iyi miydiler?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	dün ne yaptın?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	küçük odada	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	çok uzun süre konuştu	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	okulun önünde, okulun önünde	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	okulun önünde konuştu	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	Daha sonra kitap hakkında konuştum	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	okula memnuniyetle gittim	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	cadde boyunca	through the street	grupo	alternativoj	prononco
level	iris tra la strato	caddeden geçti	went through the street	grupo	alternativoj	prononco
level	estis varma tago	sıcak bir gündü	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	bir kafe gördüler'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	kırmızı kurabiye gördüm	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	içinde kurabiye gördüm	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	bir kafe gördüm ve içinde kurabiyeler var	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	içeri gir ve ye!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	içeri girip yemek yiyelim	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	yeterli parası var	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	yeterli paran var mı?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	anlıyor musunuz?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	Elbette!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	bu yeterli değil	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	yüz dolar yeter	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	bir dolar, dolar, dolar (çoğul amaç)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	yüz doları var	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	elbette var	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ah! zenginsin!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	bir su, bir garson	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	garson menüyü getiriyor	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	bunu bize getirdi, şunu getirdi	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	bir garson bir sürü kurabiye getirdi	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	biraz yediler (biraz)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	yemekten sonra (yemek)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	tekrar yeni	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	garson tekrar geldi	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	bir yerde	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	bir yerde aramıştı	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	başka yerde arandı	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	yüzü neşeliydi	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	O üzgündü	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	sonunda ve sonunda	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	senin güçlü sesin	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	zayıf sesle	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	parası yok	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	orada ne oldu?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	sonradan bir kaza oldu	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ne zaman oldu biliyor musun?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	konuyu biliyor	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	hala bir şey kaldı	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	sen ya da o, herhangi bir kişi	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	bir şarkıcı gibi, bir imzacı olarak	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	profesyonel bir şarkıcı gibi şarkı söyledi	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a yaşadığı yer	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	arabayı nereden biliyorsun?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	peki, hızlı arabaya bak	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	şekersiz meyve suyu	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	hızlı bir aracı var	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	çok güçlü	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	çok sert açıldı	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	çok hızlı sürdü (seyahat etti)	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	kaşıkla yedim	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	kesinlikle şüphemiz var	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	ondan gelen gerçek bir mektup	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	beş fotoğraflı bir aşk mektubu	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	geri döndüler, geri dönen insanlar	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	ayrıca altı harf geri döndü	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	fotoğrafı görmek istedim	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	okuldan döndü	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kız kardeşi ne zaman dönecek?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	tekrar okumak istedim	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	yapıldı (yapıldı), oldu	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	hızla kırmızılaştı	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	bir odaya, bir odaya	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	durdum ve oturdum	stood and sat	grupo	alternativoj	prononco
