B.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	sur ĝi estas ankaŭ adreso	En él también hay una dirección.	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	hay una dirección a un sitio web	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	una dirección a un sitio con curso de esperanto	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	gracias	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Te enviaré un email	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	¡bueno!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	¡Nos vemos de nuevo y buenas noches!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	¡nos vemos!	see you!	grupo	alternativoj	prononco
level	aperas en ~	aparece en ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	un mensajero instantáneo	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ aparece en el mensajero instantáneo	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	¿eres esa persona?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	Esa persona que había bailado conmigo.	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Sábado noche	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	¿Eres esa persona que bailó conmigo el sábado por la noche?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	si soy yo	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Me alegra que ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Me alegra que hayas visitado el sitio.	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	¿Te agrada? (¿Te gusta?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	si, jaja	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	es muy bonito	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	parece interesante	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	es muy hermoso y parece interesante	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	todavía no ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	no está completamente listo	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	aún no está totalmente listo	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	pero pronto será	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Entiendo (ya veo)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	pero ya hay muchas herramientas de ayuda	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	un diccionario	a dictionary	grupo	alternativoj	prononco
level	superrigardo	una visión general	an overview	grupo	alternativoj	prononco
level	ekzerco	un ejercicio	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	Palabras de ejemplo, descripción general, mensajero y ejercicios.	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	una visión general de la gramática	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	un mensajero instantáneo y varios ejercicios	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	es un buen comienzo	it is a good start	grupo	alternativoj	prononco
level	pardonon	perdóname lo siento	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Debo hablar con ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	hablar con otra persona	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Lo siento, debería hablar con otra persona.	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	un ayudante de idiomas	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Soy su ayudante de idiomas.	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	y ahora quiere hablar de ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	hablar de un ejercicio	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	pronto volverá	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	volveré contigo pronto	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	después de varios minutos	after several minutes	grupo	alternativoj	prononco
level	finparolis	terminé de hablar	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	Ahora terminamos de hablar del ejercicio.	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	mientras tanto, por un tiempo	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Mientras tanto leí sobre esperanto.	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	No estoy seguro	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	sabe lo suficiente sobre ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Todavía no sé lo suficiente sobre el idioma.	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	una respuesta inteligente	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	buscaré en el sitio	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	e intentaré aprender un poco	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	¿Quieres ser mi ayudante de idiomas?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	¡de buena gana!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	¡de nada!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	No vale un agradecimiento, pero sí un beso.	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	dice eso en esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	¿qué? No entiendo	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	puedes buscar en un diccionario	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	desafortunadamente	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Debo desconectarme de Internet ahora	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	volveré por la tarde	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Creo que estaré en el sitio a esa hora.	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	¡perfecto!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	Bueno, ¡nos vemos entonces!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	¡hasta luego!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	por la noche, también en mensajería instantánea	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	¡Hola de nuevo! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	¡Hola de nuevo!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Miré casi todas las páginas del sitio.	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	¡Bastante bien! ¡impresionante!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	tengo varias preguntas	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	¿Tienes tiempo?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	Sí, estoy libre por la noche.	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	Entonces, escribe tus preguntas.	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	intentaré responder	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Leí que el esperanto tiene una cultura.	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	sin embargo no entiendo ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	donde puedo encontrar tal cultura	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	lo encontrarás en todas partes, donde ~ está	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	cualquier lugar donde haya gente que hable esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	pero nadie usa esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	¡bien!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	pero la gente que habla esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	A menudo viaja y conoce a otros esperantistas.	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	durante esas reuniones	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	Usan el idioma en la mayoría de situaciones diversas.	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	así que ahí encontrarás ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	encontrarás la cultura	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	encontrará la cultura del esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	Vale, ¿existe la música?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	música, literatura, teatro	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc.	etc	grupo	alternativoj	prononco
level	same kiel ~	igual que ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	Igual que hay para otros idiomas.	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	la cantidad no es tan grande	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	tan grande como en los idiomas nacionales	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	pero eso no es importante	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	al menos no para mi	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	si quieres escuchar ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	escuchar una canción en esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	Aquí está la canción &quot;Lisa pinta cuadros&quot;.	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	escucha la cancion	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nada mal	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	y encontrarás muchos libros en esperanto.	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	mira los libros	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	suficientes	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	¿Lees mucho en esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	sí, a veces (de vez en cuando)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	si alguna vez aprendes el idioma	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Te recomendaré algunos buenos libros.	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	se trata de ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	mi otra pregunta es sobre mi nombre	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	dijiste antes que ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	tiene una relación con ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	dijo que tiene una relación con el esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	oh si, sobre eso	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	un hombre con el nombre ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	Una vez vivió un hombre con el nombre ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	Fue muy activo en el movimiento esperantista.	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	cuando era completamente nuevo	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	tradujo el libro a ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	y tradujo muchos libros al esperanto.	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	¿Y eso lo hizo famoso?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	uno de los más importantes para el esperanto en ese momento	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	y tuvo mucha influencia en el estilo del lenguaje.	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	no, ciertamente era importante y tenía influencia	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	sin embargo, de repente abandonó el movimiento.	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Me lo imagino ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Me imagino que fue un gran shock para muchos.	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	¿Por qué dejó el esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Yo creo que ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	estaba descontento con los esperantistas	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	dijo algo similar a ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	¡Los propios esperantistas deben aprender esperanto!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	¿Qué quiso decir con ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	¿Qué quiso decir con eso?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	es probable que ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	la gente hablaba mal esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	es probable que la gente hablara mal	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	en el año 1911 dejó el esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	pero creo que ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	es más alto	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	hoy el nivel del idioma es más alto	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	el nivel lingüístico de los esperantistas	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	pero creo que hoy el nivel es mayor	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	entonces tengo que aprender bien el idioma	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	por ser una buena persona	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	y deberías usar un estilo simple	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	porque eso era muy importante para el	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	eso me agrada (me gusta eso)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	En esperanto incluso hay una palabra ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	incluso existe la palabra &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	abandonar el movimiento	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	una palabra &quot;kabei&quot;, que significa abandonar el movimiento	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	¡Es interesante!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	ahora sé una palabra en esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nunca olvidaré	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	y probablemente nunca lo olvidaré	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	en un café' después de varias semanas	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	logró aprender esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	y están usando el idioma	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	invitar, una invitación	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	Mira, ¡una invitación para IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	¿qué? ¿Ee-yo-qué?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	un joven, un grupo de jóvenes	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK es un Congreso Internacional de Jóvenes	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Estoy planeando hacerlo	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	¿Quieres ir tú también?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	Bueno, &quot;congreso&quot; no suena muy interesante.	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	pero es (interesante)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	no pienses en algo aburrido congreso lento	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	se trata solo de ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	solo se trata de conocer gente joven	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	un encuentro con jóvenes de muchos países	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Estarán entre 300 y 400 personas.	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	probablemente habrá entre 300 y 400 personas allí	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	casi todos	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	y casi todo el mundo hablará esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	no habla bien	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, pero no hablo bien el esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	no importa	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	es posible participar en ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	participar en cursos de esperanto allí	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	generalmente	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	normalmente hay dos niveles	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	personas que ya habían aprendido el idioma	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	uno para principiantes	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	y el otro para los que ya aprendieron el idioma	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jejeje que?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	dijiste &quot;normalmente&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Oh, IJK ocurre todos los años.	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	cada vez en otro país	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	por esta razón cada IJK es diferente	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	pero también hay programas	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programas que regresan con frecuencia	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	pero también hay programas que regresan con frecuencia	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	Por ejemplo	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	por ejemplo, casi siempre es posible practicar deportes y cartas.	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	hablar con amigos toda la noche	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	cantar alrededor del fuego y bailar	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	participar en conciertos, etc.	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	Bueno, también puedo hacerlo en casa.	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	cierto, pero	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	pero lo importante durante IJK es ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	viene de muchos países diferentes	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	es que los participantes vienen de diferentes países	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	por esa mezcla de diferentes personas	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	es un buen ambiente que me gusta mucho	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
