C.en-us content.tsv
Level	Esperanto	en-us	fr	Grupo	Alternativoj	Pronoco
level	-in-	<suffix> female	<suffix>femelle	grupo	alternativoj	prononco
level	-ant-	<suffix> active present, is ~ing, someone who is ~ing	<suffix>présent actif, est ~ing, quelqu'un qui ~ing	grupo	alternativoj	prononco
level	-int-	<suffix> active past, was ~ing	<suffix>passé actif, était ~ing	grupo	alternativoj	prononco
level	-ont-	<suffix> active future, will be ~ing	<suffix>un avenir actif, sera ~ing	grupo	alternativoj	prononco
level	kaj (k.)	and	et	grupo	alternativoj	prononco
level	aŭ	or	ou	grupo	alternativoj	prononco
level	alta	high, tall	grande taille	grupo	alternativoj	prononco
level	jes	yes	Oui	grupo	alternativoj	prononco
level	ne	not, no	non, non	grupo	alternativoj	prononco
level	tiom	that much, such amount, that amount	tant, tel montant, tel montant	grupo	alternativoj	prononco
level	bona	good	bien	grupo	alternativoj	prononco
level	kiom	how much, how many	combien	grupo	alternativoj	prononco
level	ofte	often, frequently	souvent fréquemment	grupo	alternativoj	prononco
level	iom	a little, rather, some, somewhat	un peu, plutôt, un peu, un peu	grupo	alternativoj	prononco
level	nova	new, novel	nouveau, roman	grupo	alternativoj	prononco
level	-at-	<suffix> passive present participle	<suffix>Participe présent passif	grupo	alternativoj	prononco
level	-it-	<suffix> passive past participle	<suffix>participe passé passif	grupo	alternativoj	prononco
level	-ot-	<suffix> passive future participle	<suffix>participe futur passif	grupo	alternativoj	prononco
level	tre	very, quite, very much	très, assez, beaucoup	grupo	alternativoj	prononco
level	tro	too, excessively, too much	trop, excessivement, trop	grupo	alternativoj	prononco
level	tamen	however, nonetheless, but, nevertheless	cependant, néanmoins, mais, néanmoins	grupo	alternativoj	prononco
level	ho!	Oh! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	that ~	ça ~	grupo	alternativoj	prononco
level	ĉar ~	because ~	parce que ~	grupo	alternativoj	prononco
level	ĉu	whether ~	si ~	grupo	alternativoj	prononco
level	-ej-	<suffix> place	<suffix>lieu	grupo	alternativoj	prononco
level	-ec-	<suffix> abstract name of quality	<suffix>nom abstrait de la qualité	grupo	alternativoj	prononco
level	ambaŭ ~	both ~	les deux ~	grupo	alternativoj	prononco
level	tuj	immediately, instantly, right away	immédiatement, instantanément, tout de suite	grupo	alternativoj	prononco
level	kvazaŭ ~	as if ~	comme si ~	grupo	alternativoj	prononco
level	kiam	when	quand	grupo	alternativoj	prononco
level	silenti	to be silent, to be quiet	se taire, se taire	grupo	alternativoj	prononco
level	neniam	never, at no time, not ever	jamais, à aucun moment, jamais	grupo	alternativoj	prononco
level	tial	therefore, so	donc, donc	grupo	alternativoj	prononco
level	kial	why, what for	pourquoi, pour quoi faire	grupo	alternativoj	prononco
level	kvankam	although ~, while, though	bien que ~, pendant que, cependant	grupo	alternativoj	prononco
level	ĉe ~	<preposition> at ~	<prep>à ~	grupo	alternativoj	prononco
level	pli	more	plus	grupo	alternativoj	prononco
level	plej	most	la plupart	grupo	alternativoj	prononco
level	diri	to say, to tell	dire, dire	grupo	alternativoj	prononco
level	ol ~	than ~	que ~	grupo	alternativoj	prononco
level	paroli	to speak, to talk	parler, parler	grupo	alternativoj	prononco
level	kia	what kind of, what sort of	quel genre de, quel genre de	grupo	alternativoj	prononco
level	tia	such, that kind of, such a	tel, ce genre de, tel	grupo	alternativoj	prononco
level	apenaŭ	barely, hardly, scarecely	à peine, à peine, à peine	grupo	alternativoj	prononco
level	sendi	to send	envoyer	grupo	alternativoj	prononco
level	ĵus	just (a moment ago), just now	juste (il y a un instant), juste maintenant	grupo	alternativoj	prononco
level	-u	<suffix> imperative	<suffix>impératif	grupo	alternativoj	prononco
level	ekster ~	outside ~	dehors ~	grupo	alternativoj	prononco
level	ge-	<prefix> both sex, both gender	<prefix>les deux sexes, les deux genres	grupo	alternativoj	prononco
level	-us	<suffix> would, should, subjunctive	<suffix>serait, devrait, subjonctif	grupo	alternativoj	prononco
level	baldaŭ	soon	bientôt	grupo	alternativoj	prononco
level	almenaŭ	at least, if nothing else	du moins, si rien d'autre	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	<suffix> container; country	<suffix>récipient; pays	grupo	alternativoj	prononco
level	lerni	to learn	apprendre	grupo	alternativoj	prononco
level	ek-	<prefix> beginning; sudden start	<prefix>début; début soudain	grupo	alternativoj	prononco
level	se	if, provided that	si, à condition que	grupo	alternativoj	prononco
level	eĉ	even	même	grupo	alternativoj	prononco
level	amo	a love	un amour	grupo	alternativoj	prononco
level	jam	already, so soon, as of now	déjà, si tôt, dès maintenant	grupo	alternativoj	prononco
level	jen	Here! Lo! Behold	Ici! Lo! Voir	grupo	alternativoj	prononco
level	fini	to end, to finish, to terminate	finir, finir, terminer	grupo	alternativoj	prononco
level	do	so, then, therefore	alors, donc, donc	grupo	alternativoj	prononco
level	ajn	~ever, (what)ever, at all, -soever	~ jamais, (quoi) jamais, du tout, - peu importe	grupo	alternativoj	prononco
level	facila	easy, facile	facile, facile	grupo	alternativoj	prononco
level	re-	<prefix> re-	<prefix>concernant-	grupo	alternativoj	prononco
level	granda	big, great, large	grand, grand, grand	grupo	alternativoj	prononco
level	-ist-	<suffix> professional	<suffix>professionnel	grupo	alternativoj	prononco
level	pro ~	<preposition> because of ~, due to ~	<prep>à cause de ~, à cause de ~	grupo	alternativoj	prononco
level	-estr-	<suffix> leader, boss, head, chief	<suffix>chef, patron, chef, chef	grupo	alternativoj	prononco
level	kio	what	quoi	grupo	alternativoj	prononco
level	manĝi	to eat	manger	grupo	alternativoj	prononco
level	nenio	nothing, none, not any thing	rien, rien, rien	grupo	alternativoj	prononco
level	juna	young	jeune	grupo	alternativoj	prononco
level	ĉio	everything	tout	grupo	alternativoj	prononco
level	riĉa	rich, wealthy, well-off	riche, riche, aisé	grupo	alternativoj	prononco
level	tio	that thing, that	cette chose, ça	grupo	alternativoj	prononco
level	konstrui	to build, to construct	construire, construire	grupo	alternativoj	prononco
level	ĉef-	<prefix> chief, leading, main	<prefix>chef, leader, principal	grupo	alternativoj	prononco
level	sen ~	<preposition> without ~	<prep>sans ~	grupo	alternativoj	prononco
level	kun ~	<preposition> with ~ (together)	<prep>avec ~ (ensemble)	grupo	alternativoj	prononco
level	krom ~	<preposition> except ~, besides ~	<prep>sauf ~, en plus ~	grupo	alternativoj	prononco
level	amiko	a friend	un ami	grupo	alternativoj	prononco
level	kies	whose, which one's, of which	à qui, lequel, dont	grupo	alternativoj	prononco
level	per ~	<preposition> by ~ (a method), with ~ (a tool)	<prep>par ~ (une méthode), avec ~ (un outil)	grupo	alternativoj	prononco
level	kontraŭ ~	against ~	contre ~	grupo	alternativoj	prononco
level	el ~	out of ~, from ~	hors de ~, de ~	grupo	alternativoj	prononco
level	hodiaŭ	today	aujourd'hui	grupo	alternativoj	prononco
level	hieraŭ	yesterday	hier	grupo	alternativoj	prononco
level	nur	only, just, exclusively	seulement, juste, exclusivement	grupo	alternativoj	prononco
level	helpi	to help, to aid, to assist	aider, aider, assister	grupo	alternativoj	prononco
level	for	<adverb> far, away	<adv>loin	grupo	alternativoj	prononco
level	nek	nor, neither	ni, ni l'un ni l'autre	grupo	alternativoj	prononco
level	malamo	a hate	une haine	grupo	alternativoj	prononco
level	preskaŭ	almost, nearly	presque, presque	grupo	alternativoj	prononco
level	tra ~	through ~	à travers ~	grupo	alternativoj	prononco
level	super	over, above	au-dessus, au-dessus	grupo	alternativoj	prononco
level	trans ~	over ~, accross ~	sur ~, à travers ~	grupo	alternativoj	prononco
level	nu	well, well then, now	eh bien, alors, maintenant	grupo	alternativoj	prononco
level	pri ~	about ~	à propos de ~	grupo	alternativoj	prononco
level	por ~	for ~, in order for ~	pour ~, pour ~	grupo	alternativoj	prononco
level	morgaŭ	tomorrow	demain	grupo	alternativoj	prononco
level	nun	now, at present	maintenant, à l'heure actuelle	grupo	alternativoj	prononco
level	laŭ ~	according to ~, along ~	selon ~, le long de ~	grupo	alternativoj	prononco
level	ĉiu	each, every, everybody, all the	chacun, chacun, tout le monde, tout	grupo	alternativoj	prononco
level	kiu	who, which, which one	qui, lequel, lequel	grupo	alternativoj	prononco
level	tiu	that person, that ~, that one, yonder	cette personne, celle-là, celle-là, là-bas	grupo	alternativoj	prononco
level	iu	someone, somebody, some	quelqu'un, quelqu'un, certains	grupo	alternativoj	prononco
level	neniu	nobody, no one, neither	personne, personne, ni l'un ni l'autre	grupo	alternativoj	prononco
level	al ~	to ~	à ~	grupo	alternativoj	prononco
level	-ebl-	<suffix> ~able	<suffix>~capable	grupo	alternativoj	prononco
level	esperi	to hope	espérer	grupo	alternativoj	prononco
level	unu	one	un	grupo	alternativoj	prononco
level	du	two	deux	grupo	alternativoj	prononco
level	tri	three	trois	grupo	alternativoj	prononco
level	kvar	four	quatre	grupo	alternativoj	prononco
level	kvin	five	cinq	grupo	alternativoj	prononco
level	ses	six	six	grupo	alternativoj	prononco
level	sep	seven	Sept	grupo	alternativoj	prononco
level	ok	eight	huit	grupo	alternativoj	prononco
level	naŭ	nine	neuf	grupo	alternativoj	prononco
level	dek	ten	dix	grupo	alternativoj	prononco
level	cent	a hundred	cent	grupo	alternativoj	prononco
level	mil	a thousand	un millier	grupo	alternativoj	prononco
level	-obl-	<suffix> for multiplicity, -oble, -fold	<suffix>pour la multiplicité, -oble, -fold	grupo	alternativoj	prononco
level	-on-	<suffix> ~th, fraction	<suffix>~ème, fraction	grupo	alternativoj	prononco
level	ama	of love	d'amour	grupo	alternativoj	prononco
level	anstataŭ ~	instead of ~	au lieu de ~	grupo	alternativoj	prononco
level	-iĝ-	<suffix> become	<suffix>devenir	grupo	alternativoj	prononco
level	voli	to want, to will, to be willing to	vouloir, vouloir, être prêt à	grupo	alternativoj	prononco
level	-ig-	<suffix> cause to become	<suffix>faire devenir	grupo	alternativoj	prononco
level	sekvi	to follow	suivre	grupo	alternativoj	prononco
level	ĝoje	gladly	volontier	grupo	alternativoj	prononco
level	legi	to read	lire	grupo	alternativoj	prononco
level	silenta	silent	silencieux	grupo	alternativoj	prononco
level	la	the	le	grupo	alternativoj	prononco
level	ha!	ha!	Ha!	grupo	alternativoj	prononco
level	-il-	<suffix> tool, method	<suffix>outil, méthode	grupo	alternativoj	prononco
level	trinki	to drink (non-alkohol)	boire (sans alcool)	grupo	alternativoj	prononco
level	-et-	<suffix> small, little	<suffix>petit peu	grupo	alternativoj	prononco
level	-eg-	<suffix> big, large	<suffix>grand, grand	grupo	alternativoj	prononco
level	inter ~	<preposition> between ~	<prep>entre ~	grupo	alternativoj	prononco
level	-um-	<suffix> related behavior	<suffix>comportement associé	grupo	alternativoj	prononco
level	-ar-	<suffix> set, group	<suffix>ensemble, groupe	grupo	alternativoj	prononco
level	-an-	<suffix> member of a group	<suffix>membre d'un groupe	grupo	alternativoj	prononco
level	danki	to thank	remercier	grupo	alternativoj	prononco
level	-ind-	<suffix> worthwhile, worthy	<suffix>utile, digne	grupo	alternativoj	prononco
level	plu	even more, further, and so on, more	encore plus, plus loin, et ainsi de suite, plus	grupo	alternativoj	prononco
level	kiel	how, like, in what way, such as	comment, genre, de quelle manière, comme	grupo	alternativoj	prononco
level	tiel	such, in that way, thus	tel, de cette façon, ainsi	grupo	alternativoj	prononco
level	en ~	<preposition> in ~	<prep>dans ~	grupo	alternativoj	prononco
level	apud ~	<preposition> next to ~, beside ~	<prep>à côté de ~, à côté de ~	grupo	alternativoj	prononco
level	sub ~	<preposition> under, beneath ~	<prep>dessous, dessous ~	grupo	alternativoj	prononco
level	sur ~	<preposition> on ~	<prep>sur ~	grupo	alternativoj	prononco
level	je ~	<preposition> indefinate prep., at, in, by, on	<prep>préparation indéfinie, à, dans, par, sur	grupo	alternativoj	prononco
level	ankoraŭ	<adverb> still, yet	<adv>encore, encore	grupo	alternativoj	prononco
level	ĉirkaŭ ~	<preposition> around ~	<prep>autour de ~	grupo	alternativoj	prononco
level	sed	but	mais	grupo	alternativoj	prononco
level	ie	somewhere	quelque part	grupo	alternativoj	prononco
level	kie	where, at what place	où, à quel endroit	grupo	alternativoj	prononco
level	silente	silently	silencieusement	grupo	alternativoj	prononco
level	ĉie	everywhere, all about	partout, partout	grupo	alternativoj	prononco
level	nenie	nowhere, in no case, not anywhere	nulle part, en aucun cas, nulle part	grupo	alternativoj	prononco
level	tie	there, over there, yonder	là, là-bas, là-bas	grupo	alternativoj	prononco
level	ĉi	this ~	ça ~	grupo	alternativoj	prononco
level	kanti	to sing	chanter	grupo	alternativoj	prononco
level	morti	to die, to pass away	mourir, décéder	grupo	alternativoj	prononco
level	dum ~	<preposition> during ~, while ~	<prep>pendant ~, pendant que ~	grupo	alternativoj	prononco
level	nacio	a nation	une nation	grupo	alternativoj	prononco
level	koni	to know (a person), to be aquainted with	connaître (une personne), faire la connaissance de	grupo	alternativoj	prononco
level	scii	to know (a fact, knowledge), to know how	savoir (un fait, une connaissance), savoir comment	grupo	alternativoj	prononco
level	ĉiam	always, ever	toujours, toujours	grupo	alternativoj	prononco
level	iam	at some time, once	à un moment donné, une fois	grupo	alternativoj	prononco
level	tiam	then	alors	grupo	alternativoj	prononco
level	-em-	<suffix> tendancy	<suffix>tendance	grupo	alternativoj	prononco
level	ia	some kind of	une sorte de	grupo	alternativoj	prononco
level	sukcesi	to succeed	réussir	grupo	alternativoj	prononco
level	ĉia	of all kind, every kind of	de toutes sortes, de toutes sortes	grupo	alternativoj	prononco
level	nenia	no, not any kind of, not any	non, pas n'importe quel genre, pas n'importe lequel	grupo	alternativoj	prononco
level	-id-	<suffix> offspring	<suffix>progéniture	grupo	alternativoj	prononco
level	ĉambro	a room, a chamber	une chambre, une chambre	grupo	alternativoj	prononco
level	patro	a father	un père	grupo	alternativoj	prononco
level	porko	a pig, swine	un cochon, un porc	grupo	alternativoj	prononco
level	bo-	<prefix> -in-law, by marriage	<prefix>-beau-frère, par alliance	grupo	alternativoj	prononco
level	ja	indeed	en effet	grupo	alternativoj	prononco
level	-ism-	<suffix> -ism	<suffix>-isme	grupo	alternativoj	prononco
level	io	something	quelque chose	grupo	alternativoj	prononco
level	veturi	to drive (a vehicle)	conduire (un véhicule)	grupo	alternativoj	prononco
level	koko	a cock, a hen, chicken, fowl	un coq, une poule, un poulet, une volaille	grupo	alternativoj	prononco
level	libera	free	gratuit	grupo	alternativoj	prononco
level	lasta	last	dernier	grupo	alternativoj	prononco
level	ĝoji	to rejoice, to be glad, to enjoy	se réjouir, être heureux, profiter	grupo	alternativoj	prononco
level	preni	to take, to lay hold of	prendre, s'emparer de	grupo	alternativoj	prononco
level	bovo	a cow, an ox, bovine animal	une vache, un bœuf, un bovin	grupo	alternativoj	prononco
level	alia	another, other, else	un autre, un autre, autre	grupo	alternativoj	prononco
level	varma	hot, warm	chaud, tiède	grupo	alternativoj	prononco
level	loĝi	to reside, to live, to dwell, to inhabit	résider, vivre, habiter, habiter	grupo	alternativoj	prononco
level	kredi	to believe	croire	grupo	alternativoj	prononco
level	glacio	an ice	une glace	grupo	alternativoj	prononco
level	loko	a place, a location	un lieu, un emplacement	grupo	alternativoj	prononco
level	ovo	an egg	un œuf	grupo	alternativoj	prononco
level	multa	a lot of, much, many	beaucoup, beaucoup, beaucoup	grupo	alternativoj	prononco
level	havaĵo	a possession	une possession	grupo	alternativoj	prononco
level	ŝafo	a sheep	un mouton	grupo	alternativoj	prononco
level	sono	a sound	un son	grupo	alternativoj	prononco
level	fiŝo	a fish	un poisson	grupo	alternativoj	prononco
level	bela	beautiful, handsome, pretty	beau, beau, jolie	grupo	alternativoj	prononco
level	respondi	to answer, to respond, to reply	répondre, répondre, répondre	grupo	alternativoj	prononco
level	fojo	an occasion, a time	une occasion, un moment	grupo	alternativoj	prononco
level	demandi	to ask	demander	grupo	alternativoj	prononco
level	forta	strong	fort	grupo	alternativoj	prononco
level	preter ~	beyond ~, past ~, straight past	au-delà de ~, passé ~, passé direct	grupo	alternativoj	prononco
level	silento	a silence	un silence	grupo	alternativoj	prononco
level	infano	a child, an infant	un enfant, un nourrisson	grupo	alternativoj	prononco
level	feliĉa	happy, lucky, fortunate	heureux, chanceux, chanceux	grupo	alternativoj	prononco
level	kapti	to catch, to capture, to grapple	attraper, capturer, agripper	grupo	alternativoj	prononco
level	deziri	to desire, to wish	désirer, souhaiter	grupo	alternativoj	prononco
level	longa	long	long	grupo	alternativoj	prononco
level	mondo	a world	un monde	grupo	alternativoj	prononco
level	okazi	to occur, to happen, to come about	se produire, se produire, se produire	grupo	alternativoj	prononco
level	kampo	field, a field	champ, un champ	grupo	alternativoj	prononco
level	filo	a son	un fils	grupo	alternativoj	prononco
level	montri	to show, to indicate, to point out	montrer, indiquer, faire remarquer	grupo	alternativoj	prononco
level	koro	a heart	un cœur	grupo	alternativoj	prononco
level	knabo	a boy	un garçon	grupo	alternativoj	prononco
level	meti	to put, to place, to lay down	mettre, placer, déposer	grupo	alternativoj	prononco
level	edzo	a husband	un mari	grupo	alternativoj	prononco
level	pako	package	emballer	grupo	alternativoj	prononco
level	rapida	fast, quick, speedy	rapide, rapide, rapide	grupo	alternativoj	prononco
level	ŝajni	to seem, to appear to be	paraître, paraître être	grupo	alternativoj	prononco
level	saluto	a greeting, salute, salutation	une salutation, un salut, une salutation	grupo	alternativoj	prononco
level	skribi	to write	pour écrire	grupo	alternativoj	prononco
level	peti	to ask, to ask for, to request, to beg	demander, demander, demander, mendier	grupo	alternativoj	prononco
level	flugi	to fly	voler	grupo	alternativoj	prononco
level	kapo	a head, a cape	une tête, une cape	grupo	alternativoj	prononco
level	krii	to shout, to cry, to scream, to shout	crier, pleurer, crier, crier	grupo	alternativoj	prononco
level	ruĝa	red	rouge	grupo	alternativoj	prononco
level	sinjoro	a mister, a gentleman	un monsieur, un gentleman	grupo	alternativoj	prononco
level	teni	to hold, to hang onto	tenir, s'accrocher	grupo	alternativoj	prononco
level	tempo	time, a time	temps, un temps	grupo	alternativoj	prononco
level	tuta	total, all, whole, complete, overall	total, tout, entier, complet, global	grupo	alternativoj	prononco
level	viro	a man	un homme	grupo	alternativoj	prononco
level	vojo	a way, a path, a route	un chemin, un chemin, un itinéraire	grupo	alternativoj	prononco
level	movi	to move	bouger	grupo	alternativoj	prononco
level	militi	to break a war, to fight, to wage war	briser une guerre, se battre, faire la guerre	grupo	alternativoj	prononco
level	kelka	a few, several	quelques-uns, plusieurs	grupo	alternativoj	prononco
level	dekstra	right, right (side, direction), righthand	droite, droite (côté, direction), droite	grupo	alternativoj	prononco
level	fermi	to close, to shut	fermer, fermer	grupo	alternativoj	prononco
level	okupi	to occupy, to take	occuper, prendre	grupo	alternativoj	prononco
level	levi	to lever, to lift, to raise	faire levier, soulever, élever	grupo	alternativoj	prononco
level	bati	to beat, to hit, to strike, to smak, to lash	battre, frapper, frapper, frapper, fouetter	grupo	alternativoj	prononco
level	bezoni	to need, to want, to require	avoir besoin, vouloir, exiger	grupo	alternativoj	prononco
level	kompreni	to understand, to realise	comprendre, se rendre compte	grupo	alternativoj	prononco
level	iri	to go	aller	grupo	alternativoj	prononco
level	veni	to come	venir	grupo	alternativoj	prononco
level	porti	to carry, to wear	porter, porter	grupo	alternativoj	prononco
level	kovri	to cover	couvrir	grupo	alternativoj	prononco
level	hela	bright, clear and light	clair, clair et lumineux	grupo	alternativoj	prononco
level	sana	healthy	en bonne santé	grupo	alternativoj	prononco
level	aperi	to appear, to emerge	apparaître, émerger	grupo	alternativoj	prononco
level	libro	a book	un livre	grupo	alternativoj	prononco
level	atendi	to wait, to expect, to wait for	attendre, s'attendre, attendre	grupo	alternativoj	prononco
level	mano	a hand	une main	grupo	alternativoj	prononco
level	pentri	to paint	peinturer	grupo	alternativoj	prononco
level	instrui	to teach, to instruct	enseigner, instruire	grupo	alternativoj	prononco
level	sidi	to sit	s'asseoir	grupo	alternativoj	prononco
level	stari	to stand	se tenir debout	grupo	alternativoj	prononco
level	afero	a thing, an object, a case, a concern, a mater	une chose, un objet, un cas, une préoccupation, un sujet	grupo	alternativoj	prononco
level	plena	full, complete	complet, complet	grupo	alternativoj	prononco
level	klara	clear	clair	grupo	alternativoj	prononco
level	komenci	to begin, to commence	commencer, commencer	grupo	alternativoj	prononco
level	dormi	to sleep, to be asleep	dormir, être endormi	grupo	alternativoj	prononco
level	parto	a part, a share	une partie, une part	grupo	alternativoj	prononco
level	mono	money	argent	grupo	alternativoj	prononco
level	ricevi	to receive	recevoir	grupo	alternativoj	prononco
level	ami	to love	aimer	grupo	alternativoj	prononco
level	devi	to have to, must, should, ought to	devoir, devoir, devoir, devoir	grupo	alternativoj	prononco
level	povi	be able to, can	pouvoir, peut	grupo	alternativoj	prononco
level	labori	to work, to labor	travailler, travailler	grupo	alternativoj	prononco
level	dio	a god	un dieu	grupo	alternativoj	prononco
level	urbo	a city, a town	une ville, une ville	grupo	alternativoj	prononco
level	ofta	freqent, often	fréquent, souvent	grupo	alternativoj	prononco
level	soni	to sound, to make sound	sonner, faire du son	grupo	alternativoj	prononco
level	tero	earth, land, soil	terre, terre, sol	grupo	alternativoj	prononco
level	vivi	to live, to be alive	vivre, être en vie	grupo	alternativoj	prononco
level	resti	to stay, to remain	rester, rester	grupo	alternativoj	prononco
level	ridi	to laugh	rire	grupo	alternativoj	prononco
level	homo	a human, a man	un humain, un homme	grupo	alternativoj	prononco
level	akvo	water	eau	grupo	alternativoj	prononco
level	vorto	a word	un mot	grupo	alternativoj	prononco
level	certa	certain, sure	certain, bien sûr	grupo	alternativoj	prononco
level	lando	a land, a country	une terre, un pays	grupo	alternativoj	prononco
level	sama	same	même	grupo	alternativoj	prononco
level	ĵeti	to throw	lancer	grupo	alternativoj	prononco
level	stelo	a star	une étoile	grupo	alternativoj	prononco
level	domo	a house, a home	une maison, un foyer	grupo	alternativoj	prononco
level	nomo	a name, an appellation	un nom, une appellation	grupo	alternativoj	prononco
level	vidi	to see	voir	grupo	alternativoj	prononco
level	mola	soft	doux	grupo	alternativoj	prononco
level	horo	an hour, o'clock, time	une heure, une heure, une heure	grupo	alternativoj	prononco
level	formo	a form, a shape	une forme, une forme	grupo	alternativoj	prononco
level	tago	a day	un jour	grupo	alternativoj	prononco
level	fumo	a smoke	une fumée	grupo	alternativoj	prononco
level	ĉevalo	a horse	un cheval	grupo	alternativoj	prononco
level	jaro	a year	une année	grupo	alternativoj	prononco
level	vojaĝi	to travel	voyager	grupo	alternativoj	prononco
level	celo	a goal, a target, a purpose, an objective	un but, une cible, un but, un objectif	grupo	alternativoj	prononco
level	naski	to give birth, to bear, to generate	donner naissance, porter, engendrer	grupo	alternativoj	prononco
level	manki	to miss, to be lacking, to be missing	manquer, manquer, manquer	grupo	alternativoj	prononco
level	birdo	a bird	un oiseau	grupo	alternativoj	prononco
level	halti	to stop, to halt, to come to a halt	s'arrêter, s'arrêter, s'arrêter	grupo	alternativoj	prononco
level	frato	a brother	un frère	grupo	alternativoj	prononco
level	monto	a mountain	une montagne	grupo	alternativoj	prononco
level	pensi	to think	penser	grupo	alternativoj	prononco
level	permesi	to permit, to allow	permettre, permettre	grupo	alternativoj	prononco
level	kosti	to cost	coûter	grupo	alternativoj	prononco
level	lito	a bed, a couch	un lit, un canapé	grupo	alternativoj	prononco
level	perdi	to lose	perdre	grupo	alternativoj	prononco
level	miri	to surprise, to be amased, to be astonished	surprendre, être étonné, être étonné	grupo	alternativoj	prononco
level	persono	a person	une personne	grupo	alternativoj	prononco
level	diversa	diverse, varied, various	divers, varié, divers	grupo	alternativoj	prononco
level	provi	to try, to attempt	essayer, tenter	grupo	alternativoj	prononco
level	pagi	to pay	payer	grupo	alternativoj	prononco
level	prezenti	to present, to introduce	présenter, introduire	grupo	alternativoj	prononco
level	aparta	apart, particular, separate	à part, particulier, séparé	grupo	alternativoj	prononco
level	rajto	right, a right	bien, un droit	grupo	alternativoj	prononco
level	mateno	morning, a morning	matin, un matin	grupo	alternativoj	prononco
level	agrabla	pleasant, agreeable, nice	agréable, agréable, gentil	grupo	alternativoj	prononco
level	vespero	evening, an evening	soir, une soirée	grupo	alternativoj	prononco
level	muro	a wall	un mur	grupo	alternativoj	prononco
level	suno	sun, a sun	soleil, un soleil	grupo	alternativoj	prononco
level	rigardi	to look, to look at	regarder, regarder	grupo	alternativoj	prononco
level	senti	to feel, to sense	ressentir, sentir	grupo	alternativoj	prononco
level	blanka	white, blank	blanc, vide	grupo	alternativoj	prononco
level	simpla	simple	simple	grupo	alternativoj	prononco
level	rimarki	to notice	remarquer	grupo	alternativoj	prononco
level	lingvo	a language, tongue	une langue, une langue	grupo	alternativoj	prononco
level	ŝanĝi	to change, to turn	changer, se transformer	grupo	alternativoj	prononco
level	renkonti	to meet, to encounter, to come accross	rencontrer, rencontrer, croiser	grupo	alternativoj	prononco
level	uzi	to use	utiliser	grupo	alternativoj	prononco
level	timi	to fear, to be afraid of	avoir peur, avoir peur de	grupo	alternativoj	prononco
level	vera	real, true	la vérité	grupo	alternativoj	prononco
level	sola	alone, only, sole, solitary	seul, seulement, unique, solitaire	grupo	alternativoj	prononco
level	paco	peace, a peace	la paix, une paix	grupo	alternativoj	prononco
level	rakonti	to narrate, to tell, to relate	raconter, raconter, raconter	grupo	alternativoj	prononco
level	koloro	color, a color	couleur, une couleur	grupo	alternativoj	prononco
level	pura	clean, pure	propre, pur	grupo	alternativoj	prononco
level	aŭdi	to hear	entendre	grupo	alternativoj	prononco
level	punkto	a point, a dot, a spot	un point, un point, une tache	grupo	alternativoj	prononco
level	buŝo	a mouth	une bouche	grupo	alternativoj	prononco
level	araneo	a spider	une araignée	grupo	alternativoj	prononco
