C.sw content.tsv
Level	Esperanto	sw	en-us	Grupo	Alternativoj	Pronoco
level	jen	Hapa! Hakika! Tazama	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	kumaliza, kumaliza, kumaliza	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	hivyo basi, kwa hiyo	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (what) milele, hata kidogo, -wahi	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	rahisi, rahisi	easy, facile	grupo	alternativoj	prononco
level	re-	(kiambishi awali) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	kubwa, kubwa, kubwa	big, great, large	grupo	alternativoj	prononco
level	-ist-	(kiambishi) kitaalamu	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) kwa sababu ya ~, kutokana na ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(kiambishi) kiongozi, bosi, mkuu, chifu	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	nini	what	grupo	alternativoj	prononco
level	manĝi	kula	to eat	grupo	alternativoj	prononco
level	nenio	hakuna, hakuna, hakuna kitu	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	vijana	young	grupo	alternativoj	prononco
level	ĉio	kila kitu	everything	grupo	alternativoj	prononco
level	riĉa	tajiri, tajiri, tajiri	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	jambo hilo, hilo	that thing, that	grupo	alternativoj	prononco
level	konstrui	kujenga, kujenga	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) chief, lead, main	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) without ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) with ~ (pamoja)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ila ~, kando ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	rafiki	a friend	grupo	alternativoj	prononco
level	kies	ya nani, ya nani, ya nani	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) by ~ (mbinu), with ~ (a chombo)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	dhidi ~	against ~	grupo	alternativoj	prononco
level	el ~	out of ~, from ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	leo	today	grupo	alternativoj	prononco
level	hieraŭ	jana	yesterday	grupo	alternativoj	prononco
level	nur	tu, tu, pekee	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	kusaidia, kusaidia, kusaidia	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(kielezi) mbali, mbali	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	wala, wala	nor, neither	grupo	alternativoj	prononco
level	malamo	chuki	a hate	grupo	alternativoj	prononco
level	preskaŭ	karibu, karibu	almost, nearly	grupo	alternativoj	prononco
level	tra ~	kupitia ~	through ~	grupo	alternativoj	prononco
level	super	juu, juu	over, above	grupo	alternativoj	prononco
level	trans ~	over ~, zunguka ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	vema, basi, sasa	well, well then, now	grupo	alternativoj	prononco
level	pri ~	kuhusu ~	about ~	grupo	alternativoj	prononco
level	por ~	for ~, ili kwa ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	kesho	tomorrow	grupo	alternativoj	prononco
level	nun	sasa, kwa sasa	now, at present	grupo	alternativoj	prononco
level	laŭ ~	kulingana na ~, along ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	kila mmoja, kila mtu, kila mtu	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	nani, yupi, yupi	who, which, which one	grupo	alternativoj	prononco
level	tiu	that person, that ~, that one, kule	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	mtu, mtu, fulani	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	hakuna mtu, hakuna, wala	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	kwa ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(kiambishi) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	kutumaini	to hope	grupo	alternativoj	prononco
level	unu	moja	one	grupo	alternativoj	prononco
level	du	mbili	two	grupo	alternativoj	prononco
level	tri	tatu	three	grupo	alternativoj	prononco
level	kvar	nne	four	grupo	alternativoj	prononco
level	kvin	tano	five	grupo	alternativoj	prononco
level	ses	sita	six	grupo	alternativoj	prononco
level	sep	saba	seven	grupo	alternativoj	prononco
level	ok	nane	eight	grupo	alternativoj	prononco
level	naŭ	tisa	nine	grupo	alternativoj	prononco
level	dek	kumi	ten	grupo	alternativoj	prononco
level	cent	mia	a hundred	grupo	alternativoj	prononco
level	mil	elfu	a thousand	grupo	alternativoj	prononco
level	-obl-	( suffix ) kwa wingi, -weza, -kunja	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(kiambishi) ~th, sehemu	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	ya upendo	of love	grupo	alternativoj	prononco
level	anstataŭ ~	badala ya ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(kiambishi) kuwa	(suffix)  become	grupo	alternativoj	prononco
level	voli	kutaka, kutaka, kuwa tayari	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) kusababisha kuwa	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	kufuata	to follow	grupo	alternativoj	prononco
level	ĝoje	kwa furaha	gladly	grupo	alternativoj	prononco
level	legi	kusoma	to read	grupo	alternativoj	prononco
level	silenta	kimya	silent	grupo	alternativoj	prononco
level	la	ya	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(kiambishi) chombo, mbinu	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	kunywa (isiyo ya pombe)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(kiambishi) kidogo, kidogo	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(kiambishi) kikubwa, kikubwa	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) between ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(kiambishi) tabia inayohusiana	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) seti, kikundi	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(kiambishi) mwanachama wa kikundi	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	kushukuru	to thank	grupo	alternativoj	prononco
level	-ind-	(kiambishi) chenye thamani, stahili	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	hata zaidi, zaidi, na kadhalika, zaidi	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	jinsi, kama, kwa njia gani, kama vile	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	vile, kwa njia hiyo, hivi	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) in ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) karibu na ~, kando ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) under, below ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) on ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) prep indefinate., saa, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(kielezi) bado, bado	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) karibu ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	lakini	but	grupo	alternativoj	prononco
level	ie	mahali fulani	somewhere	grupo	alternativoj	prononco
level	kie	wapi, mahali gani	where, at what place	grupo	alternativoj	prononco
level	silente	kimya kimya	silently	grupo	alternativoj	prononco
level	ĉie	kila mahali, karibu	everywhere, all about	grupo	alternativoj	prononco
level	nenie	popote, hakuna kesi, si popote	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	kule, kule, kule	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	hii ~	this ~	grupo	alternativoj	prononco
level	kanti	kuimba	to sing	grupo	alternativoj	prononco
level	morti	kufa, kupita	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) during ~, while ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	taifa	a nation	grupo	alternativoj	prononco
level	koni	kumjua (mtu), kumfahamu	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	kujua (ukweli, maarifa), kujua jinsi gani	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	daima, milele	always, ever	grupo	alternativoj	prononco
level	iam	wakati fulani, mara moja	at some time, once	grupo	alternativoj	prononco
level	tiam	basi	then	grupo	alternativoj	prononco
level	-em-	(kiambishi) tendency	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	aina fulani	some kind of	grupo	alternativoj	prononco
level	sukcesi	kufanikiwa	to succeed	grupo	alternativoj	prononco
level	ĉia	kila aina, kila aina	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	hapana, sio aina yoyote, sio yoyote	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(kiambishi) kizazi	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	chumba, chumba	a room, a chamber	grupo	alternativoj	prononco
level	patro	baba	a father	grupo	alternativoj	prononco
level	porko	nguruwe, nguruwe	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) -mkwe, kwa ndoa	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	kweli	indeed	grupo	alternativoj	prononco
level	-ism-	(kiambishi) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	kitu	something	grupo	alternativoj	prononco
level	veturi	kuendesha (gari)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	jogoo, kuku, kuku, ndege	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	bure	free	grupo	alternativoj	prononco
level	lasta	mwisho	last	grupo	alternativoj	prononco
level	ĝoji	kufurahi, kufurahi, kufurahiya	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	kuchukua, kushika	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	ng'ombe, ng'ombe, mnyama wa ng'ombe	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	mwingine, mwingine, mwingine	another, other, else	grupo	alternativoj	prononco
level	varma	moto, joto	hot, warm	grupo	alternativoj	prononco
level	loĝi	kukaa, kuishi, kukaa, kukaa	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	kuamini	to believe	grupo	alternativoj	prononco
level	glacio	barafu	an ice	grupo	alternativoj	prononco
level	loko	mahali, mahali	a place, a location	grupo	alternativoj	prononco
level	ovo	yai	an egg	grupo	alternativoj	prononco
level	multa	mengi, mengi, mengi	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	milki	a possession	grupo	alternativoj	prononco
level	ŝafo	kondoo	a sheep	grupo	alternativoj	prononco
level	sono	sauti	a sound	grupo	alternativoj	prononco
level	fiŝo	samaki	a fish	grupo	alternativoj	prononco
level	bela	mrembo, mrembo, mrembo	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	kujibu, kujibu, kujibu	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	tukio, wakati	an occasion, a time	grupo	alternativoj	prononco
level	demandi	ku uliza	to ask	grupo	alternativoj	prononco
level	forta	nguvu	strong	grupo	alternativoj	prononco
level	preter ~	beyond ~, past ~, pita pita	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ukimya	a silence	grupo	alternativoj	prononco
level	infano	mtoto, mtoto mchanga	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	furaha, bahati, bahati	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	kukamata, kukamata, kugombana	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	kutamani, kutamani	to desire, to wish	grupo	alternativoj	prononco
level	longa	ndefu	long	grupo	alternativoj	prononco
level	mondo	ulimwengu	a world	grupo	alternativoj	prononco
level	okazi	kutokea, kutokea, kutokea	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	shamba, shamba	field, a field	grupo	alternativoj	prononco
level	filo	mwana	a son	grupo	alternativoj	prononco
level	montri	kuonyesha, kuonyesha, kuonyesha	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	moyo	a heart	grupo	alternativoj	prononco
level	knabo	mvulana	a boy	grupo	alternativoj	prononco
level	meti	kuweka, kuweka, kuweka chini	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	mume	a husband	grupo	alternativoj	prononco
level	pako	kifurushi	package	grupo	alternativoj	prononco
level	rapida	haraka, haraka, haraka	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	kuonekana, kuonekana kuwa	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	salamu, salamu, salamu	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	kuandika	to write	grupo	alternativoj	prononco
level	peti	kuomba, kuomba, kuomba, kuomba	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	kuruka	to fly	grupo	alternativoj	prononco
level	kapo	kichwa, kofia	a head, a cape	grupo	alternativoj	prononco
level	krii	kupiga kelele, kulia, kupiga kelele, kupiga kelele	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	nyekundu	red	grupo	alternativoj	prononco
level	sinjoro	bwana, bwana	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	kushikilia, kushikilia	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	wakati, wakati	time, a time	grupo	alternativoj	prononco
level	tuta	jumla, yote, nzima, kamili, kwa ujumla	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	mwanaume	a man	grupo	alternativoj	prononco
level	vojo	njia, njia, njia	a way, a path, a route	grupo	alternativoj	prononco
level	movi	kuhama	to move	grupo	alternativoj	prononco
level	militi	kuvunja vita, kupigana, kufanya vita	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	wachache, kadhaa	a few, several	grupo	alternativoj	prononco
level	dekstra	kulia, kulia (upande, mwelekeo), kulia	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	kufunga, kufunga	to close, to shut	grupo	alternativoj	prononco
level	okupi	kuchukua, kuchukua	to occupy, to take	grupo	alternativoj	prononco
level	levi	kuinua, kuinua, kuinua	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	kupiga, kupiga, kupiga, kupiga, kupiga	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	kuhitaji, kutaka, kuhitaji	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	kuelewa, kutambua	to understand, to realise	grupo	alternativoj	prononco
level	iri	kwenda	to go	grupo	alternativoj	prononco
level	veni	kuja	to come	grupo	alternativoj	prononco
level	porti	kubeba, kuvaa	to carry, to wear	grupo	alternativoj	prononco
level	kovri	kufunika	to cover	grupo	alternativoj	prononco
level	hela	mkali, wazi na mwanga	bright, clear and light	grupo	alternativoj	prononco
level	sana	afya	healthy	grupo	alternativoj	prononco
level	aperi	kuonekana, kuibuka	to appear, to emerge	grupo	alternativoj	prononco
level	libro	kitabu	a book	grupo	alternativoj	prononco
level	atendi	kusubiri, kutarajia, kusubiri	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	mkono	a hand	grupo	alternativoj	prononco
level	pentri	kupaka rangi	to paint	grupo	alternativoj	prononco
level	instrui	kufundisha, kufundisha	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	kukaa	to sit	grupo	alternativoj	prononco
level	stari	kusimama	to stand	grupo	alternativoj	prononco
level	afero	jambo, kitu, kesi, wasiwasi, mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	kamili, kamili	full, complete	grupo	alternativoj	prononco
level	klara	wazi	clear	grupo	alternativoj	prononco
level	komenci	kuanza, kuanza	to begin, to commence	grupo	alternativoj	prononco
level	dormi	kulala, kulala	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	sehemu, sehemu	a part, a share	grupo	alternativoj	prononco
level	mono	pesa	money	grupo	alternativoj	prononco
level	ricevi	kupokea	to receive	grupo	alternativoj	prononco
level	ami	kupenda	to love	grupo	alternativoj	prononco
level	devi	lazima, lazima, lazima, lazima	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	kuwa na uwezo, unaweza	be able to, can	grupo	alternativoj	prononco
level	labori	kufanya kazi, kufanya kazi	to work, to labor	grupo	alternativoj	prononco
level	dio	mungu	a god	grupo	alternativoj	prononco
level	urbo	mji, mji	a city, a town	grupo	alternativoj	prononco
level	ofta	mara kwa mara, mara nyingi	freqent, often	grupo	alternativoj	prononco
level	soni	kutoa sauti, kutoa sauti	to sound, to make sound	grupo	alternativoj	prononco
level	tero	ardhi, ardhi, udongo	earth, land, soil	grupo	alternativoj	prononco
level	vivi	kuishi, kuwa hai	to live, to be alive	grupo	alternativoj	prononco
level	resti	kukaa, kubaki	to stay, to remain	grupo	alternativoj	prononco
level	ridi	kucheka	to laugh	grupo	alternativoj	prononco
level	homo	binadamu, mwanaume	a human, a man	grupo	alternativoj	prononco
level	akvo	maji	water	grupo	alternativoj	prononco
level	vorto	neno	a word	grupo	alternativoj	prononco
level	certa	hakika, hakika	certain, sure	grupo	alternativoj	prononco
level	lando	nchi, nchi	a land, a country	grupo	alternativoj	prononco
level	sama	sawa	same	grupo	alternativoj	prononco
level	ĵeti	kurusha	to throw	grupo	alternativoj	prononco
level	stelo	nyota	a star	grupo	alternativoj	prononco
level	domo	nyumba, nyumba	a house, a home	grupo	alternativoj	prononco
level	nomo	jina, sifa	a name, an appellation	grupo	alternativoj	prononco
level	vidi	kuona	to see	grupo	alternativoj	prononco
level	mola	laini	soft	grupo	alternativoj	prononco
level	horo	saa, saa, saa	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	umbo, umbo	a form, a shape	grupo	alternativoj	prononco
level	tago	siku	a day	grupo	alternativoj	prononco
level	fumo	moshi	a smoke	grupo	alternativoj	prononco
level	ĉevalo	farasi	a horse	grupo	alternativoj	prononco
level	jaro	mwaka	a year	grupo	alternativoj	prononco
level	vojaĝi	kusafiri	to travel	grupo	alternativoj	prononco
level	celo	lengo, lengo, kusudi, lengo	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	kuzaa, kuzaa, kuzaa	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	kukosa, kukosa, kukosa	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	ndege	a bird	grupo	alternativoj	prononco
level	halti	kusimamisha, kusimamisha, kusimama	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	ndugu	a brother	grupo	alternativoj	prononco
level	monto	mlima	a mountain	grupo	alternativoj	prononco
level	pensi	kufikiria	to think	grupo	alternativoj	prononco
level	permesi	kuruhusu, kuruhusu	to permit, to allow	grupo	alternativoj	prononco
level	kosti	na gharama	to cost	grupo	alternativoj	prononco
level	lito	kitanda, kitanda	a bed, a couch	grupo	alternativoj	prononco
level	perdi	kupoteza	to lose	grupo	alternativoj	prononco
level	miri	kushangaa, kushangaa, kushangaa	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	mtu	a person	grupo	alternativoj	prononco
level	diversa	mbalimbali, mbalimbali, mbalimbali	diverse, varied, various	grupo	alternativoj	prononco
level	provi	kujaribu, kujaribu	to try, to attempt	grupo	alternativoj	prononco
level	pagi	kulipa	to pay	grupo	alternativoj	prononco
level	prezenti	kuwasilisha, kutambulisha	to present, to introduce	grupo	alternativoj	prononco
level	aparta	tofauti, hasa, tofauti	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	sawa, haki	right, a right	grupo	alternativoj	prononco
level	mateno	asubuhi, asubuhi	morning, a morning	grupo	alternativoj	prononco
level	agrabla	ya kupendeza, ya kupendeza, nzuri	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	jioni, jioni	evening, an evening	grupo	alternativoj	prononco
level	muro	ukuta	a wall	grupo	alternativoj	prononco
level	suno	jua, jua	sun, a sun	grupo	alternativoj	prononco
level	rigardi	kutazama, kutazama	to look, to look at	grupo	alternativoj	prononco
