B.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	novaĵo por mi	माझ्यासाठी एक बातमी	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	ती माझ्यासाठी एक बातमी आहे	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	तुम्ही ~ बद्दल ऐकले आहे का?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	तुम्ही एस्पेरांतो बद्दल ऐकले आहे का?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	मला ते माहित नव्हते ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	पण माझे नाव त्याच्याशी संबंधित आहे हे मला माहीत नव्हते	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	खरं तर	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	कसे आहे ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	नाते कसे आहे?	how is the relation?	grupo	alternativoj	prononco
level	ho!	अरे!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	ती एक लांब कथा आहे	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	तुम्हाला सांगेल	will tell you	grupo	alternativoj	prononco
level	se vi volas	आपण इच्छित असल्यास	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	तुम्हाला हवे असल्यास मी तुम्हाला नंतर सांगेन	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	या ठिकाणी (या ठिकाणी)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	खूप आवाज	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	या ठिकाणी खूप आवाज आहे	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	होय तू बरोबर आहेस	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	आपण नाचू का?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	चांगली युक्ती!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	आनंददायी संध्याकाळबद्दल धन्यवाद	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	धन्यवाद (तुला)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	ते खूप चांगले होते	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	एक संगीत ~ ला आनंददायी आहे	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	संगीत मला खूप आनंददायी होते	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	मला देखील	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	नृत्य खूप मजेदार आहे	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	तुझ्याबरोबर नाचण्यासाठी	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	तुझ्याबरोबर नाचणे खूप मजेदार होते	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	हे माझे नाव कार्ड आहे	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	जर आपणास ते हवे तर	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	तुम्हाला हवे असल्यास माझे कार्ड येथे आहे	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	त्यावर ~ देखील आहे	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	त्यावर एक पत्ता देखील आहे	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	वेबसाइटचा पत्ता आहे	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	एस्पेरनाटो कोर्स असलेल्या साइटचा पत्ता	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	धन्यवाद	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	मी तुम्हाला एक ई-मेल पाठवीन	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ठीक आहे!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	पुन्हा भेटू, आणि शुभ रात्री!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	पुन्हा भेटू!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ मध्ये दिसते	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	एक त्वरित संदेशवाहक	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ इन्स्टंट मेसेंजरमध्ये दिसते	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	तू ती व्यक्ती आहेस का?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ती व्यक्ती, जी माझ्यासोबत नाचली होती	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	शनिवार रात्र	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	शनिवारी रात्री माझ्यासोबत नाचणारी व्यक्ती तू आहेस का?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	होय तो मी आहे	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	मला याचा आनंद आहे ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	तुम्ही साइटवर आलात याचा मला आनंद झाला	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ते तुम्हाला आनंददायक आहे का? (तुला ते आवडते का?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	होय, होय	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	ते खूप सुंदर आहे	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	मनोरंजक दिसते	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	ते खूप सुंदर आहे आणि मनोरंजक दिसते	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	अजून नाही ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	पूर्णपणे तयार नाही	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ते अद्याप पूर्णपणे तयार नाही	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	पण लवकरच होईल	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	मला समजले (मी पाहतो)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	पण आधीच अनेक मदत साधने आहेत	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	एक शब्दकोश	a dictionary	grupo	alternativoj	prononco
level	superrigardo	विहंगावलोकन	an overview	grupo	alternativoj	prononco
level	ekzerco	एक excise	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	उदाहरण शब्द, विहंगावलोकन, संदेशवाहक आणि कार्य	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	व्याकरणाचे विहंगावलोकन	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	एक त्वरित संदेशवाहक आणि विविध व्यायाम	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	ही एक चांगली सुरुवात आहे	it is a good start	grupo	alternativoj	prononco
level	pardonon	मला माफ करा मला माफ करा	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	मला ~ सोबत बोलले पाहिजे	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	दुसर्‍या व्यक्तीशी बोलणे	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	मला माफ करा, मी दुसऱ्या व्यक्तीशी बोलले पाहिजे	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	एक भाषा मदतनीस	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	मी तिचा भाषा मदतनीस आहे	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	आणि आता तिला ~ बद्दल बोलायचे आहे	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	व्यायामाबद्दल बोलण्यासाठी	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	लवकरच परत येईल	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	मी लवकरच तुमच्याकडे परत येईन	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	काही मिनिटांनंतर	after several minutes	grupo	alternativoj	prononco
level	finparolis	बोलणे पूर्ण केले	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	आता आम्ही व्यायामाबद्दल बोलणे पूर्ण केले	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	मधल्या काळात, थोडा वेळ	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	मी मधल्या काळात एस्पेरांतोबद्दल वाचले	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	मला खात्री नाही	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ बद्दल पुरेशी माहिती आहे	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	मला अजून भाषा पुरेशी माहिती नाही	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	एक स्मार्ट उत्तर	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	मी साइटवर पाहीन	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	आणि थोडे शिकण्याचा प्रयत्न करू	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	तुम्हाला माझी भाषा मदतनीस व्हायचे आहे का?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	स्वेच्छेने	willingly!	grupo	alternativoj	prononco
level	nedankinde!	तुमचे स्वागत आहे!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	आभार मानण्यासारखे नाही, परंतु चुंबन घेण्यासारखे आहे	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	एस्पेरांतोमध्ये असे म्हणतात	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	काय? मला समजले नाही	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	तुम्ही शब्दकोशात पाहू शकता	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	दुर्दैवाने	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	मला आता इंटरनेटवरून जावे लागेल	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	मी संध्याकाळी परत येईन	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	तोपर्यंत मी साइटवर असेन असे मला वाटते	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	परिपूर्ण!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	बरं, मग भेटू!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	पुन्हा भेटू!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	संध्याकाळी, इन्स्टंट मेसेंजरवर देखील	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	हॅलो पुन्हा! (पुन्हा)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	हॅलो पुन्हा!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	मी साइटवरील जवळजवळ सर्व पृष्ठे पाहिली	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	खूप चांगले! छान!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	माझे अनेक प्रश्न आहेत	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	तुमच्याकडे वेळ आहे का?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	होय, मी संध्याकाळी मोकळा आहे	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	त्यामुळे तुमचे प्रश्न लिहा	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	मी उत्तर देण्याचा प्रयत्न करेन	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	मी वाचले की एस्पेरांतोची संस्कृती आहे	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	तथापि मला समजले नाही ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	जिथे मला अशी संस्कृती मिळेल	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	तुम्हाला कुठेही सापडेल, कुठे आहे ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	एस्पेरांतो बोलणारे लोक कुठेही आहेत	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	पण कोणीही एस्पेरांतो वापरत नाही	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	बरोबर	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	पण जे लोक एस्पेरांतो बोलतात	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	अनेकदा प्रवास करतात आणि इतर एस्पेरंटिस्टांना भेटतात	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	त्या बैठकी दरम्यान	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	ते बहुतेक वेगवेगळ्या परिस्थितीत भाषा वापरतात	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	त्यामुळे तिथे तुम्हाला ~ सापडेल	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	तुम्हाला संस्कृती सापडेल	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	एस्पेरांतोची संस्कृती सापडेल	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ठीक आहे, संगीत अस्तित्वात आहे का?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	संगीत, साहित्य, नाट्य	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	इ	etc	grupo	alternativoj	prononco
level	same kiel ~	समान ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	इतर भाषांप्रमाणेच	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	प्रमाण इतके मोठे नाही	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	राष्ट्रीय भाषांइतके मोठे	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	पण ते महत्वाचे नाही	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	किमान माझ्यासाठी नाही	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	तुम्हाला ऐकायचे असेल तर ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	एस्पेरांतोमधील गाणे ऐकण्यासाठी	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	हे गाणे आहे, &quot;लिसा चित्रे रंगवते&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	गाणे ऐकतो	listens to the song	grupo	alternativoj	prononco
level	ne malbone	वाईट नाही	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	आणि तुम्हाला एस्पेरांतोमध्ये बरीच पुस्तके सापडतील	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	पुस्तके पाहतो	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	पुरेसे अनेक	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	तुम्ही एस्पेरांतोमध्ये जास्त वाचता का?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	होय, कधी कधी (वेळोवेळी)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	जर तुम्ही कधी भाषा शिकलात	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	मी तुम्हाला काही चांगल्या पुस्तकांची शिफारस करेन	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	सुमारे ~ आहे	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	माझा दुसरा प्रश्न माझ्या नावाबद्दल आहे	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	तुम्ही आधी सांगितले होते की ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~ शी संबंध आहे	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	त्याचा एस्पेरांतोशी संबंध असल्याचे सांगितले	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	अरे हो, त्याबद्दल	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	नावाचा माणूस ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	एकदा ~ नावाचा माणूस जगला	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	तो एस्पेरांतो चळवळीत खूप सक्रिय होता	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	जेव्हा ते पूर्णपणे नवीन होते	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	~ मध्ये पुस्तकाचे भाषांतर केले	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	आणि अनेक पुस्तके एस्पेरांतोमध्ये अनुवादित केली	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	आणि त्यामुळे तो प्रसिद्ध झाला?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	त्यावेळी एस्पेरांतोसाठी सर्वात महत्त्वाचा	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	आणि त्याचा भाषाशैलीवर खूप प्रभाव होता	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	नाही, तो नक्कीच महत्त्वाचा होता आणि त्याचा प्रभाव होता	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	मात्र, त्यांनी अचानक आंदोलन सोडून दिले	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	मी कल्पना करतो की ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	मी कल्पना करतो की हा अनेकांसाठी मोठा धक्का होता	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	त्याने एस्पेरांतो का सोडले?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	माझा विश्वास आहे ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	तो एस्पेरंटिस्टांवर असमाधानी होता	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	तो ~ सारखे काहीतरी म्हणाला	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	एस्पेरांतो स्वतः एस्पेरंटिस्टांनी शिकले पाहिजे!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	त्याला काय म्हणायचे आहे ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	त्याला काय म्हणायचे होते?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	शक्यता आहे की ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	लोक एस्पेरांतो वाईट बोलत	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	लोक वाईट बोलले असण्याची शक्यता आहे	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911 मध्ये त्याने एस्पेरांतो सोडले	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	पण मला वाटतं ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	जास्त आहे	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	आज भाषेची पातळी जास्त आहे	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	एस्पेरंटिस्टांची भाषा पातळी	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	पण मला वाटते की आज पातळी जास्त आहे	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	त्यामुळे मला भाषा चांगली शिकावी लागेल	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	एक चांगली व्यक्ती असल्याबद्दल	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	आणि तुम्ही साधी शैली वापरावी	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	कारण ते त्याच्यासाठी खूप महत्वाचे होते	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	ते मला आनंदित करते (मला ते आवडते)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	एस्पेरांतोमध्ये, एक शब्द देखील आहे ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	&quot;कबेई&quot; हा शब्द देखील आहे	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	चळवळ सोडून देणे	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	एक शब्द &quot;काबेई&quot;, ज्याचा अर्थ चळवळ सोडून देणे	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	ते मनोरंजक आहे!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	आता मला एस्पेरांतोमधील एक शब्द माहित आहे	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	कधीच विसरणार नाही	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	आणि मी कदाचित ते कधीच विसरणार नाही	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	अनेक आठवड्यांनंतर कॅफेमध्ये	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	तो एस्पेरांतो शिकण्यात यशस्वी झाला	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	आणि ते भाषा वापरत आहेत	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	आमंत्रित करणे, आमंत्रण	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	येथे, पहा, IJK साठी आमंत्रण!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	काय? ई-यो-काय?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	एक तरुण व्यक्ती, तरुणांचा समूह	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK ही आंतरराष्ट्रीय युवक काँग्रेस आहे	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	मी त्यासाठी जाण्याचा विचार करत आहे	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	तुला पण जायचे आहे का?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	बरं, &quot;काँग्रेस&quot; खूप मनोरंजक वाटत नाही	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	पण ते (रंजक) आहे	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	कंटाळवाणे आळशी कॉंग्रेसचा विचार करू नका	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	हे फक्त ~ आहे	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	हे फक्त तरुणांना भेटण्याबद्दल आहे	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	अनेक देशांतील तरुणांची भेट	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 ते 400 लोक असतील	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	तिथे 300 ते 400 लोक असतील	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
