B.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi aŭdis pri Esperanto?	чувал ли си за есперанто?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Не знаех това ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	но не знаех, че името ми е свързано с това	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	всъщност	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	как е ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	каква е връзката?	how is the relation?	grupo	alternativoj	prononco
level	ho!	о!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	това е дълга история	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	ще ви кажа	will tell you	grupo	alternativoj	prononco
level	se vi volas	ако искаш	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Ще ти кажа по-късно, ако искаш	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	на това място (на това място)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	прекалено много шум	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	на това място има твърде много шум	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Да ти си прав	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	ще танцуваме ли?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	добра идея!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	благодаря за приятната вечер	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	благодаря ти (на теб)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	беше много добро	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	музиката е приятна за ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	музиката много ми хареса	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	също и на мен	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	танците са много забавни	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	да танцувам с теб	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	беше много смешно да танцувам с теб	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	ето визитката ми	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ако го искаш	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	ето моята карта, ако искаш	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	върху него също има ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	на него има и адрес	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	има адрес на уебсайт	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	адрес към сайт с курс по еспенато	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Благодаря ти	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Ще ти изпратя имейл	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	добре!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	до нови срещи и лека нощ!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ще се видим!	see you!	grupo	alternativoj	prononco
level	aperas en ~	се появява в ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	незабавен месинджър	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ се появява в месинджъра	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	ти ли си този човек	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	този човек, който беше танцувал с мен	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Събота вечер	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	ти ли си този човек, който танцува с мен събота вечер?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	да това съм аз	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Радвам се, че ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Радвам се, че попаднахте на сайта	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	приятно ли ти е (харесва ли ти?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	да, да	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	много е красиво	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	изглежда интересно	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	много е красиво и изглежда интересно	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	още не ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	не е напълно готов	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	все още не е напълно готов	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	но скоро ще стане	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	разбирам (виждам)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	но вече има много инструменти за помощ	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	речник	a dictionary	grupo	alternativoj	prononco
level	superrigardo	Преглед	an overview	grupo	alternativoj	prononco
level	ekzerco	ексцез	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	примерни думи, преглед, messanger и execerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	преглед на граматиката	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	месинджър и различни упражнения	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	това е добро начало	it is a good start	grupo	alternativoj	prononco
level	pardonon	извинете съжалявам	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Трябва да говоря с ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	да говоря с друг човек	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Съжалявам, трябва да говоря с друг човек	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	езиков помощник	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Аз съм й езиков помощник	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	и сега тя иска да говорим за ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	да говорим за упражнение	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	скоро ще се върне	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Ще се върна при вас скоро	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	след няколко минути	after several minutes	grupo	alternativoj	prononco
level	finparolis	свърших да говоря	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	сега приключихме разговора за упражнението	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	междувременно, за известно време	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Междувременно четох за есперанто	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	не съм сигурен	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	знае достатъчно за ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Все още не познавам достатъчно езика	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	умен отговор	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Ще погледна в сайта	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	и ще се опита да научи малко	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	искаш ли да ми бъдеш езиков помощник?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	с желание!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Моля!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	не си заслужава благодарност, но си струва целувка	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	казва това на есперанто	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Какво? аз не разбирам	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	можете да погледнете в речника	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	за жалост	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Трябва да се откажа от Интернет сега	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Ще се върна вечерта	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Мисля, че дотогава ще съм на обекта	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	перфектно!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	добре, ще се видим тогава!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	до скоро!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	вечер също в месинджъра	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Здравей отново! (повторно)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Здравей отново!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Разгледах почти всички страници от сайта	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	доста добре! страхотно!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Имам няколко въпроса	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Имаш ли време?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	да, свободен съм вечерта	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	така че, напишете вашите въпроси	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Ще се опитам да отговоря	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Четох, че есперанто има култура	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	обаче не разбирам ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	къде мога да намеря такава култура	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ще намерите навсякъде, където ~ е	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	всяко място, където има хора, които говорят есперанто	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	но никой не използва есперанто	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	правилно!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	но хора, които говорят есперанто	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	често пътуват и се срещат с други есперантисти	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	по време на тези срещи	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	те използват езика в най-различни ситуации	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	така че там ще намерите ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ще откриеш културата	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	ще открие културата на есперанто	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	добре, съществува ли музика?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	музика, литература, театър	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	и т.н	etc	grupo	alternativoj	prononco
level	same kiel ~	същото като ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	същите, каквито има за други езици	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	количеството не е толкова голямо	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	толкова голям, колкото в националните езици	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	но това не е важно	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	поне не за мен	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ако искате да слушате ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	да слушате песен на есперанто	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	ето я песента &quot;Лиза рисува картини&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	слуша песента	listens to the song	grupo	alternativoj	prononco
level	ne malbone	не е зле	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	и ще намерите много книги на есперанто	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	разглежда книгите	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	достатъчно много	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	четеш ли много на есперанто?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	да, понякога (от време на време)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ако някога научиш езика	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Ще ви препоръчам няколко добри книги	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	е около ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	другият ми въпрос е за името ми	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	казахте по-рано, че ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	има отношение към ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	каза, че има връзка с есперанто	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	о, да, за това	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	човек с име ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	живял някога човек с името ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	той беше много активен в есперантското движение	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	когато беше съвсем нов	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	преведе книгата на ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	и превежда много книги на есперанто	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	и това го направи известен?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	един от най-важните за есперанто по това време	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	и той имаше голямо влияние върху езиковия стил	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	не, със сигурност той беше важен и имаше влияние	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	обаче той внезапно изостави движението	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Представям си, че ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Предполагам, че това беше голям шок за мнозина	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	защо напусна есперанто?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Вярвам, че ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	той беше недоволен от есперантистите	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	той каза нещо подобно на ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Есперанто трябва да се научи от самите есперантисти!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	какво искаше да каже с ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	какво искаше да каже с това?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	вероятно е ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	хората говореха лошо есперанто	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	вероятно хората са говорили лошо	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	през 1911 г. той напуска есперанто	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	но мисля, че ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	е по-висока	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	днес езиковото ниво е по-високо	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	езиковото ниво на есперантистите	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	но мисля, че днес нивото е по-високо	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	така че трябва да науча добре езика	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	за това, че си добър човек	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	и трябва да използвате прост стил	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	защото това беше много важно за него	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	това ме радва (харесва ми)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	в есперанто дори има дума ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	дори има дума &quot;кабей&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	да изостави движението	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	дума &quot;кабей&quot;, която означава изоставяне на движението	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	това е интересно!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	сега знам една дума на есперанто	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	никога няма да забравя	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	и вероятно никога няма да го забравя	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	в кафене&quot; след няколко седмици	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	успява да научи есперанто	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	и те използват езика	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	да поканя, покана	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	ето, вижте, покана за IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Какво? И-йо-какво?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	млад човек, група млади хора	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK е международен младежки конгрес	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Смятам да го направя	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	искаш ли и ти да отидем	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	добре, &quot;конгрес&quot; не звучи много интересно	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	но е (интересно)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	не мисля за нещо скучно муден конгрес	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	става дума само за ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	става дума само за среща с млади хора	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	среща с млади хора от много страни	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Там ще присъстват 300-400 души	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	там вероятно ще има 300-400 души	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	почти всички	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	и почти всички ще говорят есперанто	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	не говори добре	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	добре, но не говоря добре есперанто	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	няма значение	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	възможно е да участвате в ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	да участват в курсове по есперанто там	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	обикновено	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	обикновено има две нива	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	хора, които вече са научили езика	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	един за начинаещи	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	а другият за тези, които вече са научили езика	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	Джес, какво?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	ти каза &quot;обикновено&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	о, IJK се случва всяка година	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	всеки път в друга държава	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	поради тази причина всеки IJK е различен	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	но има и програми	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	програми, които се връщат често	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	но има и програми, които се връщат често	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	например	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	например, почти винаги е възможно да се играе спорт и карти	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	да говоря с приятели цяла нощ	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	да пеят около огъня и да танцуват	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	да участват в концерти и т.н	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	добре, мога да го направя и вкъщи	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	правилно, но	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	но важното по време на IJK е ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	идва от много различни страни	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	е, че участниците идват от различни страни	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	заради тази комбинация от различни хора	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	това е добра атмосфера, която много ми харесва	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	добре, звучи като интерес	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	ще помисля	I will think about	grupo	alternativoj	prononco
level	certe	със сигурност	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	проблем обаче е ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	толкова пари	that much money	grupo	alternativoj	prononco
level	mi ne havas tiom da mono nun	В момента нямам толкова пари	I don't have that much money right now	grupo	alternativoj	prononco
level	problemo estas ke mi ne havas tiom da mono	проблемът е, че нямам толкова пари	problem is I don't have that much money	grupo	alternativoj	prononco
level	mi komprenas, sed ne estus multe-koste	Разбирам, но няма да струва много	I understand, but it wouldn't cost much	grupo	alternativoj	prononco
