C.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	kvar	quattro	four	grupo	alternativoj	prononco
level	kvin	cinque	five	grupo	alternativoj	prononco
level	ses	sei	six	grupo	alternativoj	prononco
level	sep	Sette	seven	grupo	alternativoj	prononco
level	ok	otto	eight	grupo	alternativoj	prononco
level	naŭ	nove	nine	grupo	alternativoj	prononco
level	dek	dieci	ten	grupo	alternativoj	prononco
level	cent	cento	a hundred	grupo	alternativoj	prononco
level	mil	un migliaio	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffisso) per molteplicità, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffisso) ~esimo, frazione	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	d'amore	of love	grupo	alternativoj	prononco
level	anstataŭ ~	invece di ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffisso) diventare	(suffix)  become	grupo	alternativoj	prononco
level	voli	volere, volere, essere disposto a	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffisso) causa di diventare	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	da seguire	to follow	grupo	alternativoj	prononco
level	ĝoje	volentieri	gladly	grupo	alternativoj	prononco
level	legi	leggere	to read	grupo	alternativoj	prononco
level	silenta	silenzioso	silent	grupo	alternativoj	prononco
level	la	IL	the	grupo	alternativoj	prononco
level	ha!	ah!	ha!	grupo	alternativoj	prononco
level	-il-	(suffisso) strumento, metodo	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	bere (non alcolico)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffisso) piccolo, piccolo	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffisso) grande, grande	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposizione) tra ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffisso) comportamento correlato	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffisso) insieme, gruppo	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffisso) membro di un gruppo	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	per ringraziare	to thank	grupo	alternativoj	prononco
level	-ind-	(suffisso) utile, degno	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	ancora di più, oltre e così via, di più	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	come, come, in che modo, come	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	tale, in quel modo, così	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposizione) in ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposizione) accanto a ~, accanto a ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposizione) sotto, sotto ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposizione) su ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposizione) preparazione indefinita, a, in, da, su	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(avverbio) ancora, ancora	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposizione) intorno a ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	Ma	but	grupo	alternativoj	prononco
level	ie	in qualche luogo	somewhere	grupo	alternativoj	prononco
level	kie	dove, in quale posto	where, at what place	grupo	alternativoj	prononco
level	silente	silenziosamente	silently	grupo	alternativoj	prononco
level	ĉie	ovunque, ovunque	everywhere, all about	grupo	alternativoj	prononco
level	nenie	da nessuna parte, in nessun caso, da nessuna parte	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	lì, laggiù, laggiù	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	questo ~	this ~	grupo	alternativoj	prononco
level	kanti	cantare	to sing	grupo	alternativoj	prononco
level	morti	morire, tramontare	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposizione) durante ~, mentre ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	una nazione	a nation	grupo	alternativoj	prononco
level	koni	conoscere (una persona), avere familiarità con	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	sapere (un fatto, conoscenza), sapere come	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	sempre, mai	always, ever	grupo	alternativoj	prononco
level	iam	in qualche momento, una volta	at some time, once	grupo	alternativoj	prononco
level	tiam	Poi	then	grupo	alternativoj	prononco
level	-em-	(suffisso) tendenza	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	una sorta di	some kind of	grupo	alternativoj	prononco
level	sukcesi	avere successo	to succeed	grupo	alternativoj	prononco
level	ĉia	di tutti i tipi, di ogni genere	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	no, nessun tipo di, nessuno	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffisso) prole	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	una stanza, una camera	a room, a chamber	grupo	alternativoj	prononco
level	patro	un padre	a father	grupo	alternativoj	prononco
level	porko	un maiale, un maiale	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefisso) -cognato, per matrimonio	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	Infatti	indeed	grupo	alternativoj	prononco
level	-ism-	(suffisso) -ismo	(suffix)  -ism	grupo	alternativoj	prononco
level	io	qualcosa	something	grupo	alternativoj	prononco
level	veturi	guidare (un veicolo)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	un gallo, una gallina, una gallina, un uccello	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratuito	free	grupo	alternativoj	prononco
level	lasta	scorso	last	grupo	alternativoj	prononco
level	ĝoji	rallegrarsi, rallegrarsi, godere	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	prendere, afferrare	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	una mucca, un bue, un bovino	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	un altro, altro, altro	another, other, else	grupo	alternativoj	prononco
level	varma	caldo tiepido	hot, warm	grupo	alternativoj	prononco
level	loĝi	risiedere, vivere, dimorare, abitare	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	credere	to believe	grupo	alternativoj	prononco
level	glacio	un bel	an ice	grupo	alternativoj	prononco
level	loko	un luogo, una posizione	a place, a location	grupo	alternativoj	prononco
level	ovo	un uovo	an egg	grupo	alternativoj	prononco
level	multa	molti, molti, molti	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	un possesso	a possession	grupo	alternativoj	prononco
level	ŝafo	una pecora	a sheep	grupo	alternativoj	prononco
level	sono	Un suono	a sound	grupo	alternativoj	prononco
level	fiŝo	un pesce	a fish	grupo	alternativoj	prononco
level	bela	bello, bello, carino	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	rispondere, replicare, replicare	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	un'occasione, un momento	an occasion, a time	grupo	alternativoj	prononco
level	demandi	chiedere	to ask	grupo	alternativoj	prononco
level	forta	forte	strong	grupo	alternativoj	prononco
level	preter ~	oltre ~, passato ~, dritto oltre	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	un silenzio	a silence	grupo	alternativoj	prononco
level	infano	un bambino, un neonato	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	felice, fortunato, fortunato	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	afferrare, catturare, afferrare	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	desiderare, desiderare	to desire, to wish	grupo	alternativoj	prononco
level	longa	lungo	long	grupo	alternativoj	prononco
level	mondo	un mondo	a world	grupo	alternativoj	prononco
level	okazi	verificarsi, avvenire, verificarsi	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	campo, un campo	field, a field	grupo	alternativoj	prononco
level	filo	un figlio	a son	grupo	alternativoj	prononco
level	montri	mostrare, indicare, evidenziare	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	un cuore	a heart	grupo	alternativoj	prononco
level	knabo	un ragazzo	a boy	grupo	alternativoj	prononco
level	meti	mettere, collocare, adagiare	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	un marito	a husband	grupo	alternativoj	prononco
level	pako	pacchetto	package	grupo	alternativoj	prononco
level	rapida	veloce, veloce, veloce	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	sembrare, sembrare essere	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	un saluto, un saluto, un saluto	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	scrivere	to write	grupo	alternativoj	prononco
level	peti	chiedere, domandare, esigere, implorare	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	volare	to fly	grupo	alternativoj	prononco
level	kapo	una testa, un mantello	a head, a cape	grupo	alternativoj	prononco
level	krii	gridare, piangere, urlare, gridare	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rosso	red	grupo	alternativoj	prononco
level	sinjoro	un signore, un gentiluomo	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	trattenere, aggrapparsi	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tempo, un tempo	time, a time	grupo	alternativoj	prononco
level	tuta	totale, tutto, intero, completo, complessivo	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	un uomo	a man	grupo	alternativoj	prononco
level	vojo	una via, un sentiero, un itinerario	a way, a path, a route	grupo	alternativoj	prononco
level	movi	spostare	to move	grupo	alternativoj	prononco
level	militi	rompere una guerra, combattere, fare la guerra	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	alcuni, diversi	a few, several	grupo	alternativoj	prononco
level	dekstra	destra, destra (lato, direzione), mano destra	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	chiudere, chiudere	to close, to shut	grupo	alternativoj	prononco
level	okupi	occupare, prendere	to occupy, to take	grupo	alternativoj	prononco
level	levi	fare leva, sollevare, alzare	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	percuotere, percuotere, percuotere, sferzare, sferzare	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	aver bisogno, volere, esigere	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	comprendere, realizzare	to understand, to realise	grupo	alternativoj	prononco
level	iri	andare	to go	grupo	alternativoj	prononco
level	veni	venire	to come	grupo	alternativoj	prononco
level	porti	portare, indossare	to carry, to wear	grupo	alternativoj	prononco
level	kovri	coprire	to cover	grupo	alternativoj	prononco
level	hela	luminoso, chiaro e leggero	bright, clear and light	grupo	alternativoj	prononco
level	sana	salutare	healthy	grupo	alternativoj	prononco
level	aperi	apparire, emergere	to appear, to emerge	grupo	alternativoj	prononco
level	libro	un libro	a book	grupo	alternativoj	prononco
level	atendi	aspettare, aspettarsi, aspettare	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	una mano	a hand	grupo	alternativoj	prononco
level	pentri	dipingere	to paint	grupo	alternativoj	prononco
level	instrui	insegnare, istruire	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	sedere	to sit	grupo	alternativoj	prononco
level	stari	Stare in piedi	to stand	grupo	alternativoj	prononco
level	afero	una cosa, un oggetto, un caso, una preoccupazione, una materia	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	pieno, completo	full, complete	grupo	alternativoj	prononco
level	klara	chiaro	clear	grupo	alternativoj	prononco
level	komenci	cominciare, cominciare	to begin, to commence	grupo	alternativoj	prononco
level	dormi	dormire, essere addormentato	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	una parte, una parte	a part, a share	grupo	alternativoj	prononco
level	mono	soldi	money	grupo	alternativoj	prononco
level	ricevi	ricevere	to receive	grupo	alternativoj	prononco
level	ami	amare	to love	grupo	alternativoj	prononco
level	devi	dover, deve, dovrebbe, dovrebbe	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	poter, può	be able to, can	grupo	alternativoj	prononco
level	labori	lavorare, faticare	to work, to labor	grupo	alternativoj	prononco
level	dio	un Dio	a god	grupo	alternativoj	prononco
level	urbo	una città, un paese	a city, a town	grupo	alternativoj	prononco
level	ofta	frequente, spesso	freqent, often	grupo	alternativoj	prononco
level	soni	suonare, far suonare	to sound, to make sound	grupo	alternativoj	prononco
level	tero	terra, terra, suolo	earth, land, soil	grupo	alternativoj	prononco
level	vivi	vivere, essere vivo	to live, to be alive	grupo	alternativoj	prononco
level	resti	restare, restare	to stay, to remain	grupo	alternativoj	prononco
level	ridi	ridere	to laugh	grupo	alternativoj	prononco
level	homo	un essere umano, un uomo	a human, a man	grupo	alternativoj	prononco
level	akvo	acqua	water	grupo	alternativoj	prononco
level	vorto	una parola	a word	grupo	alternativoj	prononco
level	certa	certo, certo	certain, sure	grupo	alternativoj	prononco
level	lando	una terra, un paese	a land, a country	grupo	alternativoj	prononco
level	sama	Stesso	same	grupo	alternativoj	prononco
level	ĵeti	gettare	to throw	grupo	alternativoj	prononco
level	stelo	una stella	a star	grupo	alternativoj	prononco
level	domo	una casa, una casa	a house, a home	grupo	alternativoj	prononco
level	nomo	un nome, un appellativo	a name, an appellation	grupo	alternativoj	prononco
level	vidi	da vedere	to see	grupo	alternativoj	prononco
level	mola	morbido	soft	grupo	alternativoj	prononco
level	horo	un'ora, in punto, ora	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	una forma, una forma	a form, a shape	grupo	alternativoj	prononco
level	tago	un giorno	a day	grupo	alternativoj	prononco
level	fumo	un fumo	a smoke	grupo	alternativoj	prononco
level	ĉevalo	un cavallo	a horse	grupo	alternativoj	prononco
level	jaro	un anno	a year	grupo	alternativoj	prononco
level	vojaĝi	viaggiare	to travel	grupo	alternativoj	prononco
level	celo	uno scopo, un obiettivo, uno scopo, un obiettivo	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	partorire, generare, generare	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	mancare, mancare, mancare	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	un uccello	a bird	grupo	alternativoj	prononco
level	halti	fermarsi, arrestarsi, fermarsi	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	un fratello	a brother	grupo	alternativoj	prononco
level	monto	una montagna	a mountain	grupo	alternativoj	prononco
level	pensi	pensare	to think	grupo	alternativoj	prononco
level	permesi	permettere, permettere	to permit, to allow	grupo	alternativoj	prononco
level	kosti	costare	to cost	grupo	alternativoj	prononco
level	lito	un letto, un divano	a bed, a couch	grupo	alternativoj	prononco
level	perdi	perdere	to lose	grupo	alternativoj	prononco
level	miri	sorprendere, meravigliarsi, meravigliarsi	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	una persona	a person	grupo	alternativoj	prononco
level	diversa	vario, vario, vario	diverse, varied, various	grupo	alternativoj	prononco
level	provi	provare, tentare	to try, to attempt	grupo	alternativoj	prononco
level	pagi	pagare	to pay	grupo	alternativoj	prononco
level	prezenti	presentare, introdurre	to present, to introduce	grupo	alternativoj	prononco
level	aparta	a parte, particolare, separato	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	giusto, un diritto	right, a right	grupo	alternativoj	prononco
level	mateno	mattina, una mattina	morning, a morning	grupo	alternativoj	prononco
level	agrabla	piacevole, gradevole, simpatico	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	sera, una sera	evening, an evening	grupo	alternativoj	prononco
level	muro	un muro	a wall	grupo	alternativoj	prononco
level	suno	sole, un sole	sun, a sun	grupo	alternativoj	prononco
level	rigardi	guardare, guardare	to look, to look at	grupo	alternativoj	prononco
level	senti	sentire, percepire	to feel, to sense	grupo	alternativoj	prononco
level	blanka	bianco, vuoto	white, blank	grupo	alternativoj	prononco
level	simpla	semplice	simple	grupo	alternativoj	prononco
level	rimarki	notare	to notice	grupo	alternativoj	prononco
level	lingvo	una lingua, una lingua	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	cambiare, girare	to change, to turn	grupo	alternativoj	prononco
level	renkonti	incontrare, incontrare, imbattersi	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	usare	to use	grupo	alternativoj	prononco
level	timi	temere, aver paura	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	reale, vero	real, true	grupo	alternativoj	prononco
level	sola	solo, solo, unico, solitario	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	pace, una pace	peace, a peace	grupo	alternativoj	prononco
