A.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	pardonon	Es tut mir Leid! (Entschuldigung)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Es tut mir leid, bitte	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	einen guten Morgen	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Guten Morgen	good morning	grupo	alternativoj	prononco
level	bonan nokton	Gute Nacht	good night	grupo	alternativoj	prononco
level	bonan sonĝon	süßer Traum	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	Ich wünsche Ihnen eine gute Reise	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	Guter Tag!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ist es ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	geht es dir gut? (Wie geht es dir?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Ja, ich bin okay	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Nein überhaupt nicht	no, not at all	grupo	alternativoj	prononco
level	tre, tro	sehr, zu viel	very, too much	grupo	alternativoj	prononco
level	granda, grande	groß, größtenteils	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	sehr groß, zu groß	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	du machst das sehr gut	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	nicht sehr gut	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	lernen, ein Lernen	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	schaut, ein Zuschauer	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	lernt, ein Student (eine lernende Person)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	ist -ing, eine Person, die etwas tut	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ein Student, eine Person, die gelernt hat	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Ich bin ein Schüler.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ist mein Freund	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	er sie	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sitzen, sitzt	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sitzt, saß, wird sitzen	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	er sitzt und sie lernt	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ein Zimmer	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	lernt in einem Raum	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	ein Student und ein Sportler	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	Sport und ein Sportler	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ein Sportler treibt Sport	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	Er ist Student	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	Er ist Student und Sportler	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	er sitzt jetzt	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	und lernt jetzt	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sitzt und lernt	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	jetzt in einem Raum	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	liegt auf einem Tisch	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ein Papier und Papiere	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ein Tisch und Tische	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ein Buch und Bücher	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	die Papiere und Bücher	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	es liegt auf einem Tisch.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	schreibt auf einem Schreibtisch	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	die Bücher sind ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	auf dem Tisch	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ein Lehrbuch und die Lehrbücher	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	Auf dem Tisch liegt ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ein Vater und eine Mutter	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	der Vater und die Mutter	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	die Mutter meines Freundes	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	im Raum	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	ist nicht im Raum	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	sie arbeiten jetzt	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	sein Vater ist Arbeiter	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	er arbeitet in einem hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	die Mutter unterrichtet	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	sie ist eine Lehrerin	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ist sie eine Mutter?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	Nein, sie ist Hotelierin	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	Nein, ich arbeite nicht	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	was ist ihr Name?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	wer antwortet jetzt?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	die Sprache ihrer Mutter	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	ist dein Name ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	wir sitzen und antworten	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	ihr Arbeitsstuhl	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	sein Name ist nicht ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	Ihre Sprache ist ihre Sprache	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	unser Vater und unsere Mutter	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	Ihr Schüler, Ihre Schüler	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	Sind das deine Schüler?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	sind Sie ein Student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	Bist du im Zimmer?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Ich bin nicht ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	ein Esperantist und eine Esperantistin	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	für das Hotelzimmer eingecheckt	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	eine Linguistin und eine Arbeiterin	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	seine Freundin ist ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	Studenten und Sportler	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	Mein Familienname ist ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	Wer ist sie? Wer ist sie?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	Ist deine Freundin	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ist dein Freund ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	schreibt jetzt im Raum	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	ist der Freund von dir Vater ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	arbeitet in einem Hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	Was ist auf dem Tisch?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	auf dem Tisch in unserem Zimmer	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	ist das Esperanto-Lehrbuch ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	liegt auf deinem Tisch	is on your table	grupo	alternativoj	prononco
level	havas amikinon	hat einen Freund	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	Ihr Name ist ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	Jung und schön	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	ist jung und schön	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	junge und schöne Freunde	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	sind männliche und weibliche Freunde	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	ein Zuhause ihres Lehrers	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	kam ins Haus	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	die Heimat von ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Bitte komm herein	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Hallo, was machst du?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	was machst du? Was machst du?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	aber jetzt will ich ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Ich möchte sprechen	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	mit drei Freundinnen und Freunden	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	habe mit dir gesprochen	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	möchte mit dir sprechen	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	Hast du männliche und weibliche Freunde?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	er hat ein Buch	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	hat ein gutes Buch	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Ja, habe ich	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	Sie mögen es	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	Sie liest ein Buch	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	liest gern Bücher	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	nur ein gutes Buch	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	viele gute Bücher	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	Lies nur gute Bücher	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	liest gern gute Bücher	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	willst du lesen?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	Der Junge trank Kaffee	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	möchte Wasser trinken	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ein Vater und eine Mutter; Eltern	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	eine Schwester und eine Schwester, Geschwister	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	deine Eltern und Geschwister	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	ist bei Ihnen zu Hause	is in your home	grupo	alternativoj	prononco
level	jen la kafo	Hier ist der Kaffee	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	noch nicht getrunken	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	ist noch warm	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	habe es gestern gekocht	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Ich habe jetzt gekocht	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Danke. so sagte er.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	kann trinken und essen	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	trank kalten Kaffee	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	noch warmer Kaffee	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	trinkt auch kalten Kaffee	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	kann auch kalten Kaffee trinken	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	schaut ihr ins Auge	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	das schönste Auge	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	die schönen Augen	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	sah die schönen Augen	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	die schönen Augen von ihr	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	sieht und versteht	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Ich sehe das ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	dass er sie liebt	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	sie hat das Gefühl, dass er sie liebt	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	fragt, ob das groß war	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	über eine einfache Frage	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	sagte über ein neues Geld	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	sehr schöne Augen	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	sah aus wie der große Bruder	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	Eine kleine Schwester hat es vergessen	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ein Akkusativ (objektiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	Vergessen Sie nicht die Akkusativ-Endung	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	Wen siehst du? welches siehst du?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Ich sehe einen Freund	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	hat gute männliche und weibliche Freunde	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	Sie arbeiten am alten Haus	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	funktioniert, funktioniert, wird funktionieren	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	sieht, dass ich esse	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	sagte, dass er gehen wird	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	hässlich und schlecht	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	was hat Sie gesagt?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	Worauf wartest du?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	ging ins Zimmer	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	Ein Inhalt ist sehr schwierig	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	kam zum Treffen	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	herzlich willkommen zum Treffen	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	Ein alter Mann gab einen Tipp	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	angekommen und wurde begrüßt	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	Sie hassen, kooperieren aber	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	ging zum Hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	hat einfache Lehrbücher	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	Wie ging es deiner Mutter?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	Dein altes Zuhause	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	Welche Bücher hast du gelesen?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	Waren sie gut?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	Was hast du gestern gemacht?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	im kleinen Raum	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	sprach sehr lange	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	vor der Schule, vor der Schule	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	sprach vor der Schule	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	sprach später über das Buch	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	ging gerne in die Schule	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	durch die Straße	through the street	grupo	alternativoj	prononco
level	iris tra la strato	ging durch die Straße	went through the street	grupo	alternativoj	prononco
level	estis varma tago	war ein warmer Tag	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	sie sahen ein Café'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	sah rote Kekse	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	Habe Kekse darin gesehen	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	Ich habe ein Café gesehen und darin Kekse	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	geh rein und iss!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	Lass uns reinkommen und essen	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	genügend Geld hat	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	Hast du genug Geld?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	verstehst du?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	Natürlich!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	das ist nicht genug	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	hundert Dollar sind genug	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ein Dollar, Dollar, Dollar (Plural Ziel)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	hat hundert Dollar	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	natürlich habe ich	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Oh! du bist reich!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ein Wasser, eine Kellnerin	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	Ein Kellner bringt eine Speisekarte	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	brachte das zu uns, brachte das	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	Ein Kellner brachte viele Kekse	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	sie haben etwas (ein bisschen) gegessen	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	nach dem Essen (Mahlzeit)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	Wieder neu	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	Der Kellner kam wieder	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	an irgendeinem Ort	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	hatte irgendwo gesucht	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	an anderer Stelle gesucht	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	sein Gesicht war freudig	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	Sie war traurig	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	am Ende und endlich endlich	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	deine starke Stimme	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	mit schwacher Stimme	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	hat kein Geld	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	Was ist da passiert?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	Später kam es zu einem Unfall	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	Weißt du, wann es passiert ist?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	weiß von der Sache	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	immer noch eines bleibt	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	Sie oder sie, jede Person	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	als Sänger, als Unterzeichner	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	sang wie ein professioneller Sänger	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	ein der Ort, an dem sie lebte	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	Woher weißt du von dem Auto?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Schauen Sie sich das schnelle Auto an	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	ein Saft ohne Zucker	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	Er hat ein schnelles Fahrzeug	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	zu stark	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	er öffnete zu stark	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	fuhr (reist) zu schnell	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	mit einem Löffel gegessen	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	wir bezweifeln stark	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	ein wahrer Brief von ihm	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	ein Liebesbrief mit fünf Fotos	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	zurückgekehrt sind, die Menschen, die zurückgekehrt sind	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	außerdem gingen sechs Briefe zurück	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	wollte das Foto sehen	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	kam von der Schule zurück	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	Wann kommt die Schwester zurück?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	Wollte noch einmal lesen	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	gemacht (getan), wurde	made (did), became	grupo	alternativoj	prononco
