A.lt content.tsv
Level	Esperanto	lt	en-us	Grupo	Alternativoj	Pronoco
level	ĝis ~	iki ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(dabartis) mato, (praeitis) matė	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(praėjęs) pamatė, (praėjęs) vėl pamatė	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	dar pamačiau, dar pamatysiu	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	vėl pamatyti, vėl pamatyti (tikslas)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	iki pasimatymo!	see you again!	grupo	alternativoj	prononco
level	dankon	Ačiū	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ačiū ir iki pasimatymo!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	į ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	tau, man	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(dabartinis) ačiū, (praeitis) padėkojo	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Aš tave vertinu	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	taip ne	yes, no	grupo	alternativoj	prononco
level	jes, dankon	taip, aciu tau	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	valgo, valgys	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	aš nevalgau	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	ne, nevalgau	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	gražiai, gražiai	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	verta (pabaiga)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	dėkingas, vertas padėkos	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	visuma, kaip visuma	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	visi, (objektyvus) viskas	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	visai ne, sveiki	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	visiškai ne	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	atleisti, atleisti	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	atlaidus man	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Aš atsiprašau! (atleiskite man)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Atsiprašau, prašau	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	labas rytas	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Labas rytas	good morning	grupo	alternativoj	prononco
level	bonan nokton	Labos nakties	good night	grupo	alternativoj	prononco
level	bonan sonĝon	saldus sapnas	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	() geros kelionės jums	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	gera diena!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ar tai ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	ar tau gerai sekasi? (kaip laikaisi?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	taip, man viskas gerai	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Ne, visiškai ne	no, not at all	grupo	alternativoj	prononco
level	tre, tro	labai, per daug	very, too much	grupo	alternativoj	prononco
level	granda, grande	didelis, daugiausia	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	labai geras, per didelis	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	tau labai gerai sekasi	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	nelabai gerai	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	mokytis, mokymasis	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	žiūri, žiūrovas	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	mokosi, studentas (besimokantis asmuo)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, asmuo, kuris daro	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	studentas, žmogus, kuris išmoko	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Aš esu studentė.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ yra mano draugas	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	jis, ji	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sėdėti, sėdėti	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	sėdi, sėdėjo, sėdės	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	jis sėdi, o ji mokosi	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	kambarys	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	mokosi kambaryje	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	studentas ir sportininkas	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sportas ir sportininkas	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	sportininkas sportuoja	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	jis yra studentas	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	jis yra studentas ir sportininkas	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	jis dabar sėdi	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ir dabar mokosi	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	sėdi ir mokosi	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	dabar kambaryje	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	yra ant stalo	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	popierius ir popieriai	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	stalas ir stalai	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	knyga ir knygos	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	popierius ir knygas	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	tai yra ant stalo.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	rašo ant rašomojo stalo	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	knygos yra ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	ant stalo	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	vadovėlis ir vadovėliai	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	ant stalo yra ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	tėvas ir motina	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	tėvas ir motina	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mano draugo mama	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	kambaryje	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	kambaryje nėra	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	jie dabar dirba	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	jo tėvas yra darbininkas	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	jis dirba viešbutyje	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	moko mama	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ji yra mokytoja	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ar ji mama?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	ne, ji yra viešbučio savininkė	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	ne, aš nedirbu	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	koks jos vardas?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	kas dabar atsako?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	jų motinos kalba	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	ar tavo vardas ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	sėdime ir atsakome	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	jos darbo kėdė	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	jo pavadinimas nėra ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	jos kalba yra jų kalba	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	mūsų tėvas ir motina	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	tavo mokinys, tavo mokiniai	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	ar jie tavo mokiniai?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	ar tu studentas?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	ar tu kambaryje?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Aš nesu ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	esperantininkė ir moteris esperantininkė	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	užsiregistravo viešbučio kambaryje	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	kalbininkė ir darbuotoja	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	jo draugė yra ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studentai ir sportininkai	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	mano šeimos vardas ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	kas ji? kuri ji?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	yra tavo draugė	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	ar tavo draugas ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	dabar rašo kambaryje	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	ar tavo draugas tėvas ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	dirba viešbutyje	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	kas ant stalo?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	ant stalo mūsų kambaryje	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	yra esperanto kalbos vadovėlis ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	yra ant tavo stalo	is on your table	grupo	alternativoj	prononco
level	havas amikinon	turi draugą	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	jos vardas ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	jauna ir graži	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	yra jaunas ir gražus	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	jauni ir gražūs draugai	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	yra vyrų ir moterų draugai	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	jos mokytojos namai	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	atėjo į namus	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~ namai	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Prašome užeiti	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Labas, ka veiki?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	ką tu darai? ką tu darai?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	bet dabar noriu ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Aš noriu kalbėti	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	su trimis draugais vyrais ir moterimis	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	kalbėjosi su tavimi	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	nori su tavimi pasikalbėti	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	ar turite vyrų ir moterų draugų	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	jis turi knygą	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	turi gerą knygą	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	taip aš turiu	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	jiems tai patinka	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ji skaitė knygą	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	mėgsta skaityti knygas	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	tik gera knyga	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	daug gerų knygų	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	skaityti tik geras knygas	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	mėgsta skaityti geras knygas	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	ar nori skaityti?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	jaunuolis gėrė kavą	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	nori atsigerti vandens	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	tėvas ir motina; tėvai	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	vargšas ir sesuo, broliai ir seserys	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	tavo tėvai ir broliai ir seserys	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	yra jūsų namuose	is in your home	grupo	alternativoj	prononco
level	jen la kafo	čia kava	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	dar negėrė	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	vis dar šilta	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	viriau vakar	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Dabar gaminau	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	Ačiū. taip jis pasakė.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	gali gerti ir valgyti	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	gėrė šaltą kavą	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	dar šilta kava	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	geria ir šaltą kavą	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	gali gerti ir šaltą kavą	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	žiūri į jos akį	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	gražiausia akis	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	gražios akys	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	žiūrėjo į gražias akis	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	gražios jos akys	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	mato ir supranta	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Matau, kad ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	kad jis ją myli	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ji jaučia, kad jis ją myli	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	klausia, ar tai buvo didelis	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	apie lengvą klausimą	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	pasakė apie naujus pinigus	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	labai grazios akys	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	atrodė didysis brolis	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	mažoji sesutė tai pamiršo	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	akuzatatyvas (objektyvas)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	nepamirškite įkaltinės pabaigos	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	ką tu matai? kurį matai?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	matau draugą	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	turi gerų vyrų ir moterų draugų	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	jie dirba su senu namu	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	dirba, dirbo, dirbs	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	mato, kad valgau	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	pasakė, kad eis	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	bjaurus ir blogas	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ka ji pasake?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	ko lauki?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	nuėjo į kambarį	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	turinys yra labai sunkus	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	atvyko į susirinkimą	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	sveiki atvykę į susitikimą	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	senukas davė arbatpinigių	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	atvyko ir buvo sutiktas	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	jie nekenčia, bet bendradarbiauja	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	nuėjo į viešbutį	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	turi lengvus vadovėlius	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	kaip sekėsi tavo mamai?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	savo senus namus	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	kokias knygas skaitei?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	ar jie geri?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	ka darei vakar?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	mažame kambaryje	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	kalbėjo labai ilgai	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	priešais mokyklą, prieš mokyklą	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	kalbėjo prieš mokyklą	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	vėliau kalbėjo apie knygą	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	mielai ėjo į mokyklą	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	per gatvę	through the street	grupo	alternativoj	prononco
level	iris tra la strato	ėjo gatve	went through the street	grupo	alternativoj	prononco
level	estis varma tago	buvo šilta diena	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	jie pamatė kavinę	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	pamačiau raudonus sausainius	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	pamatė jame sausainius	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	pamatė kavinę“ ir joje sausainius	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	eik ir valgyk!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	ateikim ir pavalgysim	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	turi pakankamai pinigų	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	ar turi pakankamai pinigų?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	ar tu supranti?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	žinoma!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	to neužtenka	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	užtenka šimto dolerių	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	doleris, doleris, doleris (daugiskaita tikslas)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	turi šimtą dolerių	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	žinoma, turiu	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Oi! tu esi turtingas!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	vanduo, padavėja	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	padavėjas atneša meniu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	atnešė mums tai, atnešė tai	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	padavėjas atnešė daug sausainių	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	jie valgė šiek tiek (truputį)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	po valgio (valgio)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nauja, vėl	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	vėl atėjo padavėjas	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	kažkurioje vietoje	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	kažkur ieškojo	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	ieškojo kitoje vietoje	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	jo veidas buvo džiaugsmingas	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	jai buvo liūdna	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	pabaigoje ir pagaliau	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	tavo stiprus balsas	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	silpnu balsu	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	neturi pinigų	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	kas ten atsitiko?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	vėliau įvyko nelaimė	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	gal zinai kada tai atsitiko?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	žino apie reikalą	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	vis tiek liko vienas dalykas	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	tu ar ji, bet kuris asmuo	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	kaip dainininkas, kaip signataras	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	dainavo kaip profesionalus dainininkas	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	vieta, kurioje ji gyveno	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	iš kur žinai apie mašiną?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Na, pažiūrėkite į greitą automobilį	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	sultys be cukraus	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	jis turi greitą transporto priemonę	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	per stipriai	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	jis atsidarė per stipriai	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	važiavo (keliavo) per greitai	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	valgė su šaukštu	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	mes stipriai abejojame	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	tikras jo laiškas	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	meilės laišką su penkiomis nuotraukomis	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	grįžo, grįžę žmonės	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	taip pat grįžo šeši laiškai	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	norėjo pamatyti nuotrauką	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	grįžo iš mokyklos	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	kada grįš sesuo?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	norėjau perskaityti dar kartą	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	padarė (darė), tapo	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	greitai tapo raudonas	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	į kambarį, į kambarį	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	stovėjo ir sėdėjo	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	stovėjo priešais nuotrauką	there stood in front of the photo	grupo	alternativoj	prononco
