C.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	-ont-	(suffiks) aktiv fremtid, vil være ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	og	and	grupo	alternativoj	prononco
level	aŭ	eller	or	grupo	alternativoj	prononco
level	alta	høy, høy	high, tall	grupo	alternativoj	prononco
level	jes	ja	yes	grupo	alternativoj	prononco
level	ne	ikke nei	not, no	grupo	alternativoj	prononco
level	tiom	så mye, så mye, så mye	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	flink	good	grupo	alternativoj	prononco
level	kiom	hvor mye hvor mange	how much, how many	grupo	alternativoj	prononco
level	ofte	ofte, ofte	often, frequently	grupo	alternativoj	prononco
level	iom	litt, snarere, noe, noe	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ny, roman	new, novel	grupo	alternativoj	prononco
level	-at-	(suffiks) passiv presens partisipp	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffiks) passiv partisipp	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffiks) passiv fremtidig partisipp	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	veldig, ganske, veldig mye	very, quite, very much	grupo	alternativoj	prononco
level	tro	for, overdrevent, for mye	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	imidlertid, ikke desto mindre, men, likevel	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Åh! Hei!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	at ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	fordi ~	because ~	grupo	alternativoj	prononco
level	ĉu	om ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffiks) sted	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffiks) abstrakt navn på kvalitet	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	begge ~	both ~	grupo	alternativoj	prononco
level	tuj	umiddelbart, umiddelbart, med en gang	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	som om ~	as if ~	grupo	alternativoj	prononco
level	kiam	når	when	grupo	alternativoj	prononco
level	silenti	å være stille, å være stille	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	aldri, ikke på noe tidspunkt, aldri	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	derfor så	therefore, so	grupo	alternativoj	prononco
level	kial	hvorfor, hva for	why, what for	grupo	alternativoj	prononco
level	kvankam	selv om ~, mens, skjønt	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposisjon) ved ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	mer	more	grupo	alternativoj	prononco
level	plej	mest	most	grupo	alternativoj	prononco
level	diri	å si, å fortelle	to say, to tell	grupo	alternativoj	prononco
level	ol ~	enn ~	than ~	grupo	alternativoj	prononco
level	paroli	å snakke, å snakke	to speak, to talk	grupo	alternativoj	prononco
level	kia	hva slags, hva slags	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	sånn, sånn, sånn	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	knapt, knapt, knapt	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	å sende	to send	grupo	alternativoj	prononco
level	ĵus	bare (for et øyeblikk siden), akkurat nå	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffiks) imperativ	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	utenfor ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefiks) begge kjønn, begge kjønn	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffiks) ville, burde, konjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	snart	soon	grupo	alternativoj	prononco
level	almenaŭ	i hvert fall om ikke annet	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(endelse) beholder; land	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	å lære	to learn	grupo	alternativoj	prononco
level	ek-	(prefiks) begynnelse; plutselig start	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	hvis, forutsatt at	if, provided that	grupo	alternativoj	prononco
level	eĉ	til og med	even	grupo	alternativoj	prononco
level	amo	en kjærlighet	a love	grupo	alternativoj	prononco
level	jam	allerede, så snart, som nå	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Her! Se! Se	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	å avslutte, å fullføre, å avslutte	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	så, altså, derfor	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ever, (what)ever, at all, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	lett, lettvint	easy, facile	grupo	alternativoj	prononco
level	re-	(prefiks) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	stor, flott, stor	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffiks) profesjonell	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposisjon) på grunn av ~, på grunn av ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffiks) leder, sjef, sjef, sjef	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	hva	what	grupo	alternativoj	prononco
level	manĝi	å spise	to eat	grupo	alternativoj	prononco
level	nenio	ingenting, ingen, ikke noen ting	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	ung	young	grupo	alternativoj	prononco
level	ĉio	alt	everything	grupo	alternativoj	prononco
level	riĉa	rik, velstående, velstående	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	den tingen, den	that thing, that	grupo	alternativoj	prononco
level	konstrui	å bygge, å konstruere	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefiks) høvding, ledende, hoved	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposisjon) uten ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposisjon) med ~ (sammen)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposisjon) unntatt ~, foruten ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	en venn	a friend	grupo	alternativoj	prononco
level	kies	hvem sin, hvilken ens, hvorav	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposisjon) av ~ (en metode), med ~ (et verktøy)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	mot ~	against ~	grupo	alternativoj	prononco
level	el ~	ut av ~, fra ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	i dag	today	grupo	alternativoj	prononco
level	hieraŭ	i går	yesterday	grupo	alternativoj	prononco
level	nur	bare, bare, utelukkende	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	å hjelpe, å hjelpe, å hjelpe	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) langt, borte	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	heller, verken	nor, neither	grupo	alternativoj	prononco
level	malamo	et hat	a hate	grupo	alternativoj	prononco
level	preskaŭ	nesten, nesten	almost, nearly	grupo	alternativoj	prononco
level	tra ~	gjennom ~	through ~	grupo	alternativoj	prononco
level	super	over, over	over, above	grupo	alternativoj	prononco
level	trans ~	over ~, over ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	vel, vel da, nå	well, well then, now	grupo	alternativoj	prononco
level	pri ~	om ~	about ~	grupo	alternativoj	prononco
level	por ~	for ~, for ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	i morgen	tomorrow	grupo	alternativoj	prononco
level	nun	nå, for tiden	now, at present	grupo	alternativoj	prononco
level	laŭ ~	ifølge ~, langs ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	hver, hver, alle, alle	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	hvem, hvilken, hvilken	who, which, which one	grupo	alternativoj	prononco
level	tiu	den personen, den ~, den der borte	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	noen, noen, noen	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ingen, ingen, verken	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	til ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffiks) ~able	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	å håpe	to hope	grupo	alternativoj	prononco
level	unu	en	one	grupo	alternativoj	prononco
level	du	to	two	grupo	alternativoj	prononco
level	tri	tre	three	grupo	alternativoj	prononco
level	kvar	fire	four	grupo	alternativoj	prononco
level	kvin	fem	five	grupo	alternativoj	prononco
level	ses	seks	six	grupo	alternativoj	prononco
level	sep	syv	seven	grupo	alternativoj	prononco
level	ok	åtte	eight	grupo	alternativoj	prononco
level	naŭ	ni	nine	grupo	alternativoj	prononco
level	dek	ti	ten	grupo	alternativoj	prononco
level	cent	hundre	a hundred	grupo	alternativoj	prononco
level	mil	tusen	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffiks) for multiplisitet, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(endelse) ~th, brøk	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	av kjærlighet	of love	grupo	alternativoj	prononco
level	anstataŭ ~	i stedet for ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffiks) bli	(suffix)  become	grupo	alternativoj	prononco
level	voli	å ville, å ville, å være villig til	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffiks) føre til å bli	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	å følge	to follow	grupo	alternativoj	prononco
level	ĝoje	gjerne	gladly	grupo	alternativoj	prononco
level	legi	å lese	to read	grupo	alternativoj	prononco
level	silenta	stille	silent	grupo	alternativoj	prononco
level	la	de	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(suffiks) verktøy, metode	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	å drikke (ikke-alkohol)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffiks) liten, liten	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(endelse) stor, stor	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposisjon) mellom ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffiks) relatert atferd	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffiks) sett, gruppe	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffiks) medlem av en gruppe	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	å takke	to thank	grupo	alternativoj	prononco
level	-ind-	(suffiks) verdig, verdig	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	enda mer, videre, og så videre, mer	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	hvordan, liksom, på hvilken måte, som f.eks	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	slik, på den måten, altså	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposisjon) i ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposisjon) ved siden av ~, ved siden av ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposisjon) under, under ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposisjon) på ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposisjon) ubestemt prep., ved, i, ved, på	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) fortsatt, ennå	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposisjon) rundt ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	men	but	grupo	alternativoj	prononco
level	ie	et sted	somewhere	grupo	alternativoj	prononco
level	kie	hvor, på hvilket sted	where, at what place	grupo	alternativoj	prononco
level	silente	stille	silently	grupo	alternativoj	prononco
level	ĉie	overalt, alt om	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ingensteds, ikke i noe tilfelle, ikke noe sted	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	der, der borte, der borte	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	denne ~	this ~	grupo	alternativoj	prononco
level	kanti	å synge	to sing	grupo	alternativoj	prononco
level	morti	å dø, å gå bort	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposisjon) under ~, mens ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	en nasjon	a nation	grupo	alternativoj	prononco
level	koni	å kjenne (en person), å bli kjent med	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	å vite (et faktum, kunnskap), å vite hvordan	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	alltid, alltid	always, ever	grupo	alternativoj	prononco
level	iam	en gang, en gang	at some time, once	grupo	alternativoj	prononco
level	tiam	deretter	then	grupo	alternativoj	prononco
level	-em-	(suffiks) tendens	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	en slags	some kind of	grupo	alternativoj	prononco
level	sukcesi	å lykkes	to succeed	grupo	alternativoj	prononco
level	ĉia	av alle slag, alle slags	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	nei, ikke noen form for, ikke noen	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(endelse) avkom	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	et rom, et kammer	a room, a chamber	grupo	alternativoj	prononco
level	patro	en far	a father	grupo	alternativoj	prononco
level	porko	en gris, svin	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefiks) -sviger, ved ekteskap	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	faktisk	indeed	grupo	alternativoj	prononco
level	-ism-	(suffiks) -isme	(suffix)  -ism	grupo	alternativoj	prononco
level	io	noe	something	grupo	alternativoj	prononco
level	veturi	å kjøre (et kjøretøy)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	en hane, en høne, kylling, fugl	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	gratis	free	grupo	alternativoj	prononco
level	lasta	siste	last	grupo	alternativoj	prononco
level	ĝoji	å glede seg, å være glad, å nyte	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	å ta, å ta tak i	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	en ku, en okse, storfe	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	annet, annet, annet	another, other, else	grupo	alternativoj	prononco
level	varma	varmt, varmt	hot, warm	grupo	alternativoj	prononco
level	loĝi	å bo, å bo, å bo, å bebo	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	å tro	to believe	grupo	alternativoj	prononco
level	glacio	en fin	an ice	grupo	alternativoj	prononco
level	loko	et sted, et sted	a place, a location	grupo	alternativoj	prononco
level	ovo	et egg	an egg	grupo	alternativoj	prononco
level	multa	mye, mye, mange	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	en besittelse	a possession	grupo	alternativoj	prononco
level	ŝafo	en sau	a sheep	grupo	alternativoj	prononco
level	sono	en lyd	a sound	grupo	alternativoj	prononco
level	fiŝo	en fisk	a fish	grupo	alternativoj	prononco
level	bela	vakker, kjekk, pen	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	å svare, å svare, å svare	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	en anledning, en tid	an occasion, a time	grupo	alternativoj	prononco
level	demandi	å spørre	to ask	grupo	alternativoj	prononco
level	forta	sterk	strong	grupo	alternativoj	prononco
level	preter ~	hinsides ~, forbi ~, rett forbi	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	en stillhet	a silence	grupo	alternativoj	prononco
level	infano	et barn, et spedbarn	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	glad, heldig, heldig	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	å fange, å fange, å gripe	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	å ønske, å ønske	to desire, to wish	grupo	alternativoj	prononco
level	longa	lang	long	grupo	alternativoj	prononco
level	mondo	en verden	a world	grupo	alternativoj	prononco
level	okazi	å oppstå, å skje, å komme til	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	felt, et felt	field, a field	grupo	alternativoj	prononco
level	filo	en sønn	a son	grupo	alternativoj	prononco
level	montri	å vise, å indikere, å påpeke	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	et hjerte	a heart	grupo	alternativoj	prononco
level	knabo	en gutt	a boy	grupo	alternativoj	prononco
level	meti	å sette, å plassere, å legge seg	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	en ektemann	a husband	grupo	alternativoj	prononco
level	pako	pakke	package	grupo	alternativoj	prononco
level	rapida	raskt, raskt, raskt	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	å virke, å fremstå som	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	en hilsen, hilsen, hilsen	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	å skrive	to write	grupo	alternativoj	prononco
level	peti	å be, å be om, å be, å tigge	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	å fly	to fly	grupo	alternativoj	prononco
level	kapo	et hode, en kappe	a head, a cape	grupo	alternativoj	prononco
level	krii	å rope, å gråte, å skrike, å rope	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	rød	red	grupo	alternativoj	prononco
level	sinjoro	en herre, en gentleman	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	å holde, å henge på	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	tid, en tid	time, a time	grupo	alternativoj	prononco
level	tuta	total, alle, hele, komplett, samlet	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	en mann	a man	grupo	alternativoj	prononco
level	vojo	en vei, en sti, en rute	a way, a path, a route	grupo	alternativoj	prononco
level	movi	å flytte	to move	grupo	alternativoj	prononco
level	militi	å bryte en krig, å kjempe, å føre krig	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	noen få, flere	a few, several	grupo	alternativoj	prononco
level	dekstra	høyre, høyre (side, retning), høyre	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	å lukke, å stenge	to close, to shut	grupo	alternativoj	prononco
level	okupi	å okkupere, å ta	to occupy, to take	grupo	alternativoj	prononco
level	levi	å løfte, løfte, løfte	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	å slå, å slå, å slå, å smake, å piske	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	å trenge, å ville, å kreve	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	å forstå, å innse	to understand, to realise	grupo	alternativoj	prononco
level	iri	å gå	to go	grupo	alternativoj	prononco
level	veni	å komme	to come	grupo	alternativoj	prononco
level	porti	å bære, å bære	to carry, to wear	grupo	alternativoj	prononco
level	kovri	å dekke	to cover	grupo	alternativoj	prononco
level	hela	lyst, klart og lett	bright, clear and light	grupo	alternativoj	prononco
level	sana	sunn	healthy	grupo	alternativoj	prononco
level	aperi	å dukke opp, å dukke opp	to appear, to emerge	grupo	alternativoj	prononco
level	libro	ei bok	a book	grupo	alternativoj	prononco
level	atendi	å vente, å forvente, å vente på	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	en hånd	a hand	grupo	alternativoj	prononco
level	pentri	å male	to paint	grupo	alternativoj	prononco
level	instrui	å undervise, å instruere	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	å sitte	to sit	grupo	alternativoj	prononco
level	stari	å stå	to stand	grupo	alternativoj	prononco
level	afero	en ting, en gjenstand, en sak, en bekymring, en mater	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	full, komplett	full, complete	grupo	alternativoj	prononco
level	klara	klar	clear	grupo	alternativoj	prononco
level	komenci	å begynne, å begynne	to begin, to commence	grupo	alternativoj	prononco
level	dormi	å sove, å sove	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	en del, en andel	a part, a share	grupo	alternativoj	prononco
level	mono	penger	money	grupo	alternativoj	prononco
level	ricevi	å motta	to receive	grupo	alternativoj	prononco
level	ami	å elske	to love	grupo	alternativoj	prononco
level	devi	å måtte, må, bør, burde	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	kunne, kan	be able to, can	grupo	alternativoj	prononco
level	labori	å arbeide, å arbeide	to work, to labor	grupo	alternativoj	prononco
level	dio	en god	a god	grupo	alternativoj	prononco
level	urbo	en by, en by	a city, a town	grupo	alternativoj	prononco
level	ofta	hyppig, ofte	freqent, often	grupo	alternativoj	prononco
level	soni	å lyde, å lage lyd	to sound, to make sound	grupo	alternativoj	prononco
level	tero	jord, jord, jord	earth, land, soil	grupo	alternativoj	prononco
level	vivi	å leve, å være i live	to live, to be alive	grupo	alternativoj	prononco
level	resti	å bli, å forbli	to stay, to remain	grupo	alternativoj	prononco
level	ridi	å le	to laugh	grupo	alternativoj	prononco
level	homo	et menneske, en mann	a human, a man	grupo	alternativoj	prononco
level	akvo	vann	water	grupo	alternativoj	prononco
level	vorto	et ord	a word	grupo	alternativoj	prononco
level	certa	sikkert, sikkert	certain, sure	grupo	alternativoj	prononco
level	lando	et land, et land	a land, a country	grupo	alternativoj	prononco
level	sama	samme	same	grupo	alternativoj	prononco
level	ĵeti	å kaste	to throw	grupo	alternativoj	prononco
level	stelo	en stjerne	a star	grupo	alternativoj	prononco
level	domo	et hus, et hjem	a house, a home	grupo	alternativoj	prononco
level	nomo	et navn, en appellasjon	a name, an appellation	grupo	alternativoj	prononco
level	vidi	å se	to see	grupo	alternativoj	prononco
level	mola	myk	soft	grupo	alternativoj	prononco
level	horo	en time, klokka, tid	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	en form, en form	a form, a shape	grupo	alternativoj	prononco
level	tago	en dag	a day	grupo	alternativoj	prononco
level	fumo	en røyk	a smoke	grupo	alternativoj	prononco
level	ĉevalo	en hest	a horse	grupo	alternativoj	prononco
level	jaro	et år	a year	grupo	alternativoj	prononco
level	vojaĝi	å reise	to travel	grupo	alternativoj	prononco
level	celo	et mål, et mål, et formål, et mål	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	å føde, å bære, å generere	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	å savne, å mangle, å mangle	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	en fugl	a bird	grupo	alternativoj	prononco
level	halti	å stoppe, å stoppe, å stoppe	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	en bror	a brother	grupo	alternativoj	prononco
level	monto	et fjell	a mountain	grupo	alternativoj	prononco
level	pensi	å tenke	to think	grupo	alternativoj	prononco
level	permesi	å tillate, å tillate	to permit, to allow	grupo	alternativoj	prononco
level	kosti	å koste	to cost	grupo	alternativoj	prononco
level	lito	en seng, en sofa	a bed, a couch	grupo	alternativoj	prononco
level	perdi	å tape	to lose	grupo	alternativoj	prononco
level	miri	å overraske, å bli overrasket, å bli forbauset	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	en person	a person	grupo	alternativoj	prononco
level	diversa	mangfoldig, variert, variert	diverse, varied, various	grupo	alternativoj	prononco
level	provi	å prøve, å prøve	to try, to attempt	grupo	alternativoj	prononco
level	pagi	å betale	to pay	grupo	alternativoj	prononco
level	prezenti	å presentere, å introdusere	to present, to introduce	grupo	alternativoj	prononco
level	aparta	fra hverandre, spesielt, adskilt	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	rett, en rett	right, a right	grupo	alternativoj	prononco
level	mateno	morgen, en morgen	morning, a morning	grupo	alternativoj	prononco
level	agrabla	hyggelig, hyggelig, hyggelig	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	kveld, en kveld	evening, an evening	grupo	alternativoj	prononco
level	muro	en vegg	a wall	grupo	alternativoj	prononco
level	suno	sol, en sol	sun, a sun	grupo	alternativoj	prononco
level	rigardi	å se, å se på	to look, to look at	grupo	alternativoj	prononco
level	senti	å føle, å sanse	to feel, to sense	grupo	alternativoj	prononco
level	blanka	hvit, blank	white, blank	grupo	alternativoj	prononco
level	simpla	enkel	simple	grupo	alternativoj	prononco
level	rimarki	å legge merke til	to notice	grupo	alternativoj	prononco
level	lingvo	et språk, tunge	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	å endre, å snu	to change, to turn	grupo	alternativoj	prononco
level	renkonti	å møte, å møte, å komme over	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	å bruke	to use	grupo	alternativoj	prononco
level	timi	å frykte, å være redd for	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	ekte, sant	real, true	grupo	alternativoj	prononco
level	sola	alene, bare, eneste, enslig	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	fred, en fred	peace, a peace	grupo	alternativoj	prononco
level	rakonti	å fortelle, å fortelle, å relatere	to narrate, to tell, to relate	grupo	alternativoj	prononco
