A.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	dankas, dankis	(prezent) mulțumesc, (trecut) mulțumit	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Vă apreciez	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	da nu	yes, no	grupo	alternativoj	prononco
level	jes, dankon	da, multumesc	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	mănâncă, va mânca	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	eu nu mananc	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	nu, nu mananc	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	frumos, frumos	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	merita (sfarsit)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	apreciabil, merită mulțumit	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	întreg, ca întreg	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	all, (obiectiv) all	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	deloc, bine ai venit	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	total nu	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	a ierta, o iertare	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	o iertare pentru mine	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Îmi pare rău! (scuza-ma)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Îmi pare rău, vă rog	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	o dimineata buna	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Buna dimineata	good morning	grupo	alternativoj	prononco
level	bonan nokton	noapte bună	good night	grupo	alternativoj	prononco
level	bonan sonĝon	Somn uşor	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(să ai) o călătorie bună, pentru tine	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	o zi buna!	good day!	grupo	alternativoj	prononco
level	ĉu ~	este ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	esti bine? (ce mai faci?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Da, sunt bine	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	nu deloc	no, not at all	grupo	alternativoj	prononco
level	tre, tro	foarte, prea mult	very, too much	grupo	alternativoj	prononco
level	granda, grande	mare, în mare măsură	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	foarte bun, prea mare	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	te descurci foarte bine	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	nu foarte bine	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	a învăța, o învățare	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	se uită, un spectator	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	învață, un student (o persoană care învață)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, o persoană care face	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	un student, o persoană care a învățat	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Sunt un student.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ este prietenul meu	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	el ea	he, she	grupo	alternativoj	prononco
level	sidi, sidas	a sta, sta	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	stă, a stat, va sta	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	el stă și ea învață	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	o cameră	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	învață într-o cameră	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	un student și un sportiv	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	sport și un sportiv	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	un sportiv face sport	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	el este un elev	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	este student și sportiv	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	el stă acum	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	și acum învață	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	stă și învață	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	acum într-o cameră	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	este pe o masă	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	o hârtie și hârtii	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	o masă și mese	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	o carte și cărți	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	hârtiile și cărțile	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	este pe o masă.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	scrie pe o masă de scris	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	cărțile sunt ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	pe masă	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	un manual și manualele	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	pe masă este ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	un tată și o mamă	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	tatăl și mama	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	mama prietenului meu	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	în camera	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	nu este în cameră	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	acum lucrează	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	tatăl lui este muncitor	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	lucrează într-un hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	invata mama	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ea este o profesoara	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	este mama?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	nu, este un hotelier	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	nu, nu lucrez	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	care este numele ei?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	cine raspunde acum?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	limba mamei lor	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	numele tău este ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	stăm și răspundem	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	scaunul ei de lucru	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	numele lui nu este ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	limba ei este limba lor	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	tatăl și mama noastră	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	elevul tău, studenții tăi	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	sunt elevii tăi?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	eşti student?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	esti in camera?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Eu nu sunt ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	un esperantist şi o femeie esperantistă	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	am făcut check-in pentru camera de hotel	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	un lingvist și o muncitoare	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	prietena lui este ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	studenți și sportivi	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	numele meu de familie este ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	cine este ea? care este ea?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	Este prietena ta	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	prietenul tău este ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	scrie acum în cameră	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	prietenul tău este tată ~ ?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	lucrează într-un hotel	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	ce e pe masă?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	pe masa din camera noastră	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	este manualul de esperanto ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	este pe masa ta	is on your table	grupo	alternativoj	prononco
level	havas amikinon	are un prieten	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	numele ei este ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	tânăra și frumoasa	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	este tânără și frumoasă	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	prieteni tineri și frumoși	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	sunt prieteni bărbați și femei	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	o casă a profesorului ei	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	a venit la casă	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	casa lui ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	Te rog, intra	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	buna ce faci?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	ce faci? ce faci?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	dar acum vreau ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	vreau sa vorbesc	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	cu trei prieteni bărbați și femei	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	a vorbit cu tine	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	vrea să vorbească cu tine	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	ai prieteni bărbați și femei?	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	are o carte	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	are o carte buna	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	da, am	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	lor le place	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	ea a citit o carte	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	îi place să citească cărți	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	doar o carte bună	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	multe cărți bune	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	citeste doar carti bune	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	îi place să citească cărți bune	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	vrei sa citesti?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	tânărul a băut cafea	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	vrea să bea apă	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	un tată și o mamă; părinţi	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	un deran și o soră, frați	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	părinţii şi fraţii tăi	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	este în casa ta	is in your home	grupo	alternativoj	prononco
level	jen la kafo	aici este cafeaua	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	nu am băut încă	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	este încă cald	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	l-am gatit ieri	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Am gătit acum	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	mulțumesc. asa a spus el.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	poate bea și mânca	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	a băut cafea rece	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	cafea încă caldă	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	bea si cafea rece	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	poate bea si cafea rece	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	se uită la ochiul ei	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	cel mai frumos ochi	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	ochii frumoși	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	privi ochii frumoși	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	ochii frumoși ai ei	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	vede si intelege	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Văd că ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	că o iubește	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	ea simte că o iubește	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	întreabă dacă a fost mare	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	despre o întrebare ușoară	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	a spus despre bani noi	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	ochi foarte frumoși	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	privi fratele mai mare	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	o soră mai mică a uitat-o	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	un acuzativ (obiectiv)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	nu uita de finalul acuzativ	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	pe cine te vezi? pe care o vezi?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Văd un prieten	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	are prieteni buni, bărbați și femei	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	lucrează la casa veche	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	lucrează, lucrează, va funcționa	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	vezi, că mănânc	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	a spus că va merge	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	urât și rău	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	ce a spus ea?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	ce mai astepti?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	a intrat în cameră	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	un continut este foarte dificil	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	ajuns la întâlnire	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	bun venit la întâlnire	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	un bătrân a dat un bacşiş	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	a sosit și a fost binevenit	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	urăsc, dar cooperează	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	mers la hotel	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	are manuale ușoare	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	cum a fost mama ta?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	vechea ta casă	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	ce carti ai citit?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	au fost bune?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	ce ai facut ieri?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	în camera mică	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	vorbit foarte mult timp	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	în fața școlii, înaintea școlii	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	a vorbit înaintea școlii	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	mai târziu a vorbit despre carte	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	a mers bucuros la scoala	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	prin strada	through the street	grupo	alternativoj	prononco
level	iris tra la strato	a trecut prin stradă	went through the street	grupo	alternativoj	prononco
level	estis varma tago	a fost o zi caldă	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	au văzut o cafenea	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	am văzut prăjituri roșii	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	am văzut prăjituri în el	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	am văzut o cafenea și în ea prăjituri	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	intră și mănâncă!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	hai să intrăm și să mâncăm	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	are suficienți bani	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	ai suficienți bani?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	înțelegi?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	desigur!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	asta nu este suficient	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	o sută de dolari este suficient	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	un dolar, dolari, dolari (obiectiv la plural)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	are o sută de dolari	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	bineinteles ca am	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	Oh! esti bogat!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	o apă, o chelneriță	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	un chelner aduce un meniu	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	ne-a adus asta, a adus asta	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	un chelner a adus o mulțime de fursecuri	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	au mâncat (puțin)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	dupa masa (masa)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	nou, din nou	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	a venit din nou chelnerul	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	pe undeva	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	căutase pe undeva	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	căutat în alt loc	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	faţa lui era veselă	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	era tristă	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	în cele din urmă și în cele din urmă	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	vocea ta puternică	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	cu voce slabă	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	nu are bani	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	ce s-a intamplat acolo?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	un accident a avut loc mai târziu	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	stii cand s-a intamplat?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	știe despre chestiune	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	încă mai rămâne un lucru	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	tu sau ea, orice persoană	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	ca un cântăreț, ca un semnatar	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	a cântat ca un cântăreț profesionist	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a locul unde a locuit	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	de unde știi despre mașină?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	Ei bine, uită-te la mașina rapidă	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	un suc fara zahar	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	are un vehicul rapid	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	prea puternic	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	a deschis prea tare	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	a condus (a călătorit) prea repede	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	mâncat cu o lingură	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	ne îndoim puternic	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	o scrisoare adevărată de la el	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	o scrisoare de dragoste cu cinci fotografii	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	s-au întors, oamenii care s-au întors	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	de asemenea, șase scrisori returnate	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	am vrut sa vad fotografia	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	s-a întors de la școală	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	când se va întoarce sora?	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	a vrut să citească din nou	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	a făcut (a făcut), a devenit	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	a devenit rapid roșu	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	într-o cameră, într-o cameră	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	a stat și a stat	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	stătea în fața fotografiei	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	Eu am asta	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	ce ai in mana?	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	in fata sau in spate?	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	inainte sau dupa?	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	acolo în spatele ușii	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	alții, alți oameni	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	scrisori de la alții	letters from others	grupo	alternativoj	prononco
level	falis el la mano	a căzut din mână	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	pe masă, pe masă	on the table, onto the table	grupo	alternativoj	prononco
