B.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	jen mia nomkarto	ဒီမှာ ငါ့နာမည်ကတ်	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	လိုချင်ရင်	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	လိုချင်ရင် ဒီမှာ ငါ့ကတ်ပါ။	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	အဲဒီအပေါ်မှာ ~ ရှိတယ်။	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	အဲဒီအပေါ်မှာ လိပ်စာတစ်ခုလည်း ရှိတယ်။	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	ဝဘ်ဆိုဒ်တစ်ခု၏လိပ်စာတစ်ခုရှိသည်။	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	Espernato သင်တန်းနှင့်ဆိုက်တစ်ခုသို့လိပ်စာ	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	ကျေးဇူးတင်ပါသည်	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	ငါ မင်းကို အီးမေးလ်ပို့မယ်။	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	ကောင်းပြီ!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ပြန်လည်ဆုံတွေ့ပြီး ကောင်းသောညပါ!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	နောက်မှတွေ့မယ်!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ တွင်ပေါ်လာသည်။	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ instant messanger တွင် ပေါ်လာသည်။	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	မင်းက အဲဒီလူလား။	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ငါနှင့်အတူ ကပြဖူးသော ပုဂ္ဂိုလ်၊	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	စနေနေ့ည	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	မင်းက အဲဒီလူက ငါနဲ့ စနေညက ကတာလား။	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	ဟုတ်တယ် ငါပဲ။	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	ကျေနပ်ပါတယ်~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	မင်းဆိုက်ကိုရောက်လာတာ ငါကျေနပ်တယ်။	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	သင်နှစ်သက်ပါသလား။ (သင်ကြိုက်လား?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ဟုတ်ကဲ့	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	အရမ်းလှတယ်။	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	စိတ်ဝင်စားစရာကောင်းပုံရသည်။	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	အလွန်လှပပြီး စိတ်ဝင်စားစရာကောင်းပုံရသည်။	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	မဟုတ်သေးဘူး~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	လုံးဝအဆင်သင့်မဖြစ်သေးပါ။	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	လုံးဝအဆင်သင့်မဖြစ်သေးပါဘူး။	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ဒါပေမယ့် မကြာခင်မှာ ဖြစ်လိမ့်မယ်။	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	နားလည်ပါတယ် (မြင်ပါတယ်)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ဒါပေမယ့် အကူအညီကိရိယာတွေ အများကြီးရှိနေပြီ။	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	အဘိဓာန်	a dictionary	grupo	alternativoj	prononco
level	superrigardo	ခြုံငုံသုံးသပ်ချက်	an overview	grupo	alternativoj	prononco
level	ekzerco	ယစ်မျိုး	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	ဥပမာ စကားလုံးများ၊ ခြုံငုံသုံးသပ်ချက်၊ messanger နှင့် excerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	သဒ္ဒါ၏ခြုံငုံသုံးသပ်ချက်	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	instant messenger နှင့် အမျိုးမျိုးသော လေ့ကျင့်ခန်းများ	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	ဒါဟာ ကောင်းမွန်တဲ့ စတင်မှုတစ်ခုပါပဲ။	it is a good start	grupo	alternativoj	prononco
level	pardonon	ခွင့်လွှတ်ပါ တောင်းပန်ပါတယ်	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	~ ငါနဲ့ စကားပြောရမယ်။	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	အခြားသူတစ်ဦးနှင့်စကားပြောရန်	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	တောင်းပန်ပါတယ်၊ တခြားလူနဲ့ စကားပြောသင့်တယ်။	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	ဘာသာစကားအကူအညီပေးသူ	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	ငါက သူ့ဘာသာစကားကို ကူညီသူပါ။	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	အခု သူက ~ အကြောင်းကို ပြောပြချင်နေပြီ။	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	လေ့ကျင့်ခန်းအကြောင်းပြောရန်	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	မကြာခင်ပြန်လာလိမ့်မယ်။	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	မကြာခင် မင်းဆီ ငါပြန်လာမယ်။	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	မိနစ်အတော်ကြာပြီးနောက်	after several minutes	grupo	alternativoj	prononco
level	finparolis	ပြောပြီးပြီ။	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	အခုတော့ လေ့ကျင့်ခန်းအကြောင်း ပြောပြီးပါပြီ။	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	အတောအတွင်း၊ ခဏ	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	လောလောဆယ်မှာ Esperanto အကြောင်း ဖတ်တယ်။	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	မသေချာပါဘူး။	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	~ ​တော်တော်​သိတယ်​	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	ဘာသာစကားအကြောင်း လုံလုံလောက်လောက် မသိသေးဘူး။	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ထက်မြက်သောအဖြေတစ်ခု	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	ဆိုဒ်မှာကြည့်မယ်။	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	နည်းနည်းတော့ ကြိုးစားလေ့လာပါ့မယ်	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	မင်းက ငါ့ဘာသာစကားကို ကူညီသူဖြစ်ချင်လား။	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	အဲဒါလည်း!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	ရပါတယ်!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	ကျေးဇူးမတန်ပေမယ့် နမ်းရကျိုးနပ်တယ်။	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	Esperanto တွင် ဤသို့ဆိုသည်။	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	ဘာလဲ? နားမလည်ဘူး။	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	အဘိဓာန်မှာ ကြည့်လို့ရတယ်။	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	ကံမကောင်းပါ။	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	ငါ အခု အင်တာနက်ကနေ ဖြတ်ရမယ်။	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	ညနေ ပြန်လာခဲ့မယ်။	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	အဲဒီ့အချိန်ကျရင် ကျွန်တော် ဒီဆိုဒ်မှာ ရှိမယ်ထင်တယ်။	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ပြီးပြည့်စုံသော!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ဒါဆိုတွေ့မယ်!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	နောက်မှတွေ့မယ်!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	ညဦးယံ၌လည်း instant messenger မှာ	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	ထပ်မံနှုတ်ခွန်းဆက်ပါတယ်! (ပြန်လည်-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	ထပ်မံနှုတ်ခွန်းဆက်ပါတယ်!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	ဆိုက်ကနေ စာမျက်နှာအားလုံးနီးပါးကို ကြည့်လိုက်တယ်။	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	အတော်လေးကောင်း! အရမ်းကောင်း!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	ငါ့မှာ မေးခွန်းပေါင်းများစွာရှိတယ်။	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	မင်းအချိန်ရလား?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ဟုတ်တယ် ညနေ လွတ်တယ်။	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	ဒါကြောင့် သင့်မေးခွန်းတွေကို ရေးပါ။	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	ငါကြိုးစားပြီးဖြေမယ်။	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	အက်စပရန်တိုမှာ ယဉ်ကျေးမှုရှိတယ်လို့ ဖတ်ရတယ်။	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	သို့​သော်​ နားမလည်​ဘူး~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	ဒီလိုယဉ်ကျေးမှုမျိုးကို ဘယ်မှာ ရှာတွေ့နိုင်မလဲ။	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ဘယ်နေရာမှာ ~ ဘယ်နေရာမှာ တွေ့ရမလဲ။	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	အက်စပရန်တိုပြောတတ်တဲ့လူတွေရှိတဲ့နေရာ	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ဒါပေမယ့် လူက Esperanto မသုံးပါဘူး။	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	မှန်တယ်!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ဒါပေမယ့် Esperanto ပြောတဲ့သူတွေ၊	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	ခရီးထွက်ပြီး တခြား Esperantists တွေနဲ့ တွေ့ဆုံလေ့ရှိပါတယ်။	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	ထိုအစည်းအဝေးများအတွင်း	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	အခြေအနေအများစုတွင် ဘာသာစကားကို အသုံးပြုကြသည်။	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	ဒါဆို ~ မင်းတွေ့လိမ့်မယ်။	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ယဉ်ကျေးမှုကိုတွေ့မယ်။	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	Esperanto ၏ယဉ်ကျေးမှုကိုတွေ့လိမ့်မည်။	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ကောင်းပြီ၊ သီချင်းရှိလား။	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	ဂီတ၊ စာပေ၊ ပြဇာတ်	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	စသည်တို့	etc	grupo	alternativoj	prononco
level	same kiel ~	~ နဲ့အတူတူပါပဲ။	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	တခြားဘာသာစကားတွေအတွက်လည်း အလားတူပါပဲ။	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	ပမာဏက သိပ်မကြီးပါဘူး။	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	တိုင်းရင်းသားဘာသာစကားများကဲ့သို့ ကြီးမားသည်။	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ဒါပေမယ့် အဲဒါက အရေးမကြီးပါဘူး။	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	အနည်းဆုံးတော့ ငါ့အတွက်မဟုတ်ဘူး။	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	နားထောင်ချင်ရင် ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	Esperanto တွင် သီချင်းတစ်ပုဒ်နားဆင်ရန်	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	ဒီမှာ &quot;Lisa ပန်းချီဆွဲတယ်&quot; သီချင်း၊	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	သီချင်းနားထောင်တယ်။	listens to the song	grupo	alternativoj	prononco
level	ne malbone	မဆိုးပါဘူး	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	Esperanto တွင် စာအုပ်များစွာကို သင်တွေ့လိမ့်မည်။	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	စာအုပ်တွေကို ကြည့်တယ်။	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	အများကြီး	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	Esperanto မှာ သင်အများကြီးဖတ်သလား။	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ဟုတ်တယ်၊ တစ်ခါတစ်ရံ (ရံဖန်ရံခါ)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ဘာသာစကားလေ့လာဖူးရင်	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	စာအုပ်ကောင်းလေးတွေကို ညွှန်းပေးပါ့မယ်	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~ အကြောင်းပါ။	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	တခြားမေးခွန်းက ငါ့နာမည်အကြောင်းပါ။	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	မင်း စောစောက ပြောခဲ့တာ ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	~ဆက်စပ်မှုရှိတယ်။	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	၎င်းသည် Esperanto နှင့်ဆက်စပ်နေသည်ဟုဆိုသည်။	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	အိုး၊ ဟုတ်တယ်၊ အဲဒါနဲ့ ပတ်သက်ပြီး	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~ နာမည်နဲ့ ယောက်ျား	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	တစ်ချိန်က နာမည်နဲ့ ယောက်ျားတစ်ယောက် နေထိုင်ခဲ့တယ်။	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	သူသည် Esperanto လှုပ်ရှားမှုတွင် အလွန်တက်ကြွသည်။	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	လုံးဝအသစ်ဖြစ်တုန်းက	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	စာအုပ်ကို ~ ဘာသာပြန်သည်	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	စာအုပ်များစွာကို Esperanto သို့ ဘာသာပြန်ဆိုခဲ့သည်။	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	အဲဒါက သူ့ကို နာမည်ကြီးစေခဲ့တာလား။	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	ထိုအချိန်က Esperanto အတွက် အရေးကြီးဆုံးတစ်ခုဖြစ်သည်။	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	ပြီးတော့ သူက ဘာသာစကားစတိုင်အပေါ် အများကြီး လွှမ်းမိုးခဲ့တယ်။	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	မဟုတ်ဘူး၊ သူက အရေးကြီးပြီး သြဇာရှိတယ်။	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	သို့သော် သူသည် ရုတ်တရက် လှုပ်ရှားမှုကို စွန့်လွှတ်လိုက်သည်။	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	စိတ်ကူးယဉ်လိုက်တာ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	တော်တော်များများကို ထိတ်လန့်စေတယ်လို့ ကျွန်တော်ထင်ပါတယ်။	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	သူဘာလို့ Esperanto က ထွက်သွားတာလဲ။	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	ငါယုံတယ်~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	သူက Esperantists တွေကို မကျေနပ်ဘူး။	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	~ သူနဲ့တူတဲ့ စကားတစ်​ခု​ပြောခဲ့တယ်​	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto သည် Esperanto များကိုယ်တိုင် သင်ယူရပါမည်။	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	သူ ဘာကို ပြောချင်တာလဲ ~	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	သူဘာကိုပြောချင်တာလဲ၊	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	~ ဖြစ်နိုင်တယ်။	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	လူတွေက Esperanto ကို ဆိုးဆိုးရွားရွားပြောကြတယ်။	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	လူတွေက ဆိုးဆိုးရွားရွားပြောကြတာ ဖြစ်နိုင်တယ်။	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	၁၉၁၁ ခုနှစ်တွင် အက်စပရန်တိုမှ ထွက်ခွာခဲ့သည်။	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ဒါပေမယ့် ငါထင်တယ် ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	ပိုမြင့်တယ်။	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	ယနေ့ခေတ်တွင် ဘာသာစကားအဆင့်သည် ပိုမိုမြင့်မားလာသည်။	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	Esperantists များ၏ဘာသာစကားအဆင့်	the language level of the Esperantists	grupo	alternativoj	prononco
