A.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	pardonon	Συγγνώμη! (με συγχωρείτε)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Λυπάμαι, παρακαλώ	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	καλημέρα	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Καλημέρα	good morning	grupo	alternativoj	prononco
level	bonan nokton	καληνυχτα	good night	grupo	alternativoj	prononco
level	bonan sonĝon	όνειρα γλυκά	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(Καλό ταξίδι) σε σένα	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	καλή μέρα!	good day!	grupo	alternativoj	prononco
level	ĉu ~	είναι ~ ;	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	τα πας καλα? (Πώς είσαι?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ναι είμαι καλά	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	όχι, καθόλου	no, not at all	grupo	alternativoj	prononco
level	tre, tro	πολύ, πάρα πολύ	very, too much	grupo	alternativoj	prononco
level	granda, grande	μεγάλο, σε μεγάλο βαθμό	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	πολύ καλό, πολύ μεγάλο	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	τα πας πολυ καλα	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	όχι πολύ καλά	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	να μάθεις, μια μάθηση	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	κοιτάζει, θεατής	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	μαθαίνει, μαθητής (μαθητής)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, πρόσωπο που κάνει	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	ένας μαθητής, ένας άνθρωπος που έχει μάθει	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Είμαι μαθητής.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ είναι φίλος μου	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	αυτός αυτή	he, she	grupo	alternativoj	prononco
level	sidi, sidas	να κάθεται, κάθεται	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	κάθεται, καθόταν, θα κάθεται	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	αυτός κάθεται και αυτή μαθαίνει	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	ένα δωμάτιο	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	μαθαίνει σε ένα δωμάτιο	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	μαθητής και αθλητής	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	αθλητισμός και αθλητής	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	ένας αθλητής αθλείται	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	είναι μαθητής	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	είναι μαθητής και αθλητής	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	τώρα κάθεται	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	και τώρα μαθαίνει	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	κάθεται και μαθαίνει	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	τώρα σε ένα δωμάτιο	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	είναι σε ένα τραπέζι	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	ένα χαρτί και χαρτιά	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ένα τραπέζι και τραπέζια	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ένα βιβλίο και βιβλία	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	τα χαρτιά και τα βιβλία	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	είναι σε ένα τραπέζι.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	γράφει σε ένα τραπέζι γραφής	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	τα βιβλία είναι ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	πάνω στο τραπέζι	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	ένα σχολικό βιβλίο και τα σχολικά βιβλία	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	στο τραπέζι υπάρχει ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	ένας πατέρας και μια μητέρα	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	ο πατέρας και η μητέρα	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	η μητέρα του φίλου μου	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	στο δωμάτιο	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	δεν είναι στο δωμάτιο	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	τώρα εργάζονται	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	ο πατέρας του είναι εργάτης	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	εργάζεται σε ξενοδοχείο	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	διδάσκει η μητέρα	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	είναι δασκάλα	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	είναι μάνα;	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	όχι, είναι ξενοδόχος	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	όχι, δεν δουλεύω	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	ποιο είναι το όνομά της?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	ποιος απανταει τωρα	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	τη γλώσσα της μητέρας τους	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	είναι το όνομά σου ~ ;	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	καθόμαστε και απαντάμε	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	την καρέκλα εργασίας της	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	το όνομά του δεν είναι ~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	η γλώσσα της είναι η γλώσσα τους	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	ο πατέρας και η μητέρα μας	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	ο μαθητής σου, οι μαθητές σου	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	είναι μαθητές σου;	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	είσαι μαθητής?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	είσαι στο δωμάτιο;	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	δεν είμαι ~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	μια Εσπεραντίστρια και μια γυναίκα Εσπεραντίστρια	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	έκανε check in για το δωμάτιο του ξενοδοχείου	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	μια γλωσσολόγος και μια εργάτρια	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	η φίλη του είναι ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	μαθητές και αθλητές	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	το όνομα της οικογένειάς μου είναι ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	ποιά είναι αυτή? ποια είναι αυτή;	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	είναι το κορίτσι σου	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	είναι φίλος σου ~ ;	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	γράφει τώρα στο δωμάτιο	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	είναι ο φίλος σου πατέρας ~ ;	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	δουλεύει σε ξενοδοχείο	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	τι είναι στο τραπέζι;	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	στο τραπέζι του δωματίου μας	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	είναι το εγχειρίδιο της Εσπεράντο ~ ;	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	είναι στο τραπέζι σας	is on your table	grupo	alternativoj	prononco
level	havas amikinon	έχει φίλο	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	το όνομά της είναι ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	νέος και ωραίος	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	είναι νέος και όμορφος	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	νέους και όμορφους φίλους	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	είναι φίλοι άνδρες και γυναίκες	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	ένα σπίτι του δασκάλου της	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	ήρθε στο σπίτι	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	το σπίτι του ~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	ΠΑΡΑΚΑΛΩ ΠΕΡΑΣΤΕ	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Γειά σου τι κάνεις?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	τι κάνεις? τι κάνεις?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	αλλά τώρα θέλω ~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	θέλω να μιλήσω	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	με τρεις άντρες-γυναίκες φίλους	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	μίλησε μαζί σου	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	θέλει να μιλήσει μαζί σου	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	έχεις φίλους άντρες-γυναίκες	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	έχει ένα βιβλίο	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	έχει καλό βιβλίο	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	ναι έχω	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	τους αρέσει	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	αυτή διάβασε ένα βιβλίο	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	του αρέσει να διαβάζει βιβλία	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	μόνο ένα καλό βιβλίο	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	πολλά καλά βιβλία	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	διαβάστε μόνο καλά βιβλία	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	του αρέσει να διαβάζει καλά βιβλία	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	θες να διαβάσεις;	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	ο νεαρός ήπιε καφέ	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	θέλει να πιει νερό	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	ένας πατέρας και μια μητέρα? γονείς	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	ένας ενοχλητής και μια αδερφή, αδέρφια	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	τους γονείς και τα αδέρφια σου	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	είναι στο σπίτι σας	is in your home	grupo	alternativoj	prononco
level	jen la kafo	εδώ είναι ο καφές	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	δεν ήπιε ακόμα	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	είναι ακόμα ζεστό	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	το μαγείρεψε χθες	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Τώρα μαγείρεψα	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	ευχαριστώ. έτσι είπε.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	μπορεί να πιει και να φάει	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	ήπιε κρύο καφέ	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	ακόμα ζεστός καφές	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	πίνει και κρύο καφέ	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	μπορεί επίσης να πιει κρύο καφέ	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	κοιτάζει το μάτι της	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	το πιο όμορφο μάτι	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	τα όμορφα μάτια	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	κοίταξε τα όμορφα μάτια	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	τα όμορφα μάτια της	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	βλέπει και καταλαβαίνει	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	βλέπω ότι ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	ότι την αγαπά	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	νιώθει ότι την αγαπάει	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	ρωτά αν ήταν μεγάλο	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	για μια εύκολη ερώτηση	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	είπε για νέα χρήματα	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	πολύ όμορφα μάτια	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	φαινόταν ο μεγάλος αδερφός	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	μια μικρή αδερφή το ξέχασε	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	ένα κατηγορούμενο (αντικειμενικό)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	μην ξεχνάτε την αιτιατική κατάληξη	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	ποιον βλεπεις ποιο βλεπεις	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Βλέπω έναν φίλο	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	έχει καλούς άντρες-γυναίκες φίλους	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	δουλεύουν για το παλιό σπίτι	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	λειτουργεί, δούλεψε, θα λειτουργήσει	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	βλέπει, ότι τρώω	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	είπε, ότι θα πάει	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	άσχημο και κακό	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	τι είπε?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	Τι περιμένεις?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	πήγε στο δωμάτιο	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	ένα περιεχόμενο είναι πολύ δύσκολο	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	έφτασε στη συνάντηση	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	καλώς ήρθατε στη συνάντηση	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	ένας γέρος έδωσε μια συμβουλή	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	έφτασε και έγινε δεκτός	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	μισούν αλλά συνεργάζονται	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	πήγε στο ξενοδοχείο	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	έχει εύκολα σχολικά βιβλία	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	πώς ήταν η μητέρα σου;	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	το παλιό σου σπίτι	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	ποια βιβλία διάβασες;	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	ήταν καλοί;	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	τι εκανε χθες?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	στο μικρό δωμάτιο	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	μίλησε πολύ καιρό	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	μπροστά στο σχολείο, πριν το σχολείο	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	μίλησε ενώπιον του σχολείου	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	αργότερα μίλησε για το βιβλίο	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	πήγε με χαρά στο σχολείο	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	μέσα από το δρόμο	through the street	grupo	alternativoj	prononco
level	iris tra la strato	πέρασε από το δρόμο	went through the street	grupo	alternativoj	prononco
level	estis varma tago	ήταν μια ζεστή μέρα	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	είδαν ένα καφέ	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	είδα κόκκινα μπισκότα	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	είδε μπισκότα σε αυτό	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	είδε ένα καφέ και μέσα σε αυτό μπισκότα	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	μπες και φας!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	ας μπούμε να φάμε	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	έχει αρκετά χρήματα	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	έχεις αρκετά χρήματα;	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	καταλαβαίνεις?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	φυσικά!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	αυτό δεν είναι αρκετό	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	εκατό δολάρια είναι αρκετά	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	ένα δολάριο, δολάρια, δολάρια (πληθυντικός στόχος)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	έχει εκατό δολάρια	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	φυσικά και έχω	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	ω! εισαι πλουσιος!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ένα νερό, μια σερβιτόρα	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	ένας σερβιτόρος φέρνει ένα μενού	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	έφερε αυτό σε εμάς, έφερε αυτό	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	ένας σερβιτόρος έφερε πολλά μπισκότα	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	έφαγαν λίγο (λίγο)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	μετά το φαγητό (γεύμα)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	νέο, πάλι	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	ήρθε πάλι ο σερβιτόρος	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	σε κάποιο μέρος	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	είχε ψάξει σε κάποιο μέρος	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	έψαξε σε άλλο μέρος	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	το πρόσωπό του ήταν χαρούμενο	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	ήταν λυπημένη	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	στο τέλος και τελικά στο τέλος	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	η δυνατή φωνή σου	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	με αδύναμη φωνή	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	δεν έχει λεφτά	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	τι εγινε εκει	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	ατύχημα έγινε αργότερα	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	ξερεις ποτε εγινε?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	γνωρίζει το θέμα	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	ακόμα ένα πράγμα μένει	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	εσείς ή αυτή, οποιοδήποτε άτομο	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	σαν τραγουδιστής, σαν υπογράφων	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	τραγούδησε σαν επαγγελματίας τραγουδιστής	sang like a professional singer	grupo	alternativoj	prononco
