B.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	te vagy az a személy, aki velem táncolt szombat este?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	igen én vagyok	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Örülök, hogy ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Örülök, hogy eljöttél az oldalra	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	tetszik neked? (szereted?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	igen, igen	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	ez nagyon szép	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	érdekesnek tűnik	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	nagyon szép és érdekesnek tűnik	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	még nem ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	nincs teljesen készen	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	még nincs teljesen készen	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	de hamarosan az lesz	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	értem (látom)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	de már most is sok segédeszköz létezik	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	egy szótár	a dictionary	grupo	alternativoj	prononco
level	superrigardo	egy áttekintést	an overview	grupo	alternativoj	prononco
level	ekzerco	egy pótlék	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	példaszavak, áttekintés, üzenetküldő és gyakorlatok	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	a nyelvtan áttekintése	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	azonnali üzenetküldő és különféle gyakorlatok	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	ez egy jó kezdet	it is a good start	grupo	alternativoj	prononco
level	pardonon	bocsánat, sajnálom	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Beszélnem kell ~-val	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	beszélni egy másik személlyel	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Sajnálom, beszélnem kell egy másik emberrel	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	nyelvi segítő	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Én vagyok a nyelvi segítője	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	és most ~ról akar beszélni	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	gyakorlatról beszélni	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	hamarosan visszajön	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Hamarosan visszajövök hozzád	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	néhány perc múlva	after several minutes	grupo	alternativoj	prononco
level	finparolis	befejezte a beszélgetést	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	most befejeztük a gyakorlatról szóló beszélgetést	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	közben egy darabig	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Közben olvastam az eszperantóról	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Nem vagyok benne biztos	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	eleget tud ~-ről	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Még nem ismerem eléggé a nyelvet	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	okos válasz	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Megnézem az oldalon	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	és megpróbálok tanulni egy kicsit	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	szeretnél a nyelvi segítőm lenni?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	szívesen!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	szívesen!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	köszönetet nem ér, de csókot megér	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	ezt mondja eszperantóul	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	mit? nem értem	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	szótárban lehet nézni	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	sajnálatos módon	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Most ki kell lépnem az internetről	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	este visszajövök	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Azt hiszem, addigra a helyszínen leszek	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	tökéletes!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	na akkor viszlát!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	Később találkozunk!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	este az azonnali üzenetküldőnél is	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Szia ismét! (újra-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Szia ismét!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Szinte az összes oldalt megnéztem az oldalról	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	egész jó! fantasztikus!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Több kérdésem is van	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Van időd?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	igen, este szabad vagyok	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	szóval írd meg a kérdéseidet	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Megpróbálok válaszolni	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Azt olvastam, hogy az eszperantónak van kultúrája	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	azonban nem értem ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	hol találok olyan kultúrát	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	mindenhol megtalálod, hol van a ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	minden olyan hely, ahol eszperantót beszélők vannak	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	de senki sem használ eszperantót	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	jobb!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	hanem eszperantót beszélő emberek	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	gyakran utaznak és találkoznak más eszperantistákkal	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	azokon a találkozókon	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	a legtöbb esetben használják a nyelvet	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	így ott találsz ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	megtalálod a kultúrát	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	megtalálja az eszperantó kultúráját	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	oké, létezik zene?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	zene, irodalom, színház	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	stb	etc	grupo	alternativoj	prononco
level	same kiel ~	ugyanaz, mint a ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	ugyanaz, mint más nyelveknél	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	a mennyiség nem olyan nagy	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	akkora, mint a nemzeti nyelveken	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	de ez nem fontos	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	legalábbis nekem nem	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	ha hallgatni akarsz ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	hogy hallgasson egy dalt eszperantó nyelven	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	itt a dal, &quot;Lisa képeket fest&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	hallgatja a dalt	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nem rossz	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	és sok eszperantó nyelvű könyvet talál	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	nézi a könyveket	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	elég sok	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	sokat olvasol eszperantóul?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	igen, néha (időről időre)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	ha valaha megtanulja a nyelvet	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Ajánlok néhány jó könyvet	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	~ról szól	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	a másik kérdésem a nevemmel kapcsolatos	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	korábban azt mondtad, hogy ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	kapcsolata van a ~-val	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	azt mondta, hogy kapcsolatban áll az eszperantóval	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ó, igen, erről	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	~ nevű férfi	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	élt egyszer egy ~ nevű ember	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	nagyon aktív volt az eszperantó mozgalomban	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	amikor teljesen új volt	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	lefordította a könyvet ~ nyelvre	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	és sok könyvet fordított eszperantóra	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	és ez tette őt híressé?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	akkoriban az eszperantó számára az egyik legfontosabb	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	és nagy hatással volt a nyelvstílusra	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nem, biztosan fontos volt és befolyása volt	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	azonban hirtelen felhagyott a mozgalommal	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Elképzelem, hogy ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Azt hiszem, ez sokak számára nagy sokk volt	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	miért hagyta el az eszperantót?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Elhiszem, hogy ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	elégedetlen volt az eszperantistákkal	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	~hoz hasonlót mondott	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Az eszperantót maguknak az eszperantistáknak kell megtanulniuk!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	mit akart mondani ~ alatt?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	mit akart ezzel mondani?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	valószínű, hogy ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	az emberek rosszul beszéltek eszperantót	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	valószínű, hogy az emberek rosszul beszéltek	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	1911-ben elhagyta az eszperantót	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	de szerintem ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	magasabb	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	ma a nyelvi szint magasabb	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	az eszperantisták nyelvi szintje	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	de szerintem ma már magasabb a szint	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	szóval jól meg kell tanulnom a nyelvet	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	hogy jó ember vagyok	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	és egyszerű stílust kell használnia	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	mert ez nagyon fontos volt számára	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	ez tetszik nekem (tetszik)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	az eszperantóban még egy szó is van ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	van még egy &quot;kabei&quot; szó is	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	felhagyni a mozgalommal	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	egy &quot;kabei&quot; szó, ami a mozgalom feladását jelenti	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	ez érdekes!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	most már tudok egy szót eszperantóul	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	soha nem felejti el	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	és valószínűleg soha nem fogom elfelejteni	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	egy kávézóban” néhány hét után	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	sikerült megtanulnia eszperantót	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	és használják a nyelvet	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	meghívni, meghívást	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	íme, egy meghívó az IJK-ba!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	mit? Ee-yo-mi?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	egy fiatal, egy csoport fiatalok	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	Az IJK egy nemzetközi ifjúsági kongresszus	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Azt tervezem, hogy elmegyek érte	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	te is akarsz menni?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	nos, a &quot;kongresszus&quot; nem hangzik túl érdekesen	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	de ez (érdekes)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	ne gondolj valami unalmas lomha kongresszusra	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	csak ~ról van szó	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	csak a fiatalokkal való találkozásról szól	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	találkozó számos ország fiataljaival	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300-400 ember lesz ott	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	valószínűleg 300-400 ember lesz ott	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	szinte mindenki	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	és szinte mindenki eszperantóul fog beszélni	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nem beszél jól	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	oké, de nem beszélek jól eszperantót	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	nem számít	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	~ben lehet részt venni	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	hogy részt vegyen az ottani eszperantó tanfolyamokon	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	általában	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	általában két szint van	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	akik már megtanulták a nyelvet	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	egy kezdőknek	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	a másik pedig azoknak, akik már megtanulták a nyelvet	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jessz, mi?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	azt mondtad: &quot;általában&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	ó, IJK minden évben megtörténik	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	minden alkalommal más országban	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	emiatt minden IJK más	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	de vannak programok is	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	gyakran visszatérő programok	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	de vannak olyan programok is, amelyek gyakran visszatérnek	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	például	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	például szinte mindig lehet sportolni és kártyázni	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	beszélgetni a barátaival egész este	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	énekelni a tűz körül és táncolni	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	koncerteken való részvételhez és így tovább	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	nos, ezt otthon is meg tudom csinálni	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	igaz, de	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	de az IJK alatt az a fontos, hogy ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	sok különböző országból származik	comes from many different countries	grupo	alternativoj	prononco
