A.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	vidanta, vidanto	харж байна, үзэгч	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	сурч байна, оюутан (сурагч хүн)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	байна -ing, хийж байгаа хүн	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	оюутан, сурсан хүн	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Би оюутан.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ миний найз	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	Тэр тэр	he, she	grupo	alternativoj	prononco
level	sidi, sidas	суух, суух	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	сууж байна, сууж байсан, суух болно	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	Тэр сууж байгаа бөгөөд тэр сурч байна	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	өрөө	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	өрөөнд сурдаг	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	оюутан, тамирчин	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	спорт ба тамирчин	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	тамирчин хүн спортоор хичээллэж байна	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	Тэр эрэгтэй оюутан	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	тэр бол оюутан, спортын хүн	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	тэр одоо сууж байна	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	одоо сурч байна	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	суугаад сурч байна	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	одоо нэг өрөөнд	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	ширээн дээр байна	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	цаас, цаас	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	ширээ, ширээ	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	ном, ном	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	цаас, ном	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	энэ нь ширээн дээр байна.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	бичгийн ширээн дээр бичиж байна	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	номууд нь ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	ширээн дээр	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	сурах бичиг, сурах бичиг	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	ширээн дээр ~ байна	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	аав, ээж хоёр	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	аав, ээж хоёр	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	миний найзын ээж	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	өрөөнд	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	өрөөнд байхгүй	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	тэд одоо ажиллаж байна	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	аав нь ажилчин	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	тэр зочид буудалд ажилладаг	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	ээж заадаг	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	Тэр багш юм	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	тэр ээж мөн үү?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	Үгүй ээ, тэр зочид буудлын ажилтан	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	Үгүй ээ, би ажилладаггүй	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	Түүний нэрийг хэн гэдэг вэ?	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	одоо хэн хариулах вэ?	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	тэдний ээжийн хэл	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	Таны нэр ~?	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	Бид суугаад хариулж байна	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	түүний ажлын сандал	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	түүний нэр ~ биш юм	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	түүний хэл бол тэдний хэл юм	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	бидний аав, ээж	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	таны оюутан, таны оюутнууд	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	тэд таны шавь мөн үү?	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	чи оюутан уу?	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	чи өрөөнд байна уу?	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	Би ~ биш	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	эсперантист, эмэгтэй эсперантист	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	зочид буудлын өрөөнд бүртгүүлэв	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	хэл шинжлэлийн мэргэжилтэн, эмэгтэй ажилчин	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	түүний найз охин нь ~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	оюутнууд, тамирчид	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	миний овог нэр ~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	тэр эмэгтэй хэн бэ? тэр аль нь вэ?	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	чиний найз охин	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	чиний найз ~?	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	одоо өрөөнд бичиж байна	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	аавын чинь найз мөн үү ~?	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	зочид буудалд ажилладаг	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	ширээн дээр юу байна?	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	Манай өрөөний ширээн дээр	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	эсперанто сурах бичиг ~ ?	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	таны ширээн дээр байна	is on your table	grupo	alternativoj	prononco
level	havas amikinon	найзтай	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	түүний нэр ~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	залуу бас үзэгслэнтэй	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	залуу бас үзэсгэлэнтэй	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	залуу сайхан найзууд	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	эрэгтэй эмэгтэй найзууд	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	багшийнхаа гэр	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	гэртээ ирлээ	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	~-ийн гэр	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	орж ирээрэй	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	Сайн байна уу та юу хийж байна?	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	Чи юу хийдэг вэ? чи юу хийж байгаа юм бэ?	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	гэхдээ одоо би ~ хүсч байна	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	Би ярьмаар байна	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	эрэгтэй эмэгтэй гурван найзтай	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	чамтай ярилцлаа	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	чамтай ярилцахыг хүсч байна	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	чамд эрэгтэй эмэгтэй найз нөхөд бий юу	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	тэр номтой	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	сайхан номтой	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	Тиймээ, надад байгаа	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	тэдэнд таалагддаг	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	тэр ном уншсан	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	ном унших дуртай	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	зүгээр л сайн ном	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	олон сайхан ном	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	зөвхөн сайн ном унш	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	сайхан ном унших дуртай	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	уншмаар байна уу?	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	залуу кофе уусан	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	ус уухыг хүсдэг	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	аав, ээж; эцэг эх	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	зовоосон эгч, дүү нар	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	эцэг эх, ах дүү нар чинь	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	таны гэрт байна	is in your home	grupo	alternativoj	prononco
level	jen la kafo	энд кофе байна	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	хараахан уугаагүй байна	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	дулаахан хэвээр байна	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	өчигдөр болгосон	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	Би одоо хоол хийсэн	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	баярлалаа. гэж тэр хэлэв.	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	ууж идэж болно	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	хүйтэн кофе уусан	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	халуун кофе хэвээр байна	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	бас хүйтэн кофе уудаг	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	Мөн хүйтэн кофе ууж болно	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	түүний нүд рүү хардаг	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	хамгийн үзэсгэлэнтэй нүд	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	сайхан нүд	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	сайхан нүд рүү харав	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	түүний сайхан нүд	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	харж, ойлгодог	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	Би үүнийг харж байна ~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	тэр түүнд хайртай гэж	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	тэр түүнд хайртай гэдгээ мэдэрдэг	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	том байсан уу гэж асуув	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	хялбар асуултын талаар	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	шинэ мөнгөний тухай хэлсэн	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	маш үзэсгэлэнтэй нүд	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	гэж том ах харав	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	нэг дүү мартчихаж	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	буруутгах (зорилго)	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	яллах төгсгөлийг бүү март	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	чи хэнтэй уулзаж байна вэ? алийг нь харж байна вэ?	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	Би найзаа харж байна	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	сайн эрэгтэй эмэгтэй найзуудтай	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	Тэд хуучин байшингийн талаар ажиллаж байна	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	ажилладаг, ажилласан, ажиллах болно	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	харж байна, би идэж байна	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	тэр явах болно гэж хэлсэн	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	муухай, муухай	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	Тэр юу гэж хэлсэн бэ?	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	чи юу хүлээж байгаа юм бэ?	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	өрөөнд оров	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	агуулга нь маш хэцүү байдаг	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	хурал дээр ирлээ	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	уулзалтанд тавтай морил	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	нэг өвгөн цайны мөнгө өглөө	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	хүрэлцэн ирж, угтан авлаа	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	тэд үзэн яддаг ч хамтран ажилладаг	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	зочид буудал руу явлаа	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	хялбар сурах бичигтэй	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	ээж чинь яаж байсан бэ?	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	чиний хуучин гэр	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	ямар ном уншсан бэ?	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	тэд сайн байсан уу?	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	өчигдөр юу хийсэн бэ?	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	жижиг өрөөнд	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	маш удаан ярьсан	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	сургуулийн урд, сургуулийн өмнө	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	сургуулийн өмнө үг хэлэв	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	дараа нь номын тухай ярьсан	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	баяртайгаар сургууль руугаа явлаа	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	гудамжаар	through the street	grupo	alternativoj	prononco
level	iris tra la strato	гудамжаар явсан	went through the street	grupo	alternativoj	prononco
level	estis varma tago	дулаахан өдөр байлаа	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	Тэд кафе харсан'	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	улаан жигнэмэг харсан	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	дотор нь жигнэмэг харсан	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	кафе, дотор нь жигнэмэг харсан	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	ороод идээрэй!	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	орж ирээд хоол идье	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	хангалттай мөнгөтэй	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	танд хангалттай мөнгө бий юу?	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	чи ойлгож байна уу?	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	мэдээж!	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	энэ нь хангалтгүй юм	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	зуун доллар хангалттай	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	доллар, доллар, доллар (олон тооны зорилго)	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	зуун доллартай	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	мэдээж надад байгаа	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	өө! чи баян байна!	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	ус, зөөгч	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	зөөгч цэс авчирдаг	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	Үүнийг бидэнд авчирсан, үүнийг авчирсан	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	зөөгч маш их жигнэмэг авчирсан	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	Тэд жаахан идсэн (бага зэрэг)	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	идсэний дараа (хоолны дараа)	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	шинэ, дахин	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	зөөгч дахин ирлээ	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	зарим газар	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	хаа нэг газар хайж байсан	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	өөр газар хайсан	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	түүний царай баяр хөөртэй байв	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	тэр гунигтай байв	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	эцэст нь, эцэст нь	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	чиний хүчтэй хоолой	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	сул хоолойгоор	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	мөнгөгүй	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	тэнд юу болсон бэ?	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	дараа нь осол болсон	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	хэзээ болсныг мэдэх үү?	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	асуудлын талаар мэддэг	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	нэг зүйл хэвээрээ л байна	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	чи эсвэл тэр ямар ч хүн	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	дуучин шиг, гарын үсэг зурсан хүн шиг	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	мэргэжлийн дуучин шиг дуулсан	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	түүний амьдарч байсан газар	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	Та машины талаар яаж мэдэх вэ?	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	За хурдан машиныг хар даа	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	элсэн чихэргүй шүүс	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	тэр хурдан машинтай	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	хэтэрхий хүчтэй	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	тэр хэтэрхий чанга нээлээ	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	хэт хурдан жолоодсон (аялсан).	drove (traveled) too fast	grupo	alternativoj	prononco
