B.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	junulo, junularo	mladý člověk, skupina mladých lidí	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK je mezinárodní kongres mládeže	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Mám v plánu do toho jít	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	chceš jít taky?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	no, &quot;kongres&quot; nezní moc zajímavě	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	ale je to (zajímavé)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	nemyslete na něco nudného pomalého kongresu	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	jde jen o ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	jde jen o setkání s mladými lidmi	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	setkání s mladými lidmi z mnoha zemí	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	Bude tam 300 až 400 lidí	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	bude tam pravděpodobně 300 až 400 lidí	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	skoro každý	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	a téměř každý bude mluvit esperantem	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	nemluví dobře	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	dobře, ale neumím dobře esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	to je jedno	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	je možné se zúčastnit ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	účastnit se tam kurzů esperanta	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	obvykle	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	obvykle existují dvě úrovně	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	lidé, kteří se již jazyk naučili	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	jeden pro začátečníky	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	a druhý pro ty, kteří se již jazyk naučili	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jes, co?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	řekl jsi &quot;obvykle&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	oh, IJK se koná každý rok	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	pokaždé v jiné zemi	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	z tohoto důvodu je každé IJK jiné	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	ale existují i programy	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programy, které se často vracejí	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	ale existují také programy, které se často vracejí	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	například	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	například sportovat a karty je možné téměř vždy	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	mluvit s přáteli celou noc	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	zpívat kolem ohně a tančit	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	účastnit se koncertů a tak dále	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	no, to zvládnu i doma	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	správně, ale	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	ale důležitá věc během IJK je ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	pochází z mnoha různých zemí	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	spočívá v tom, že účastníci pocházejí z různých zemí	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	kvůli tomu mixu různých lidí	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	je to dobrá atmosféra, která se mi moc líbí	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	dobře, zní to jako zájem	all right, sounds like interest	grupo	alternativoj	prononco
