B.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	danci kun vi	dançar com você	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	foi muito engraçado dançar com você	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	aqui está meu cartão de visita	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Se você quiser	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	aqui está meu cartão, se você quiser	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	nele também há ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	nele também há um endereço	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	há um endereço para um site	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	um endereço para um site com curso Esperanato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	obrigado	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	vou te mandar um e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	OK!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	até mais e boa noite!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	vê você!	see you!	grupo	alternativoj	prononco
level	aperas en ~	aparece em ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	um mensageiro instantâneo	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ aparece no mensageiro instantâneo	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	você é essa pessoa?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	aquela pessoa que dançou comigo	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	sábado à noite	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	você é aquela pessoa que dançou comigo sábado à noite?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	sim sou eu	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Estou satisfeito com isso ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Estou feliz que você tenha vindo ao site	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	isso é agradável para você? (você gosta disso?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	sim, sim	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	é muito bonito	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	Parece interessante	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	é muito bonito e parece interessante	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ainda não ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	não está completamente pronto	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ainda não está totalmente pronto	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	mas em breve será	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Eu entendo (eu vejo)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	mas já existem muitas ferramentas de ajuda	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	um dicionário	a dictionary	grupo	alternativoj	prononco
level	superrigardo	uma visão geral	an overview	grupo	alternativoj	prononco
level	ekzerco	um excesso	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	palavras de exemplo, visão geral, mensageiro e execuções	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	uma visão geral da gramática	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	um mensageiro instantâneo e vários exercícios	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	É um bom começo	it is a good start	grupo	alternativoj	prononco
level	pardonon	me desculpe, sinto muito	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Devo falar com ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	falar com outra pessoa	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Me desculpe, eu deveria falar com outra pessoa	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	um ajudante de linguagem	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Eu sou o ajudante de linguagem dela	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	e agora ela quer falar sobre ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	falar sobre um exercício	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	em breve voltarei	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Eu voltarei para você em breve	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	depois de vários minutos	after several minutes	grupo	alternativoj	prononco
level	finparolis	terminei de falar	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	agora terminamos de conversar sobre o exercício	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	nesse meio tempo, por um tempo	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Enquanto isso eu li sobre esperanto	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	não tenho certeza	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	sabe o suficiente sobre ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Eu não sei o suficiente sobre o idioma, ainda	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	uma resposta inteligente	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	vou procurar no site	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	e vou tentar aprender um pouco	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	você quer ser meu ajudante de idioma?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	de boa vontade!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	de nada!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	não vale um agradecimento, mas vale um beijo	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	diz que em esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	o que? Eu não entendo	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	você pode procurar em um dicionário	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	infelizmente	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Devo sair da Internet agora	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Eu voltarei à noite	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Acho que estarei no local nessa hora	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfeito!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	bem, até lá!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	até mais!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	à noite, também no mensageiro instantâneo	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Olá de novo! (ré-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Olá de novo!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Procurei quase todas as páginas do site	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	muito bom! incrível!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Eu tenho várias perguntas	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Tens tempo?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	sim, estou livre à noite	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	então, escreva suas perguntas	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	vou tentar responder	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Li que o Esperanto tem uma cultura	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	porém eu não entendo ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	onde posso encontrar essa cultura	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	você encontrará em qualquer lugar, onde ~ está	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	qualquer lugar onde haja pessoas que falem Esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	mas ninguém usa o esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	certo!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	mas as pessoas que falam esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	viaja frequentemente e conhece outros esperantistas	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	durante essas reuniões	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	eles usam a linguagem nas mais diversas situações	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	então lá você encontrará ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	você encontrará a cultura	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	encontrará a cultura do esperanto	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	ok, a música existe?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	música, literatura, teatro	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc.	etc	grupo	alternativoj	prononco
level	same kiel ~	o mesmo que ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	o mesmo que há para outros idiomas	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	a quantidade não é tão grande	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	tão grande quanto nas línguas nacionais	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	mas isso não é importante	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	pelo menos não para mim	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	se você quiser ouvir ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	ouvir uma música em esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	aqui está a música, &quot;Lisa pinta quadros&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	ouve a música	listens to the song	grupo	alternativoj	prononco
level	ne malbone	nada mal	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	e você encontrará muitos livros em esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	olha os livros	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	o suficiente	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	você lê muito em esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	sim, às vezes (de vez em quando)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	se você aprender o idioma	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Vou recomendar alguns bons livros	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	é sobre ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	minha outra pergunta é sobre meu nome	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	você disse anteriormente que ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	tem uma relação com ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	disse que tem relação com o esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ah, sim, sobre isso	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	um homem com o nome ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	uma vez viveu um homem com o nome ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	ele foi muito ativo no movimento esperanto	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	quando era completamente novo	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	traduziu o livro para ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	e traduziu muitos livros para o esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	e isso o tornou famoso?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	um dos mais importantes para o Esperanto naquela época	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	e ele teve muita influência no estilo de linguagem	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	não, certamente ele era importante e tinha influência	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	no entanto, ele abandonou repentinamente o movimento	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Eu imagino isso ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Imagino que tenha sido um grande choque para muitos	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	por que ele deixou o esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Eu acredito nisso ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	ele estava insatisfeito com os esperantistas	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	ele disse algo semelhante a ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	O esperanto deve ser aprendido pelos próprios esperantistas!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	o que ele quis dizer com ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	o que ele quis dizer com isso?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	é provável que ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	as pessoas falavam mal o esperanto	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	é provável que as pessoas tenham falado mal	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	no ano de 1911, deixou o esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	mas eu acho que ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	é maior que	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	hoje o nível do idioma é mais alto	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	o nível de linguagem dos esperantistas	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	mas acho que hoje o nível é maior	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	então eu tenho que aprender bem o idioma	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	por ser uma boa pessoa	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	e você deve usar um estilo simples	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	porque isso era muito importante para ele	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	isso me agrada (eu gosto disso)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	em esperanto existe até uma palavra ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	existe até uma palavra &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	abandonar o movimento	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	uma palavra &quot;kabei&quot;, que significa abandonar o movimento	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	É interessante!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	agora eu sei uma palavra em Esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nunca esquecerá	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	e provavelmente nunca esquecerei isso	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	em um café' depois de várias semanas	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	ele conseguiu aprender Esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	e eles estão usando a linguagem	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	convidar, um convite	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	aqui, olha, um convite para o IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	o que? Ee-yo-o quê?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	um jovem, um grupo de jovens	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK é um Congresso Internacional da Juventude	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Estou planejando ir em frente	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	você quer ir também?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	bem, &quot;congresso&quot; não parece muito interessante	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	mas é (interessante)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	não pense em algo chato, lento, congresso	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	é quase ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	trata-se apenas de conhecer jovens	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	um encontro com jovens de vários países	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 a 400 pessoas estarão lá	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	provavelmente haverá 300 a 400 pessoas lá	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	Quase todo mundo	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	e quase todo mundo falará esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	não fala bem	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, mas eu não falo bem esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	Não importa	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	é possível participar ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	participar de cursos de esperanto lá	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	geralmente	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	geralmente existem dois níveis	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	pessoas que já aprenderam a língua	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	um para iniciantes	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	e outro para quem já aprendeu o idioma	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	sim, o quê?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	você disse, &quot;normalmente&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	ah, IJK acontece todo ano	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	sempre em outro país	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	por esse motivo, cada IJK é diferente	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	mas também existem programas	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	programas que retornam frequentemente	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	mas também existem programas que retornam com frequência	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	por exemplo	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	por exemplo, quase sempre é possível praticar esportes e cartas	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	conversar com amigos a noite toda	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	cantar ao redor do fogo e dançar	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	participar de concertos e assim por diante	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	bem, eu posso fazer isso em casa também	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	certo, mas	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	mas o importante durante o IJK é ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	vem de muitos países diferentes	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	é que os participantes vêm de diferentes países	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	por causa dessa mistura de pessoas diferentes	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	é um bom ambiente que eu gosto muito	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	tudo bem, parece interesse	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	eu vou pensar sobre	I will think about	grupo	alternativoj	prononco
level	certe	claro que sim	for sure	grupo	alternativoj	prononco
