msg_id	en-us	ko-kr	zh-tw	zh-cn	ja-jp	vi-vn	fr	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
Btn_Start_learning	Start Learning	학습 시작하기	開始學習	开始学习	学習を始める	Bắt đầu học	Commencer à apprendre	Сураж эхэл	เริ่ม	Mula Belajar	Mulai Belajar	सीखना शुरू करें	شروع به یادگیری	सिक्न सुरु गर्नुहोस्	سیکھنا شروع کریں۔	Öğrenmeye başla	תתחיל ללמוד	ابدا بالتعلم	Beginne zu lernen	Comienza a aprender	Inizia a imparare	Comece a aprender	Начать обучение	Zacząć naukę	ចាប់ផ្តើមរៀន	စတင်လေ့လာပါ။	শেখা শুরু করো	கற்றலைத் தொடங்குங்கள்	ਸਿੱਖਣਾ ਸ਼ੁਰੂ ਕਰੋ	शिकणे सुरू करा	నేర్చుకోవడం ప్రారంభించండి	Почніть навчання	Börja lära sig	Anza Kujifunza
btn_continue	Continue	다음	下一個	下一个	次	Tiếp tục	Continuer	Үргэлжлүүлэх	ไปต่อ	teruskan	Melanjutkan	जारी रखना	ادامه هید	जारी राख्नुहोस्	جاری رہے	Devam etmek	לְהַמשִׁיך	يكمل	Weitermachen	Continuar	Continua	Continuar	Продолжать	Kontynuować	បន្ត	ဆက်လက်	চালিয়ে যান	தொடரவும்	ਜਾਰੀ ਰੱਖੋ	सुरू	కొనసాగించు	Продовжити	Fortsätta	Endelea
btn_listen_continue	Listen and Continue	듣고 다음으로	聽完之後	听完之后	聞いてから次へ	Nghe và tiếp tục	Écoutez et continuez	Сонсож, үргэлжлүүлээрэй	ฟังและไปต่อ	Dengar dan Teruskan	Dengarkan dan Lanjutkan	सुनें और जारी रखें	گوش کن و ادامه بده	सुन्नुहोस् र जारी राख्नुहोस्	سنیں اور جاری رکھیں	Dinle ve Devam Et	הקשב והמשך	الاستماع والمتابعة	Hören Sie zu und fahren Sie fort	Escuche y continúe	Ascolta e continua	Ouça e continue	Слушайте и продолжайте	Posłuchaj i kontynuuj	ស្តាប់ហើយបន្ត	နားထောင်ပြီး ဆက်လုပ်ပါ။	শুনুন এবং চালিয়ে যান	கேட்டு தொடரவும்	ਸੁਣੋ ਅਤੇ ਜਾਰੀ ਰੱਖੋ	ऐका आणि सुरू ठेवा	వినండి మరియు కొనసాగించండి	Слухайте і продовжуйте	Lyssna och fortsätt	Sikiliza na Uendelee
btn_listen	Listen	들어보기	聽	听	聞いてみる	Nghe này	Écouter	Сонсооч	ฟัง	Dengar	Mendengarkan	सुनना	گوش بده	सुन्नुहोस्	سنو	Dinlemek	להקשיב	يستمع	Hören	Escuchar	Ascoltare	Ouvir	Слушать	Słuchać	ស្តាប់	နားထောင်ပါ။	শুনুন	கேள்	ਸੁਣੋ	ऐका	వినండి	Слухай	Lyssna	Sikiliza
btn_hard	Hard for me	어려워요	好難	好难	難しいです	Khó	Difficile pour moi	Надад хэцүү	ยาก	Sukar untuk saya	Sulit untukku	मेरे लिए मुश्किल	برای من سخت است	मेरो लागि गाह्रो	میرے لیے مشکل	Benim için zor	קשה לי	صعب علي	Schwer für mich	Es difícil para mí	Difficile per me	Difícil para mim	Тяжело для меня	Dla mnie trudne	ពិបាកសម្រាប់ខ្ញុំ	ငါ့အတွက်ခက်တယ်။	আমার জন্য কঠিন	எனக்கு கடினமானது	ਮੇਰੇ ਲਈ ਔਖਾ	माझ्यासाठी कठीण	నాకు కష్టం	Важко для мене	Svårt för mig	Ngumu kwangu
btn_easy	Easy to me	쉬워요	簡單	简单	簡単です	Dễ	Facile pour moi	Надад амархан	ง่าย	Mudah bagi saya	Mudah bagi saya	मेरे लिए आसान है	برای من آسان است	मलाई सजिलो	میرے لیے آسان	Benim için kolay	קל לי	سهل بالنسبة لي	Für mich einfach	fácil para mi	Facile per me	Fácil para mim	Мне легко	Dla mnie łatwe	ងាយស្រួលសម្រាប់ខ្ញុំ	လွယ်လိုက်တာ	আমার কাছে সহজ	எனக்கு எளிதானது	ਮੇਰੇ ਲਈ ਆਸਾਨ	माझ्यासाठी सोपे	నాకు తేలిక	Мені легко	Lätt för mig	Rahisi kwangu
btn_too_easy	Too easy	너무쉬워요	很簡單	很简单	とても簡単です	Quá dễ	Trop facile	Хэт амархан	ง่ายเกินไป	Terlalu mudah	Terlalu mudah	बहुत आसान	بیش از حد آسان	एकदम सजिलो	بہت آسان	Çok kolay	קל מדי	سهل جدا	Zu einfach	Demasiado fácil	Troppo facile	Muito fácil	Слишком легко	Zbyt łatwe	ងាយស្រួល​មែនទែន	လွယ်လွန်းတယ်။	খুব সহজ	மிக சுலபம்	ਬਹੁਤ ਆਸਾਨ	खूप सोपे	చాలా సులభం	Занадто просто	Alltför lätt	Rahisi sana
btn_login	Login	로그인	登入	登录	ログイン	Đăng nhập	Se connecter	Нэвтрэх	เข้าสู่ระบบ	Log masuk	Gabung	लॉग इन करें	وارد شدن	लग - इन	لاگ ان کریں	Giriş yapmak	התחברות	تسجيل الدخول	Anmeldung	Acceso	Login	Conecte-se	Авторизоваться	Zaloguj sie	ចូល	လော့ဂ်အင်	প্রবেশ করুন	உள்நுழைய	ਲਾਗਿਨ	लॉगिन करा	ప్రవేశించండి	Логін	Logga in	Ingia
Btn_StartA	Start Learning	학습시작	學習開始	学习开始	学習開始	Bắt đầu học	Commencer à apprendre	Сураж эхэл	เริ่ม	Mula Belajar	Mulai Belajar	सीखना शुरू करें	شروع به یادگیری	सिक्न सुरु गर्नुहोस्	سیکھنا شروع کریں۔	Öğrenmeye başla	תתחיל ללמוד	ابدا بالتعلم	Beginne zu lernen	Comienza a aprender	Inizia a imparare	Comece a aprender	Начать обучение	Zacząć naukę	ចាប់ផ្តើមរៀន	စတင်လေ့လာပါ။	শেখা শুরু করো	கற்றலைத் தொடங்குங்கள்	ਸਿੱਖਣਾ ਸ਼ੁਰੂ ਕਰੋ	शिकणे सुरू करा	నేర్చుకోవడం ప్రారంభించండి	Почніть навчання	Börja lära sig	Anza Kujifunza
Btn_logout	Logout	로그아웃	註銷	注销	ログアウト	Đăng xuất	Se déconnecter	Гарах	ออกจากระบบ	Log keluar	Keluar	लॉग आउट	خروج	बाहिर निस्कनु	لاگ آوٹ	Çıkış Yap	להתנתק	تسجيل خروج	Ausloggen	Cerrar sesión	Disconnettersi	Sair	Выйти	Wyloguj	ចាកចេញ	ထွက်လိုက်ပါ။	প্রস্থান	வெளியேறு	ਲਾੱਗ ਆਊਟ, ਬਾਹਰ ਆਉਣਾ	बाहेर पडणे	లాగ్అవుట్	Вийти	Logga ut	Ondoka
wordsA	Words	전체 항목 수	總項目數	总项目数	全項目数	Từ	Mots	Үг	คำ	Kata-kata	Kata-kata	शब्द	کلمات	शब्दहरू	الفاظ	Kelimeler	מילים	كلمات	Wörter	Palabras	Parole	Palavras	Слова	Słowa	ពាក្យ	စကား	শব্দ	சொற்கள்	ਸ਼ਬਦ	शब्द	పదాలు	Слова	Ord	Maneno
words_to_reviewA	Words to review	복습 필요 항목	複習項目	复习项目	復習必要項目	Những từ cần ôn lại	Mots à revoir	Шалгах үгс	คำศัพท์ที่ต้องทบทวน	Kata-kata untuk disemak	Kata-kata untuk ditinjau	समीक्षा के लिए शब्द	کلمات برای بررسی	समीक्षा गर्न शब्दहरू	جائزہ لینے کے لیے الفاظ	İncelenecek kelimeler	מילים לביקורת	كلمات للمراجعة	Wörter zur Überprüfung	Palabras para repasar	Parole da rivedere	Palavras para revisar	Слова для рассмотрения	Słowa do sprawdzenia	ពាក្យដើម្បីពិនិត្យឡើងវិញ	သုံးသပ်ရန်စကားလုံးများ	পর্যালোচনা শব্দ	மதிப்பாய்வு செய்ய வார்த்தைகள்	ਸਮੀਖਿਆ ਕਰਨ ਲਈ ਸ਼ਬਦ	पुनरावलोकन करण्यासाठी शब्द	సమీక్షించడానికి పదాలు	Слова для перегляду	Ord att recensera	Maneno ya kukagua
familiarA	Familiar	익숙해진 항목	熟悉的項目	熟悉的项目	慣れた項目	Quen thuộc	Familier	Танил	คุ้นเคย	Biasa	Akrab	परिचित	آشنا	परिचित	مانوس	Aşina	מוּכָּר	مألوف	Vertraut	Familiar	Familiare	Familiar	Привычный	Znajomy	ស្គាល់	ရင်းနှီးသည်။	পরিচিত	தெரிந்தவர்	ਜਾਣੂ	परिचित	తెలిసిన	Знайомий	Bekant	Inajulikana
masteredA	Mastered	마스터한 항목	掌握的項目	掌握的项目	マスターな項目	Thành thạo	Maîtrisé	Мэргэшсэн	เชี่ยวชาญ	Menguasai	Dikuasai	महारत हासिल	مسلط شد	निपुण	مہارت حاصل کی۔	Ustalaşmış	מאסטר	يتقن	Gemeistert	dominado	Masterizzato	Dominado	Освоен	Opanowany	ស្ទាត់ជំនាញ	ကျွမ်းကျင်တယ်။	আয়ত্ত করেছে	தேர்ச்சி பெற்றவர்	ਮੁਹਾਰਤ ਹਾਸਲ ਕੀਤੀ	मास्टर्ड	పట్టు సాధించారు	Опанував	Bemästrade	Mwenye ujuzi
progressA	Progress	진도율	進度率	进度率	進度率	Tiến trình	Progrès	Ахиц дэвшил	ความคืบหน้า	Kemajuan	Kemajuan	प्रगति	پیش رفتن	प्रगति	پیش رفت	İlerlemek	התקדמות	تقدم	Fortschritt	Progreso	Progresso	Progresso	Прогресс	Postęp	វឌ្ឍនភាព	တိုးတက်မှု	অগ্রগতি	முன்னேற்றம்	ਤਰੱਕੀ	प्रगती	పురోగతి	Прогрес	Framsteg	Maendeleo
pointsA	Points	누적 점수	累計分數	累计分数	累積点数	Điểm	Points	Оноо	คะแนน	mata	Poin	अंक	نکته ها	अंक	پوائنٹس	Puanlar	נקודות	نقاط	Punkte	Puntos	Punti	Pontos	Точки	Zwrotnica	ពិន្ទុ	အမှတ်များ	পয়েন্ট	புள்ளிகள்	ਅੰਕ	गुण	పాయింట్లు	Очки	Poäng	Pointi
