eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
si	oneself	자신, 자기자신	soi-même	自分、自分	自己	自己	chính mình	өөрөө	ตัวเอง	diri sendiri	diri	स्वयं	خود	आफैलाई	اپنے آپ کو	kendisi	עַצמוֹ	نفسه - ذاته	man selbst	uno mismo	se stessi	si mesmo	себя	się
mem	by oneself	스스로, 친히, 직접, 혼자서	par soi-même	自分で、親しく、直接、一人で	独自	獨自	một mình	өөрөө	ด้วยตัวเอง	oleh diri sendiri	sendirian	अपने द्वारा	توسط خود	आफैले	خود سے	kendi kendine	בעצמו	بنفسه	alleine	por uno mismo	Da sé	por ele mesmo	по себе	samemu
ĝis ~	upto ~, until ~	~까지 (시간적, 공간적)	jusqu'à ~, jusqu'à ~	〜まで（時間的、空間的）	直到〜，直到〜	直到〜，直到〜	cho tới ~, cho đến ~	хүртэл ~ хүртэл, ~ хүртэл	มากถึง ~, จนกระทั่ง ~	sehingga ~, sehingga ~	sampai ~, sampai ~	~ तक, ~ तक	تا ~، تا ~	~ सम्म, ~ सम्म	~ تک، ~ تک	~'a kadar, ~'a kadar	עד ~, עד ~	حتى ~، حتى ~	bis ~, bis ~	hasta ~, hasta ~	fino a ~, fino a ~	até ~, até ~	до ~, пока ~	do ~, do ~
de ~	of ~	~의, ~부터, ~로 인해	de ~	〜の、〜から、〜のため	的~	的~	của ~	-ийн ~	ของ ~	daripada ~	dari ~	~ का	از ~	को ~	کا ~	~	של ~	من ~	von ~	de ~	di ~	de ~	из ~	z ~
da ~	(much) of ~, (many) of ~	수, 양을 나타내는 전치사	(beaucoup) de ~, (beaucoup) de ~	数、量を表す前置詞	（很多）~，（很多）~	（很多）~，（很多）~	(nhiều) của ~, (nhiều) của ~	(их) нь ~, (олон) нь ~	(มาก) ของ ~, (มาก) ของ ~	(banyak) daripada ~, (banyak) daripada ~	(banyak) dari ~, (banyak) dari ~	(बहुत) का ~, (बहुत) का ~	(بسیار) از ~، (بسیاری) از ~	(धेरै) को ~, (धेरै) को ~	(بہت) کا ~، (بہت) کا ~	(çok) ~, (birçok) ~	(הרבה) של ~, (רבים) של ~	(كثيرًا) من ~، (كثيرًا) من ~	(viel) von ~, (viele) von ~	(mucho) de ~, (muchos) de ~	(molto) di ~, (molti) di ~	(muito) de ~, (muitos) de ~	(большая часть) из ~, (много) из ~	(dużo) z ~, (wiele) z ~
-aĵo	(suffix)  thing, concrete manifestation	사물 접미사, ~한 것, ~한 사물	(suffix) chose, manifestation concrète	物事の接尾辞、〜もの、〜一つのもの	(词尾) 事物的具体表现	&lt;詞尾&gt;事物的具體表現	(hậu tố) sự vật, biểu hiện cụ thể	(suffix) зүйл, тодорхой илрэл	(suffix) สิ่งของ, การสำแดงอย่างเป็นรูปธรรม	(suffix) perkara, manifestasi konkrit	(suffix) benda, wujud nyata	(suffix) वस्तु, ठोस अभिव्यक्ति	(suffix) چیز، تجلی ملموس	(suffix) कुरा, ठोस अभिव्यक्ति	(suffix) چیز، ٹھوس مظہر	(suffix) şey, somut tezahür	(suffix) דבר, ביטוי קונקרטי	(suffix) الشيء، مظهر ملموس	(Suffix) Sache, konkrete Manifestation	(sufijo) cosa, manifestación concreta	(suffisso) cosa, manifestazione concreta	(sufixo) coisa, manifestação concreta	(суффикс) вещь, конкретное проявление	(przyrostek) rzecz, konkretna manifestacja
proksima	near, close to, soon, nearby	가까운	près, près de, bientôt, à proximité	近い	近、接近、不久、附近	近、接近、不久、附近	gần, gần, sắp, gần đây	ойролцоо, ойр, ойрын, ойрын	ใกล้.ใกล้.ใกล้.ใกล้	dekat, dekat, dekat, dekat	dekat, dekat, segera, dekat	निकट, निकट, निकट, निकट	نزدیک، نزدیک، به زودی، نزدیک	नजिक, नजिक, छिट्टै, नजिकै	قریب، قریب، جلد، قریب	yakın, yakın, yakında, yakında	קרוב, קרוב, בקרוב, קרוב	قريب، قريب، قريب، قريب	in der Nähe, in der Nähe, bald, in der Nähe	cerca, cerca de, pronto, cerca	vicino, vicino, presto, vicino	perto, perto de, em breve, próximo	рядом, близко, скоро, неподалеку	blisko, blisko, wkrótce, niedaleko
-adi	(suffix)  repetitive action, lasting action	반복행위 접미사 (반복하다)	(suffix) action répétitive, action durable	繰り返し行為サフィックス（繰り返し）	(词尾) 重复动作、持续动作	&lt;詞尾&gt;重複動作、持續動作	(hậu tố) hành động lặp đi lặp lại, hành động lâu dài	(suffix) давтагдах үйлдэл, удаан үргэлжлэх үйлдэл	(suffix) การกระทำซ้ำๆ การกระทำที่ยั่งยืน	(suffix) tindakan berulang, tindakan yang berkekalan	(suffix) tindakan berulang-ulang, tindakan yang bertahan lama	(suffix) दोहराव वाली कार्रवाई, स्थायी कार्रवाई	(suffix) عمل تکراری، عمل پایدار	(suffix) दोहोरिने कार्य, स्थायी कार्य	(suffix) بار بار کارروائی، دیرپا کارروائی	(suffix) Tekrarlanan eylem, kalıcı eylem	(suffix) פעולה חוזרת, פעולה מתמשכת	(suffix) عمل متكرر، عمل دائم	(Suffix) sich wiederholende Aktion, dauerhafte Aktion	(sufijo) acción repetitiva, acción duradera	(suffisso) azione ripetitiva, azione duratura	(sufixo) ação repetitiva, ação duradoura	(суффикс) повторяющееся действие, длительное действие	(przyrostek) czynność powtarzalna, czynność trwała
-as	(suffix)  present tense	동사 현재형 어미	(suffix) présent	動詞現在型母	(词尾) 现在时	&lt;詞尾&gt;現在式	(hậu tố) thì hiện tại	(suffix) Одоо цаг	(suffix) ปัจจุบันกาล	(suffix) masa kini	(suffix) Kala Kini	(suffix) वर्तमान - काल	(suffix) زمان حال	(suffix) वर्तमान काल	(suffix) زمانہ حال	(suffix) şimdiki zaman	(suffix) זמן הווה	(suffix) الزمن الحاضر	(Suffix) Präsens	(sufijo) tiempo presente	(suffisso) tempo presente	(sufixo) presente	(суффикс) настоящего времени	(przyrostek) czas teraźniejszy
-is	(suffix)  past tense	동사 과거형 어미	(suffix) passé	動詞の過去の母語	(词尾) 过去式	&lt;詞尾&gt;過去式	(hậu tố) thì quá khứ	(suffix) өнгөрсөн цаг	(suffix) อดีตกาล	(suffix) masa lampau	(suffix) waktu lampau	(suffix) भूतकाल	(suffix) زمان گذشته	(suffix) भूत काल	(suffix) فعل ماضی	(suffix) geçmiş zaman	(suffix) זמן עבר	(suffix) فعل ماضي	(Suffix) Vergangenheitsform	(sufijo) tiempo pasado	(suffisso) passato	(sufixo) pretérito	(суффикс) прошедшее время	(przyrostek) czas przeszły
esti	to be	~이다, ~이 있다, 존재하다	être	〜である、〜がある、存在する	成为	成為	được	байх	เป็น	akan menjadi	menjadi	होना	بودن	हुनु	بننا	olmak	להיות	يكون	zu sein	ser	essere	ser	быть	być
-os	(suffix)  future tense	동사 미래형 어미	(suffix) le futur	動詞未来型母語	(词尾) 将来时	&lt;詞尾&gt;將來式	(hậu tố) thì tương lai	(suffix) ирээдүйн цаг	(suffix) อนาคตที่ตึงเครียด	(suffix) masa hadapan	(suffix) kalimat masa depan	(suffix) भविष्यकाल	(suffix) زمان آینده	(suffix) भविष्य काल	(suffix) فعل مستقبل	(suffix) gelecek zaman	(suffix) לשון עתיד	(suffix) زمن المستقبل	(Suffix) Zukunftsform	(sufijo) tiempo futuro	(suffisso) futuro	(sufixo) tempo futuro	(суффикс) будущее время	(przyrostek) czas przyszły
antaŭ ~	(preposition)  before ~, in front of ~	~앞의, ~이전의	(prep) avant ~, devant ~	～前の、～前の	(前置词) 在～之前，在～之前	&lt;前置詞&gt;在～之前，在～之前	(giới từ) trước ~, trước ~	(preposition) өмнө ~, урд ~	(preposition) ก่อน ~, ข้างหน้า ~	(preposition) sebelum ~, di hadapan ~	(preposition) sebelum ~, di depan ~	(preposition) ~ से पहले, ~ के सामने	(preposition) قبل از ~، در مقابل ~	(preposition) अघि ~, अगाडि ~	(preposition) ~ سے پہلے، ~ کے سامنے	(preposition) ~'den önce, ~'den önce	(preposition) לפני ~, לפני ~	(preposition) قبل ~، أمام ~	(Präposition) vor ~, vor ~	(preposición) antes de ~, delante de ~	(preposizione) prima di ~, davanti a ~	(preposição) antes de ~, na frente de ~	(предлог) перед ~, перед ~	(przyimek) przed ~, przed ~
fari	to make, to do	~를 하다, ~를 만들다	faire, faire	〜をする、〜を作る	使，做	使，做	làm, làm	хийх, хийх	ทำ ทำ	untuk membuat, untuk melakukan	untuk membuat, melakukan	बनाना, करना	ساختن، انجام دادن	बनाउन, गर्न	بنانا، کرنا	yapmak, yapmak	לעשות, לעשות	للقيام به	machen, machen	hacer, hacer	fare, fare	fazer, fazer	сделать, сделать	zrobić, zrobić
ankaŭ ~	(preposition)  also, too	~도, ~도 역시	(prep) aussi trop	~も、~も	(前置词) 也是	&lt;前置詞&gt;也是	(giới từ) cũng vậy	(preposition) бас бас	(preposition) เช่นกัน	(preposition) juga, juga	(preposition) juga, juga	(preposition) भी भी	(preposition) همینطور	(preposition) पनि, पनि	(preposition) بھی، بھی	(preposition) ayrıca da	(preposition) גם	(preposition) أيضا	(Präposition) auch, auch	(preposición) también	(preposizione) anche	(preposição) também, também	(предлог) тоже, тоже	(przyimek) także, także
post ~	after ~	~후에, ~ 다음에	après ~	〜後、〜次に	之后~	之後~	sau ~	дараа ~	หลังจาก ~	selepas ~	setelah ~	~ के बाद	بعد از ~	पछि ~	کے بعد ~	~'dan sonra	אחרי ~	بعد ~	nach ~	después ~	dopo ~	depois ~	после ~	po ~
mal-	(prefix)  opposite	반대의 접두사	(prefix) opposé	反対の接頭辞	(字首) 对面的	&lt;字首&gt;對面的	(tiếp đầu ngữ) đối diện	(prefix) эсрэг	(prefix) ตรงข้าม	(prefix) bertentangan	(prefix) di depan	(prefix) विलोम	(prefix) مقابل	(prefix) विपरीत	(prefix) برعکس	(prefix) zıt	(prefix) מול	(prefix) عكس	(Präfix) Gegenteil	(prefijo) opuesto	(prefisso) opposto	(prefixo) oposto	(префикс) напротив	(przedrostek) naprzeciwko
-ul-	(suffix)  a person of some trait	어떤 특성이 있는 사람, ~한 사람	(suffix) une personne ayant un certain caractère	どんな特性がある人、～一人	(词尾) 具有某种特质的人	&lt;詞尾&gt;具有某種特質的人	(hậu tố) một người có đặc điểm nào đó	(suffix) ямар нэгэн шинж чанартай хүн	(suffix) บุคคลที่มีลักษณะบางอย่าง	(suffix) seseorang yang mempunyai sifat tertentu	(suffix) seseorang dengan sifat tertentu	(suffix) किसी विशेष गुण वाला व्यक्ति	(suffix) فردی با برخی ویژگی ها	(suffix) केहि विशेषता को एक व्यक्ति	(suffix) کسی خاصیت کا آدمی	(suffix) bazı özelliklere sahip bir kişi	(suffix) אדם בעל תכונה כלשהי	(suffix) شخص من بعض الصفات	(Suffix) eine Person mit einer bestimmten Eigenschaft	(sufijo) una persona de algún rasgo	(suffisso) una persona con qualche caratteristica	(sufixo) uma pessoa com alguma característica	(суффикс) человек какой-то черты	(przyrostek) osoba posiadająca jakąś cechę
-in-	(suffix)  female	여성형 접미사	(suffix) femelle	女性型サフィックス	(词尾) 女性	&lt;詞尾&gt;女性	(hậu tố) nữ giới	(suffix) эмэгтэй	(suffix) หญิง	(suffix) perempuan	(suffix) perempuan	(suffix) महिला	(suffix) زن	(suffix) महिला	(suffix) عورت	(suffix) dişi	(suffix) נְקֵבָה	(suffix) أنثى	(Suffix) weiblich	(sufijo) femenino	(suffisso) femminile	(sufixo) feminino	(суффикс) женщина	(przyrostek) kobieta
-ant-	(suffix)  active present, is ~ing, someone who is ~ing	~하는, ~하는 사람 (현재, 능동, 진행형)	(suffix) présent actif, est ~ing, quelqu'un qui ~ing	〜する、〜する人（現在、アクティブ、進行型）	(词尾) 主动现在，正在〜ing，正在〜ing的人	&lt;詞尾&gt;主動現在，正在〜ing，正在〜ing的人	(hậu tố) hiện tại tích cực, đang ~ing, ai đó đang ~ing	(suffix) идэвхтэй одоогийн, is ~ing, хэн нэгэн нь ~ болж байна	(suffix) ปัจจุบันที่กระตือรือร้น กำลัง ~ing ใครบางคนที่กำลัง ~ing	(suffix) aktif hadir, sedang ~, seseorang yang sedang ~	(suffix) hadiah aktif, adalah ~ing, seseorang yang ~ing	(suffix) सक्रिय वर्तमान, ~आईएनजी, कोई है जो ~आईएनजी	(suffix) حال حاضر فعال است، کسی است که در حال ~ شدن است	(suffix) सक्रिय वर्तमान, ~ing, कोही जो ~ing छ	(suffix) فعال موجود، ~ing ہے، کوئی ہے جو ~ing کر رہا ہے۔	(suffix) aktif şimdiki zaman, ~ing, ~ing yapan biri	(suffix) הווה פעיל, הוא ~ing, מישהו שהוא ~ing	(suffix) المضارع النشط، هو ~ing، شخص ~ing	(Suffix) aktive Gegenwart, ist ~ing, jemand, der ~ing ist	(sufijo) presente activo, es ~ing, alguien que está ~ing	(suffisso) presente attivo, sta ~ing, qualcuno che sta ~ing	(sufixo) presente ativo, está ~ing, alguém que está ~ing	(суффикс) активное настоящее время, ~ing, тот, кто ~ing	(przyrostek) aktywny teraźniejszość, jest ~ing, ktoś, kto jest ~ing
-int-	(suffix)  active past, was ~ing	~하고 있었던, ~하고 있었던 사람 (과거, 능동, 진행형)	(suffix) passé actif, était ~ing	〜していた、〜していた人（過去、アクティブ、進行型）	(词尾) 活跃的过去，was ~ing	&lt;字尾&gt;活躍的過去，was ~ing	(hậu tố) quá khứ tích cực, đã ~ing	(suffix) идэвхтэй өнгөрсөн, was ~ing	(suffix) อดีตที่ใช้งานอยู่กำลัง ~ ไอเอ็นจี	(suffix) masa lalu yang aktif, sedang ~ing	(suffix) masa lalu yang aktif, sedang ~ing	(suffix) सक्रिय अतीत, ~आईएनजी था	(suffix) گذشته فعال، بود	(suffix) सक्रिय विगत, थियो	(suffix) فعال ماضی، ~ing تھا	(suffix) aktif geçmiş, ~ing	(suffix) עבר פעיל, היה ~ing	(suffix) الماضي النشط، كان ~ جي	(Suffix) aktive Vergangenheit, war ~ing	(sufijo) pasado activo, estaba ~ing	(suffisso) passato attivo, stava ~ing	(sufixo) passado ativo, estava ~ing	(суффикс) активное прошлое, было ~ing	(przyrostek) aktywna przeszłość, was ~ing
-ont-	(suffix)  active future, will be ~ing	~하고 있을, ~하고 있을 사람 (미래 능동 진행형)	(suffix) un avenir actif, sera ~ing	～している、～している人（未来アクティブ進行型）	(词尾) 积极的未来，将会~ing	&lt;詞尾&gt;積極的未來，將會~ing	(hậu tố) tương lai năng động, sẽ ~ing	(suffix) идэвхтэй ирээдүй, will be ~ing	(suffix) อนาคตที่กระตือรือร้นจะเป็น ~ ไอเอ็นจี	(suffix) masa depan yang aktif, akan ~ing	(suffix) masa depan yang aktif, akan ~ing	(suffix) सक्रिय भविष्य, ~आईएनजी होगा	(suffix) آینده فعال، خواهد بود	(suffix) सक्रिय भविष्य, हुनेछ	(suffix) فعال مستقبل، ~ing ہو جائے گا	(suffix) aktif gelecek, olacak	(suffix) עתיד פעיל, יהיה ~ing	(suffix) المستقبل النشط، سوف يكون ~ جي	(Suffix) aktive Zukunft, wird ~ing sein	(sufijo) futuro activo, será ~ing	(suffisso) futuro attivo, sarà ~ing	(sufixo) futuro ativo, estará ~ing	(суффикс) активное будущее, будет ~ing	(przyrostek) aktywna przyszłość, będzie ~ing
kaj (k.)	and	그리고, ~와, ~과	et	そして、〜と、〜と	和	和	Và	болон	และ	dan	Dan	और	و	र	اور	Ve	ו	و	Und	y	E	e	и	I
aŭ	or	또는, 혹은	ou	または、または	或者	或者	hoặc	эсвэл	หรือ	atau	atau	या	یا	वा	یا	veya	אוֹ	أو	oder	o	O	ou	или	Lub
alta	high, tall	높은, 큰	grande taille	高い、大きい	高，高	高，高	cao cao	өндөр, өндөр	สูงสูง	tinggi, tinggi	tinggi, tinggi	उंचा लंबा	بلند، بلند	उच्च, अग्लो	اونچا، لمبا	yüksek, uzun	גבוה, גבוה	ارتفاع طويل	hoch, groß	talla alta	alto alto	alto, alto	высокий, высокий	wysokiego wzrostu
jes	yes	예	Oui	はい	是的	是的	Đúng	тиймээ	ใช่	ya	Ya	हाँ	آره	हो	جی ہاں	Evet	כן	نعم	Ja	Sí	SÌ	sim	да	Tak
ne	not, no	~아닌, 아니오	non, non	〜いいえ、いいえ	不，不	不，不	không, không	үгүй, үгүй	ไม่ ไม่	tidak, tidak	tidak, tidak	नहीं नहीं	نه، نه	होइन, होइन	نہیں، نہیں	hayır değil	לא לא	لا، لا	nicht nein	no 'no	non NO	não não	не нет	nie nie
tiom	that much, such amount, that amount	그만큼	tant, tel montant, tel montant	それだけ	那么多 那么多 那么多	那麼多那麼多	bấy nhiêu, bấy nhiêu, số tiền đó	тийм их, ийм хэмжээний, тэр хэмжээгээр	มากนั้น, จำนวนนั้น, จำนวนนั้น	sebanyak itu, jumlah itu, jumlah itu	sebanyak itu, sebanyak itu, sebanyak itu	इतना, इतनी रकम, उतनी रकम	آن مقدار، آن مقدار، آن مقدار	त्यो धेरै, यति रकम, त्यो रकम	اتنی زیادہ، اتنی رقم، اتنی رقم	şu kadar, şu kadar, şu kadar	כל כך הרבה, כמות כזו, כמות כזו	هذا القدر، هذا المبلغ، هذا المبلغ	so viel, so viel, so viel	tanto, tal cantidad, esa cantidad	così tanto, tale importo, tale importo	tanto, tal quantia, aquela quantia	столько, такая сумма, такая сумма	tyle, taką kwotę, taką kwotę
bona	good	좋은, 착한	bien	良い、良い	好的	好的	Tốt	сайн	ดี	baik	Bagus	अच्छा	خوب	राम्रो	اچھی	iyi	טוֹב	جيد	Gut	bien	Bene	bom	хороший	Dobry
kiom	how much, how many	얼마만큼	combien	いくら	多少多少	多少多少	bao nhiêu	хэр хичнээн их	เท่าไหร่, เท่าไหร่	berapa banyak berapa banyak	seberapa banyak	कितना कितने	چقدر، چند	कति, कति	کتنا ھے؟ کتنے ھیں	ne kadar, kaç	כמה כמה	كم القيمة كم العدد	wie viel, wie viele	cuánto cuántos	quanto Quanti	quanto quanto	сколько, сколько	jak dużo jak wiele
ofte	often, frequently	종종, 자주	souvent fréquemment	しばしば、しばしば	经常频繁	經常頻繁	thường xuyên, thường xuyên	байнга, байнга	บ่อยครั้งบ่อยครั้ง	kerap, kerap	sering, sering	प्रायः बारंबार	اغلب، مکرر	अक्सर, बारम्बार	اکثر، اکثر	sık sık	לעתים קרובות, לעתים קרובות	في كثير من الأحيان في كثير من الأحيان	oft, häufig	a menudo con frecuencia	spesso, frequentemente	muitas vezes, frequentemente	часто, часто	często, często
iom	a little, rather, some, somewhat	조금, 소량	un peu, plutôt, un peu, un peu	少し、少量	一点，相当，一些，有点	一點，相當，一些，有點	một chút, đúng hơn, một số, phần nào	бага зэрэг, харин зарим нь, зарим талаараа	เล็กน้อย ค่อนข้าง บ้าง บ้าง	sedikit, agak, beberapa, agak	sedikit, lebih tepatnya, beberapa, agak	थोड़ा, बल्कि, कुछ, कुछ हद तक	کمی، بلکه، مقداری، تا حدودی	थोरै, बरु, केही, केही हदसम्म	تھوڑا، بلکہ، کچھ، کسی حد تک	biraz, biraz, biraz, biraz	קצת, יותר נכון, קצת, קצת	قليلا، بدلا من ذلك، بعض، إلى حد ما	ein wenig, eher, etwas, etwas	un poco, más bien, algo, algo	un po', piuttosto, un po', un po'	um pouco, antes, alguns, um pouco	немного, скорее, немного, несколько	trochę, raczej, trochę, trochę
nova	new, novel	새로운	nouveau, roman	新しい	新的，新颖的	新的，新穎的	mới, tiểu thuyết	шинэ, роман	ใหม่นวนิยาย	baru, novel	baru, baru	नया, उपन्यास	جدید، رمان	नयाँ, उपन्यास	نیا، ناول	yeni, roman	חדש, רומן	جديدة، رواية	neu, neuartig	nuevo, novela	nuovo, romanzo	novo, romance	новый, роман	nowy, powieść
-at-	(suffix)  passive present participle	수동태 현재 분사	(suffix) Participe présent passif	受動態現在噴射	(词尾) 被动现在分词	&lt;詞尾&gt;被動現在分詞	(hậu tố) phân từ hiện tại thụ động	(suffix) идэвхгүй одоогийн үе	(suffix) กริยาปัจจุบันเชิงโต้ตอบ	(suffix) participle hadir pasif	(suffix) partisip pasif saat ini	(suffix) निष्क्रिय वर्तमान कृदंत	(suffix) فعل مفعول	(suffix) निष्क्रिय वर्तमान पार्टिसिपल	(suffix) غیر فعال موجودہ شریک	(suffix) pasif şimdiki zaman katılımcısı	(suffix) חלק נוכח פסיבי	(suffix) النعت السلبي	(Suffix) Passiv Partizip Präsens	(sufijo) participio presente pasivo	(suffisso) participio presente passivo	(sufixo) particípio presente passivo	(суффикс) пассивное причастие настоящего времени	(przyrostek) imiesłów bierny teraźniejszy
-it-	(suffix)  passive past participle	수동태 과거 분사	(suffix) participe passé passif	受動態過去噴射	(词尾) 被动过去分词	&lt;詞尾&gt;被動過去分詞	(hậu tố) quá khứ phân từ thụ động	(suffix) идэвхгүй өнгөрсөн үе	(suffix) กริยาอดีตแบบพาสซีฟ	(suffix) participle lepas pasif	(suffix) past participle pasif	(suffix) निष्क्रिय भूत कृदंत	(suffix) فعل مفعول	(suffix) निष्क्रिय विगत पार्टिसिपल	(suffix) غیر فعال ماضی شریک	(suffix) pasif geçmiş katılımcı	(suffix) חלק עבר פסיבי	(suffix) النعت الماضي السلبي	(Suffix) Passives Partizip Perfekt	(sufijo) participio pasado pasivo	(suffisso) participio passato passivo	(sufixo) particípio passado passivo	(суффикс) пассивное причастие прошедшего времени	(przyrostek) imiesłów bierny czasu przeszłego
-ot-	(suffix)  passive future participle	수동태 미래 분사	(suffix) participe futur passif	受動態未来噴射	(词尾) 被动将来分词	&lt;詞尾&gt;被動將來分詞	(hậu tố) phân từ tương lai thụ động	(suffix) идэвхгүй ирээдүйн гишүүн	(suffix) กริยาอนาคตแบบพาสซีฟ	(suffix) participle masa depan pasif	(suffix) partisip masa depan pasif	(suffix) निष्क्रिय भविष्य कृदंत	(suffix) مفعول آینده	(suffix) निष्क्रिय भविष्य सहभागी	(suffix) غیر فعال مستقبل میں حصہ لینے والا	(suffix) pasif gelecek katılımcı	(suffix) חלק עתידי פסיבי	(suffix) النعت المستقبل السلبي	(Suffix) passives zukünftiges Partizip	(sufijo) participio futuro pasivo	(suffisso) participio futuro passivo	(sufixo) particípio futuro passivo	(суффикс) пассивное причастие будущего времени	(przyrostek) bierny imiesłów przyszły
tre	very, quite, very much	매우	très, assez, beaucoup	非常に	非常、相当、非常	非常、相當、非常	rất, khá, rất nhiều	маш, маш, маш их	มากทีเดียวมาก	sangat, agak, sangat	sangat, sangat, sangat	बहुत, काफी, बहुत	خیلی خیلی خیلی خیلی	धेरै, धेरै, धेरै	بہت، بہت، بہت	çok, oldukça, çok	מאוד, די, מאוד	جدا جدا جدا	sehr, ziemlich, sehr	mucho, bastante, mucho	molto, abbastanza, moltissimo	muito, bastante, muito	очень, вполне, очень	bardzo, całkiem, bardzo
tro	too, excessively, too much	너무	trop, excessivement, trop	あまり	太多，太多，太多	太多，太多，太多	quá, quá mức, quá nhiều	хэтэрхий, хэтэрхий, хэт их	มากเกินไป, มากเกินไป, มากเกินไป	terlalu, berlebihan, terlalu banyak	terlalu, berlebihan, terlalu banyak	बहुत, अत्यधिक, बहुत अधिक	بیش از حد، بیش از حد، بیش از حد	धेरै, अत्यधिक, धेरै	بھی، ضرورت سے زیادہ، بہت زیادہ	çok, aşırı derecede, çok fazla	מדי, מוגזם, יותר מדי	أكثر من اللازم، أكثر من اللازم	zu, übermäßig, zu viel	demasiado, excesivamente, demasiado	troppo, eccessivamente, troppo	também, excessivamente, demais	слишком, чрезмерно, слишком много	zbyt, nadmiernie, za dużo
