eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw	nl	no	da	lv	ro	lt	bg	sk	sl	et	cs	fi	hu	el
ankaŭ mi ne	mi neither	나도 아닙니다	moi non plus	私も来ません	我也不是	我都沒有	tôi cũng vậy	би ч үгүй	ฉันก็เหมือนกัน	saya tidak juga	aku juga tidak	मैं भी नहीं	من نه	म पनि	میں بھی نہیں	ben de	גם אני לא	أنا لا	mi weder	yo tampoco	neanche io	eu também não	ми тоже	ja też	ខ្ញុំក៏មិនមែនដែរ។	ငါလည်းမဟုတ်ဘူး။	আমিও না	நானும் இல்லை	ਮੈਂ ਵੀ ਨਹੀਂ	मीही नाही	నేను కూడా కాదు	я також	inte jag heller	mi wala	ik ook niet	jeg heller ikke	jeg heller ikke	man arī nē	nici eu	aš irgi ne	нито аз	ani ja	jaz tudi ne	mina ka mitte	ani mi	en minäkään	én sem	ούτε εγώ
~ estas interesa nomo	~ is an interesting name	~는 흥미로운 이름입니다	~ est un nom intéressant	~は興味深い名前です	〜是一个有趣的名字	〜是個有趣的名字	~ là một cái tên thú vị	~ бол сонирхолтой нэр	~ เป็นชื่อที่น่าสนใจ	~ adalah nama yang menarik	~ adalah nama yang menarik	~ एक दिलचस्प नाम है	~ نام جالبی است	~ एउटा रोचक नाम हो	~ ایک دلچسپ نام ہے۔	~ ilginç bir isim	~ הוא שם מעניין	~ هو اسم مثير للاهتمام	~ ist ein interessanter Name	~ es un nombre interesante	~ è un nome interessante	~ é um nome interessante	~ интересное имя	~ to ciekawe imię	~ គឺជាឈ្មោះគួរឱ្យចាប់អារម្មណ៍	~ စိတ်ဝင်စားစရာကောင်းတဲ့ နာမည်တစ်ခုပါ။	~ একটি আকর্ষণীয় নাম	~ என்பது ஒரு சுவாரஸ்யமான பெயர்	~ ਇੱਕ ਦਿਲਚਸਪ ਨਾਮ ਹੈ	~ हे एक मनोरंजक नाव आहे	~ అనేది ఆసక్తికరమైన పేరు	~ цікава назва	~ är ett intressant namn	~ ni jina la kuvutia	~ is een interessante naam	~ er et interessant navn	~ er et interessant navn	~ ir interesants vārds	~ este un nume interesant	~ įdomus vardas	~ е интересно име	~ je zaujímavé meno	~ je zanimivo ime	~ on huvitav nimi	~ je zajímavé jméno	~ on mielenkiintoinen nimi	A ~ érdekes név	~ είναι ένα ενδιαφέρον όνομα
ĉu?	is it?	그래요?	est-ce ?	そうですか？	是吗？	是嗎？	Là nó?	тийм үү?	ใช่ไหม?	adakah ia	Apakah itu?	यह है?	آیا آن است؟	हो र?	کیا یہ ہے؟	bu mu?	האם זה?	فعلا؟	ist es?	¿Lo es?	è?	é isso?	это?	czy to jest to?	តើមែនទេ?	ဟုတ်လား?	তাই কি?	அப்படியா?	ਕੀ ਇਹ ਹੈ?	खरचं?	ఔనా?	є це?	är det?	ni?	is het?	er det?	er det?	vai tas ir?	este?	ar tai?	Така ли?	je to?	ali je?	Kas see on?	je to?	onko se?	ez?	είναι?
ĉu ne?	isn't it?	그렇지 않은가요?	n'est-ce pas ?	そうではありませんか？	不是吗？	不是嗎？	phải không?	тийм биш гэж үү?	ไม่ใช่เหรอ?	bukan?	bukan?	यही है ना?	اینطور نیست؟	होइन र?	ہے نا	değil mi?	נכון?	أليس كذلك؟	nicht wahr?	¿no es así?	non è vero?	não é?	не так ли?	prawda?	មែនទេ?	မဟုတ်လား	তাই না?	இல்லையா?	ਹੈ ਨਾ?	नाही का?	కాదా?	чи не так?	är det inte?	sivyo?	nietwaar?	er det ikke?	er det ikke?	vai ne?	nu-i aşa?	ar ne?	не е ли	nie?	kajne?	kas pole?	není to tak?	eikö olekin?	nem igaz?	δεν είναι;
en kiu maniero?	in what way?	어떤 식으로요?	de quelle manière ?	どうやって？	以什么方式？	以什麼方式？	bằng cách nào?	ямар замаар вэ?	อย่างไหนล่ะ, แบบไหนล่ะ?	dalam cara apa?	dengan cara apa?	किस तरह से?	از چه طریقی؟	कुन तरिकामा?	کس طرح سے	ne şekilde?	באיזו דרך?	في أي طريق؟	inwiefern?	¿en qué manera?	in quale modo?	de que maneira?	в каком смысле?	w jaki sposób?	តើតាមរបៀបណា?	ဘယ်လိုနည်းနဲ့?	কোন পথে?	எந்த வழியில்?	ਕਿਸ ਤਰੀਕੇ ਨਾਲ?	कुठल्या पद्धतीने?	ఏ విధంగా?	яким чином?	på vilket sätt?	kwa njia gani?	op welke manier?	på hvilken måte?	på hvilken måde?	kādā veidā?	in ce fel?	kokiu būdu?	по какъв начин?	akým spôsobom?	v kakšnem smislu?	millisel moel?	jakým způsobem?	millä tavalla?	milyen módon?	με ποιό τρόπο?
rilatas al ~	is related to ~	~에 관계가 있다	est lié à ~	~に関係がある	与~有关	與~有關	có liên quan đến ~	~-тай холбоотой	มีความเกี่ยวข้องกับ ~	berkaitan dengan ~	terkait dengan ~	~ से संबंधित है	مربوط به ~ است	~ सँग सम्बन्धित छ	~ سے متعلق ہے۔	~ ile ilgilidir	קשור ל~	يرتبط ~	hängt mit ~ zusammen	está relacionado con ~	è correlato a ~	está relacionado a ~	связано с ~	jest powiązany z ~	គឺទាក់ទងនឹង ~	~ နှင့် သက်ဆိုင်သည်။	~ এর সাথে সম্পর্কিত	~ உடன் தொடர்புடையது	~ ਨਾਲ ਸਬੰਧਤ ਹੈ	~ शी संबंधित आहे	~కి సంబంధించినది	пов'язане з ~	är relaterad till ~	inahusiana na ~	heeft betrekking op ~	er relatert til ~	er relateret til ~	ir saistīts ar ~	este legat de ~	yra susijęs su ~	е свързано с ~	súvisí s ~	je povezano s ~	on seotud ~-ga	souvisí s ~	liittyy ~	~hoz kapcsolódik	σχετίζεται με το ~
ĝi rilatas al Esperanto	it is related to Esperanto.	그것은 에스페란토와 관계가 있습니다	c'est lié à l'espéranto.	エスペラントと関係があります	它与世界语有关。	它與世界語有關。	nó có liên quan đến Esperanto.	Энэ нь эсперанто хэлтэй холбоотой.	มันเกี่ยวข้องกับภาษาเอสเปรันโต	ia berkaitan dengan bahasa Esperanto.	itu terkait dengan Esperanto.	यह एस्पेरान्तो से संबंधित है।	مربوط به اسپرانتو است.	यो एस्पेरान्तोसँग सम्बन्धित छ।	اس کا تعلق ایسپرانٹو سے ہے۔	Esperanto ile ilgilidir.	זה קשור לאספרנטו.	إنها مرتبطة بالاسبرانتو.	es ist mit Esperanto verwandt.	está relacionado con el esperanto.	è legato all'esperanto.	está relacionado ao Esperanto.	это связано с эсперанто.	jest to spokrewnione z esperanto.	វាទាក់ទងនឹង Esperanto ។	Esperanto နှင့်ဆက်စပ်သည်။	এটি এস্পেরান্তোর সাথে সম্পর্কিত।	இது எஸ்பெராண்டோவுடன் தொடர்புடையது.	ਇਹ ਐਸਪੇਰਾਂਟੋ ਨਾਲ ਸਬੰਧਤ ਹੈ।	ते एस्पेरांतोशी संबंधित आहे.	ఇది ఎస్పెరాంటోకి సంబంధించినది.	це пов'язано з есперанто.	det är släkt med esperanto.	inahusiana na Kiesperanto.	het is gerelateerd aan Esperanto.	det er relatert til esperanto.	det er relateret til esperanto.	tas ir saistīts ar esperanto valodu.	are legătură cu Esperanto.	ji susijusi su esperanto kalba.	то е свързано с есперанто.	súvisí s esperantom.	je povezano z esperantom.	see on seotud esperantoga.	souvisí s esperantem.	se liittyy esperantoon.	az eszperantóhoz kapcsolódik.	σχετίζεται με την Εσπεράντο.
kio?	what?	뭐라고요?	quoi ?	なんですか？	什么？	什麼？	Gì?	юу?	อะไร?	apa?	Apa?	क्या?	چی؟	के?	کیا؟	Ne?	מה?	ماذا؟	Was?	¿qué?	Che cosa?	o que?	что?	Co?	អ្វី?	ဘာလဲ?	কি?	என்ன?	ਕੀ?	काय?	ఏమిటి?	що?	Vad?	nini?	Wat?	hva?	hvad?	kas?	ce?	ką?	Какво?	čo?	kaj?	mida?	co?	mitä?	mit?	τι;
mi ne aŭdis bone	I didn't hear well	나는 잘 듣지 못했습니다	je n'ai pas bien entendu	私はよく聞くことができませんでした	我没听清楚	我沒聽清楚	tôi nghe không rõ	Би сайн сонссонгүй	ฉันได้ยินไม่ดี	Saya tidak mendengar dengan baik	Saya tidak mendengar dengan baik	मैंने ठीक से सुना नहीं	خوب نشنیدم	मैले राम्रोसँग सुनिनँ	میں نے اچھی طرح نہیں سنا	pek iyi duyamadım	לא שמעתי טוב	لم أسمع جيدا	Ich habe nicht gut gehört	no escuché bien	Non ho sentito bene	não ouvi bem	Я плохо слышал	Nie słyszałem dobrze	ខ្ញុំស្តាប់មិនសូវបានល្អទេ។	ကျွန်တော် ကောင်းကောင်း မကြားမိဘူး။	আমি ভালো করে শুনিনি	எனக்கு நன்றாக கேட்கவில்லை	ਮੈਂ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਸੁਣਿਆ	मला नीट ऐकू आले नाही	నాకు బాగా వినిపించలేదు	Я погано чув	Jag hörde inte bra	Sikusikia vizuri	Ik hoorde het niet goed	Jeg hørte ikke godt	Jeg hørte ikke godt	Es slikti dzirdēju	nu am auzit bine	Nelabai girdėjau	Не чух добре	nepočul som dobre	Nisem dobro slišal	Ma ei kuulnud hästi	Neslyšela jsem dobře	En kuullut hyvin	Nem hallottam jól	Δεν άκουσα καλά
~ estas tro laŭta	~ is too loud	~는 너무 시끄럽다	~ est trop fort	〜はとても騒々しい	~ 太大声了	~ 太大聲了	~ ồn ào quá	~ хэтэрхий чанга байна	~ เสียงดังเกินไป	~ terlalu kuat	~ terlalu keras	~ बहुत तेज़ है	~ خیلی بلند است	~ धेरै चर्को छ	~ بہت بلند ہے۔	~ çok gürültülü	~ רועש מדי	~ بصوت عال جدا	~ ist zu laut	~ es demasiado ruidoso	~ è troppo rumoroso	~ está muito alto	~ слишком громко	~ jest za głośno	~ ខ្លាំងពេក	~ အသံကျယ်လွန်းသည်	~ খুব জোরে	~ மிகவும் சத்தமாக உள்ளது	~ ਬਹੁਤ ਉੱਚੀ ਹੈ	~ खूप जोरात आहे	~ చాలా బిగ్గరగా ఉంది	~ занадто голосно	~ är för högt	~ ni sauti kubwa sana	~ is te luid	~ er for høyt	~ er for højt	~ ir pārāk skaļš	~ este prea tare	~ yra per garsus	~ е твърде силен	~ je príliš hlasný	~ je preglasno	~ on liiga vali	~ je příliš hlasitý	~ on liian kovaääninen	~ túl hangos	~ είναι πολύ δυνατό
la muziko estas tro laŭta	the music is too loud	그 음악이 너무 시끄러워요	la musique est trop forte	その音楽はとても騒々しいです。	音乐声太大	音樂太大聲	âm nhạc quá lớn	хөгжим хэтэрхий чанга байна	เพลงดังเกินไป	muziknya terlalu kuat	musiknya terlalu keras	संगीत बहुत अधिक तेज़ है	صدای آهنگ خیلی بالا است	संगीत धेरै चर्को छ	موسیقی بہت بلند ہے	müziğin sesi çok yüksek	המוזיקה רועשת מדי	الموسيقى صاخبة جدا	die Musik ist zu laut	la música está muy alta	la musica è troppo alta	a música está muito alta	музыка слишком громкая	Muzyka jest zbyt głośna	តន្ត្រីគឺខ្លាំងពេក	သီချင်းက အရမ်းကျယ်တယ်။	সংগীত খুব উচ্চস্বরে বাজছে	இசை மிகவும் சத்தமாக உள்ளது	ਸੰਗੀਤ ਬਹੁਤ ਉੱਚਾ ਹੈ	संगीत खूप जोरात आहे	సంగీతం చాలా బిగ్గరగా ఉంది	музика надто голосна	musiken är för hög	muziki ni mkubwa sana	de muziek is te hard	musikken er for høy	musikken er for høj	mūzika ir pārāk skaļa	muzica este prea tare	muzika per garsi	музиката е твърде силна	hudba je príliš hlasná	glasba je preglasna	muusika on liiga vali	hudba je příliš hlasitá	musiikki on liian kovaa	túl hangos a zene	η μουσική είναι πολύ δυνατή
mi diris, ke ~	I said that ~	나는 ~이라고 얘기했습니다	J'ai dit que ~	私は〜と言いました	我说,~	我是這麼說的~	Tôi đã nói thế mà ~	Би тэгж хэлсэн ~	ฉันบอกว่า~.	Saya berkata bahawa ~	Aku mengatakan itu ~	मैंने कहा कि~	گفتم که ~	मैले भनेको ~	میں نے کہا کہ ~	öyle dedim ~	אמרתי את זה ~	قلت ذلك ~	Das habe ich gesagt ~	dije eso ~	L'ho detto ~	Eu disse isso ~	Я сказал это ~	Powiedziałem to ~	ខ្ញុំបាននិយាយថា ~	ငါပြောတာ~	আমি বললাম ~	~ என்று சொன்னேன்	ਮੈਂ ਕਿਹਾ ਕਿ ~	मी म्हणालो की ~	~ అని చెప్పాను	Я сказав, що ~	Jag sa att ~	Nilisema kwamba ~	Ik zei dat ~	Jeg sa at ~	Jeg sagde det ~	Es teicu, ka ~	Am spus că ~	Aš sakiau, kad ~	Казах това ~	Povedal som, že ~	To sem rekel ~	Ma ütlesin, et ~	Řekl jsem, že ~	Sanoin, että ~	Azt mondtam, hogy ~	Είπα ότι ~
mi diris ke via nomo rilatas al Esperanto	I said that your name is related to Esperanto	나는 당신 이름이 에스페란토와 관계가 있다고 말했습니다	J'ai dit que ton nom est lié à l'espéranto	私はあなたの名前がエスペラントと関係があると言いました	我说你的名字和世界语有关	我說你的名字和世界語有關	Tôi đã nói rằng tên của bạn có liên quan đến Esperanto	Таны нэр эсперанто хэлтэй холбоотой гэж би хэлсэн	ฉันบอกว่าชื่อของคุณเกี่ยวข้องกับภาษาเอสเปรันโต	Saya berkata bahawa nama anda berkaitan dengan Esperanto	Saya bilang nama Anda ada hubungannya dengan Esperanto	मैंने कहा कि आपका नाम एस्पेरान्तो से संबंधित है	گفتم اسم شما مربوط به اسپرانتو است	मैले भने कि तिम्रो नाम एस्पेरान्तोसँग सम्बन्धित छ	میں نے کہا کہ آپ کے نام کا تعلق ایسپرانٹو سے ہے۔	Adının Esperanto ile ilgili olduğunu söyledim	אמרתי שהשם שלך קשור לאספרנטו	قلت أن اسمك مرتبط بالاسبرانتو	Ich sagte, dass Ihr Name mit Esperanto verwandt ist	Dije que tu nombre está relacionado con el esperanto.	Ho detto che il tuo nome è legato all'esperanto	Eu disse que seu nome tem relação com Esperanto	Я сказал, что твое имя связано с эсперанто.	Powiedziałem, że twoje imię jest spokrewnione z esperanto	ខ្ញុំបាននិយាយថាឈ្មោះរបស់អ្នកគឺទាក់ទងនឹង Esperanto	မင်းနာမည်က Esperanto နဲ့ သက်ဆိုင်တယ်လို့ ငါပြောခဲ့တယ်။	আমি বলেছিলাম যে আপনার নাম এস্পেরান্তোর সাথে সম্পর্কিত	உங்கள் பெயர் Esperanto உடன் தொடர்புடையது என்று சொன்னேன்	ਮੈਂ ਕਿਹਾ ਕਿ ਤੁਹਾਡਾ ਨਾਮ ਐਸਪੇਰਾਂਤੋ ਨਾਲ ਸਬੰਧਤ ਹੈ	मी म्हणालो की तुमचे नाव एस्पेरांतोशी संबंधित आहे	మీ పేరు ఎస్పెరాంటోకి సంబంధించినది అని చెప్పాను	Я сказав, що ваше ім'я пов'язане з есперанто	Jag sa att ditt namn är relaterat till esperanto	Nilisema kwamba jina lako linahusiana na Kiesperanto	Ik zei dat uw naam verband houdt met Esperanto	Jeg sa at navnet ditt er relatert til esperanto	Jeg sagde, at dit navn er relateret til esperanto	Es teicu, ka jūsu vārds ir saistīts ar esperanto valodu	Am spus că numele tău are legătură cu Esperanto	Sakiau, kad tavo vardas susijęs su esperanto kalba	Казах, че името ви е свързано с есперанто	Povedal som, že vaše meno súvisí s esperantom	Rekel sem, da je vaše ime povezano z esperantom	Ütlesin, et su nimi on seotud esperantoga	Řekl jsem, že vaše jméno souvisí s esperantem	Sanoin, että nimesi liittyy esperantoon	Azt mondtam, hogy a neved az eszperantóhoz kapcsolódik	Είπα ότι το όνομά σου σχετίζεται με την Εσπεράντο
ĉu vere?	really?	진짜로?	vraiment ?	本当に？	真的吗？	真的嗎？	Thực ra?	үнэхээр?	จริงหรือ	betul ke?	Sungguh?	वास्तव में?	واقعا؟	साँच्चै?	واقعی؟	Gerçekten mi?	בֶּאֱמֶת?	حقًا؟	Wirklich?	¿en realidad?	Veramente?	realmente?	Действительно?	Naprawdę?	ពិតជា?	တကယ်လား?	সত্যিই?	உண்மையில்?	ਸੱਚਮੁੱਚ?	खरोखर?	నిజంగా?	насправді?	verkligen?	kweli?	Echt?	egentlig?	virkelig?	tiešām?	într-adevăr?	tikrai?	наистина ли?	naozaj?	res?	tõesti?	opravdu?	Todella?	igazán?	Πραγματικά?
