eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
kaj	and	그리고 (~와, ~과)	et	そして（〜と、〜と）	和	和	Và
bone, kaj vi?	fine, and you?	좋아요, 당신은요?	bien et toi?	いいですよ、あなたは？	很好，你呢？	很好，你呢？	ổn, còn bạn?
ĝis ~	until ~	~ 까지	jusqu'à ~	~ まで	直到~	直到~	cho đến khi ~
vidas, vidis	(present) sees, (past) saw	(현재) 본다, (과거) 보았다	(présent) voit, (passé) a vu	(現在)見る, (過去)見た	（现在）看到，（过去）看到	（現在）看到，（過去）看到	(hiện tại) thấy, (quá khứ) đã thấy
vidis, revidis	(past) saw, (past) saw again	보았다, 다시 보았다	(passé) vu, (passé) revu	見た, もう一度見た	（过去）看见，（过去）又看见	（過去）看見，（過去）又看見	(quá khứ) đã thấy, (quá khứ) đã thấy lại
revidis, revidos	saw again, will see again	(과거) 다시보았다, (미래) 다시볼것이다	j'ai revu, je reverrai	(過去)もう一度見た, (未来)もう一度見るだろう	再次看到，将会再次看到	再次看到，將會再次看到	đã gặp lại, sẽ gặp lại
revido, revidon	seeing-again, seeing-again (objective)	다시보기, 다시보기를	revoir, revoir (objectif)	もう一度、もう一度見る	再看，再看（客观）	再看，再看（客觀）	nhìn thấy lại, nhìn thấy lại (khách quan)
ĝis revido!	see you again!	다시 볼때까지 (안녕)!	à la prochaine!	また見るまで (さようなら)!	再见！	再見！	hẹn gặp lại!
dankon	thank you	감사합니다	merci	ありがとうございました	谢谢	謝謝	Cảm ơn
dankon kaj ĝis revido!	thank you and see you again!	감사합니다. 그리고 다시볼때까지 (안녕)!	merci et à bientôt !	ありがとうございました、そしてまた見るまで（さようなら）!	谢谢您，再见！	謝謝您，再見！	cảm ơn và hẹn gặp lại!
al ~	to ~	~ 에게	à ~	~ に	到~	到~	đến ~
al vi, al mi	to you, to me	당신에게, 나에게	à toi, à moi	あなたに、私に	对你，对我	對你，對我	với bạn, với tôi
dankas, dankis	(present) thanks, (past) thanked	(현재) 감사한다, (과거) 감사했다	(présent) merci, (passé) remercié	(現在)感謝する、(過去)感謝した	（现在）感谢，（过去）感谢	（現在）感謝，（過去）感謝	(hiện tại) cảm ơn, (quá khứ) cảm ơn
mi dankas al vi	I appreciate to you	나는 당신에게 감사합니다	je t'apprécie	私はあなたに感謝します	我很感激你	我很感激你	Tôi đánh giá cao bạn
jes, ne	yes, no	예, 아니오	Oui Non	はい、いいえ	是的，不是	是的，不是	có không
jes, dankon	yes, thaink you	예, 감사합니다	oui, je te remercie	はい、ありがとうございます	是的，谢谢你	是的，謝謝你	vâng, cảm ơn bạn
manĝas, manĝos	eats, will eat	(현재) 먹는다, (미래) 먹을것이다	mange, va manger	(現在) 食べる, (未来) 食べるだろう	吃，会吃	吃，會吃	ăn, sẽ ăn
mi ne manĝas	I don't eat	나는 먹지 않습니다	je ne mange pas	私は食べません	我不吃东西	我不吃東西	tôi không ăn
ne, mi ne manĝas	no, I don't eat	아뇨, 나는 먹지 않습니다	non, je ne mange pas	いいえ、私は食べません	不，我不吃	不，我不吃	không, tôi không ăn
bela, bele	beautiful, beautifully	아름다운, 아름답게	beau, magnifiquement	美しい, 美しく	美丽的，美丽的	美麗的，美麗的	đẹp, đẹp
-inda	worthwhile (ending)	(어미) ~할 만한 가치가 있는	ça vaut le coup (fin)	(母) ~する価値がある	值得（完结）	值得（結束）	đáng giá (kết thúc)
dankinda, dankinde	appreciatable, worthwhile to thank	감사할 만한, 감사하게도	appréciable, ça vaut la peine de remercier	有り難い, 有難いことに	值得赞赏的，值得感谢的	值得讚賞的，值得感謝的	đáng trân trọng, đáng để cảm ơn
tuta, tute	whole, as a whole	전체의, 전체적으로	l'ensemble, dans son ensemble	全体の、全体として	整体，整体	整體，整體	toàn bộ, như một tổng thể
tuto, tuton	all, (objective) all	전부, 전부를	tout, (objectif) tout	全部、全部を	所有，（客观）所有	所有，（客觀）所有	tất cả, (khách quan) tất cả
nedankinde	not at all, you're welcome	천만에요	pas du tout, de rien	どういたしまして	完全不，不客气	完全不，不客氣	không có gì, không có gì
tute ne	totally no	전혀 아닌	totalement non	まったくない	完全没有	完全沒有	hoàn toàn không
pardoni ~, pardono	to forgive, a forgiving	~를 용서하다, 용서	pardonner, un pardon	~を許す、許す	宽恕，宽恕	寬恕，寬恕	tha thứ, tha thứ
pardonon al mi	a forgiving to me	나에게 용서를	un pardon pour moi	私に許しを	对我的宽恕	對我的寬恕	sự tha thứ cho tôi
pardonon	I'm sorry! (pardon me)	미안합니다	Je suis désolé! (Excusez-moi)	ごめんなさい	对不起！ （对不起）	對不起！ （對不起）	Tôi xin lỗi! (xin lỗi tôi)
pardonon, mi petas	I'm sorry, please	미안합니다, 부탁합니다	Je suis désolé s'il vous plaît	ごめんなさい、お願いします	对不起，请	對不起，請	Tôi xin lỗi xin vui lòng
bona mateno	a good morning	좋은 아침	un bon matin	おはようございます	早上好	早安	chào buổi sáng
bonan matenon	good morning	아침인사, 안녕하세요	bonjour	おはようございます、こんにちは	早上好	早安	Chào buổi sáng
bonan nokton	good night	(밤인사) 안녕히 주무세요	bonne nuit	(おやすみなさい) おやすみなさい	晚安	晚安	Chúc ngủ ngon
bonan sonĝon	sweet dream	좋은 꿈꾸세요	doux rêve	良い夢を見てください	甜蜜的梦	甜蜜的夢	giấc mơ ngọt ngào
bonan vojaĝon, al vi	(have) a good trip, to you	좋은 여행이 되기를, 당신에게 (기원합니다)	(faire) un bon voyage à toi	良い旅になりますように、あなたに（祈ります）	祝你旅途愉快	祝你旅途愉快	(chúc bạn có một chuyến đi vui vẻ)
bonan tagon	good day!	낮인사, 안녕하세요	bonne journée!	昼の挨拶、こんにちは	再会！	再會！	ngày tốt!
ĉu ~	is it ~ ?	~인가요?	est-ce ~ ?	~ですか？	是吗~？	是嗎~？	phải không ~?
ĉu vi fartas bone?	are you doing well? (how are you?)	당신은 잘 지내십니까?	tu vas bien? (comment vas-tu?)	あなたは元気ですか？	你怎么样？ （你好吗？）	你怎麼樣？ （你好嗎？）	bạn đang làm tốt chứ? (Bạn khỏe không?)
jes, mi fartas bone	yes, I'm fine	예, 나는 잘 지냅니다	Oui je vais bien	はい、私は元気です	是的，我没事	是的，我沒事	vâng, tôi ổn
ne, tute ne	no, not at all	아뇨, 전혀 아닙니다	Non pas du tout	いいえ、まったく	一点都不	一點都不	không hoàn toàn không
tre, tro	very, too much	매우, 너무	très, trop	とても、とても	非常、太多	非常、太多	rất, quá nhiều
granda, grande	big, largely	커다란, 커다랗게	grand, en grande partie	大きい, 大きく	大的，很大程度上	大的，很大程度上	lớn, phần lớn
tre bona, tro granda	very big, too big	매우 좋은, 너무 큰	très gros, trop gros	とても良い、とても大きい	很大，太大	很大，太大	rất lớn, quá lớn
vi tre bone fartas	you are doing very well	당신은 매우 잘 지냅니다	tu t'en sors très bien	あなたはとてもよくやっています	你做得很好	你做得很好	Bạn đang làm rất tốt đấy
ne tre bone	not very well	썩 좋지는 않게	pas très bien	あまり良くない、あまり良くない	不是很好	不是很好	không tốt lắm
lerni ~, lerno	to learn, a learning	~를 배우다, 배우기	apprendre, un apprentissage	~を学ぶ, 学ぶ	学习，学习	學習，學習	để học, một sự học hỏi
vidanta, vidanto	is looking, a spectator	(현재진행) 보고 있는, 보고 있는 사람	regarde, un spectateur	(現在進行形で)見ている、見ている人	正在看，一个旁观者	正在看，一個旁觀者	đang nhìn, một khán giả
lernanta, lernanto	is learning, a student (a learning person)	배우고 있는, 배우고 있는 사람 (학생)	est en train d'apprendre, un étudiant (une personne qui apprend)	学んでいる, 学んでいる人（学生）	正在学习，一个学生（一个学习的人）	正在學習，一個學生（一個學習的人）	đang học, một sinh viên (một người học tập)
-anta, -anto	is -ing, a person who is doing	(현재진행) ~하고 있는, ~하는 사람	est -ing, une personne qui fait	(現在進行形) ~している, ~している人	is -ing，正在做的人	is -ing，正在做的人	is -ing, một người đang làm
lernanto, lerninto	a student, a person who has learned	배우고 있는 사람 (학생), 배웠던 사람	un étudiant, une personne qui a appris	学んでいる人（学生）, 学んだ人	一个学生，一个有学问的人	一個學生，一個有學問的人	một sinh viên, một người đã học
mi estas lernanto	I am a student.	나는 학생이다	Je suis étudiant.	私は学生である	我是一名学生。	我是一名學生。	Tôi là một học sinh.
~ estas mia amiko	~ is my friend	~는 나의 친구이다	~ est mon ami	~は私の友人である	〜是我的朋友	〜是我的朋友	~ là bạn của tôi
li, ŝi	he, she	그남자, 그여자	il Elle	彼, 彼女	他她	他她	anh ấy cô ấy
sidi, sidas	to sit, sits	앉다, 앉아 있다	s'asseoir, s'asseoir	座る, 座っている	坐，坐	坐，坐	ngồi, ngồi
sidanta, sidinta, sidonta	is sitting, was sitting, will be sitting	앉아 있는, 앉았던, 앉을 예정인	est assis, était assis, sera assis	座っている, 座っていた, 座る予定の	正在坐，正在坐，将坐	正在坐，正在坐，將坐	đang ngồi, đang ngồi, sẽ ngồi
li sidas kaj ŝi lernas	he is sitting and she is learning	그는 앉아 있고, 그녀는 배우고 있다	il est assis et elle apprend	彼は座っている、彼女は学んでいる	他坐着，她在学习	他坐著，她在學習	anh ấy đang ngồi và cô ấy đang học
ĉambro	a room	방	une chambre	部屋	一个房间	一個房間	một căn phòng
lernas en ĉambro	learns in a room	방안에서 배운다	apprend dans une pièce	部屋で学ぶ	在房间里学习	在房間裡學習	học trong phòng
lernanto kaj sportisto	a student and a sportsman	배우는 사람과 운동선수	un étudiant et un sportif	学ぶ人とスポーツ選手	一名学生和一名运动员	一名學生和一名運動員	một sinh viên và một vận động viên
sporto kaj sportisto	sport and a sportsman	스포츠와 운동선수	le sport et un sportif	スポーツとアスリート	运动和运动员	運動和運動員	thể thao và một vận động viên
sportisto nun sportas	a sportsman is sporting	운동선수는 지금 운동을 하고 있다	un sportif fait du sport	アスリートは今運動をしている	运动员正在运动	運動員正在運動	một vận động viên đang chơi thể thao
li estas lernanto	he is a student	그는 배우는 사람이다	il est un étudiant	彼は学習者である	他是学生	他是學生	anh là một sinh viên
estas lernanto kaj sportisto	he is a student and a sportman	배우는 사람이고 스포츠맨이다	il est étudiant et sportif	彼は学習者であり、スポーツマンである	他是一名学生和运动员	他是一名學生和運動員	anh ấy là một sinh viên và một vận động viên
li nun sidas	he is now sitting	그는 지금 앉아있다	il est maintenant assis	彼は今座っている	他现在坐着	他現在坐著	bây giờ anh ấy đang ngồi
kaj nun lernas	and is now learning	그리고 지금 배우고있다	et apprend maintenant	そして今学んでいる	现在正在学习	現在正在學習	và hiện đang học
sidas kaj lernas	is sitting and is learning	앉아서 배우고 있다	est assis et apprend	座って学んでいる	正在坐着学习	正在坐著學習	đang ngồi và đang học
nun en ĉambro	now in a room	지금 방안에서	maintenant dans une pièce	今部屋で	现在在一个房间里	現在在一個房間裡	bây giờ đang ở trong một căn phòng
estas sur tablo	is on a table	탁자 위에 있다	est sur une table	テーブルの上にある	在桌子上	在桌子上	đang ở trên bàn
papero kaj paperoj	a paper and papers	종이와 종이들	un papier et des papiers	紙と紙たち	一张纸和几张纸	一張紙和幾張紙	một tờ giấy và những tờ giấy
tablo kaj tabloj	a table and tables	탁자와 탁자들	une table et des tables	机と机の上	一张桌子和几张桌子	一張桌子和幾張桌子	một cái bàn và những cái bàn
libro kaj libroj	a book and books	책과 책들	un livre et des livres	本と本たち	一本书和书	一本書和書	một cuốn sách và những cuốn sách
la paperoj kaj libroj	the papers and books	그 종이들과 책들	les papiers et les livres	その紙と本たち	论文和书籍	論文和書籍	giấy tờ và sách
ĝi estas sur tablo	it is on a table.	그것이 탁자 위에 있다	c'est sur une table.	それが机の上にある	它在桌子上。	它在桌子上。	nó ở trên một cái bàn
skribas sur la skribotablo	is writing on a writing table	그 책상 위에서 쓴다	est en train d'écrire sur une table d'écriture	その机の上で書く	正在写字台上写字	正在寫字台上寫字	đang viết trên bàn viết
la libroj estas ~	the books are ~	그 책들은 ~이다	les livres sont ~	その本は～である	书是~	書是~	những cuốn sách là ~
sur la tablo	on the table	그 책상 위에	sur la table	その机の上に	在桌子上	在桌子上	trên bàn
lernolibro kaj la lernolibroj	a textbook and the textbooks	교과서와 그 교과서들	un manuel et les manuels	教科書とその教科書たち	一本教科书和教科书	一本教科書和教科書	một cuốn sách giáo khoa và sách giáo khoa
sur la tablo estas ~	on the table there is ~	그 테이블 위에 ~가 있다	sur la table il y a ~	その机の上に～がある	桌子上有~	桌子上有~	trên bàn có ~
patro kaj patrino	a father and a mother	아버지와 어머니	un père et une mère	父と母	一位父亲和一位母亲	一位父親和一位母親	một người cha và một người mẹ
la patro kaj la patrino	the father and the mother	그 아버지와 그 어머니	le père et la mère	その父とその母	父亲和母亲	父親和母親	cha và mẹ
la patrino de mia amiko	the mother of my friend	내 친구의 그 어머니	la mère de mon ami	私の友人のその母親	我朋友的母亲	我朋友的母親	mẹ của bạn tôi
en la ĉambro	in the room	그 방안에	dans la pièce	その部屋に	在房间里	在房間裡	trong căn phòng
ne estas en la ĉambro	is not in the room	그 방안에 없다	n'est pas dans la pièce	その部屋にいない	不在房间里	不在房間裡	không có trong phòng
ili nun laboras	they are now working	그들은 지금 일하고 있다	ils travaillent maintenant	彼らは今働いている	他们现在正在工作	他們現在正在工作	bây giờ họ đang làm việc
lia patro estas laboristo	his father is a worker	그의 아버지는 노동자이다	son père est ouvrier	彼の父親は労働者である	他的父亲是一名工人	他的父親是一名工人	bố anh ấy là công nhân
li laboras en hotelo	he works in a hotel	그는 호텔에서 일한다	il travaille dans un hôtel	彼はホテルで働いている	他在一家酒店工作	他在一家酒店工作	anh ấy làm việc trong một khách sạn
la patrino instruas	the mother teaches	그 어머니는 가르친다	la mère enseigne	彼の母親は教師である	母亲教导	母親教導	mẹ dạy
ŝi estas instruistino	she is a teacher	그녀는 여선생님이다	elle est enseignante	彼女は女教師である	她是一名教师	她是一名教師	Cô ấy là giáo viên
ĉu ŝi estas patrino?	is she a mother?	그녀는 어머니인가?	est-elle une mère ?	彼女は母親ですか？	她是母亲吗？	她是母親嗎？	cô ấy có phải là mẹ không?
ne, ŝi estas hotelisto	no, she is an hotelier	아니오, 그녀는 호텔직원입니다	non, elle est hôtelière	いいえ、彼女はホテルの従業員です	不，她是一名酒店老板	不，她是酒店老闆	không, cô ấy là chủ khách sạn
ne, mi ne laboras	no, I don't work	아니오, 저는 일하지 않습니다	non, je ne travaille pas	いいえ、私は働いていません	不，我不工作	不，我不工作	không, tôi không làm việc
kio estas ŝia nomo?	what is her name?	그녀의 이름은 무엇인가요?	Quel est son nom?	彼女の名前は何ですか？	她叫什么名字？	她叫什麼名字？	tên cô ấy là gì?
kiu nun respondas?	who is now answering?	누가 지금 대답하고 있습니까?	qui répond maintenant ?	誰が今答えていますか？	现在谁在回答？	現在誰在回答？	ai đang trả lời bây giờ?
la lingvo de ilia patrino	the language of their mother	그들 어머니의 그 언어	la langue de leur mère	彼らの母親のその言語	他们母亲的语言	他們母親的語言	ngôn ngữ của mẹ họ
ĉu via nomo estas ~ ?	is your name ~ ?	당신의 이름이 ~ 입니까?	est-ce que ton nom est ~ ?	あなたの名前は～ですか？	你叫什么名字~？	你叫什麼名字~？	tên của bạn là gì ~?
ni sidas kaj respondas	we are sitting and answering	우리는 앉아서 대답한다	nous sommes assis et répondons	私たちは座って答える	我们坐着回答	我們坐著回答	chúng tôi đang ngồi và trả lời
ŝia labora seĝo	her working chair	그녀의 일하는 의자	sa chaise de travail	彼女の働く椅子	她的工作椅	她的工作椅	ghế làm việc của cô ấy
ĝia nomo ne estas ~	its name is not ~	그것의 이름은 ~가 아니다	son nom n'est pas ~	その名前は～ではない	它的名字不是~	它的名字不是~	tên nó không phải ~
ŝia lingvo estas ilia lingvo	her language is their language	그녀의 언어가 그들의 언어이다	sa langue est leur langue	彼女の言語が彼らの言語である	她的语言就是他们的语言	她的語言就是他們的語言	ngôn ngữ của cô ấy là ngôn ngữ của họ
nia patro kaj patrino	our father and mother	우리의 아버지와 어머니	notre père et notre mère	私たちの父と母	我们的父亲和母亲	我們的父親和母親	cha và mẹ của chúng tôi
via lernanto, viaj lernantoj	your student, your students	당신의 학생, 당신의 학생들	votre étudiant, vos étudiants	あなたの学生、あなたの学生	你的学生，你的学生	你的學生，你的學生	học sinh của bạn, học sinh của bạn
ĉu ili estas viaj lernantoj?	are they your students?	그들이 당신의 학생들입니까?	sont-ils vos élèves ?	彼らはあなたの生徒ですか？	他们是你的学生吗？	他們是你的學生嗎？	họ có phải là học sinh của bạn không?
ĉu vi estas lernanto?	are you a student?	당신은 학생인가?	êtes-vous un étudiant?	あなたは学生ですか？	你是学生吗？	你是學生嗎？	bạn có phải là sinh viên không?
ĉu vi estas en la ĉambro?	are you in the room?	너는 그 방에 있는가?	es-tu dans la pièce ?	あなたはその部屋にいますか？	你在房间里吗？	你在房間裡嗎？	bạn có ở trong phòng không?
mi ne estas ~	I'm not ~	나는 ~이지 않다	je ne le suis pas ~	私は～ではない	我不是~	我不是~	Tôi không ~
esperantisto kaj esperantistino	an Esperantist and a female Esperantist	에스페란티스토와 여성에스페란티스토	un espérantiste et une espérantiste	エスペランティストと女性エスペランティスト	一名世界语学家和一名女性世界语学家	一名世界語學家和一名女性世界語學家	một nhà Quốc tế ngữ và một nữ Quốc tế ngữ
enskribis por la hotelĉambro	checked in for the hotel room	그 호텔방을 위해 예약했다	enregistré pour la chambre d'hôtel	そのホテルの部屋を予約した	办理入住酒店房间	辦理入住飯店房間	đã nhận phòng khách sạn
lingvisto kaj laboristino	a linguist and a female worker	언어학자와 여성 노동자	une linguiste et une travailleuse	言語学者と女性労働者	一名语言学家和一名女工	一名語言學家和一名女工	một nhà ngôn ngữ học và một nữ công nhân
lia amikino estas ~	his girl friend is ~	그의 여자친구는 ~이다	sa petite amie est ~	彼のガールフレンドは～だ	他的女朋友是~	他的女朋友是~	bạn gái của anh ấy là ~
lernantoj kaj sportistoj	students and sportsmen	학생들과 운동선수들	étudiants et sportifs	学生とスポーツ選手	学生和运动员	學生和運動員	sinh viên và vận động viên
mia familia nomo estas ~	my familia name is ~	내 성(가족명)은 ~ 이다	mon nom de famille est ~	私の姓（家族名）は～です	我的家族名字是~	我的家族名字是~	tên gia đình của tôi là ~
kiu estas ŝi?	who is she? which is she?	그녀는 누구인가?	qui est-elle? quelle est-elle ?	彼女は誰ですか？	她是谁？她是谁？	她是誰？她是誰？	cô ấy là ai? cô ấy là ai?
estas via amikino	is your girl friend	너의 여자친구이다	est ta petite amie	あなたのガールフレンドだ	是你的女朋友吗	是你的女朋友嗎	là bạn gái của bạn
ĉu via amiko estas ~ ?	is your friend ~ ?	너의 친구는 ~ 인가?	est ton ami ~ ?	あなたの友達は～ですか？	是你的朋友吗~？	是你的朋友嗎~？	là bạn của bạn ~ ?
skribas nun en la ĉambro	is writing now in the room	그 방안에서 지금 쓰고 있다	est en train d'écrire maintenant dans la pièce	その部屋で今書いている	现在正在房间里写字	現在正在房間裡寫字	hiện đang viết trong phòng
ĉu la amiko de via patro ~ ?	is the friend of you father ~ ?	너의 아버지의 그 친구는 ~ ?	est l'ami de ton père ~ ?	あなたのお父さんのその友達は～？	是你爸爸的朋友吗~？	是你爸爸的朋友嗎~？	là bạn của bố à ~ ?
laboras en hotelo	works in a hotel	호텔에서 일한다	travaille dans un hôtel	ホテルで働いている	在酒店工作	在酒店工作	làm việc trong một khách sạn
kio estas sur la tablo?	what is on the table?	그 테이블 위에 무엇이 있는가?	ce qui est sur la table?	そのテーブルの上に何がある？	桌子上有什么？	桌上有什麼？	cái gì trên bàn vậy?
sur la tablo en nia ĉambro	on the table in our room	우리 방안의 그 테이블 위에	sur la table de notre chambre	私たちの部屋のそのテーブルの上に	在我们房间的桌子上	在我們房間的桌子上	trên bàn trong phòng của chúng tôi
ĉu la lernolibro de Esperanto ~ ?	is the Esperanto textbook ~ ?	에스페란토 교과서가 ~인가?	le manuel d'espéranto est-il ~ ?	エスペラントの教科書は～か？	是世界语教科书~？	是世界語教科書~？	là sách giáo khoa Esperanto ~ ?
estas sur via tablo	is on your table	당신의 탁자 위에 있다.	est sur ta table	あなたのテーブルの上にある	在你的桌子上	在你的桌子上	đang ở trên bàn của bạn
havas amikinon	has a friend	여자친구가 있다	a un ami	ガールフレンドがいる	有一个朋友	有一個朋友	có một người bạn
ŝia nomo estas ~	her name is ~	그녀의 이름은 ~이다	elle s'appelle ~	彼女の名前は～だ	她的名字是~	她的名字是~	tên cô ấy là ~
juna kaj bela	young and beautiful	젊고 아름다운	jeune et jolie	若くて美しい	年轻漂亮	年輕漂亮	trẻ và đẹp
estas juna kaj bela	is young and beautiful	젊고 아름답다	est jeune et belle	若くて美しい	年轻又美丽	年輕又美麗	trẻ và đẹp
junaj kaj belaj amikoj	young and beautiful friends	젊고 아름다운 친구들	jeunes et beaux amis	若くて美しい友達がいる	年轻漂亮的朋友	年輕漂亮的朋友	những người bạn trẻ và xinh đẹp
estas geamikoj	are male-and-female friends	남녀 친구들이다	sont des amis hommes et femmes	男女の友達である	是男女朋友	是男女朋友	là bạn nam và nữ
hejmo de ŝia instruisto	a home of her teacher	그녀의 선생님의 가정	une maison de son professeur	彼女の先生の家庭	她老师的家	她老師的家	nhà của giáo viên của cô ấy
venis al la hejmo	came to the home	그 집으로 왔다	est venu à la maison	その家に来た	来到家里	來到家裡	đã đến nhà
la hejmo de ~	the home of ~	~의 가정(집)	la maison de ~	~の家庭（家）	的家~	的家~	nhà của ~
bonvolu eniri	please come in	들어오세요	s'il te plaît, entre	いらっしゃいませ	请进来	請進來	xin vui lòng vào
saluton! kion vi faras?	hello, what are you doing?	안녕하세요! 뭘 하고 계세요?	salut que fais tu?	こんにちは！何をしていますか？	你好，你在做什么？	你好，你在做什麼？	xin chào bạn đang làm gì đó?
kion vi faras?	what do you do? what are you doing?	뭘 하고 있습니까?	que fais-tu ? que fais-tu ?	何をしていますか？	你做什么工作？你在干什么？	你做什麼工作？你在幹什麼？	bạn làm nghề gì? Bạn đang làm gì thế?
sed nun mi volas ~	but now I want ~	그러나 지금 나는 ~하기를 원한다	mais maintenant je veux ~	しかし、今私は～したい	但现在我想要~	但現在我想要~	nhưng bây giờ tôi muốn ~
mi volas paroli	I want to speak	나는 말하고 싶다	Je veux parler	私は話したい	我想说话	我想說話	tôi muốn nói
kun tri geamikoj	with three male-and-female friends	세명의 남녀 친구들과 함께	avec trois amis hommes et femmes	三人の男女の友達と一緒に	和三位男女朋友	和三位男女朋友	với ba người bạn nam và nữ
parolis kun vi	spoke with you	당신과 말했다	je t'ai parlé	あなたと話した	与你交谈	與你交談	đã nói chuyện với bạn
volas paroli kun vi	wants to speak with you	당신과 말하고 싶어한다	veut te parler	あなたと話したい	想和你说话	想和你說話	muốn nói chuyện với bạn
ĉu vi havas geamikojn?	do you have male-and-female friends	당신은 남녀 친구들이 있느냐?	as-tu des amis hommes et femmes	あなたは男女の友達がいますか？	你有男性和女性朋友吗	你有男性和女性朋友嗎	bạn có bạn nam và nữ không
li havas libron	he has a book	그는 책을 가지고 있다	il a un livre	彼は本を持っている	他有一本书	他有一本書	anh ta có một cuốn sách
havas bonan libron	has a good book	좋은 책을 가지고 있다	a un bon livre	良い本を持っている	有一本好书	有一本好書	có một cuốn sách hay
jes, mi havas	yes, I have	예, 나는 가지고 있습니다	Oui j'ai	はい、私は持っています	是的，我有	是的，我有	Vâng tôi có
ili ŝatas ĝin	they like it	그들은 그것을 좋아한다	ils aiment ça	彼らはそれが好きです	他们喜欢它	他們喜歡它	họ thích nó
ŝi legis libron	she read a book	그녀는 책을 읽었다	elle a lu un livre	彼女は本を読んでいる	她读了一本书	她讀了一本書	cô ấy đọc một cuốn sách
ŝatas legi librojn	likes to read books	책들을 읽기 좋아한다	aime lire des livres	本を読むのが好きだ	喜欢看书	喜歡看書	thích đọc sách
nur bona libro	only a good book	단지 좋은 책만	seulement un bon livre	ただ良い本だけ	只是一本好书	只是一本好書	chỉ có một cuốn sách hay
multaj bonaj libroj	many good books	많은 좋은 책들	beaucoup de bons livres	多くの良い本	很多好书	很多好書	nhiều sách hay
legis nur bonajn librojn	read only good books	단지 좋은 책들만 읽었다	je ne lis que de bons livres	良い本だけを読んでいる	只读好书	只讀好書	chỉ đọc những cuốn sách hay
ŝatas legi bonajn librojn	likes to read good books	좋은 책들을 읽기 좋아한다	aime lire de bons livres	良い本を読むのが好き	喜欢读好书	喜歡讀好書	thích đọc những cuốn sách hay
