eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
via nomo estas ~	your name is ~	당신의 이름은 ~입니다	ton nom est ~	あなたの名前は〜です	你的名字是~	你的名字是~	tên bạn là ~	Таны нэр ~	ชื่อของคุณคือ	nama awak ialah ~	namamu ~	आपका नाम ~ है	نام شما ~ است	तिम्रो नाम ~ हो	آپ کا نام ~ ہے۔	senin adın ~	שמך הוא ~	اسمك ~	Dein Name ist ~	tu nombre es ~	il tuo nome è ~	seu nome é ~	тебя зовут ~	masz na imię ~	ឈ្មោះរបស់អ្នកគឺ ~	မင်းနာမည်က ~	তোমার নাম ~	உங்கள் பெயர் ~	ਤੁਹਾਡਾ ਨਾਮ ~ ਹੈ	तुझे नाव ~ आहे	మీ పేరు ~	тебе звати ~	ditt namn är ~	jina lako ni ~
fartas, fartis	(present) does, (past) did	(현재) 지낸다, (과거) 지냈다	(présent) fait, (passé) fait	（現在）過ごす、（過去）過ごした	（现在）做，（过去）做	（現在）做，（過去）做	(hiện tại) làm, (quá khứ) đã làm	(одоогийн) хийдэг, (өнгөрсөн) хийсэн	(ปัจจุบัน) มีสุขภาพ, (อดีต) มีสุขภาพ	(sekarang) buat, (dahulu) buat	(sekarang) melakukannya, (masa lalu) melakukannya	(वर्तमान) करता है, (अतीत) ने किया	(حال) انجام می دهد، (گذشته) انجام می دهد	(वर्तमान) गर्छ, (विगत) गर्छ	(موجودہ) کرتا ہے، (ماضی) کرتا ہے۔	(şimdiki) yapar, (geçmiş) yaptı	(הווה) עושה, (עבר) עשה	(الحاضر) يفعل، (الماضي) يفعل	(Gegenwart) tut, (Vergangenheit) tat	(presente) hace, (pasado) hizo	(presente) fa, (passato) ha fatto	(presente) faz, (passado) fez	(настоящее) делает, (прошлое) делал	(obecnie) tak, (przeszłość) tak	(បច្ចុប្បន្ន) ធ្វើ, (អតីតកាល) បានធ្វើ	(ပစ္စုပ္ပန်) ဖြစ်၏၊ (အတိတ်) ပြု၏။	(বর্তমান) করে, (অতীত) করেছে	(தற்போது) செய்கிறது, (கடந்த காலம்) செய்தது	(ਵਰਤਮਾਨ) ਕਰਦਾ ਹੈ, (ਅਤੀਤ) ਕਰਦਾ ਹੈ	(वर्तमान) करते, (भूतकाळ) केले	(ప్రస్తుతం) చేస్తుంది, (గతం) చేసింది	(теперішнє) робить, (минуле) робило	(nuvarande) gör, (förflutna) gjorde	(sasa) inafanya, (iliyopita) ilifanya
estis, estos	(present) was, were (future) will be	(과거) 이었다, (미래) 일 것이다	(présent) était, étaient (futur) sera	（過去）だった、（未来）だろう	（现在）曾经、曾经（未来）将会	（現在）曾經、曾經（未來）將會	(hiện tại) đã, đã (tương lai) sẽ là	(одоогийн) байсан, байсан (ирээдүй) байх болно	(ปัจจุบัน) เคยเป็น, (อนาคต) จะเป็น	(sekarang) dahulu, adalah (masa depan) akan menjadi	(saat ini) dulu, dulu (masa depan) akan terjadi	(वर्तमान) था, (भविष्य) होगा	(حال) بود، بودند (آینده) خواهد بود	(वर्तमान) थियो, थियो (भविष्य) हुनेछ	(موجودہ) تھا، تھے (مستقبل) ہوں گے۔	(şimdiki) idi, idi (gelecek) olacak	(הווה) היה, היו (עתיד) יהיה	(الحاضر) كان، وكان (المستقبل) سيكون	(Gegenwart) war, wo (Zukunft) sein wird	(presente) fue, fueron (futuro) será	(presente) era, erano (futuro) sarà	(presente) foi, onde (futuro) será	(настоящее) было, были (будущее) будет	(obecność) była, była (przyszłość) będzie	(បច្ចុប្បន្ន) គឺ, ត្រូវបាន (អនាគត) នឹង	(ပစ္စုပ္ပန်) ဖြစ်ခဲ့သည် (နောင်) ဖြစ်လိမ့်မည်။	(বর্তমান) ছিল, ছিল (ভবিষ্যত) হবে	(தற்போது) இருந்தது, இருந்தது (எதிர்காலம்) இருக்கும்	(ਵਰਤਮਾਨ) ਸੀ, ਸਨ (ਭਵਿੱਖ ਵਿੱਚ) ਹੋਣਗੇ	(वर्तमान) होते, होते (भविष्यातील) असतील	(ప్రస్తుతం) ఉంది, ఉన్నాయి (భవిష్యత్తు) ఉంటుంది	(теперішнє) було, були (майбутнє) буде	(nuvarande) var, var (framtid) kommer att vara	(iliyopo) ilikuwa, ilikuwa (ya baadaye) itakuwa
nomo, nomon	a name, an (objective) name	이름, 이름을	un nom, un nom (objectif)	名前、名前	一个名字，一个（客观的）名字	一個名字，一個（客觀的）名字	một cái tên, một cái tên (khách quan)	нэр, (зорилго) нэр	ชื่อ, ชื่อ (กรรม)	nama, nama (objektif).	sebuah nama, sebuah nama (objektif).	एक नाम, एक (उद्देश्य) नाम	یک نام، یک نام (عینی).	एक नाम, एक (उद्देश्य) नाम	ایک نام، ایک (مقصد) نام	bir isim, (nesnel) bir isim	שם, שם (אובייקטיבי).	اسم، اسم (موضوع).	ein Name, ein (objektiver) Name	un nombre, un nombre (objetivo)	un nome, un nome (oggettivo).	um nome, um nome (objetivo)	имя, (объективное) имя	imię, (obiektywne) imię	ឈ្មោះមួយ (គោលបំណង) ឈ្មោះ	အမည်၊ (ရည်ရွယ်ချက်) အမည်	একটি নাম, একটি (উদ্দেশ্য) নাম	ஒரு பெயர், ஒரு (புறநிலை) பெயர்	ਇੱਕ ਨਾਮ, ਇੱਕ (ਉਦੇਸ਼) ਨਾਮ	एक नाव, एक (उद्देश) नाव	ఒక పేరు, ఒక (ఆబ్జెక్టివ్) పేరు	ім'я, (об'єктивне) ім'я	ett namn, ett (objektivt) namn	jina, jina (lengo).
mia amo	my love	나의 사랑	mon amour	私の愛	亲爱的	親愛的	Tình yêu của tôi	миний хайр	ความรักของฉัน	cinta saya	Cintaku	मेरा प्यार	عشق من	मेरो प्यार	میری محبت	Aşkım	אהובי	حبيبي	Meine Liebe	mi amor	Amore mio	meu amor	моя любовь	Moja miłość	សំណព្វ	ကိုယ့်အချစ်	আমার ভালবাসা	என் காதல்	ਮੇਰਾ ਪਿਆਰ	माझे प्रेम	నా ప్రియతమా	моя любов	min kärlek	mpenzi wangu
vi fartas	you are doing ~	당신은 지낸다	tu fais ~	あなたは過ごす	你在做~	你在做~	bạn đang làm ~	чи хийж байна ~	คุณมี ~ (สุขภาพ)	anda sedang lakukan ~	kamu lakukan ~	आप ~ कर रहे हैं	شما انجام می دهید ~	तपाईं गर्दै हुनुहुन्छ ~	آپ کر رہے ہیں ~	yapıyorsun ~	אתה עושה ~	أنت تفعل ~	du machst ~	estás haciendo ~	stai facendo ~	você está fazendo ~	ты делаешь ~	robisz ~	អ្នកកំពុងធ្វើ ~	မင်းလုပ်နေတယ်~	আপনি করছেন ~	நீங்கள் செய்கிறீர்கள் ~	ਤੁਸੀਂ ਕਰ ਰਹੇ ਹੋ ~	तुम्ही करत आहात ~	మీరు చేస్తున్నారు ~	ти робиш ~	du gör ~	you are doing ~
kiel	how	어떻게	comment	どのように	如何	如何	Làm sao	Хэрхэн	อย่างไร	bagaimana	Bagaimana	कैसे	چگونه	कसरी	کیسے	Nasıl	אֵיך	كيف	Wie	cómo	Come	como	как	Jak	របៀប	ဘယ်လိုလဲ	কিভাবে	எப்படி	ਕਿਵੇਂ	कसे	ఎలా	як	hur	vipi
kiel vi fartas?	how are you doing?	당신은 어떻게 지내세요?	comment allez-vous?	あなたはどのように過ごしますか？	你好吗？	你好嗎？	Bạn dạo này thế nào?	юу байна да?	คุณเป็นอย่างไรบ้าง	apa khabar?	Apa kabarmu?	आप कैसे हैं?	حال شما چطور است؟	तपाईलाई कस्तो छ?	آپ کیسے ہیں؟	Nasılsın?	מה שלומך?	كيف حالك؟	Wie geht es dir?	¿Cómo estás?	Come va?	como vai?	как дела?	Jak się masz?	តើ​អ្នក​សុខសប្បាយជាទេ?	နေကောင်းလား?	তুমি কেমন আছ?	நீங்கள் எப்படி இருக்கிறீர்கள்?	ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ?	तुम्ही कसे आहात?	నువ్వు ఎలా ఉన్నావు?	як справи?	hur mår du?	unaendeleaje?
kio	what	무엇	quoi	何	什么	什麼	Gì	юу	อะไร	apa	Apa	क्या	چی	के	کیا	Ne	מה	ماذا	Was	qué	Che cosa	o que	что	Co	អ្វី	ဘာလဲ	কি	என்ன	ਕੀ	काय	ఏమి	що	Vad	nini
kio estas via nomo?	what is your name?	당신의 이름은 무엇입니까?	quel est ton nom ?	あなたの名前は何ですか？	你叫什么名字？	你叫什麼名字？	Tên của bạn là gì?	Таны нэр хэн бэ?	คุณชื่ออะไร	siapa nama awak	Siapa namamu?	आपका क्या नाम है?	اسم شما چیست؟	तिम्रो नाम के हो?	آپ کا نام کیا ہے؟	Adın ne?	מה השם שלך?	ما اسمك؟	wie heißt du?	¿cómo te llamas?	come ti chiami?	qual o seu nome?	как вас зовут?	jak masz na imię?	តើ​អ្នក​មាន​ឈ្មោះ​អ្វី?	သင့်နာမည်ဘယ်လိုခေါ်လဲ?	আপনার নাম কি?	உங்கள் பெயர் என்ன?	ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?	तुझं नाव काय आहे?	నీ పేరు ఏమిటి?	як вас звати?	vad heter du?	jina lako nani?
bona, bone	good, well	좋은 (형용사), 잘 (부사)	bon bien	良い（形容詞）、よく（副詞）	不错嘛	不錯嘛	cũng tốt	сайн, сайн	ดี, อย่างดี	Semoga baik	sangat baik	अच्छी ठीक है	خوب، خوب	राम्रो, राम्रो	اچھا، اچھا	Çok iyi	טוב, טוב	كذلك جيد	gut, nun ja	Bien bien	bene, bene	bom assim	хорошо	dobrze, cóż	ល្អណាស់	ကောင်းပြီ၊	বেশ ভালো	நல்லது சிறந்தது	ਚੰਗਾ, ਠੀਕ ਹੈ	चांगले चांगले	సత్ప్రవర్తన	добре, добре	bra, väl	vizuri, vizuri
fartas bone	is doing well	잘 지낸다 (지내고 있다)	ça va bien	よく過ごす（過ごしている）	做得很好	做得很好	là làm tốt	сайн явж байна	มีสุขภาพดี	sedang berjalan dengan baik	baik-baik saja	अच्छा कर रहा है	به خوبی انجام می دهد	राम्रो गरिरहेको छ	اچھا کر رہا ہے	iyi gidiyor	מסתדר היטב	في حالة جيدة	geht es gut	lo está haciendo bien	sta andando bene	está indo bem	дела идут хорошо	ma się dobrze	កំពុងធ្វើបានល្អ	ကောင်းကောင်းလုပ်နေတယ်။	ভাল করছে	நன்றாக இருக்கிறது	ਚੰਗਾ ਕਰ ਰਿਹਾ ਹੈ	चांगले करत आहे	బాగా చేస్తున్నాడు	почувається добре	mår bra	inafanya vizuri
mi fartas bone	I am doing well	나는 잘 지냅니다	je me débrouille bien	私は元気です	我做得不错	我做得不錯	tôi đang làm tốt	Би сайн байна	ฉันสบายดี	saya dalam keadaan baik	kabar saya baik baik saja	मैं अच्छा हूँ	حالم خوبه	म राम्रो गरिरहेको छु	میں اچھا کر رہا ہوں۔	iyiyim	אני בסדר	أنا على ما يرام	mir geht es gut	lo estoy haciendo bien	sto bene	Estou indo bem	у меня все хорошо	czuję się dobrze	ខ្ញុំ​សុខសប្បាយជាទេ	ငါကောင်းကောင်းလုပ်နေတယ်။	আমি ভালো করছি	நான் நன்றாக இருக்கிறேன்	ਮੈਂ ਚੰਗਾ ਕਰ ਰਿਹਾ ਹਾਂ	मी मजेत आहे	నేను బాగా ఉన్నాను	в мене все добре	jag mår bra	Ninaendelea vizuri
kaj	and	그리고 (~와, ~과)	et	そして（〜と、〜と）	和	和	Và	болон	และ	dan	Dan	और	و	र	اور	Ve	ו	و	Und	y	E	e	и	I	និង	နှင့်	এবং	மற்றும்	ਅਤੇ	आणि	మరియు	і	och	na
bone, kaj vi?	fine, and you?	좋아요, 당신은요?	bien et toi?	さて、あなたは？	很好，你呢？	很好，你呢？	ổn, còn bạn?	сайн, харин чи?	ดี, แล้วคุณล่ะ?	baik dan awak?	baik dan kamu?	ठीक हूं और आप?	خوب، و شما؟	सन्चै अनि तिमि?	ٹھیک اور آپ؟	İyiyim sen?	בסדר ואתה?	بخير وأنت؟	gut und Sie?	¿bien, y usted?	bene e tu?	bem e você?	нормально, а Вы?	W porządku a ty?	សុខសប្បាយ​ចុះ​អ្នក​វិញ?	ကောင်းပါတယ်သင်ရော?	ভাল এবং আপনি?	நல்லது, மற்றும் நீங்கள்?	ਠੀਕ ਹੈ ਅਤੇ ਤੁਸੀਂ?	ठीक आहे, आणि तू?	బాగా, మరియు మీరు?	добре а ти?	bra och du?	salama na wewe?
ĝis ~	until ~	~ 까지	jusqu'à ~	~まで	直到~	直到~	cho đến khi ~	~ хүртэл	จนกระทั่ง ~	sehingga ~	sampai ~	जब तक~	تا ~	~ सम्म	~ تک	~'a kadar	עד ~	حتى ~	bis ~	hasta ~	fino a ~	até ~	пока ~	aż ~	រហូតដល់ ~	~ တိုင်အောင်	~ পর্যন্ত	~ வரை	~ ਤੱਕ	~ पर्यंत	~ వరకు	до ~	tills ~	mpaka ~
vidas, vidis	(present) sees, (past) saw	(현재) 본다, (과거) 보았다	(présent) voit, (passé) a vu	（現在）見る、（過去）見た	（现在）看到，（过去）看到	（現在）看到，（過去）看到	(hiện tại) thấy, (quá khứ) đã thấy	(одоо) хардаг, (өнгөрсөн) харсан	(ปัจจุบัน) เห็น, (อดีต) เห็นแล้ว	(sekarang) melihat, (masa lalu) melihat	(sekarang) melihat, (masa lalu) melihat	(वर्तमान) देखता है, (अतीत) देखता है	(حال) می بیند، (گذشته) می بیند	(वर्तमान) देख्छ, (विगत) देख्छ	(موجودہ) دیکھتا ہے، (ماضی) دیکھا	(şimdiki) görüyor, (geçmişte) gördü	(הווה) רואה, (עבר) ראה	(الحاضر) يرى، (الماضي) رأى	(Gegenwart) sieht, (Vergangenheit) sah	(presente) ve, (pasado) vio	(presente) vede, (passato) visto	(presente) vê, (passado) viu	(настоящее) видит, (прошлое) видел	(obecnie) widzi, (w przeszłości) widział	(បច្ចុប្បន្ន) ឃើញ, (អតីតកាល) ឃើញ	(ပစ္စုပ္ပန်) မြင်တယ်၊ (အတိတ်) မြင်တယ်။	(বর্তমান) দেখে, (অতীত) দেখেছে	(தற்போது) பார்க்கிறது, (கடந்த) பார்த்தேன்	(ਵਰਤਮਾਨ) ਵੇਖਦਾ ਹੈ, (ਅਤੀਤ) ਵੇਖਦਾ ਹੈ	(वर्तमान) पाहतो, (भूतकाळ) पाहिले	(ప్రస్తుతం) చూస్తుంది, (గతం) చూసింది	(теперішнє) бачить, (минуле) побачив	(nuvarande) ser, (förr) såg	(sasa) anaona, (zamani) kuona
vidis, revidis	(past) saw, (past) saw again	보았다, 다시 보았다	(passé) vu, (passé) revu	見た、また見た	（过去）看见，（过去）又看见	（過去）看見，（過去）又看見	(quá khứ) đã thấy, (quá khứ) đã thấy lại	(өнгөрсөн) харсан, (өнгөрсөн) дахин харсан	(อดีต) เห็นแล้ว, (อดีต) เห็นอีก	(lalu) melihat, (lalu) melihat lagi	(masa lalu) melihat, (masa lalu) melihat lagi	(अतीत) देखा, (अतीत) फिर देखा	(گذشته) دید، (گذشته) دوباره دید	(विगत) देख्यो, (विगत) फेरि देख्यो	(ماضی) دیکھا، (ماضی) دوبارہ دیکھا	(geçmiş) gördüm, (geçmiş) tekrar gördüm	(עבר) ראה, (עבר) ראה שוב	(الماضي) رأى، (الماضي) رأى مرة أخرى	(vergangen) sah, (vergangen) sah wieder	(pasado) vio, (pasado) vio de nuevo	(passato) visto, (passato) visto di nuovo	(passado) viu, (passado) viu novamente	(прошлое) видел, (прошлое) видел снова	(w przeszłości) widziałem, (w przeszłości) widziałem ponownie	(អតីតកាល) បានឃើញ (អតីតកាល) បានឃើញម្តងទៀត	(အတိတ်) မြင်တယ်၊ (အတိတ်) ပြန်မြင်တယ်။	(অতীত) দেখেছি, (অতীত) আবার দেখেছি	(கடந்த) பார்த்தேன், (கடந்த) மீண்டும் பார்த்தேன்	(ਅਤੀਤ) ਦੇਖਿਆ, (ਅਤੀਤ) ਨੇ ਦੁਬਾਰਾ ਦੇਖਿਆ	(भूतकाळ) पाहिले, (भूतकाळ) पुन्हा पाहिले	(గత) చూసింది, (గతం) మళ్ళీ చూసింది	(минуле) побачив, (минуле) знову побачив	(förbi) såg, (förbi) såg igen	(past) kuona, (zamani) kuona tena
revidis, revidos	saw again, will see again	(과거) 다시보았다, (미래) 다시볼것이다	j'ai revu, je reverrai	（過去）また見た、（未来）また会う	再次看到，将会再次看到	再次看到，將會再次看到	đã gặp lại, sẽ gặp lại	дахин харсан, дахин харах болно	เห็นอีกแล้ว, จะได้เห็นอีก	melihat lagi, akan melihat lagi	melihat lagi, akan melihat lagi	फिर देखा, फिर देखेंगे	دوباره دیدم، دوباره خواهم دید	फेरि देख्यो, फेरि देख्नेछ	دوبارہ دیکھا، دوبارہ دیکھیں گے۔	tekrar gördüm, tekrar göreceğim	ראה שוב, יראה שוב	رأى مرة أخرى، وسوف نرى مرة أخرى	wieder gesehen, werde wieder sehen	vi de nuevo, volveré a ver	visto di nuovo, rivedrò	vi de novo, verei de novo	увидел еще раз, увижу еще раз	widziałem ponownie, zobaczę ponownie	ឃើញម្តងទៀតនឹងឃើញម្តងទៀត	ထပ်တွေ့တယ်၊ ထပ်တွေ့မယ်။	আবার দেখেছি, আবার দেখা হবে	மீண்டும் பார்த்தேன், மீண்டும் பார்ப்பேன்	ਦੁਬਾਰਾ ਦੇਖਿਆ, ਦੁਬਾਰਾ ਦੇਖਿਆ ਜਾਵੇਗਾ	पुन्हा पाहिले, पुन्हा पाहीन	మళ్ళీ చూసింది, మళ్ళీ చూస్తాను	побачив знову, побачу знову	såg igen, kommer att se igen	kuona tena, nitaona tena
revido, revidon	seeing-again, seeing-again (objective)	다시보기, 다시보기를	revoir, revoir (objectif)	もう一度、もう一度	再看，再看（客观）	再看，再看（客觀）	nhìn thấy lại, nhìn thấy lại (khách quan)	дахин харах, дахин харах (зорилго)	เห็นอีกครั้ง, เห็นอีกครั้ง (กรรม)	melihat-lagi, melihat-lagi (objektif)	melihat-lagi, melihat-lagi (objektif)	दोबारा देखना, दोबारा देखना (उद्देश्य)	دوباره دیدن، دوباره دیدن (هدف)	फेरि देख्नु, फेरि देख्नु (उद्देश्य)	دوبارہ دیکھنا، دوبارہ دیکھنا (مقصد)	tekrar görmek, tekrar görmek (objektif)	לראות-שוב, לראות-שוב (אובייקטיבי)	الرؤية مرة أخرى، الرؤية مرة أخرى (الهدف)	wiedersehen, wiedersehen (objektiv)	ver-otra vez, ver-otra vez (objetivo)	rivedere, rivedere (obiettivo)	vendo de novo, vendo de novo (objetivo)	снова увидеть, снова увидеть (цель)	ponowne widzenie, ponowne widzenie (obiektyw)	ការមើលឃើញម្តងទៀត ការមើលឃើញម្តងទៀត (គោលបំណង)	ပြန်မြင်ခြင်း၊ ထပ်တွေ့ခြင်း (ရည်ရွယ်ချက်)	আবার দেখা, আবার দেখা (উদ্দেশ্য)	மீண்டும் பார்ப்பது, மீண்டும் பார்ப்பது (நோக்கம்)	ਦੁਬਾਰਾ ਵੇਖਣਾ, ਦੁਬਾਰਾ ਵੇਖਣਾ (ਉਦੇਸ਼)	पुन्हा पाहणे, पुन्हा पाहणे (उद्दिष्ट)	మళ్ళీ చూడటం, మళ్ళీ చూడటం (ఆబ్జెక్టివ్)	знову побачити, знову побачити (об'єктивне)	se-igen, se-igen (objektiv)	kuona-tena, kuona-tena (lengo)
ĝis revido!	see you again!	다시 볼때까지 (안녕)!	à la prochaine!	また見るまで（こんにちは）！	再见！	再見！	hẹn gặp lại!	дараа уулзая!	แล้วพบกันอีก!	jumpa lagi!	sampai jumpa lagi!	फिर मिलेंगे!	دوباره می بینمت!	फेरि भेटौला!	پھر ملیں گے!	tekrar görüşürüz!	נתראה שוב!	نراكم مرة أخرى!	Wir sehen uns wieder!	¡hasta luego!	ci vediamo!	Ver você de novo!	еще увидимся!	do zobaczenia!	ជួបគ្នាម្តងទៀត!	ပြန်တွေ့မယ်!	আবার দেখা হবে!	மீண்டும் சந்திப்போம்!	ਤੁਹਾਨੂੰ ਵੀ ਦੇਖਣ ਨੂੰ!	पुन्हा भेटू!	మళ్ళీ కలుద్దాం!	побачимось!	vi ses!	tuonane tena!
