B.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	dankon por agrabla vespero	شكرا لك على أمسية ممتعة	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	شكرا لك (لك)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	كان جيدا جدا	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	الموسيقى يرضي ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	كانت الموسيقى ممتعة جدًا بالنسبة لي	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	أيضا بالنسبة لي	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	الرقص مضحك جدا	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	للرقص معك	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	كان مضحكا جدا أن أرقص معك	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	وهنا بطاقة اسمي	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	اذا كنت تريده	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	ها هي بطاقتي، إذا كنت تريد	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	عليه هناك أيضا ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	يوجد عليه أيضًا عنوان	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	هناك عنوان لموقع على شبكة الإنترنت	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	عنوان إلى موقع به دورة الاسبرانتو	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	شكرًا لك	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	أنا سوف نرسل لك رسالة بالبريد الالكتروني	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	تمام!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	نراكم مرة أخرى، وليلة سعيدة!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	أرك لاحقًا!	see you!	grupo	alternativoj	prononco
level	aperas en ~	يظهر في ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	رسول فوري	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ يظهر في برنامج المراسلة الفورية	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	هل أنت ذلك الشخص؟	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ذلك الشخص الذي رقص معي	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	ليلة السبت	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	هل أنت ذلك الشخص الذي رقص معي ليلة السبت؟	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	نعم هذا انا	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	ويسرني أن ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	أنا سعيد لأنك أتيت إلى الموقع	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	هل هذا يرضيك؟ (هل أحببت ذلك؟)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	نعم، نعم	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	إنها جميلة جدا	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	يبدو مثيرا للإهتمام	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	إنها جميلة جدًا وتبدو مثيرة للاهتمام	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ليس بعد ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	ليست جاهزة تماما	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	فهي ليست جاهزة تمامًا بعد	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ولكن قريبا سوف يكون	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	أنا أفهم (أرى)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ولكن هناك بالفعل العديد من أدوات المساعدة	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	قاموس	a dictionary	grupo	alternativoj	prononco
level	superrigardo	لمحة عامة	an overview	grupo	alternativoj	prononco
level	ekzerco	ضريبة	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	أمثلة على الكلمات، نظرة عامة، messenger و excerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	نظرة عامة على القواعد	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	برنامج المراسلة الفورية والتدريبات المختلفة	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	انها بداية جيدة	it is a good start	grupo	alternativoj	prononco
level	pardonon	عفوا أنا آسف	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	يجب أن أتحدث مع ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	للتحدث مع شخص آخر	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	أنا آسف، يجب أن أتحدث مع شخص آخر	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	مساعد لغة	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	أنا مساعد لغتها	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	والآن تريد أن تتحدث عن ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	للحديث عن التمرين	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	قريبا سوف يعود	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	سأعود إليك قريبا	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	بعد عدة دقائق	after several minutes	grupo	alternativoj	prononco
level	finparolis	انتهى الحديث	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	الآن انتهينا من الحديث عن التمرين	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	في هذه الأثناء، لفترة من الوقت	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	قرأت عن الاسبرانتو في هذه الأثناء	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	أنا لست معين	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	يعرف ما يكفي عن ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	لا أعرف ما يكفي عن اللغة حتى الآن	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	إجابة ذكية	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	وسوف ننظر في الموقع	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	وسوف نحاول أن نتعلم قليلا	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	هل تريد أن تكون مساعد لغتي؟	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	عن طيب خاطر!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	على الرحب والسعة!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	لا يستحق الشكر، لكنه يستحق قبلة	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	يقول ذلك في الاسبرانتو	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	ماذا؟ لا أفهم	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	يمكنك أن تبحث في القاموس	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	للأسف	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	يجب أن أبتعد عن الإنترنت الآن	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	سأعود في المساء	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	أعتقد أنني سأكون في الموقع بحلول ذلك الوقت	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	ممتاز!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	حسنا، أراك بعد ذلك!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	أراك لاحقًا!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	وفي المساء أيضًا على برنامج المراسلة الفورية	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	مرحبا مجددا! (يكرر-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	مرحبا مجددا!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	نظرت تقريبا كل الصفحات من الموقع	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	جيد نوعا ما! مذهل!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	لدي عدة أسئلة	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	هل لديك وقت؟	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	نعم أنا حر في المساء	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	لذلك، اكتب أسئلتك	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	سأحاول الإجابة	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	قرأت أن الإسبرانتو لديها ثقافة	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	لكنني لا أفهم ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	حيث يمكنني أن أجد مثل هذه الثقافة	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	ستجد في أي مكان، حيث ~	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	في أي مكان يوجد فيه أشخاص يتحدثون الإسبرانتو	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ولكن لا أحد يستخدم الاسبرانتو	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	يمين!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ولكن الناس الذين يتحدثون الاسبرانتو	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	كثيرًا ما يسافر ويلتقي بالإسبرانتيين الآخرين	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	خلال تلك اللقاءات	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	يستخدمون اللغة في معظم المواقف المختلفة	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	لذلك ستجد هناك ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	ستجد الثقافة	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	سوف تجد ثقافة الاسبرانتو	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	طيب هل الموسيقى موجودة؟	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	الموسيقى والأدب والمسرح	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	إلخ	etc	grupo	alternativoj	prononco
level	same kiel ~	نفس ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	كما هو الحال بالنسبة للغات الأخرى	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	الكمية ليست كبيرة جدًا	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	كبيرة كما هو الحال في اللغات الوطنية	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ولكن هذا ليس مهما	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	على الأقل ليس بالنسبة لي	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	إذا كنت ترغب في الاستماع ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	للاستماع إلى أغنية باللغة الاسبرانتو	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	إليكم أغنية &quot;ليزا ترسم الصور&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	يستمع إلى الأغنية	listens to the song	grupo	alternativoj	prononco
level	ne malbone	ليس سيئًا	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	وستجد العديد من الكتب باللغة الإسبرانتو	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	تبدو الكتب	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	يكفي الكثير	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	هل تقرأ كثيرا بالاسبرانتو؟	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	نعم، في بعض الأحيان (من وقت لآخر)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	إذا تعلمت اللغة من أي وقت مضى	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	سأوصي لك ببعض الكتب الجيدة	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	عباره عن ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	سؤالي الآخر يتعلق بإسمي	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	قلت في وقت سابق أن ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	له علاقة ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	قال أن لها علاقة بالاسبرانتو	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	أوه، نعم، حول ذلك	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	رجل اسمه ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	عاش ذات مرة رجلاً يحمل اسم ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	كان نشطًا جدًا في حركة الإسبرانتو	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	عندما كان جديدا تماما	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	ترجم الكتاب إلى ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	وترجم العديد من الكتب إلى الاسبرانتو	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	وهذا ما جعله مشهورا؟	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	واحدة من أهمها بالنسبة للاسبرانتو في ذلك الوقت	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	وكان له تأثير كبير على أسلوب اللغة	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	لا، بالتأكيد كان مهمًا وله تأثير	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	لكنه تخلى فجأة عن الحركة	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	أتصور أن ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	وأتصور أنها كانت صدمة كبيرة للكثيرين	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	لماذا ترك الاسبرانتو؟	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	أعتقد أن ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	كان غير راضٍ عن الإسبرانتيين	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	وقال شيئا مماثلا ل~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	الإسبرانتو يجب أن يتعلمه الإسبرانتو أنفسهم!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	ماذا كان يقصد بقوله ~؟	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	ماذا كان يقصد بقوله ذلك؟	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	فمن المرجح أن ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	الناس يتحدثون الاسبرانتو بشكل سيء	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	فمن المحتمل أن الناس تحدثوا بشكل سيء	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	في عام 1911 ترك الاسبرانتو	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ولكن أعتقد أن ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	أعلى	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	اليوم مستوى اللغة أعلى	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	مستوى لغة الاسبرانتو	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ولكن أعتقد أن المستوى اليوم أعلى	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	لذلك لا بد لي من تعلم اللغة جيدا	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	لكونه شخص جيد	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	ويجب عليك استخدام أسلوب بسيط	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	لأن ذلك كان مهماً جداً بالنسبة له	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	هذا يسعدني (يعجبني ذلك)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	في الاسبرانتو، هناك حتى كلمة ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	حتى أن هناك كلمة &quot;كابي&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	للتخلي عن الحركة	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	كلمة &quot;كابي&quot; وتعني التخلي عن الحركة	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	هذا ممتع!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	الآن أعرف كلمة واحدة في الاسبرانتو	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	لن أنسى أبدا	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	وربما لن أنساه أبدًا	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	في مقهى بعد عدة أسابيع	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	تمكن من تعلم الاسبرانتو	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	وهم يستخدمون اللغة	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	للدعوة، دعوة	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	هنا، انظر، دعوة لـ IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	ماذا؟ إي يو ماذا؟	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	شاب، مجموعة من الشباب	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK هو مؤتمر دولي للشباب	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	وأنا أخطط للذهاب لذلك	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	هل تريد الذهاب أيضا؟	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	حسنًا، &quot;الكونغرس&quot; لا يبدو مثيرًا للاهتمام	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	لكنه (مثير للاهتمام)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	لا تفكر في شيء مملة الكونغرس البطيء	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	انها مجرد حوالي ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	يتعلق الأمر فقط بمقابلة الشباب	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	لقاء مع الشباب من العديد من البلدان	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	سيكون هناك ما بين 300 إلى 400 شخص	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	من المحتمل أن يكون هناك ما بين 300 إلى 400 شخص هناك	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	الجميع تقريبا	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	وسيتحدث الجميع تقريبًا بالاسبرانتو	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	لا يتكلم جيدا	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	حسنًا، لكني لا أتحدث الإسبرانتو جيدًا	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	لا يهم	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	فمن الممكن أن تشارك في ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	للمشاركة في دورات الاسبرانتو هناك	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	عادة	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	عادة ما يكون هناك مستويين	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	الأشخاص الذين تعلموا اللغة بالفعل	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	واحد للمبتدئين	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	والآخر لأولئك الذين تعلموا اللغة بالفعل	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	نعم، ماذا؟	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	قلت &quot;عادة&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	أوه، IJK يحدث كل عام	oh, IJK happens every year	grupo	alternativoj	prononco
