C.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	-ul-	(pääte) henkilö jolla on jokin piirre	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(pääte) nainen	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(pääte) aktiivinen läsnäolo, on ~ing, joku, joka on ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(pääte) aktiivinen menneisyys, oli ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(pääte) aktiivinen tulevaisuus, tulee olemaan ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	ja	and	grupo	alternativoj	prononco
level	aŭ	tai	or	grupo	alternativoj	prononco
level	alta	korkea, pitkä	high, tall	grupo	alternativoj	prononco
level	jes	Joo	yes	grupo	alternativoj	prononco
level	ne	ei, ei	not, no	grupo	alternativoj	prononco
level	tiom	niin paljon, niin paljon, niin paljon	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	hyvä	good	grupo	alternativoj	prononco
level	kiom	kuinka paljon kuinka monta	how much, how many	grupo	alternativoj	prononco
level	ofte	usein, usein	often, frequently	grupo	alternativoj	prononco
level	iom	vähän, ennemminkin, vähän, jonkin verran	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	uusi, romaani	new, novel	grupo	alternativoj	prononco
level	-at-	(pääte) passiivinen nykyinen partisiippi	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(pääte) passiivinen mennyt partisiippi	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(pääte) passiivinen tulevaisuuspartisipsi	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	hyvin, aika paljon	very, quite, very much	grupo	alternativoj	prononco
level	tro	liian, liikaa, liikaa	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	kuitenkin, mutta kuitenkin	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Vai niin! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	että ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	koska ~	because ~	grupo	alternativoj	prononco
level	ĉu	onko ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(pääte) paikka	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(pääte) abstrakti laadun nimi	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	molemmat ~	both ~	grupo	alternativoj	prononco
level	tuj	heti, heti, heti	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	kuin ~	as if ~	grupo	alternativoj	prononco
level	kiam	kun	when	grupo	alternativoj	prononco
level	silenti	olla hiljaa, olla hiljaa	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ei koskaan, ei milloinkaan, ei koskaan	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	siis niin	therefore, so	grupo	alternativoj	prononco
level	kial	miksi, mitä varten	why, what for	grupo	alternativoj	prononco
level	kvankam	vaikka ~, vaikka kuitenkin	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(prepositio) ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	lisää	more	grupo	alternativoj	prononco
level	plej	suurin osa	most	grupo	alternativoj	prononco
level	diri	sanoa, kertoa	to say, to tell	grupo	alternativoj	prononco
level	ol ~	kuin ~	than ~	grupo	alternativoj	prononco
level	paroli	puhua, puhua	to speak, to talk	grupo	alternativoj	prononco
level	kia	millainen, millainen	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	sellainen, sellainen, sellainen	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	tuskin, tuskin, tuskin	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	lähettää	to send	grupo	alternativoj	prononco
level	ĵus	juuri (hetki sitten), juuri nyt	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(pääte) pakottava	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	ulkopuolella ~	outside ~	grupo	alternativoj	prononco
level	ge-	(etuliite) molemmat sukupuolet, molemmat sukupuolet	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(pääte) olisi, pitäisi, subjunktiivi	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	pian	soon	grupo	alternativoj	prononco
level	almenaŭ	ainakin jos ei muuta	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(pääte) säiliö; maa	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	oppia	to learn	grupo	alternativoj	prononco
level	ek-	(etuliite) alku; äkillinen aloitus	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	jos, edellyttäen että	if, provided that	grupo	alternativoj	prononco
level	eĉ	jopa	even	grupo	alternativoj	prononco
level	amo	rakkaus	a love	grupo	alternativoj	prononco
level	jam	jo, niin pian, tällä hetkellä	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Tässä! Hei! Katso	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	lopettaa, lopettaa, lopettaa	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	niin siis, siis	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ koskaan, (mitä) koskaan, ollenkaan, - milloin tahansa	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	helppoa, helppoa	easy, facile	grupo	alternativoj	prononco
level	re-	(etuliite) uudelleen	(prefix)  re-	grupo	alternativoj	prononco
level	granda	iso, suuri, suuri	big, great, large	grupo	alternativoj	prononco
level	-ist-	(pääte) ammattilainen	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(prepositio) ~ takia, ~ takia	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(pääte) johtaja, pomo, pää, päällikkö	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	mitä	what	grupo	alternativoj	prononco
level	manĝi	syödä	to eat	grupo	alternativoj	prononco
level	nenio	ei mitään, ei mitään, ei mitään	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	nuori	young	grupo	alternativoj	prononco
level	ĉio	kaikki	everything	grupo	alternativoj	prononco
level	riĉa	rikas, varakas, varakas	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	se asia, se	that thing, that	grupo	alternativoj	prononco
level	konstrui	rakentaa, rakentaa	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(etuliite) päällikkö, johtava, pää	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(prepositio) ilman ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(prepositio) ~ kanssa (yhdessä)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(prepositio) paitsi ~, lisäksi ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	ystävä	a friend	grupo	alternativoj	prononco
level	kies	kenen, kumman, mistä	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(prepositio) ~ (menetelmä), ~ (työkalu) kanssa	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~ vastaan	against ~	grupo	alternativoj	prononco
level	el ~	ulos ~, alkaen ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	tänään	today	grupo	alternativoj	prononco
level	hieraŭ	eilen	yesterday	grupo	alternativoj	prononco
level	nur	vain, vain, yksinomaan	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	auttaa, auttaa, auttaa	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverbi) kaukana, kaukana	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	eikä, ei kumpikaan	nor, neither	grupo	alternativoj	prononco
level	malamo	vihaa	a hate	grupo	alternativoj	prononco
level	preskaŭ	melkein, melkein	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ kautta	through ~	grupo	alternativoj	prononco
level	super	yli, yläpuolella	over, above	grupo	alternativoj	prononco
level	trans ~	yli ~, poikki ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	no sitten, nyt	well, well then, now	grupo	alternativoj	prononco
level	pri ~	noin ~	about ~	grupo	alternativoj	prononco
level	por ~	~ varten, jotta ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	huomenna	tomorrow	grupo	alternativoj	prononco
level	nun	nyt, tällä hetkellä	now, at present	grupo	alternativoj	prononco
level	laŭ ~	mukaan ~, pitkin ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	jokainen, jokainen, kaikki, kaikki	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kuka, mikä, mikä	who, which, which one	grupo	alternativoj	prononco
level	tiu	tuo henkilö, tuo ~, tuo tuolla	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	joku, joku, joku	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ei kukaan, ei kukaan, ei myöskään	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	-ebl-	(pääte) ~ voi	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	toivoa	to hope	grupo	alternativoj	prononco
level	unu	yksi	one	grupo	alternativoj	prononco
level	du	kaksi	two	grupo	alternativoj	prononco
level	tri	kolme	three	grupo	alternativoj	prononco
level	kvar	neljä	four	grupo	alternativoj	prononco
level	kvin	viisi	five	grupo	alternativoj	prononco
level	ses	kuusi	six	grupo	alternativoj	prononco
level	sep	seitsemän	seven	grupo	alternativoj	prononco
level	ok	kahdeksan	eight	grupo	alternativoj	prononco
level	naŭ	yhdeksän	nine	grupo	alternativoj	prononco
level	dek	kymmenen	ten	grupo	alternativoj	prononco
level	cent	sata	a hundred	grupo	alternativoj	prononco
level	mil	tuhat	a thousand	grupo	alternativoj	prononco
level	-obl-	(pääte) moninkertaisuudelle, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(pääte) ~th, murtoluku	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	rakkaudesta	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ sijasta	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(pääte) tulla	(suffix)  become	grupo	alternativoj	prononco
level	voli	haluta, haluta, olla valmis	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(pääte) aiheuttaa tulla	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	seurata	to follow	grupo	alternativoj	prononco
level	ĝoje	mielellään	gladly	grupo	alternativoj	prononco
level	legi	lukea	to read	grupo	alternativoj	prononco
level	silenta	hiljainen	silent	grupo	alternativoj	prononco
level	la	the	the	grupo	alternativoj	prononco
level	ha!	ha!	ha!	grupo	alternativoj	prononco
level	-il-	(pääte) työkalu, menetelmä	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	juoda (ei alkoholia)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(pääte) pieni, pieni	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(pääte) iso, iso	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(prepositio) välillä ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(pääte) liittyvä käyttäytyminen	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(pääte) joukko, ryhmä	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(pääte) ryhmän jäsen	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	kiittää	to thank	grupo	alternativoj	prononco
level	-ind-	(pääte) arvoinen, arvoinen	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	vielä enemmän, pidemmälle ja niin edelleen, enemmän	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	miten, kuten, millä tavalla, esim	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	näin, sillä tavalla, näin	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(prepositio) ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(prepositio) ~ vieressä, ~ vieressä	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(prepositio) alle, alle ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(prepositio) ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(prepositio) indefinate prep., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverbi) vielä, vielä	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(prepositio) ~ ympärillä	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	mutta	but	grupo	alternativoj	prononco
level	ie	jonnekin	somewhere	grupo	alternativoj	prononco
level	kie	missä, missä paikassa	where, at what place	grupo	alternativoj	prononco
level	silente	hiljaa	silently	grupo	alternativoj	prononco
level	ĉie	kaikkialla, kaikesta	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ei missään, ei missään tapauksessa, ei missään	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	siellä, tuolla, tuolla	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	tämä ~	this ~	grupo	alternativoj	prononco
level	kanti	laulaa	to sing	grupo	alternativoj	prononco
level	morti	kuolla, kuolla	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(prepositio) aikana ~, kun taas ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	kansakunta	a nation	grupo	alternativoj	prononco
level	koni	tuntea (henkilö), tutustua	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	tietää (tosia, tieto), tietää miten	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	aina, aina	always, ever	grupo	alternativoj	prononco
level	iam	joskus, kerran	at some time, once	grupo	alternativoj	prononco
level	tiam	sitten	then	grupo	alternativoj	prononco
level	-em-	(pääte) taipumus	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	jonkinlainen	some kind of	grupo	alternativoj	prononco
level	sukcesi	onnistua	to succeed	grupo	alternativoj	prononco
level	ĉia	kaikenlaista, kaikenlaista	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ei, ei minkäänlaista, ei mitään	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(pääte) jälkeläinen	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	huone, kammio	a room, a chamber	grupo	alternativoj	prononco
level	patro	isä	a father	grupo	alternativoj	prononco
level	porko	sika, sika	a pig, swine	grupo	alternativoj	prononco
level	bo-	(etuliite) - anoppi, avioliiton kautta	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	todellakin	indeed	grupo	alternativoj	prononco
level	-ism-	(pääte) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	jotain	something	grupo	alternativoj	prononco
level	veturi	ajaa (ajoneuvoa)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	kukko, kana, kana, kana	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	vapaa	free	grupo	alternativoj	prononco
level	lasta	kestää	last	grupo	alternativoj	prononco
level	ĝoji	iloita, iloita, nauttia	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	ottaa, tarttua	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	lehmä, härkä, nauta	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	toinen, toinen, muu	another, other, else	grupo	alternativoj	prononco
level	varma	kuuma lämmin	hot, warm	grupo	alternativoj	prononco
level	loĝi	asua, asua, asua, asua	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	uskoa	to believe	grupo	alternativoj	prononco
level	glacio	kiva	an ice	grupo	alternativoj	prononco
level	loko	paikka, paikka	a place, a location	grupo	alternativoj	prononco
level	ovo	muna	an egg	grupo	alternativoj	prononco
level	multa	paljon, paljon, monia	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	omaisuutta	a possession	grupo	alternativoj	prononco
level	ŝafo	lammas	a sheep	grupo	alternativoj	prononco
level	sono	ääni	a sound	grupo	alternativoj	prononco
level	fiŝo	kala	a fish	grupo	alternativoj	prononco
level	bela	kaunis, komea, kaunis	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	vastata, vastata, vastata	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	tilaisuus, aika	an occasion, a time	grupo	alternativoj	prononco
level	demandi	kysyä	to ask	grupo	alternativoj	prononco
level	forta	vahva	strong	grupo	alternativoj	prononco
level	preter ~	~ yli, ohi ~, suoraan ohi	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	hiljaisuus	a silence	grupo	alternativoj	prononco
level	infano	lapsi, vauva	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	onnellinen, onnekas, onnekas	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	saada kiinni, vangita, tarttua	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	haluta, toivoa	to desire, to wish	grupo	alternativoj	prononco
level	longa	pitkä	long	grupo	alternativoj	prononco
level	mondo	maailma	a world	grupo	alternativoj	prononco
level	okazi	tapahtua, tapahtua, syntyä	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	kenttä, kenttä	field, a field	grupo	alternativoj	prononco
level	filo	poika	a son	grupo	alternativoj	prononco
level	montri	näyttää, osoittaa, osoittaa	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	sydän	a heart	grupo	alternativoj	prononco
level	knabo	poika	a boy	grupo	alternativoj	prononco
level	meti	laittaa, sijoittaa, laskea	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	aviomies	a husband	grupo	alternativoj	prononco
level	pako	paketti	package	grupo	alternativoj	prononco
level	rapida	nopea, nopea, nopea	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	näyttää, näyttää olevan	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	tervehdys, tervehdys, tervehdys	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	kirjoittaa	to write	grupo	alternativoj	prononco
level	peti	pyytää, pyytää, pyytää, kerjätä	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	lentää	to fly	grupo	alternativoj	prononco
level	kapo	pää, viitta	a head, a cape	grupo	alternativoj	prononco
level	krii	huutaa, itkeä, huutaa, huutaa	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	punainen	red	grupo	alternativoj	prononco
level	sinjoro	herra, herrasmies	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	pitää kiinni, pitää kiinni	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	aika, aika	time, a time	grupo	alternativoj	prononco
level	tuta	yhteensä, kaikki, koko, täydellinen, kaiken kaikkiaan	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	mies	a man	grupo	alternativoj	prononco
level	vojo	tie, polku, reitti	a way, a path, a route	grupo	alternativoj	prononco
level	movi	liikkua	to move	grupo	alternativoj	prononco
level	militi	katkaista sota, taistella, käydä sotaa	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	muutama, useita	a few, several	grupo	alternativoj	prononco
level	dekstra	oikea, oikea (sivu, suunta), oikea käsi	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	sulkea, sulkea	to close, to shut	grupo	alternativoj	prononco
level	okupi	miehittää, ottaa	to occupy, to take	grupo	alternativoj	prononco
level	levi	nostaa, nostaa, nostaa	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	lyödä, lyödä, lyödä, haukkua, lyödä	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	tarvita, haluta, vaatia	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	ymmärtää, tajuta	to understand, to realise	grupo	alternativoj	prononco
level	iri	mennä	to go	grupo	alternativoj	prononco
level	veni	tulla	to come	grupo	alternativoj	prononco
level	porti	kantaa, kantaa	to carry, to wear	grupo	alternativoj	prononco
level	kovri	peittää	to cover	grupo	alternativoj	prononco
level	hela	kirkas, kirkas ja kevyt	bright, clear and light	grupo	alternativoj	prononco
level	sana	terveitä	healthy	grupo	alternativoj	prononco
level	aperi	ilmestyä, ilmaantua	to appear, to emerge	grupo	alternativoj	prononco
level	libro	kirja	a book	grupo	alternativoj	prononco
level	atendi	odottaa, odottaa, odottaa	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	käsi	a hand	grupo	alternativoj	prononco
level	pentri	maalata	to paint	grupo	alternativoj	prononco
level	instrui	opettaa, ohjata	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	istua	to sit	grupo	alternativoj	prononco
level	stari	seistä	to stand	grupo	alternativoj	prononco
level	afero	asia, esine, tapaus, huoli, asia	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	täysi, täydellinen	full, complete	grupo	alternativoj	prononco
level	klara	asia selvä	clear	grupo	alternativoj	prononco
level	komenci	aloittaa, aloittaa	to begin, to commence	grupo	alternativoj	prononco
level	dormi	nukkua, nukkua	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	osa, osuus	a part, a share	grupo	alternativoj	prononco
level	mono	raha	money	grupo	alternativoj	prononco
level	ricevi	saada	to receive	grupo	alternativoj	prononco
level	ami	rakastaa	to love	grupo	alternativoj	prononco
level	devi	pakko, täytyy, pitäisi, pitäisi	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	pystyä, voi	be able to, can	grupo	alternativoj	prononco
level	labori	töihin, töihin	to work, to labor	grupo	alternativoj	prononco
level	dio	Jumala	a god	grupo	alternativoj	prononco
level	urbo	kaupunki, kaupunki	a city, a town	grupo	alternativoj	prononco
level	ofta	usein, usein	freqent, often	grupo	alternativoj	prononco
level	soni	ääntä, ääntä	to sound, to make sound	grupo	alternativoj	prononco
level	tero	maa, maa, maaperä	earth, land, soil	grupo	alternativoj	prononco
level	vivi	elää, olla elossa	to live, to be alive	grupo	alternativoj	prononco
level	resti	jäädä, jäädä	to stay, to remain	grupo	alternativoj	prononco
level	ridi	nauraa	to laugh	grupo	alternativoj	prononco
level	homo	ihminen, mies	a human, a man	grupo	alternativoj	prononco
level	akvo	vettä	water	grupo	alternativoj	prononco
level	vorto	sana	a word	grupo	alternativoj	prononco
level	certa	varma, varmasti	certain, sure	grupo	alternativoj	prononco
level	lando	maa, maa	a land, a country	grupo	alternativoj	prononco
level	sama	sama	same	grupo	alternativoj	prononco
level	ĵeti	heittää	to throw	grupo	alternativoj	prononco
level	stelo	tähti	a star	grupo	alternativoj	prononco
level	domo	talo, koti	a house, a home	grupo	alternativoj	prononco
level	nomo	nimi, nimitys	a name, an appellation	grupo	alternativoj	prononco
level	vidi	nähdä	to see	grupo	alternativoj	prononco
level	mola	pehmeä	soft	grupo	alternativoj	prononco
level	horo	tunti, kello, aika	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	muoto, muoto	a form, a shape	grupo	alternativoj	prononco
level	tago	päivä	a day	grupo	alternativoj	prononco
level	fumo	savua	a smoke	grupo	alternativoj	prononco
level	ĉevalo	hevonen	a horse	grupo	alternativoj	prononco
level	jaro	vuosi	a year	grupo	alternativoj	prononco
level	vojaĝi	matkustaa	to travel	grupo	alternativoj	prononco
level	celo	tavoite, tavoite, tarkoitus, tavoite	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	synnyttää, kantaa, synnyttää	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	kaipaa, olla puutteessa, puuttua	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	lintu	a bird	grupo	alternativoj	prononco
level	halti	pysähtyä, pysähtyä, pysähtyä	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	Veli	a brother	grupo	alternativoj	prononco
level	monto	vuori	a mountain	grupo	alternativoj	prononco
level	pensi	ajatella	to think	grupo	alternativoj	prononco
level	permesi	sallia, sallia	to permit, to allow	grupo	alternativoj	prononco
level	kosti	maksaa	to cost	grupo	alternativoj	prononco
level	lito	sänky, sohva	a bed, a couch	grupo	alternativoj	prononco
level	perdi	menettää	to lose	grupo	alternativoj	prononco
level	miri	yllättää, hämmästyä, hämmästyä	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	henkilö	a person	grupo	alternativoj	prononco
level	diversa	monipuolinen, monipuolinen, monipuolinen	diverse, varied, various	grupo	alternativoj	prononco
level	provi	yrittää, yrittää	to try, to attempt	grupo	alternativoj	prononco
level	pagi	maksaa	to pay	grupo	alternativoj	prononco
level	prezenti	esitellä, esitellä	to present, to introduce	grupo	alternativoj	prononco
level	aparta	erillään, erityinen, erillinen	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	oikein, oikeus	right, a right	grupo	alternativoj	prononco
level	mateno	aamu, aamu	morning, a morning	grupo	alternativoj	prononco
level	agrabla	miellyttävä, miellyttävä, mukava	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	ilta, ilta	evening, an evening	grupo	alternativoj	prononco
level	muro	seinä	a wall	grupo	alternativoj	prononco
level	suno	aurinko, aurinko	sun, a sun	grupo	alternativoj	prononco
level	rigardi	katsoa, katsoa	to look, to look at	grupo	alternativoj	prononco
level	senti	tuntea, aistia	to feel, to sense	grupo	alternativoj	prononco
level	blanka	valkoinen, tyhjä	white, blank	grupo	alternativoj	prononco
level	simpla	yksinkertainen	simple	grupo	alternativoj	prononco
level	rimarki	huomata	to notice	grupo	alternativoj	prononco
