C.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	-ul-	(наставка) човек с някаква черта	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(наставка) женски	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(наставка) активно настояще, е ~ing, някой, който е ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(наставка) активно минало, беше ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(наставка) активно бъдеще, ще бъде ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	и	and	grupo	alternativoj	prononco
level	aŭ	или	or	grupo	alternativoj	prononco
level	alta	висок, висок	high, tall	grupo	alternativoj	prononco
level	jes	да	yes	grupo	alternativoj	prononco
level	ne	не, не	not, no	grupo	alternativoj	prononco
level	tiom	толкова много, такава сума, тази сума	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	добре	good	grupo	alternativoj	prononco
level	kiom	колко колко	how much, how many	grupo	alternativoj	prononco
level	ofte	често, често	often, frequently	grupo	alternativoj	prononco
level	iom	малко, по-скоро, малко, донякъде	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	нов, роман	new, novel	grupo	alternativoj	prononco
level	-at-	(наставка) сегашно страдателно причастие	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(наставка) страдателно причастие	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(наставка) пасивно бъдеще причастие	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	много, доста, много	very, quite, very much	grupo	alternativoj	prononco
level	tro	прекалено, прекомерно, твърде много	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	въпреки това, въпреки това, но въпреки това	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	о! хо!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	че ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	защото ~	because ~	grupo	alternativoj	prononco
level	ĉu	дали ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(суфикс) място	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(наставка) абстрактно име на качество	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	и двете ~	both ~	grupo	alternativoj	prononco
level	tuj	веднага, незабавно, веднага	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	сякаш ~	as if ~	grupo	alternativoj	prononco
level	kiam	кога	when	grupo	alternativoj	prononco
level	silenti	да мълча, да мълча	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	никога, по никое време, никога	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	следователно, така	therefore, so	grupo	alternativoj	prononco
level	kial	защо, за какво	why, what for	grupo	alternativoj	prononco
level	kvankam	въпреки че ~, докато, въпреки това	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(предлог) при ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	Повече ▼	more	grupo	alternativoj	prononco
level	plej	повечето	most	grupo	alternativoj	prononco
level	diri	да кажа, да кажа	to say, to tell	grupo	alternativoj	prononco
level	ol ~	отколкото ~	than ~	grupo	alternativoj	prononco
level	paroli	да говоря, да говоря	to speak, to talk	grupo	alternativoj	prononco
level	kia	какъв вид, какъв вид	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	такъв, такъв вид, такъв	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	едва, едва ли, плашещо	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	да изпратя	to send	grupo	alternativoj	prononco
level	ĵus	точно (преди малко), току-що	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(наставка) повелително	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	извън ~	outside ~	grupo	alternativoj	prononco
level	ge-	(префикс) и двата пола, и двата рода	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(наставка) би, трябва, подлог	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	скоро	soon	grupo	alternativoj	prononco
level	almenaŭ	поне, ако не друго	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	дис-	dis-	grupo	alternativoj	prononco
level	-uj-	(суфикс) контейнер; държава	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	да науча	to learn	grupo	alternativoj	prononco
level	ek-	(префикс) начало; внезапно начало	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ако, при условие че	if, provided that	grupo	alternativoj	prononco
level	eĉ	дори	even	grupo	alternativoj	prononco
level	amo	любов	a love	grupo	alternativoj	prononco
level	jam	вече, толкова скоро, от сега	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Тук! ето! Ето	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	завършвам, завършвам, прекратявам	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	така, тогава, следователно	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ ever, (what)ever, at all, -soever	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	лесно, лесно	easy, facile	grupo	alternativoj	prononco
level	re-	(префикс) повторно	(prefix)  re-	grupo	alternativoj	prononco
level	granda	голям, страхотен, голям	big, great, large	grupo	alternativoj	prononco
level	-ist-	(наставка) професионален	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(предлог) поради ~, поради ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(наставка) лидер, шеф, глава, шеф	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Какво	what	grupo	alternativoj	prononco
level	manĝi	да ям	to eat	grupo	alternativoj	prononco
level	nenio	нищо, нищо, нищо	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	млад	young	grupo	alternativoj	prononco
level	ĉio	всичко	everything	grupo	alternativoj	prononco
level	riĉa	богат, заможен, заможен	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	това нещо, това	that thing, that	grupo	alternativoj	prononco
level	konstrui	да построя, да построя	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(префикс) главен, водещ, главен	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(предлог) без ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(предлог) с ~ (заедно)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(предлог) освен ~, освен ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	приятел	a friend	grupo	alternativoj	prononco
level	kies	чий, кой е, от които	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(предлог) чрез ~ (метод), с ~ (инструмент)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	срещу ~	against ~	grupo	alternativoj	prononco
level	el ~	извън ~, от ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	днес	today	grupo	alternativoj	prononco
level	hieraŭ	вчера	yesterday	grupo	alternativoj	prononco
level	nur	само, просто, изключително	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	да помагам, да помагам, да помагам	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(наречие) далеч, далеч	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	нито, нито едно от двете	nor, neither	grupo	alternativoj	prononco
level	malamo	омраза	a hate	grupo	alternativoj	prononco
level	preskaŭ	почти, почти	almost, nearly	grupo	alternativoj	prononco
level	tra ~	през ~	through ~	grupo	alternativoj	prononco
level	super	над, над	over, above	grupo	alternativoj	prononco
level	trans ~	над ~, през ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	добре, добре тогава, сега	well, well then, now	grupo	alternativoj	prononco
level	pri ~	около ~	about ~	grupo	alternativoj	prononco
level	por ~	за ~, за да ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	утре	tomorrow	grupo	alternativoj	prononco
level	nun	сега, в момента	now, at present	grupo	alternativoj	prononco
level	laŭ ~	според ~, по ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	всеки, всеки, всеки, всички	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	кой, кой, кой	who, which, which one	grupo	alternativoj	prononco
level	tiu	този човек, този ~, онзи, онзи	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	някой, някой, някои	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	никой, никой, нито един от двамата	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	към ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(наставка) ~способен	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	Надявам се	to hope	grupo	alternativoj	prononco
level	unu	един	one	grupo	alternativoj	prononco
level	du	две	two	grupo	alternativoj	prononco
level	tri	три	three	grupo	alternativoj	prononco
level	kvar	четири	four	grupo	alternativoj	prononco
level	kvin	пет	five	grupo	alternativoj	prononco
level	ses	шест	six	grupo	alternativoj	prononco
level	sep	седем	seven	grupo	alternativoj	prononco
level	ok	осем	eight	grupo	alternativoj	prononco
level	naŭ	девет	nine	grupo	alternativoj	prononco
level	dek	десет	ten	grupo	alternativoj	prononco
level	cent	сто	a hundred	grupo	alternativoj	prononco
level	mil	хиляда	a thousand	grupo	alternativoj	prononco
level	-obl-	(наставка) за множество, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(наставка) ~th, дроб	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	от любов	of love	grupo	alternativoj	prononco
level	anstataŭ ~	вместо ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(наставка) стана	(suffix)  become	grupo	alternativoj	prononco
level	voli	да искаш, да искаш, да желаеш	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(наставка) причина да стане	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	да последвам	to follow	grupo	alternativoj	prononco
level	ĝoje	с радост	gladly	grupo	alternativoj	prononco
level	legi	чета	to read	grupo	alternativoj	prononco
level	silenta	безшумен	silent	grupo	alternativoj	prononco
level	la	на	the	grupo	alternativoj	prononco
level	ha!	ха!	ha!	grupo	alternativoj	prononco
level	-il-	(наставка) инструмент, метод	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	пия (безалкохолно)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(наставка) малък, малък	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(наставка) голям, голям	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(предлог) между ~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(суфикс) свързано поведение	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(наставка) набор, група	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(наставка) член на група	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	да благодаря	to thank	grupo	alternativoj	prononco
level	-ind-	(наставка) заслужаващ внимание, достоен	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	още повече, по-нататък и така нататък, още	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	как, като, по какъв начин, като напр	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	такъв, по този начин, по този начин	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(предлог) в ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(предлог) до ~, до ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(предлог) под, под ~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(предлог) върху ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(предлог) неопредел. предл., at, in, by, on	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(наречие) все още, все още	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(предлог) около ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	но	but	grupo	alternativoj	prononco
level	ie	някъде	somewhere	grupo	alternativoj	prononco
level	kie	къде, на кое място	where, at what place	grupo	alternativoj	prononco
level	silente	безшумно	silently	grupo	alternativoj	prononco
level	ĉie	навсякъде, навсякъде	everywhere, all about	grupo	alternativoj	prononco
level	nenie	никъде, в никакъв случай, никъде	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	там, там, там	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	това ~	this ~	grupo	alternativoj	prononco
level	kanti	пея	to sing	grupo	alternativoj	prononco
level	morti	да умра, да отмина	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(предлог) по време на ~, докато ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	нация	a nation	grupo	alternativoj	prononco
level	koni	да познавам (човек), да бъда запознат с	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	да знам (факт, знание), да знам как	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	винаги, винаги	always, ever	grupo	alternativoj	prononco
level	iam	по някое време, веднъж	at some time, once	grupo	alternativoj	prononco
level	tiam	тогава	then	grupo	alternativoj	prononco
level	-em-	(суфикс) тенденция	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	някакъв вид	some kind of	grupo	alternativoj	prononco
level	sukcesi	да успее	to succeed	grupo	alternativoj	prononco
level	ĉia	от всякакъв вид, всякакъв вид	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	не, не каквато и да е	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(наставка) потомство	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	стая, стая	a room, a chamber	grupo	alternativoj	prononco
level	patro	баща	a father	grupo	alternativoj	prononco
level	porko	прасе, свиня	a pig, swine	grupo	alternativoj	prononco
level	bo-	(префикс) -in-law, чрез брак	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	наистина	indeed	grupo	alternativoj	prononco
level	-ism-	(наставка) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	нещо	something	grupo	alternativoj	prononco
level	veturi	карам (превозно средство)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	петел, кокошка, пиле, птица	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	Безплатно	free	grupo	alternativoj	prononco
level	lasta	последно	last	grupo	alternativoj	prononco
level	ĝoji	да се радвам, да се радвам, да се радвам	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	да взема, да държа	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	крава, вол, говеда	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	друг, друг, друг	another, other, else	grupo	alternativoj	prononco
level	varma	горещо топло	hot, warm	grupo	alternativoj	prononco
level	loĝi	да пребивавам, да живея, да обитавам, да обитавам	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	да вярвам	to believe	grupo	alternativoj	prononco
level	glacio	Приятен	an ice	grupo	alternativoj	prononco
level	loko	място, местоположение	a place, a location	grupo	alternativoj	prononco
level	ovo	яйце	an egg	grupo	alternativoj	prononco
level	multa	много, много, много	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	притежание	a possession	grupo	alternativoj	prononco
level	ŝafo	овца	a sheep	grupo	alternativoj	prononco
level	sono	звук	a sound	grupo	alternativoj	prononco
level	fiŝo	риба	a fish	grupo	alternativoj	prononco
level	bela	красива, красива, красива	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	да отговоря, да отговоря, да отговоря	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	повод, време	an occasion, a time	grupo	alternativoj	prononco
level	demandi	да попитам	to ask	grupo	alternativoj	prononco
level	forta	силен	strong	grupo	alternativoj	prononco
level	preter ~	отвъд ~, минало ~, направо минало	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	мълчание	a silence	grupo	alternativoj	prononco
level	infano	дете, бебе	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	щастлив, късметлия, късметлия	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	да хвана, да уловя, да се хвана	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	да пожелая, да пожелая	to desire, to wish	grupo	alternativoj	prononco
level	longa	дълго	long	grupo	alternativoj	prononco
level	mondo	свят	a world	grupo	alternativoj	prononco
level	okazi	да се случи, да се случи, да се случи	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	поле, поле	field, a field	grupo	alternativoj	prononco
level	filo	син	a son	grupo	alternativoj	prononco
level	montri	да покаже, да посочи, да посочи	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	сърце	a heart	grupo	alternativoj	prononco
level	knabo	момче	a boy	grupo	alternativoj	prononco
level	meti	поставям, поставям, слагам	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	съпруг	a husband	grupo	alternativoj	prononco
level	pako	пакет	package	grupo	alternativoj	prononco
level	rapida	бързо, бързо, бързо	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	да изглежда, да изглежда да бъде	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	поздрав, поздрав, поздрав	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	да напише	to write	grupo	alternativoj	prononco
level	peti	да поискам, да поискам, да поискам, да измоля	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	Летя	to fly	grupo	alternativoj	prononco
level	kapo	глава, пелерина	a head, a cape	grupo	alternativoj	prononco
level	krii	да викам, да плача, да крещя, да викам	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	червен	red	grupo	alternativoj	prononco
level	sinjoro	господин, джентълмен	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	да държа, да се закача	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	време, време	time, a time	grupo	alternativoj	prononco
level	tuta	общо, всички, цял, пълен, цялостен	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	човек	a man	grupo	alternativoj	prononco
level	vojo	път, пътека, маршрут	a way, a path, a route	grupo	alternativoj	prononco
level	movi	да се движат	to move	grupo	alternativoj	prononco
level	militi	да прекъсвам война, да се боря, да водя война	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	няколко, няколко	a few, several	grupo	alternativoj	prononco
level	dekstra	отдясно, отдясно (страна, посока), отдясно	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	затварям, затварям	to close, to shut	grupo	alternativoj	prononco
level	okupi	да заемат, да вземат	to occupy, to take	grupo	alternativoj	prononco
level	levi	за лост, за повдигане, за повдигане	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	да бия, да ударя, да ударя, да смачкам, да ударя	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	да се нуждая, да искам, да изисквам	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	да разбирам, да осъзнавам	to understand, to realise	grupo	alternativoj	prononco
level	iri	да отида	to go	grupo	alternativoj	prononco
level	veni	да дойде	to come	grupo	alternativoj	prononco
level	porti	да нося, да нося	to carry, to wear	grupo	alternativoj	prononco
level	kovri	за покриване	to cover	grupo	alternativoj	prononco
level	hela	ярък, ясен и лек	bright, clear and light	grupo	alternativoj	prononco
level	sana	здрави	healthy	grupo	alternativoj	prononco
level	aperi	да се появи, да се появи	to appear, to emerge	grupo	alternativoj	prononco
level	libro	книга	a book	grupo	alternativoj	prononco
level	atendi	да чакам, да очаквам, да чакам	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	ръка	a hand	grupo	alternativoj	prononco
level	pentri	рисувам	to paint	grupo	alternativoj	prononco
level	instrui	да преподавам, да инструктирам	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	да седна	to sit	grupo	alternativoj	prononco
level	stari	стоя	to stand	grupo	alternativoj	prononco
level	afero	нещо, обект, случай, загриженост, материя	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	пълен, пълен	full, complete	grupo	alternativoj	prononco
level	klara	ясно	clear	grupo	alternativoj	prononco
level	komenci	да започна, да започна	to begin, to commence	grupo	alternativoj	prononco
level	dormi	да спя, да бъда заспал	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	част, дял	a part, a share	grupo	alternativoj	prononco
level	mono	пари	money	grupo	alternativoj	prononco
level	ricevi	получавам	to receive	grupo	alternativoj	prononco
level	ami	да обичаш	to love	grupo	alternativoj	prononco
level	devi	да трябва, трябва, трябва, трябва	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	да мога, мога	be able to, can	grupo	alternativoj	prononco
level	labori	да работя, да се трудя	to work, to labor	grupo	alternativoj	prononco
level	dio	бог	a god	grupo	alternativoj	prononco
level	urbo	град, градче	a city, a town	grupo	alternativoj	prononco
level	ofta	често, често	freqent, often	grupo	alternativoj	prononco
level	soni	да звуча, да звуча	to sound, to make sound	grupo	alternativoj	prononco
level	tero	земя, земя, почва	earth, land, soil	grupo	alternativoj	prononco
level	vivi	да живея, да съм жив	to live, to be alive	grupo	alternativoj	prononco
level	resti	да остана, да остана	to stay, to remain	grupo	alternativoj	prononco
level	ridi	да се смея	to laugh	grupo	alternativoj	prononco
level	homo	човек, човек	a human, a man	grupo	alternativoj	prononco
level	akvo	вода	water	grupo	alternativoj	prononco
level	vorto	дума	a word	grupo	alternativoj	prononco
level	certa	сигурно, сигурно	certain, sure	grupo	alternativoj	prononco
level	lando	земя, държава	a land, a country	grupo	alternativoj	prononco
level	sama	един и същ	same	grupo	alternativoj	prononco
level	ĵeti	хвърлям	to throw	grupo	alternativoj	prononco
level	stelo	звезда	a star	grupo	alternativoj	prononco
level	domo	къща, дом	a house, a home	grupo	alternativoj	prononco
level	nomo	име, наименование	a name, an appellation	grupo	alternativoj	prononco
level	vidi	да видиш	to see	grupo	alternativoj	prononco
level	mola	мека	soft	grupo	alternativoj	prononco
level	horo	час, час, време	an hour, o'clock, time	grupo	alternativoj	prononco
level	formo	форма, форма	a form, a shape	grupo	alternativoj	prononco
level	tago	ден	a day	grupo	alternativoj	prononco
level	fumo	дим	a smoke	grupo	alternativoj	prononco
level	ĉevalo	кон	a horse	grupo	alternativoj	prononco
level	jaro	годишно	a year	grupo	alternativoj	prononco
level	vojaĝi	да пътувам	to travel	grupo	alternativoj	prononco
level	celo	цел, цел, цел, цел	a goal, a target, a purpose, an objective	grupo	alternativoj	prononco
level	naski	да раждам, да раждам, да генерирам	to give birth, to bear, to generate	grupo	alternativoj	prononco
level	manki	да липсвам, да липсвам, да липсвам	to miss, to be lacking, to be missing	grupo	alternativoj	prononco
level	birdo	птица	a bird	grupo	alternativoj	prononco
level	halti	спирам, спирам, спирам	to stop, to halt, to come to a halt	grupo	alternativoj	prononco
level	frato	брат	a brother	grupo	alternativoj	prononco
level	monto	планина	a mountain	grupo	alternativoj	prononco
level	pensi	да мисля	to think	grupo	alternativoj	prononco
level	permesi	разрешавам, позволявам	to permit, to allow	grupo	alternativoj	prononco
level	kosti	да струва	to cost	grupo	alternativoj	prononco
level	lito	легло, диван	a bed, a couch	grupo	alternativoj	prononco
level	perdi	да загубиш	to lose	grupo	alternativoj	prononco
level	miri	да изненадам, да се учудя, да се учудя	to surprise, to be amased, to be astonished	grupo	alternativoj	prononco
level	persono	човек	a person	grupo	alternativoj	prononco
level	diversa	разнообразен, разнообразен, разнообразен	diverse, varied, various	grupo	alternativoj	prononco
level	provi	да опитам, да опитам	to try, to attempt	grupo	alternativoj	prononco
level	pagi	да платя	to pay	grupo	alternativoj	prononco
level	prezenti	представям, представям	to present, to introduce	grupo	alternativoj	prononco
level	aparta	отделно, специално, отделно	apart, particular, separate	grupo	alternativoj	prononco
level	rajto	право, право	right, a right	grupo	alternativoj	prononco
level	mateno	сутрин, сутрин	morning, a morning	grupo	alternativoj	prononco
level	agrabla	приятно, приятно, хубаво	pleasant, agreeable, nice	grupo	alternativoj	prononco
level	vespero	вечер, вечер	evening, an evening	grupo	alternativoj	prononco
level	muro	стена	a wall	grupo	alternativoj	prononco
level	suno	слънце, слънце	sun, a sun	grupo	alternativoj	prononco
level	rigardi	да гледам, да гледам	to look, to look at	grupo	alternativoj	prononco
level	senti	усещам, усещам	to feel, to sense	grupo	alternativoj	prononco
level	blanka	бяло, празно	white, blank	grupo	alternativoj	prononco
level	simpla	просто	simple	grupo	alternativoj	prononco
level	rimarki	да забележите	to notice	grupo	alternativoj	prononco
level	lingvo	език, език	a language, tongue	grupo	alternativoj	prononco
level	ŝanĝi	да се промени, да се обърне	to change, to turn	grupo	alternativoj	prononco
level	renkonti	да се срещне, да се натъкне, да се натъкне	to meet, to encounter, to come accross	grupo	alternativoj	prononco
level	uzi	да използвам	to use	grupo	alternativoj	prononco
level	timi	да се страхувам, да се страхувам от	to fear, to be afraid of	grupo	alternativoj	prononco
level	vera	истински, верен	real, true	grupo	alternativoj	prononco
level	sola	сам, единствен, единствен, самотен	alone, only, sole, solitary	grupo	alternativoj	prononco
level	paco	мир, мир	peace, a peace	grupo	alternativoj	prononco
level	rakonti	да разкажа, да разкажа, да разкажа	to narrate, to tell, to relate	grupo	alternativoj	prononco
level	koloro	цвят, цвят	color, a color	grupo	alternativoj	prononco
level	pura	чист, чист	clean, pure	grupo	alternativoj	prononco
level	aŭdi	да чуя	to hear	grupo	alternativoj	prononco
level	punkto	точка, точка, петно	a point, a dot, a spot	grupo	alternativoj	prononco
level	buŝo	уста	a mouth	grupo	alternativoj	prononco
level	araneo	паяк	a spider	grupo	alternativoj	prononco
level	serĉi	да търся, да търся, да търся	to search, to look for, to seek	grupo	alternativoj	prononco
