H - kurso						
Level	Esperanto	Japanese	English	Grupo	Alternativoj	Prononco
Saluton	Mi estas belulino kun la plej ĉarma rideto.	私は最も魅力的な笑顔を持つ美人です。	I am a beauty with the most charming smile.	Saluton		
Saluton	Mi loĝas en la muzeo en Parizo.	私はパリの美術館に住んでいます。	I live in the museum in Paris.	Saluton		
Saluton	Mi estas amata de multaj geknaboj en Japanio	私は日本の多くの少年少女に愛されています	I am loved by many boys and girls in Japan	Saluton		
Saluton	Ili povas vidi min sur televidilo.	彼らは私をテレビで見ることができます。	They can see me on TV.	Saluton		
Saluton	Mi estas forta, kaj aminda.	私は強くて、素敵です。	I am strong, and lovely.	Saluton		
Saluton	Ĉu la ĉapo estas ĉapo de Taro?	キャップは太郎のですか？	Is the cap a Taro cap?	Saluton		
Saluton	Kies estas la monero?	誰のコインですか？	Whose coin is it?	Saluton		
Saluton	Kies dentobroso?	誰の歯ブラシ？	Whose toothbrush?	Saluton		
Bonan nokton	Kies estas la libro?	それは誰の本ですか？	Whose book is it?	Bonan nokton		
Bonan nokton	Kies estas la krajono?	それは誰の鉛筆ですか？	Whose pencil is it?	Bonan nokton		
Bonan nokton	Ĉu la plumo estas plumo de Miĉiko?	そのペンは美智子のペンですか？	Is the pen Michiko’s pen?	Bonan nokton		
Bonan nokton	Kiom da blokoj troviĝas?	ブロックは何個ありますか?	How many blocks are there?	Bonan nokton		
Bonan nokton	Kiom da kvadratoj?	正方形は何個ですか？	How many squares?	Bonan nokton		
Bonan nokton	Kiom da trianguloj troviĝas?	三角形はいくつありますか?	How many triangles are there?	Bonan nokton		
Bonan nokton	Kiom da trianguloj kaj kiom da kvadratoj?	三角形と正方形は何個ありますか?	How many triangles and how many squares?	Bonan nokton		
Bonan nokton	Nun estas la 6-a horo antaŭtagmeze en Tokio.	現在東京は朝の6時です。	It is now 6 o’clock in the morning in Tokyo.	Bonan nokton		
Bonan nokton	Kioma horo nun estas?	今何時ですか？	What time is it now?	Bonan nokton		
Bonan nokton	Kioma horo nun estas en Bagdado?	バグダッドは今何時ですか?	What time is it in Baghdad now?	Bonan nokton		
Bonan nokton	Nun estas la 1-a horo atm. en Bagdado.	現在、午前1時です。バグダッドで。	It is now 1 o’clock atm. in Baghdad.	Bonan nokton		
Bonan nokton	Kiam Ĉefministro Kisida ellitiĝas je la 8-a atm. en Tokio.	岸田首相が朝８時に起きると。東京で。	When Prime Minister Miyazawa gets up at 8 a.m. in Tokyo.	Bonan nokton		
Bonan nokton	ĉu Prezidento Putin ankaŭ ellitiĝas en Moskvo?	プーチン大統領もモスクワで起きますか？	does President Yeltsin also get up in Moscow?	Bonan nokton		
Bonan nokton	Ne! Ĉar kiam Kisida vekiĝas je la 8-a atm. en Tokio.	いいえ！岸田が起きるのは8時だから。東京では。	No! Because when Miyazawa wakes up at 8 atm. in Tokyo.	Bonan nokton		
Bonan nokton	La tempo en Moskvo estas 9-a horo.	モスクワの時間は9時です。	The time in Moscow is 9 o’clock.	Bonan nokton		
Bonan nokton	Kaj eble Putin estas ankoraŭ en la lito!	そしてもしかしたらプーチンはまだ寝ているかもしれない！	And maybe Yeltsin is still in bed!	Bonan nokton		
Bonan nokton	Nun estas la 3-a horo atm. en Havajo.	現在午前3時です。ハワイで。	It is now 3 o’clock atm. in Hawaii.	Bonan nokton		
Bonan nokton	Kioma horo nun estas en Londono?	ロンドンは今何時ですか?	What time is it in London now?	Bonan nokton		
Bonan nokton	Nun estas la 7-a horo ptm. en Tokio.	今は午後7時です。東京で。	It is now 7 pm. in Tokyo.	Bonan nokton		
Bonan nokton	Kioma horo nun estas en Novjorko?	ニューヨークは今何時ですか?	What time is it in New York now?	Bonan nokton		
Bonan nokton	Nun estas la 11-a horo ptm. en Moskvo.	今は午後11時です。モスクワで。	It is now 11 pm. in Moscow.	Bonan nokton		
Bonan nokton	Nun estas la 8-a atm. en Nov-Delio.	今は午前8時です。ニューデリーで。	It is now 8 am. in New Delhi.	Bonan nokton		
Bonan nokton	Kioma horo nun estas en Tokio?	東京は今何時ですか?	What time is it in Tokyo now?	Bonan nokton		
Bonan nokton	Kurso de Esperanto	エスペラント語講座	Esperanto course	Bonan nokton		
Bonan nokton	Ŝi ŝatas legi librojn.	彼女は本を読むのが好きです。	She likes to read books.	Bonan nokton		
Bonan nokton	Ŝi legas eĉ starante!	彼女は立ったまま本を読んでいます！	She reads even standing up!	Bonan nokton		
Bonan nokton	La maljunulo ne povis ne trinki bieron,	おじいさんはビールを飲まずにはいられませんでした。	The old man could not help drinking beer,	Bonan nokton		
Bonan nokton	Mi volas manĝi.	食べたい。	I want to eat.	Bonan nokton		
Bonan nokton	Donu al mi manĝaĵon, Panjo!	食べ物をください、お母さん！	Give me food, Mom!	Bonan nokton		
Bonan nokton	Ŝi devas telefoni al li.	彼女は彼に電話しなければなりません。	She has to call him.	Bonan nokton		
Bonan nokton	Mi povas skii.	スキーができます。	I can ski.	Bonan nokton		
Bonan nokton	Mi tre ŝatas surfrajdi.	私はサーフィンが大好きです。	I really like to surf.	Bonan nokton		
Bonan nokton	Ni sumou.	相撲をしましょう。	Let’s add up.	Bonan nokton		
Bonan nokton	Ek! Mi ne volas esti venkita.	えっ！負けたくない。	Ek! I don’t want to be defeated.	Bonan nokton		
Bonan nokton	Mi ŝatas ludi kartojn kun Paĉjo.	私はお父さんとトランプをするのが好きです。	I like to play cards with Dad.	Bonan nokton		
Bonan nokton	Brave!	勇敢な！	Bravo!	Bonan nokton		
Bonan nokton	Mi povas rajdi biciklon.	私は自転車に乗ることができます。	I can ride a bike.	Bonan nokton		
Bonan nokton	Rapide povas flugi Superhomo.	スーパーマンは速く飛ぶことができます。	Superman can fly fast.	Bonan nokton		
Bonan nokton	Ili ŝatas baniĝi.	彼らはお風呂が好きです。	They like to bathe.	Bonan nokton		
Bonan nokton	Mi povas studi, aŭskultante muzikon.	音楽を聴きながら勉強できます。	I can study while listening to music.	Bonan nokton		
Bonan nokton	Mi ne volas supreniri ŝtuparon.	階段を登りたくない。	I don’t want to climb stairs.	Bonan nokton		
Bonan nokton	Mi ne volas morti.	死にたくない。	I don’t want to die.	Bonan nokton		
Bonan nokton	Mi volas kisi vin.	キスしたい。	I want to kiss you.	Bonan nokton		
Bonan nokton	Ŝi ne ŝatas trinki.	彼女はお酒が好きではありません。	She doesn’t like to drink.	Bonan nokton		
Bonan nokton	Ŝi devas trinki, ĉar ĝi estas laboro.	彼女は仕事なので飲まなければなりません。	She has to drink because it’s work.	Bonan nokton		
Bonan nokton	Ĉu ŝi povas ludi tenison lerte?	彼女は上手にテニスができますか?	Can she play tennis well?	Bonan nokton		
Bonan nokton	Ĉu vi scias, kion ĉi tiu vojmarko signifas?	この道路標識が何を意味するか知っていますか?	Do you know what this road sign means?	Bonan nokton		
Bonan nokton	Jes, mi scias.	はい、知っています。	Yes, I know.	Bonan nokton		
Bonan nokton	La alfabeto P signifas parkejo, ĉu ne?	Pって駐車場の略ですよね？	The letter P stands for parking lot, right?	Bonan nokton		
Amiko	Jes, prave.	はい、そうです。	Yes, right.	Amiko		
Amiko	Ĉu vi scias ĉi tiun vojmarkon?	この道路標識を知っていますか？	Do you know this road sign?	Amiko		
Amiko	Jes. Ĝi signifas, ke aŭtoj ne povas eniri.	はい。つまり車は進入できません。	Yes. It means that cars cannot enter.	Amiko		
Amiko	Jen alia vojmarko!	これまた道路標識です！	This is another road sign!	Amiko		
Amiko	Ĝi signifas, ke eble ŝtonoj falos.	もしかしたら石が落ちてくるかもしれないということです。	It means that maybe stones will fall.	Amiko		
Amiko	Mi demandas vin.	お願いだから。	I’m asking you.	Amiko		
Amiko	Mi preparis strangajn bildojn.	変な写真を用意しました。	I prepared strange pictures.	Amiko		
Amiko	Do, diru al mi, kio estas eraro!	それで、何が間違っているのか教えてください！	So, tell me what is wrong!	Amiko		
Amiko	La knabo skias per japanaj glavoj.	少年は日本刀を持ってスキーをする。	The boy skis with Japanese swords.	Amiko		
Amiko	Ĉu vi povas skii sen skibastonoj?	ストックなしでスキーはできますか?	Can you ski without ski poles?	Amiko		
Amiko	Ŝi intencas ludi tenison, sed ĉu ŝi povas ludi tenison per basbala batilo?	彼女はテニスをするつもりですが、野球のバットでテニスできますか?	She intends to play tennis, but can she play tennis with a baseball bat?	Amiko		
Amiko	La instruisto skribas sur skribtabulo per tuĉpeniko sed ne per kreto.	先生は黒板に毛筆で書きますが、チョークでは書きません。	The teacher writes on the blackboard with a brush but not with chalk.	Amiko		
Amiko	La knabo intencas manĝi bifstekon per kuirtranĉilo kaj manĝobastonetoj sed ne per tranĉilo kaj forko.	少年はステーキを包丁と箸で食べるつもりですが、ナイフとフォークでは食べません。	The boy intends to eat a steak with a kitchen knife and chopsticks but not with a knife and fork.	Amiko		
Amiko	Li ludas violonon per sago anstataŭ per kordo.	彼は弦の代わりに矢を使ってバイオリンを弾きます。	He plays the violin with an arrow instead of a string.	Amiko		
Amiko	Bonvolu sciigi al mi la vojon.	道を教えてください。	Please let me know the way.	Amiko		
Amiko	Pardonon, s-ro Kon! Mi volas iri al Japana Ambasado.	コンさん、ごめんなさい！日本大使館に行きたいです。	Sorry, Mr. Kon! I want to go to the Japanese Embassy.	Amiko		
Amiko	Ĉu vi bonvolus sciigi al mi la vojon tien?	そこへの道を教えていただけますか？	Could you please let me know the way there?	Amiko		
Amiko	Jes, volonte! Marŝu tri stratblokojn laŭ ĉi tiu strato kaj turnu vin maldekstren.	はい、喜んで！この通りを 3 ブロック歩いて左折してください。	Yes, willingly! Walk three blocks down this street and turn left.	Amiko		
Amiko	Vi trovos bankon maldekstre.	左側に銀行が見つかります。	You will find a bank on the left.	Amiko		
Amiko	Koran dankon!	どうもありがとうございます！	Thank you very much!	Amiko		
Amiko	Ne, tute ne!	いえ、全然違います！	No, not at all!	Amiko		
Amiko	Ĝis revido!	さようなら！	Goodbye!	Amiko		
Amiko	Ĝis!	さよなら！	Bye!	Amiko		
Amiko	Stetoskopo, Inter paciento kaj mi, Rideto!	聴診器、患者と私の間に微笑み	Stethoscope, Between patient and me, Smile!	Amiko		
Amiko	Malnova lageto, Rano saltas, Sono de Akvo	古池、カエル飛び込む水の音	Old pond, Frog jumps, Sound of Water	Amiko		
Amiko	Glaciaĵo, Ventumilo, ventotintilo, Ankoraŭ tro varme	アイスクリーム、扇風機、風鈴、まだ暑すぎる	Ice cream, Fan, wind chime, Still too hot	Amiko		
Amiko	Venu kaj ludu, kun mi, paserido, Sen gepatroj	吾と来て、遊べや親のないスズメ、	Come and play, with me, sparrow, Without parents	Amiko		
Amiko	80 Kmh, ĉe la angulo de okuloj, Azaleo floras!	時速80キロ、視界の隅にツツジかな！	80 Km/h, at the corner of eyes, Azalea blooms!	Amiko		
Amiko	Mi simple esprimas jene : "Lageto Rano Plaŭd!"	シンプルに表現すると「池、蛙、ボチャ」です。	I simply express it like this: "Pond Frog Splash!"	Amiko		
Amiko	La aŭtoro devas esti bonkora homo.	作者はきっと優しい人なんでしょうね。	The author must be a kind person.	Amiko		
Amiko	Li vidas sin mem en la birdeto.	彼は小鳥の中に自分自身を見ます。	He sees himself in the little bird.	Amiko		
Amiko	Mi neniam spertis tian tagon. Ne tolereble!	こんな日は今まで経験したことがありません。耐えられない！	I have never experienced a day like this. Not tolerable!	Amiko		
Amiko	Mi stiris aŭton sur aŭtovojo.	私は高速道路で車を運転していました。	I was driving a car on a highway.	Amiko		
Amiko	Mi rimarkis belan floron dum la stirado.	車を運転中に美しい花に気づきました。	I noticed a beautiful flower while driving.	Amiko		
Amiko	Mi estas doktoro.	私は医者です。	I am a doctor.	Amiko		
Amiko	Mi ĝojas, ĉar ŝi iom resaniĝis.	少し回復したので良かったです。	I am glad because she has recovered a little.	Amiko		
Amiko	Pluvo refoje, Kontraŭ griza ĉielo, Ombreloj floras!	またも雨 灰色の空よ 傘の花!	Rain once again, Against gray everywhere, Umbrellas bloom!	Amiko		
Amiko	Ni lernu per japana literaturo.	日本文学を通して学ぼう。	Let’s learn through Japanese literature.	Amiko		
Amiko	Mi estas kato.	吾輩は猫である。	I am a cat.	Amiko		
Amiko	Ankoraŭ nun mi ne havas nomon.	まだ名前がありません。	I still don’t have a name.	Amiko		
Amiko	Mi ne scias, kie mi naskiĝis.	どこで生まれたのか分かりません。	I don’t know where I was born.	Amiko		
Amiko	Ĉio, kion mi memoras, estas ke mi miaŭis en la malseka loko, kaj tiam mi vidis homon por la unua fojo.	湿った場所でニャーと鳴いていることだけを覚えているのですが、初めて人を見ました。	All I remember is meowing in the wet place, and then I saw a person for the first time.	Amiko		
Amiko	Antaŭ longa tempo, estis viro.	昔々、ある男がいました。	A long time ago, there was a man.	Amiko		
Amiko	Li fariĝis grave malsana.	彼は重篤な病気になった。	He became seriously ill.	Amiko		
Amiko	Kaj li konis en la koro ke li baldaŭ mortos.	そして彼は自分がもうすぐ死ぬことを心の中で知っていました。	And he knew in his heart that he would soon die.	Amiko		
Amiko	En la fino - ĉi vojon, ĉiuj homoj devas iri.	結局のところ、この道をすべての人が行かなければなりません。	In the end - this way, all people must go.	Amiko		
La amiko	Ĉi tion mi ĉiam konis, Sed hieraŭ aŭ hodiaŭ	これはずっと分かっていたことだけど、昨日か今日かとは思わなかった	This I have always known, But yesterday or today	La amiko		
La amiko	Ne! Neniam mi pripensis pri ĝi.	いいえ！考えたこともありませんでした。	No! I never thought about it.	La amiko		
La amiko	Kiam la vojo komencis serpentumi kaj ŝajnis, ke la montopasejo.	道が曲がりくねる峠。	When the road started winding and it seemed that the mountain pass	La amiko		
La amiko	Amagi estas jam proksima.	天城はもう近い。	Amagi is already close.	La amiko		
La amiko	Pluvo postkuris min kun terura rapideco el la direkto de la montopiedo.	雨が山の麓の方向から恐ろしいスピードで私を追いかけてきた。	Rain chased me with terrible speed from the direction of the foot of the mountain.	La amiko		
La amiko	Kolorante blanka la densan arbaron de kriptomerioj.	スギの密林を白く染める。	Coloring white the dense forest of cryptomeria.	La amiko		
La amiko	Kiu vi estas?	あなたは誰ですか？	Who are you?	La amiko		
La amiko	Kiu dato estas hodiaŭ?	今日、何日？	What date is today?	La amiko		
La amiko	Kiu tago de la semajno hodiaŭ estas?	今日は何曜日ですか?	What day of the week is today?	La amiko		
La amiko	Kiom da jaroj vi havas?	何歳ですか？	How old are you?	La amiko		
La amiko	Kiom da krajonoj vi havas nun?	あなたは今何本の鉛筆を持っていますか？	How many pencils do you have now?	La amiko		
La amiko	Kiom da geamikoj vi havas nun?	あなたには今何人の友達がいますか？	How many friends do you have now?	La amiko		
La amiko	Je kioma horo vi enlitiĝas?	何時に寝るの？	What time do you go to bed?	La amiko		
La amiko	Kiam vi naskiĝis?	いつ産まれましましたか？	When were you born?	La amiko		
La amiko	Kio estas la unua tago de la semajno?	週の最初の日は何ですか?	What is the first day of the week?	La amiko		
La amiko	Kiun manĝaĵon vi plej ŝatas?	一番好きな食べ物は何ですか?	What food do you like the most?	La amiko		
La amiko	Kiom da homoj loĝas en Japanujo?	日本には何人住んでいますか?	How many people live in Japan?	La amiko		
La amiko	Kion li faras nun?	彼は今何をしていますか？	What is he doing now?	La amiko		
La amiko	Kiun sporton vi ŝatas?	どのスポーツが好きですか?	What sport do you like?	La amiko		
La amiko	Kiu estas prezidento de Usono?	アメリカの大統領は誰ですか?	Who is the president of the United States?	La amiko		
La amiko	Kie okazis U.K. lastajare?	去年世界大会はどこで開催された?	Where did the UK last year?	La amiko		
La amiko	Kie Zamenhof naskiĝis?	ザメンホフはどこで生まれましたか?	Where was Zamenhof born?	La amiko		
La amiko	Kio estas la ĉefurbo de Hispanujo?	スペインの首都はどこですか?	What is the capital of Spain?	La amiko		
La amiko	Kiun TV programeron vi plej ŝatas?	どのテレビ番組が一番好きですか?	Which TV program do you like the most?	La amiko		
La amiko	Kien vi volas iri?	どこへ行きたい？	Where do you want to go?	La amiko		
La amiko	Kie okazis U.K. en ĉi tiu jaro?	今年は世界大会はどこで開催されましたか?	Where did the UK take place this year?	La amiko		
La amiko	Kies estas la banano?	バナナは誰のものですか？	Whose is the banana?	La amiko		
La amiko	Feliĉo estas preĝi al Dio kun familianoj en vespero.	幸せとは、夜に家族と一緒に神に祈ることです。	Happiness is praying to God with family members in the evening.	La amiko		
La amiko	Feliĉo estas ĝui sufiĉe longan dormadon en dimanĉa mateno.	幸せとは、日曜日の朝に十分な睡眠を楽しむことです。	Happiness is enjoying a long enough sleep on a Sunday morning.	La amiko		
La amiko	Feliĉo estas aŭskulti belegan muzikon.	幸せは美しい音楽を聴くことです。	Happiness is listening to beautiful music.	La amiko		
La amiko	Feliĉo estas kanti laŭte en la banejo.	お風呂で大声で歌うのが幸せ。	Happiness is singing out loud in the bath.	La amiko		
La amiko	Feliĉo estas revidi malnovajn amikojn en Universala Kongreso.	幸福は、世界大会で旧友に再会することだ。	Happiness is seeing old friends again in a Universal Congress.	La amiko		
La amiko	Feliĉo estas kanti Simfonion Numeron 9 de Beethoven.	ベートーベンの交響曲第9番を歌うのが幸せです。	Happiness is singing Beethoven's Symphony Number 9.	La amiko		
La amiko	Feliĉo estas kunligitaj manoj.	幸せは手を繋ぐこと。	Happiness is joined hands.	La amiko		
La amiko	Feliĉo estas ricevi leteron de nova amiko.	幸せは新しい友達から手紙を受け取ることです。	Happiness is receiving a letter from a new friend.	La amiko		
La amiko	Kio estas amo?	愛とは？	What is love?	La amiko		
La amiko	Amo estas sunlumo, maro kaj freŝa aero.	愛は太陽の光、海、そして新鮮な空気です。	Love is sunlight, sea and fresh air.	La amiko		
La amiko	Amo estas alporti malgrandan lumon al la malsana amiko.	愛は病気の友人に少しの平安をもたらします。	Love is bringing a little peace to a sick friend.	La amiko		
La amiko	Amo estas esperi, ke ŝi fartas bone.	愛とは彼女が無事であることを願うことです。	Love is hoping she’s okay.	La amiko		
La amiko	Amo estas iri kunkune mano en mano.	愛は手をつないで一緒に歩くことです。	Love is walking together hand in hand.	La amiko		
La amiko	Amo estas montogrimpado.	愛は登山です。	Love is mountain climbing.	La amiko		
La amiko	Amo estas telefoni al malnova amiko.	愛は古い友人に電話をかけることです。	Love is calling an old friend.	La amiko		
La amiko	Amo estas marŝi kune en neĝo.	愛は雪の中を一緒に歩くことです。	Love is walking together in snow.	La amiko		
La amiko	Amo estas pacience elteni.	愛は忍耐強く耐えるものです。	Love is patiently enduring.	La amiko		
La amiko	Kartoludo por lerni verbojn	動詞を学ぶカードゲーム。	A card game to learn verbs	La amiko		
La amiko	Li kuras de Novjorko al Losanĝelo.	彼はニューヨークからロサンゼルスまで走ります。	He runs from New York to Los Angeles.	La amiko		
En kafejo	La kato kun okulvitroj legas libron.	メガネをかけた猫は本を読みます。	The cat with glasses reads a book.	En kafejo		
En kafejo	Patro kaj filo ludas kartojn. Patrino servas teon.	父と息子のトランプ遊び。お母さんがお茶を出してくれます。	Father and son play cards. Mother serves tea.	En kafejo		
En kafejo	Li supreniras ŝtuparon.	彼は階段を上ります。	He goes up a flight of stairs.	En kafejo		
En kafejo	Mi ŝatas surfrajdi.	私はサーフィンが好きです。	I like to surf.	En kafejo		
En kafejo	Mi volas grimpi sur monton.	山に登りたいです。	I want to climb a mountain.	En kafejo		
En kafejo	Mi povas paŝi per manoj.	手を使って歩けます。	I can step with my hands.	En kafejo		
En kafejo	Aŭskultante muzikon, li endormiĝas.	音楽を聴きながら彼は眠りに落ちます。	Listening to music, he falls asleep.	En kafejo		
En kafejo	Dankon, Esperanto!	ありがとう、エスペラント語！	Thank you, Esperanto!	En kafejo		
En kafejo	Nozomu vojaĝis en Eŭropo lastatempe.	望さんは最近ヨーロッパを旅行しています。	Nozomu has been traveling in Europe recently.	En kafejo		
En kafejo	Jen estas lia parolado pri la vojaĝo.	これが彼の旅行についてのスピーチです。	Here is his speech about the trip.	En kafejo		
En kafejo	Mi vojagis en Portugalio, Hispanio, Italio, kaj Francio.	ポルトガル、スペイン、イタリア、フランスを旅行しました。	I traveled in Portugal, Spain, Italy, and France.	En kafejo		
En kafejo	La simileco de Esperanto al eŭropaj lingvoj mirigis min tre multe.	エスペラント語がヨーロッパ言語に似ていることに私はとても驚きました。	Esperanto’s similarity to European languages surprised me a lot.	En kafejo		
En kafejo	Jen estas ekzemploj!	以下に例を示します。	Here are examples!	En kafejo		
En kafejo	Kiam mi deziras trinki mineralan akvon en Parizo, mi diras, "Eau mineral!"	パリでミネラルウォーターが飲みたいときは「オーミネラル！」と言います。	When I want to drink mineral water in Paris, I say, "Eau mineral!"	En kafejo		
En kafejo	Kiam mi salutas dum la tago en Italio, mi diras, "Buon giorno!"	イタリアで日中に挨拶するときは、「Buon giorno!」と言います。	When I say hello during the day in Italy, I say, "Buon giorno!"	En kafejo		
En kafejo	En Portugalio mi diras, "Boa tarde!”	ポルトガルでは「ボア・タルデ！」と言います。	In Portugal I say, "Boa tarde!"	En kafejo		
En kafejo	En Esperantujo mi diras, "Bonan tagon!"	エスペラント語で「こんにちは！」と言います。	In Esperanto I say, "Good day!"	En kafejo		
En kafejo	Cu vi ne pensas, ke Esperanto tre similas al eŭropaj lingvoj?	エスペラント語はヨーロッパの言語にとても似ていると思いませんか?	Don’t you think that Esperanto is very similar to European languages?	En kafejo		
En kafejo	Mi ne sentis malfacilaĵon dum mia vojaĝo danke al Esperanto kaj Esperantistoj!	エンペラントとエスペランティストのおかげで、旅行中は何の困難も感じませんでした。	I didn’t feel any difficulty during my trip thanks to Esperanto and Esperantists!	En kafejo		
En kafejo	Respondu en Esperanto!	エスペラント語で答えてください！	Answer in Esperanto!	En kafejo		
En kafejo	Kie Nozomu vojaĝis?	のぞむさんはどこへ行きましたか？	Where did Nozomu travel?	En kafejo		
En kafejo	Kio mirigis Nozomu dum la vojaĝo?	旅行中に望さんが驚いたことは何ですか？	What surprised Nozomu during the trip?	En kafejo		
En kafejo	Kio estas "sinjoro" en la hispana lingvo?	スペイン語で「先生」は何と言うのでしょうか？	What is "sinjoro" in Spanish?	En kafejo		
En kafejo	Ĉu vi ne pensas, ke Esperanto similas al la franca lingvo?	エスペラント語はフランス語に似ていると思いませんか?	Don’t you think that Esperanto is similar to the French language?	En kafejo		
En kafejo	Itala ĉiĉerono klarigis al mi, "Vivocelo de italoj estas 「Mangiare, amore, kantare!」"	イタリア人のガイドさんは「イタリア人の人生の目的は『マンジャーレ、アモーレ、カンターレ！』です」と説明してくれました。	An Italian tour guide explained to me, "The purpose of life of Italians is 「Mangiare, amore, kantare!」"	En kafejo		
La amiko	Italoj laboras inter ludo kaj ludo.	イタリア人は試合の合間に仕事をする。	Italians work between games.	La amiko		
La amiko	Japanoj ludas inter laboro kaj laboro.	日本人は仕事と仕事の合間に遊びます。	Japanese play between work and work.	La amiko		
La amiko	Ŝia klarigo ŝokis min, ĉar mi estas unu el "workaholics" (laboroholismo) vivantaj en kuniklejo.	私はうさぎの穴に住んでいる「ワーカホリック」の一人なので、彼女の説明は私に衝撃を与えました。	Her explanation shocked me, because I am one of the "workaholics" living in a rabbit hole.	La amiko		
La amiko	Kion mi pripensas nun estas, ke mi deziras ĝui mian vivon ne nur kiel "laboroholismo" sed ankaŭ kiel "ludoholismo".	今考えているのは、「ワーカホリズム」だけでなく「遊びホリズム」としても人生を楽しみたいということです。	What I am thinking now is that I wish to enjoy my life not only as a "workaholism" but also as a "playaholism".	La amiko		
En kafejo	Kio estas vivocelo de italoj?	イタリア人の人生の目的は何ですか?	What is the purpose of life of Italians?	En kafejo		
En kafejo	Kio estas vivocelo de japanoj?	日本人の人生の目的は何ですか？	What is the purpose of life of Japanese people?	En kafejo		
En kafejo	Kio ja estas via vivocelo?	あなたの人生の目的は何ですか？	What is your purpose in life?	En kafejo		
En kafejo	Kiel vi pensas pri tio?	あれについてどう思う？	What do you think about that?	En kafejo		
En kafejo	Ĉu vi pensas ke japanoj estas treege laboremaj?	日本人は非常に勤勉だと思いますか。	Do you think Japanese people are extremely hardworking?	En kafejo		
En kafejo	Ĉu ferma ĉambro aŭ malfermita?	それは閉じられた部屋ですか、それとも開いた部屋ですか?	Is it a closed room or an open one?	En kafejo		
