A.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	jes, dankon	是的，謝謝你	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	吃，會吃	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	我不吃東西	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	不，我不吃	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	美麗的，美麗的	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	值得（結束）	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	值得讚賞的，值得感謝的	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	整體，整體	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	所有，（客觀）所有	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	完全不，不客氣	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	完全沒有	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	寬恕，寬恕	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	對我的寬恕	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	對不起！ （對不起）	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	對不起，請	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	早安	a good morning	grupo	alternativoj	prononco
level	bonan matenon	早安	good morning	grupo	alternativoj	prononco
level	bonan nokton	晚安	good night	grupo	alternativoj	prononco
level	bonan sonĝon	甜蜜的夢	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	祝你旅途愉快	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	再會！	good day!	grupo	alternativoj	prononco
level	ĉu ~	是嗎~？	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	你怎麼樣？ （你好嗎？）	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	是的，我沒事	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	一點都不	no, not at all	grupo	alternativoj	prononco
level	tre, tro	非常、太多	very, too much	grupo	alternativoj	prononco
level	granda, grande	大的，很大程度上	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	很大，太大	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	你做得很好	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	不是很好	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	學習，學習	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	正在看，一個旁觀者	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	正在學習，一個學生（一個學習的人）	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing，正在做的人	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	一個學生，一個有學問的人	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	我是一名學生。	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	〜是我的朋友	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	他她	he, she	grupo	alternativoj	prononco
level	sidi, sidas	坐，坐	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	正在坐，正在坐，將坐	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	他坐著，她在學習	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	一個房間	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	在房間裡學習	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	一名學生和一名運動員	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	運動和運動員	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	運動員正在運動	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	他是學生	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	他是一名學生和運動員	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	他現在坐著	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	現在正在學習	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	正在坐著學習	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	現在在一個房間裡	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	在桌子上	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	一張紙和幾張紙	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	一張桌子和幾張桌子	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	一本書和書	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	論文和書籍	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	它在桌子上。	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	正在寫字台上寫字	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	書是~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	在桌子上	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	一本教科書和教科書	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	桌子上有~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	一位父親和一位母親	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	父親和母親	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	我朋友的母親	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	在房間裡	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	不在房間裡	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	他們現在正在工作	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	他的父親是一名工人	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	他在一家酒店工作	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	母親教導	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	她是一名教師	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	她是母親嗎？	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	不，她是酒店老闆	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	不，我不工作	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	她叫什麼名字？	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	現在誰在回答？	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	他們母親的語言	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	你叫什麼名字~？	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	我們坐著回答	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	她的工作椅	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	它的名字不是~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	她的語言就是他們的語言	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	我們的父親和母親	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	你的學生，你的學生	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	他們是你的學生嗎？	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	你是學生嗎？	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	你在房間裡嗎？	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	我不是~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	一名世界語學家和一名女性世界語學家	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	辦理入住飯店房間	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	一名語言學家和一名女工	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	他的女朋友是~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	學生和運動員	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	我的家族名字是~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	她是誰？她是誰？	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	是你的女朋友嗎	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	是你的朋友嗎~？	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	現在正在房間裡寫字	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	是你爸爸的朋友嗎~？	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	在酒店工作	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	桌上有什麼？	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	在我們房間的桌子上	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	是世界語教科書~？	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	在你的桌子上	is on your table	grupo	alternativoj	prononco
level	havas amikinon	有一個朋友	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	她的名字是~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	年輕漂亮	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	年輕又美麗	is young and beautiful	grupo	alternativoj	prononco
level	junaj kaj belaj amikoj	年輕漂亮的朋友	young and beautiful friends	grupo	alternativoj	prononco
level	estas geamikoj	是男女朋友	are male-and-female friends	grupo	alternativoj	prononco
level	hejmo de ŝia instruisto	她老師的家	a home of her teacher	grupo	alternativoj	prononco
level	venis al la hejmo	來到家裡	came to the home	grupo	alternativoj	prononco
level	la hejmo de ~	的家~	the home of ~	grupo	alternativoj	prononco
level	bonvolu eniri	請進來	please come in	grupo	alternativoj	prononco
level	saluton! kion vi faras?	你好，你在做什麼？	hello, what are you doing?	grupo	alternativoj	prononco
level	kion vi faras?	你做什麼工作？你在幹什麼？	what do you do? what are you doing?	grupo	alternativoj	prononco
level	sed nun mi volas ~	但現在我想要~	but now I want ~	grupo	alternativoj	prononco
level	mi volas paroli	我想說話	I want to speak	grupo	alternativoj	prononco
level	kun tri geamikoj	和三位男女朋友	with three male-and-female friends	grupo	alternativoj	prononco
level	parolis kun vi	與你交談	spoke with you	grupo	alternativoj	prononco
level	volas paroli kun vi	想和你說話	wants to speak with you	grupo	alternativoj	prononco
level	ĉu vi havas geamikojn?	你有男性和女性朋友嗎	do you have male-and-female friends	grupo	alternativoj	prononco
level	li havas libron	他有一本書	he has a book	grupo	alternativoj	prononco
level	havas bonan libron	有一本好書	has a good book	grupo	alternativoj	prononco
level	jes, mi havas	是的，我有	yes, I have	grupo	alternativoj	prononco
level	ili ŝatas ĝin	他們喜歡它	they like it	grupo	alternativoj	prononco
level	ŝi legis libron	她讀了一本書	she read a book	grupo	alternativoj	prononco
level	ŝatas legi librojn	喜歡看書	likes to read books	grupo	alternativoj	prononco
level	nur bona libro	只是一本好書	only a good book	grupo	alternativoj	prononco
level	multaj bonaj libroj	很多好書	many good books	grupo	alternativoj	prononco
level	legis nur bonajn librojn	只讀好書	read only good books	grupo	alternativoj	prononco
level	ŝatas legi bonajn librojn	喜歡讀好書	likes to read good books	grupo	alternativoj	prononco
level	ĉu vi volas legi?	你想讀書嗎？	do you want to read?	grupo	alternativoj	prononco
level	la junulo trinkis kafon	年輕人喝了咖啡	the youngster drank coffee	grupo	alternativoj	prononco
level	volas trinki akvon	想喝水	wants to drink water	grupo	alternativoj	prononco
level	patro kaj patrino, gepatroj	父親和母親；父母	a father and a mother; parents	grupo	alternativoj	prononco
level	frato kaj fratino, gefratoj	一個麻煩和一個姊妹，兄弟姊妹	a bother and a sister, siblings	grupo	alternativoj	prononco
level	viaj gepatroj kaj gefratoj	你的父母和兄弟姊妹	your parents and siblings	grupo	alternativoj	prononco
level	estas en via hejmo	在你家裡	is in your home	grupo	alternativoj	prononco
level	jen la kafo	這是咖啡	here is the coffee	grupo	alternativoj	prononco
level	ankoraŭ ne trinkis	還沒喝	didn't drink yet	grupo	alternativoj	prononco
level	estas ankoraŭ varma	仍然溫暖	is still warm	grupo	alternativoj	prononco
level	hieraŭ kuiris ĝin	昨天煮的	cooked it yesterday	grupo	alternativoj	prononco
level	mi nun kuiris	我現在煮了	I now cooked	grupo	alternativoj	prononco
level	dankon. tiel li diris	謝謝。他說。	thank you. so he said.	grupo	alternativoj	prononco
level	povas trinki kaj manĝi	能喝能吃	can drink and eat	grupo	alternativoj	prononco
level	trinkis malvarman kafon	喝了冷咖啡	drank cold coffee	grupo	alternativoj	prononco
level	ankaŭ varma kafo	仍然溫熱的咖啡	still warm coffee	grupo	alternativoj	prononco
level	trinkas ankaŭ malvarman kafon	也喝冷咖啡	drinks cold coffee too	grupo	alternativoj	prononco
level	povas trinki ankaŭ malvarman kafon	還可以喝冷咖啡	can also drink cold coffee	grupo	alternativoj	prononco
level	rigardas ŝian okulon	看著她的眼睛	looks at her eye	grupo	alternativoj	prononco
level	la plej bela okulo	最美麗的眼睛	the most beautiful eye	grupo	alternativoj	prononco
level	la belaj okuloj	美麗的眼睛	the beautiful eyes	grupo	alternativoj	prononco
level	rigardis la belajn okulojn	看著美麗的眼睛	looked the beautiful eyes	grupo	alternativoj	prononco
level	la belaj okuloj de ŝi	她美麗的眼睛	the beautiful eyes of her	grupo	alternativoj	prononco
level	vidas kaj komprenas	看到並理解	sees and understands	grupo	alternativoj	prononco
level	mi vidas, ke ~	我看到了~	I see that ~	grupo	alternativoj	prononco
level	ke li amas ŝin	他愛她	that he loves her	grupo	alternativoj	prononco
level	ŝi sentis, ke li amas ŝin	她覺得他愛她	she feels that he loves her	grupo	alternativoj	prononco
level	demandas, ĉu tio estis granda	問那是否很大	asks whether that was big	grupo	alternativoj	prononco
level	pri facila demando	關於一個簡單的問題	about an easy question	grupo	alternativoj	prononco
level	diris pri nova mono	說到新錢	said about a new money	grupo	alternativoj	prononco
level	tre belaj okuloj	非常美麗的眼睛	very beautiful eyes	grupo	alternativoj	prononco
level	rigardis la grandan fraton	看起來是大哥	looked the big brother	grupo	alternativoj	prononco
level	malgranda fratino forgesis ĝin	有個小妹妹忘了	a little sister forgot it	grupo	alternativoj	prononco
level	akuzativo	賓格（賓語）	an accusative (objective)	grupo	alternativoj	prononco
level	ne forgesu akuzativon	不要忘記賓格結尾	don't forget the accusative ending	grupo	alternativoj	prononco
level	kiun vi vidas?	你在見誰？你看到哪一個？	whom are you seeing? which one do you see?	grupo	alternativoj	prononco
level	mi vidas amikon	我看到一個朋友	I see a friend	grupo	alternativoj	prononco
level	havas bonajn geamikojn	有很好的男女朋友	has good male-and-female friends	grupo	alternativoj	prononco
level	ili laboras pri la malnova domo	他們正在修理舊房子	they are working about the old house	grupo	alternativoj	prononco
level	laboras, laboris, laboros	工作，工作，將會工作	works, worked, will work	grupo	alternativoj	prononco
level	vidas, ke mi manĝas	看到，我吃	sees, that I eat	grupo	alternativoj	prononco
level	diris, ke li iros	說他會去	said, that he will go	grupo	alternativoj	prononco
level	malbela kaj malbona	又醜又壞	ugly and bad	grupo	alternativoj	prononco
level	kion ŝi diris?	她說了什麼？	what did she say?	grupo	alternativoj	prononco
level	kion vi atendas?	你在等什麼？	what are you waiting for?	grupo	alternativoj	prononco
level	eniris en la ĉambron	走進房間	went into the room	grupo	alternativoj	prononco
level	enhavo estis tre malfacila	內容非常困難	a content is very difficult	grupo	alternativoj	prononco
level	alvenis al la kunsido	到達會議地點	arrived at the meeting	grupo	alternativoj	prononco
level	bonvenon, al la kunveno	歡迎參加會議	welcome to the meeting	grupo	alternativoj	prononco
level	maljuna viro donis trinkmonon	一位老人給了小費	an old man gave a tip	grupo	alternativoj	prononco
level	alvenis kaj estis bonvena	到達並受到歡迎	arrived and was welcomed	grupo	alternativoj	prononco
level	ili malamas sed kunlaboras.	他們討厭但合作	they hate but cooperate	grupo	alternativoj	prononco
level	iris al la hotelo	去了飯店	went to the hotel	grupo	alternativoj	prononco
level	havas facilajn lernolibrojn	有簡單的教科書	has easy textbooks	grupo	alternativoj	prononco
level	kia estis via patrino?	你媽媽怎麼樣？	how was your mother?	grupo	alternativoj	prononco
level	via malnova hejmo	你的老家	your old home	grupo	alternativoj	prononco
level	kiujn librojn vi legis?	你讀了哪些書？	which books did you read?	grupo	alternativoj	prononco
level	ĉu ili estis bonaj?	他們好嗎？	were they good?	grupo	alternativoj	prononco
level	kion faris hieraŭ?	昨天做了什麼？	did what yesterday?	grupo	alternativoj	prononco
level	en la malgranda ĉambro	在小房間裡	in the small room	grupo	alternativoj	prononco
level	tre longe parolis	說了很長一段時間	spoke very long while	grupo	alternativoj	prononco
level	antaŭ la lernejo	學校前面，學校前面	in front of the school, before the school	grupo	alternativoj	prononco
level	parolis antaŭ la lernejo	在學校之前講話	spoke before the school	grupo	alternativoj	prononco
level	poste parolis pri la libro	後來談到這本書	later spoke about the book	grupo	alternativoj	prononco
level	ĝoje iris al la lernejo	高高興興地上了學校	gladly went to the school	grupo	alternativoj	prononco
level	tra la strato	穿過街道	through the street	grupo	alternativoj	prononco
level	iris tra la strato	穿過街道	went through the street	grupo	alternativoj	prononco
level	estis varma tago	是一個溫暖的一天	was a warm day	grupo	alternativoj	prononco
level	ili vidis kafejon	他們看到了一家咖啡館”	they saw a cafe'	grupo	alternativoj	prononco
level	vidis ruĝajn kukojn	看到紅色餅乾	saw red cookies	grupo	alternativoj	prononco
level	vidis kukojn en ĝi	看到裡面有餅乾	saw cookies in it	grupo	alternativoj	prononco
level	vidis kafejon kaj en ĝi kukojn	看到一家咖啡館，裡面有餅乾	saw a cafe' and in it  cookies	grupo	alternativoj	prononco
level	eniru kaj manĝu!	進去吃飯吧！	go in and eat!	grupo	alternativoj	prononco
level	ni eniru kaj manĝu	我們進來吃飯吧	let's come in and eat	grupo	alternativoj	prononco
level	havas sufiĉan monon	有足夠的錢	has sufficient money	grupo	alternativoj	prononco
level	ĉu vi havas sufiĉan monon?	你有足夠的錢嗎？	do you have sufficient money?	grupo	alternativoj	prononco
level	ĉu vi komprenas?	你明白嗎？	do you understand?	grupo	alternativoj	prononco
level	kompreneble!	當然！	of course!	grupo	alternativoj	prononco
level	tio ne sufiĉas	這還不夠	that is not enough	grupo	alternativoj	prononco
level	cent dolaroj sufiĉas	一百塊就夠了	a hundred dollars is enough	grupo	alternativoj	prononco
level	dolaro, dolaroj, dolarojn	一美元，美元，美元（複數目標）	a dollar, dollars, dollars (plural objective)	grupo	alternativoj	prononco
level	havas cent dolarojn	有一百美元	has a hundred dollars	grupo	alternativoj	prononco
level	kompreneble, mi havas	當然，我有	of course, I have	grupo	alternativoj	prononco
level	ho! vi estas riĉa!	哦！你好有錢！	oh! you are rich!	grupo	alternativoj	prononco
level	kelnero, kelnerino	一杯水，一個女服務員	a water, an waitress	grupo	alternativoj	prononco
level	kelnero portas menuon	服務生拿來菜單	a waiter brings a menu	grupo	alternativoj	prononco
level	portis tion al ni, alportis tion	為我們帶來了，帶來了	brought that to us, brought that	grupo	alternativoj	prononco
level	kelnero alportis multajn kukojn	服務生送來了很多餅乾	a waiter brought a lot of cookies	grupo	alternativoj	prononco
level	ili manĝis iom	他們吃了一些（一點點）	they ate some (a little)	grupo	alternativoj	prononco
level	post la manĝo	吃完飯後	after the eating (meal)	grupo	alternativoj	prononco
level	nova, denove	新的，又來了	new, again	grupo	alternativoj	prononco
level	la kelnero denove venis	服務生又來了	the waiter came again	grupo	alternativoj	prononco
level	en iu loko	在某個地方	in some place	grupo	alternativoj	prononco
level	serĉis en iu loko	在某個地方搜尋過	had searched in some place	grupo	alternativoj	prononco
level	serĉis en alia loko	在其他地方搜尋過	searched in other place	grupo	alternativoj	prononco
level	lia vizaĝo estis ĝoja	他的臉很高興	his face was joyous	grupo	alternativoj	prononco
level	ŝi estis malĝoja	她很傷心	she was sad	grupo	alternativoj	prononco
level	fine kaj finfine	最後最後最後	in the end and finally at last	grupo	alternativoj	prononco
level	via forta voĉo	你強而有力的聲音	your strong voice	grupo	alternativoj	prononco
level	en malforta voĉo	用微弱的聲音	in weak voice	grupo	alternativoj	prononco
level	ne havas monon	沒有錢	doesn't have money	grupo	alternativoj	prononco
level	kio okazis tie?	那裡發生了什麼事？	what did happen there?	grupo	alternativoj	prononco
level	akcidento okazis poste	後來發生了意外	an accident happened later	grupo	alternativoj	prononco
level	ĉu vi scias, kiam ĝi okazis?	你知道什麼時候發生的嗎？	do you know when did it happen?	grupo	alternativoj	prononco
level	scias pri la afero	知道此事	knows about the matter	grupo	alternativoj	prononco
level	ankoraŭ unu afero restas	還剩下一件事	still one thing remains	grupo	alternativoj	prononco
level	vi aŭ ŝi, ajna homo	你或她，任何人	you or she, any person	grupo	alternativoj	prononco
level	kiel kantisto	像歌手一樣，像簽名者一樣	like a singer, as a signer	grupo	alternativoj	prononco
level	kantis kiel profesia kantisto	像專業歌手一樣唱歌	sang like a professional singer	grupo	alternativoj	prononco
level	tie, kie ŝi loĝis	a 她住的地方	a the place, where she lived	grupo	alternativoj	prononco
level	kiel vi scias pri la aŭto?	你怎麼知道這輛車的？	how do you know about the car?	grupo	alternativoj	prononco
level	nu, vidu la rapidan aŭton	好吧，看看那輛快車	well, look at the fast car	grupo	alternativoj	prononco
level	suko sen sukero	不加糖的果汁	a juice without sugar	grupo	alternativoj	prononco
level	li havis rapidan veturilon	他有一輛很快的車	he has a fast vehicle	grupo	alternativoj	prononco
level	tro forte	太強烈了	too strongly	grupo	alternativoj	prononco
level	li tro forte malfermis	他打開得太用力了	he opened too hard	grupo	alternativoj	prononco
level	veturis tro rapide	開車（行駛）太快	drove (traveled) too fast	grupo	alternativoj	prononco
level	manĝis per kulero	用湯匙吃	ate with a spoon	grupo	alternativoj	prononco
level	ni forte dubas	我們強烈懷疑	we strongly doubt	grupo	alternativoj	prononco
level	vera letero de li	他的一封真實的信	a true letter from him	grupo	alternativoj	prononco
level	amletero kun kvin fotoj	一封帶有五張照片的情書	a love letter with five photos	grupo	alternativoj	prononco
level	revenis, revenintoj	回來了，回來的人	returned, the people who returned	grupo	alternativoj	prononco
level	ankaŭ ses leteroj revenis	還退回了六封信	also six letters returned	grupo	alternativoj	prononco
level	volis vidi la foton	想看照片	wanted to see the photo	grupo	alternativoj	prononco
level	revenis el la lernejo	從學校回來	came back from the school	grupo	alternativoj	prononco
level	kiam revenos la fratino?	姐姐什麼時候回來？	when will the sister return?	grupo	alternativoj	prononco
level	volis legi denove	想再讀一遍	wanted to read again	grupo	alternativoj	prononco
level	faris, fariĝis	做了（做），成為	made (did), became	grupo	alternativoj	prononco
level	rapide fariĝis ruĝa	迅速變紅	rapidly became red	grupo	alternativoj	prononco
level	en ĉambro, en ĉambron	在一個房間裡，進入一個房間	in a room, into a room	grupo	alternativoj	prononco
level	staris kaj sidis	站著又坐著	stood and sat	grupo	alternativoj	prononco
level	tie staris antaŭ la foto	照片前面站著	there stood in front of the photo	grupo	alternativoj	prononco
level	mi havas tion	我有這個	I have that	grupo	alternativoj	prononco
level	kion vi havas en via mano?	你手上有什麼？	what do you have in your hand?	grupo	alternativoj	prononco
level	antaŭ aŭ malantaŭ?	在前面還是後面？	in front or behind?	grupo	alternativoj	prononco
level	antaŭ aŭ post?	之前還是之後？	before or after?	grupo	alternativoj	prononco
level	tie malantaŭ la pordo	門後面有	there behind the door	grupo	alternativoj	prononco
level	aliaj, aliaj homoj	其他人，其他人	others, other people	grupo	alternativoj	prononco
level	leteroj de aliaj	別人的來信	letters from others	grupo	alternativoj	prononco
level	falis el la mano	從手中掉下來	fell out of the hand	grupo	alternativoj	prononco
level	sur la tablo, sur la tablon	桌子上，桌子上	on the table, onto the table	grupo	alternativoj	prononco
level	ĝi falis sur la tablon	它掉在桌上	it fell on the table	grupo	alternativoj	prononco
level	petis pardonon	請求原諒	asked for pardon	grupo	alternativoj	prononco
level	serĉis kvin librojn	正在尋找五本書	was searching for five books	grupo	alternativoj	prononco
level	pardonu, mi serĉis mian libron	抱歉，我正在尋找我的書。	sorry, I was looking for my book.	grupo	alternativoj	prononco
level	sed vi bone scias	但你很清楚	but you know well	grupo	alternativoj	prononco
level	ne estas sur mia tablo	不在我的桌子上	is not on my table	grupo	alternativoj	prononco
level	viaj libroj ne estas sur mia tablo	你的書不在我的桌子上	your books are not on my table	grupo	alternativoj	prononco
level	ree donis, redonis	再次給予，回報	again gave, returned	grupo	alternativoj	prononco
level	redonu la leteron al mi.	把信還給我	return the letter to me	grupo	alternativoj	prononco
level	ricevis bonan lecionon	受到了很好的教訓	received a good lesson	grupo	alternativoj	prononco
level	plu lavis, ne plu manĝis	又洗了，又吃了	further washed, ate any more	grupo	alternativoj	prononco
