C.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	ofte	บ่อยครั้งบ่อยครั้ง	often, frequently	grupo	alternativoj	prononco
level	iom	เล็กน้อย ค่อนข้าง บ้าง บ้าง	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	ใหม่นวนิยาย	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) กริยาปัจจุบันเชิงโต้ตอบ	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) กริยาอดีตแบบพาสซีฟ	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) กริยาอนาคตแบบพาสซีฟ	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	มากทีเดียวมาก	very, quite, very much	grupo	alternativoj	prononco
level	tro	มากเกินไป, มากเกินไป, มากเกินไป	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	อย่างไรก็ตาม อย่างไรก็ตาม แต่อย่างไรก็ตาม	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	โอ้! โฮ!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	นั่น ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	เพราะ~	because ~	grupo	alternativoj	prononco
level	ĉu	ไม่ว่าจะเป็น ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) สถานที่	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) ชื่อนามธรรมของคุณภาพ	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	ทั้งสอง ~	both ~	grupo	alternativoj	prononco
level	tuj	ทันที, ทันที, ทันที	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	ราวกับว่า ~	as if ~	grupo	alternativoj	prononco
level	kiam	เมื่อไร	when	grupo	alternativoj	prononco
level	silenti	ที่จะเงียบ, ที่จะเงียบ	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	ไม่เคย, ไม่มีเวลา, ไม่เคยเลย	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	ดังนั้น ดังนั้น	therefore, so	grupo	alternativoj	prononco
level	kial	ทำไม เพื่ออะไร	why, what for	grupo	alternativoj	prononco
level	kvankam	แม้ว่า ~ ในขณะที่แม้ว่า	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) ที่ ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	มากกว่า	more	grupo	alternativoj	prononco
level	plej	ที่สุด	most	grupo	alternativoj	prononco
level	diri	ที่จะพูดที่จะบอก	to say, to tell	grupo	alternativoj	prononco
level	ol ~	กว่า ~	than ~	grupo	alternativoj	prononco
level	paroli	ที่จะพูดที่จะพูดคุย	to speak, to talk	grupo	alternativoj	prononco
level	kia	แบบไหน, แบบไหน	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	เช่นนั้น, เช่นนั้น, เช่นนั้น	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	แทบจะไม่, แทบจะไม่, น่ากลัว	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	ส่ง	to send	grupo	alternativoj	prononco
level	ĵus	แค่ (เมื่อครู่ที่แล้ว) เมื่อสักครู่นี้	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) จำเป็น	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	ข้างนอก ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) ทั้งเพศทั้งสองเพศ	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) จะควรจะเสริม	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	เร็วๆ นี้	soon	grupo	alternativoj	prononco
level	almenaŭ	อย่างน้อยถ้าไม่มีอะไรอื่น	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	ไม่-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) คอนเทนเนอร์; ประเทศ	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	เพื่อเรียนรู้	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) จุดเริ่มต้น; เริ่มต้นอย่างกะทันหัน	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	ถ้า, โดยมีเงื่อนไขว่า	if, provided that	grupo	alternativoj	prononco
level	eĉ	สม่ำเสมอ	even	grupo	alternativoj	prononco
level	amo	ความรัก	a love	grupo	alternativoj	prononco
level	jam	แล้ว, เร็ว ๆ นี้, ณ ตอนนี้	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	ที่นี่! แท้จริง! ดูเถิด	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	จบ, จบ, ยุติ	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	ดังนั้น ดังนั้น ดังนั้น	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ เคย (อะไร) เคยเลย - เลย	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	ง่ายสะดวก	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) อีกครั้ง-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	ใหญ่, ใหญ่, ใหญ่	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) มืออาชีพ	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) เพราะ~, เนื่องจาก~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) ผู้นำ, หัวหน้า, หัวหน้า, หัวหน้า	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	อะไร	what	grupo	alternativoj	prononco
level	manĝi	กิน	to eat	grupo	alternativoj	prononco
level	nenio	ไม่มีอะไร ไม่มี ไม่มีสิ่งใดเลย	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	หนุ่มสาว	young	grupo	alternativoj	prononco
level	ĉio	ทุกอย่าง	everything	grupo	alternativoj	prononco
level	riĉa	ร่ำรวย มั่งคั่ง มั่งคั่ง	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	สิ่งนั้นสิ่งนั้น	that thing, that	grupo	alternativoj	prononco
level	konstrui	เพื่อสร้าง, เพื่อสร้าง	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) หัวหน้า, ผู้นำ, หลัก	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) โดยไม่ต้อง ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) ด้วย ~ (ด้วยกัน)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ยกเว้น ~ นอกจากนี้ ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	เพื่อน	a friend	grupo	alternativoj	prononco
level	kies	ของใคร อันไหน อันไหน	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) โดย ~ (วิธีการ) ด้วย ~ (เครื่องมือ)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	ต่อต้าน ~	against ~	grupo	alternativoj	prononco
level	el ~	จาก ~ จาก ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	วันนี้	today	grupo	alternativoj	prononco
level	hieraŭ	เมื่อวาน	yesterday	grupo	alternativoj	prononco
level	nur	เท่านั้น, เพียง, โดยเฉพาะ	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	เพื่อช่วย, ช่วยเหลือ, ช่วยเหลือ	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) ไกลออกไป	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	หรืออย่างใดอย่างหนึ่ง	nor, neither	grupo	alternativoj	prononco
level	malamo	ความเกลียดชัง	a hate	grupo	alternativoj	prononco
level	preskaŭ	เกือบ, เกือบ	almost, nearly	grupo	alternativoj	prononco
level	tra ~	ผ่าน ~	through ~	grupo	alternativoj	prononco
level	super	เหนือเหนือ	over, above	grupo	alternativoj	prononco
level	trans ~	เกิน ~, ข้าม ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	เอาล่ะตอนนี้	well, well then, now	grupo	alternativoj	prononco
level	pri ~	เกี่ยวกับ ~	about ~	grupo	alternativoj	prononco
level	por ~	สำหรับ ~ เพื่อ ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	พรุ่งนี้	tomorrow	grupo	alternativoj	prononco
level	nun	ตอนนี้, ในปัจจุบัน	now, at present	grupo	alternativoj	prononco
level	laŭ ~	ตาม ~, พร้อม ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	แต่ละคน ทุกๆ คน ทุกๆ คน	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	ใคร, อันไหน, อันไหน	who, which, which one	grupo	alternativoj	prononco
level	tiu	คนนั้น นั่น ~ คนนั้น โน้น	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	บางคนบางคนบางคน	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	ไม่มีใคร ไม่มีใคร เช่นกัน	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	ถึง ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~สามารถ	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	ที่จะหวัง	to hope	grupo	alternativoj	prononco
level	unu	หนึ่ง	one	grupo	alternativoj	prononco
level	du	สอง	two	grupo	alternativoj	prononco
level	tri	สาม	three	grupo	alternativoj	prononco
level	kvar	สี่	four	grupo	alternativoj	prononco
level	kvin	ห้า	five	grupo	alternativoj	prononco
level	ses	หก	six	grupo	alternativoj	prononco
level	sep	เจ็ด	seven	grupo	alternativoj	prononco
level	ok	แปด	eight	grupo	alternativoj	prononco
level	naŭ	เก้า	nine	grupo	alternativoj	prononco
level	dek	สิบ	ten	grupo	alternativoj	prononco
level	cent	ร้อย	a hundred	grupo	alternativoj	prononco
level	mil	พัน	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) สำหรับหลายหลาก -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~th เศษส่วน	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	ของความรัก	of love	grupo	alternativoj	prononco
level	anstataŭ ~	แทน ~	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) กลายเป็น	(suffix)  become	grupo	alternativoj	prononco
level	voli	ต้องการจะเต็มใจที่จะ	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) ทำให้กลายเป็น	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	ที่จะปฏิบัติตาม	to follow	grupo	alternativoj	prononco
level	ĝoje	ยินดี	gladly	grupo	alternativoj	prononco
level	legi	อ่าน	to read	grupo	alternativoj	prononco
level	silenta	เงียบ	silent	grupo	alternativoj	prononco
level	la	ที่	the	grupo	alternativoj	prononco
level	ha!	ฮ่า!	ha!	grupo	alternativoj	prononco
level	-il-	(suffix) เครื่องมือวิธีการ	(suffix)  tool, method	grupo	alternativoj	prononco
level	trinki	ดื่ม (ไม่มีแอลกอฮอล์)	to drink (non-alkohol)	grupo	alternativoj	prononco
level	-et-	(suffix) เล็ก ๆ	(suffix)  small, little	grupo	alternativoj	prononco
level	-eg-	(suffix) ใหญ่ใหญ่	(suffix)  big, large	grupo	alternativoj	prononco
level	inter ~	(preposition) ระหว่าง~	(preposition)  between ~	grupo	alternativoj	prononco
level	-um-	(suffix) พฤติกรรมที่เกี่ยวข้อง	(suffix)  related behavior	grupo	alternativoj	prononco
level	-ar-	(suffix) ชุด, กลุ่ม	(suffix)  set, group	grupo	alternativoj	prononco
level	-an-	(suffix) สมาชิกของกลุ่ม	(suffix)  member of a group	grupo	alternativoj	prononco
level	danki	เพื่อขอบคุณ	to thank	grupo	alternativoj	prononco
level	-ind-	(suffix) คุ้มค่า, คุ้มค่า	(suffix)  worthwhile, worthy	grupo	alternativoj	prononco
level	plu	มากยิ่งขึ้น ต่อไป และอื่นๆ อีกมากมาย	even more, further, and so on, more	grupo	alternativoj	prononco
level	kiel	อย่างไร, เช่น, ในลักษณะใด, เช่น	how, like, in what way, such as	grupo	alternativoj	prononco
level	tiel	อย่างนั้นอย่างนั้นอย่างนี้	such, in that way, thus	grupo	alternativoj	prononco
level	en ~	(preposition) ใน ~	(preposition)  in ~	grupo	alternativoj	prononco
level	apud ~	(preposition) ข้างๆ~, ข้างๆ~	(preposition)  next to ~, beside ~	grupo	alternativoj	prononco
level	sub ~	(preposition) ข้างใต้ ข้างใต้~	(preposition)  under, beneath ~	grupo	alternativoj	prononco
level	sur ~	(preposition) บน ~	(preposition)  on ~	grupo	alternativoj	prononco
level	je ~	(preposition) การเตรียมการอย่างไม่มีกำหนด, ที่, ใน, โดย, บน	(preposition)  indefinate prep., at, in, by, on	grupo	alternativoj	prononco
level	ankoraŭ	(adverb) ยังเลย	(adverb)  still, yet	grupo	alternativoj	prononco
level	ĉirkaŭ ~	(preposition) ประมาณ ~	(preposition)  around ~	grupo	alternativoj	prononco
level	sed	แต่	but	grupo	alternativoj	prononco
level	ie	ที่ไหนสักแห่ง	somewhere	grupo	alternativoj	prononco
level	kie	ที่ไหน ณ สถานที่ใด	where, at what place	grupo	alternativoj	prononco
level	silente	เงียบ	silently	grupo	alternativoj	prononco
level	ĉie	ทุกที่เกี่ยวกับ	everywhere, all about	grupo	alternativoj	prononco
level	nenie	ไม่มีที่ไหนเลย ไม่มีที่ไหนเลย	nowhere, in no case, not anywhere	grupo	alternativoj	prononco
level	tie	ที่นั่น ที่นั่น โน้น	there, over there, yonder	grupo	alternativoj	prononco
level	ĉi	นี้ ~	this ~	grupo	alternativoj	prononco
level	kanti	ร้องเพลง	to sing	grupo	alternativoj	prononco
level	morti	ที่จะตาย, ผ่านไป	to die, to pass away	grupo	alternativoj	prononco
level	dum ~	(preposition) ระหว่าง ~ ในขณะที่ ~	(preposition)  during ~, while ~	grupo	alternativoj	prononco
level	nacio	ประเทศชาติ	a nation	grupo	alternativoj	prononco
level	koni	รู้จัก (บุคคล) ให้คุ้นเคย	to know (a person), to be aquainted with	grupo	alternativoj	prononco
level	scii	รู้ (ข้อเท็จจริง, ความรู้), รู้วิธี	to know (a fact, knowledge), to know how	grupo	alternativoj	prononco
level	ĉiam	เสมอเคย	always, ever	grupo	alternativoj	prononco
level	iam	สักครั้งหนึ่ง	at some time, once	grupo	alternativoj	prononco
level	tiam	แล้ว	then	grupo	alternativoj	prononco
level	-em-	(suffix) แนวโน้ม	(suffix)  tendancy	grupo	alternativoj	prononco
level	ia	บางชนิด	some kind of	grupo	alternativoj	prononco
level	sukcesi	เพื่อประสบความสําเร็จ	to succeed	grupo	alternativoj	prononco
level	ĉia	ทุกชนิด, ทุกชนิด	of all kind, every kind of	grupo	alternativoj	prononco
level	nenia	ไม่, ไม่ใช่ชนิดใด, ไม่ใช่ชนิดใด	no, not any kind of, not any	grupo	alternativoj	prononco
level	-id-	(suffix) ลูกหลาน	(suffix)  offspring	grupo	alternativoj	prononco
level	ĉambro	ห้อง, ห้อง	a room, a chamber	grupo	alternativoj	prononco
level	patro	พ่อ	a father	grupo	alternativoj	prononco
level	porko	หมู สุกร	a pig, swine	grupo	alternativoj	prononco
level	bo-	(prefix) - สามีโดยการสมรส	(prefix)  -in-law, by marriage	grupo	alternativoj	prononco
level	ja	อย่างแท้จริง	indeed	grupo	alternativoj	prononco
level	-ism-	(suffix) -ism	(suffix)  -ism	grupo	alternativoj	prononco
level	io	บางสิ่งบางอย่าง	something	grupo	alternativoj	prononco
level	veturi	ขับรถ (ยานพาหนะ)	to drive (a vehicle)	grupo	alternativoj	prononco
level	koko	ไก่ ไก่ ไก่ ไก่	a cock, a hen, chicken, fowl	grupo	alternativoj	prononco
level	libera	ฟรี	free	grupo	alternativoj	prononco
level	lasta	ล่าสุด	last	grupo	alternativoj	prononco
level	ĝoji	ชื่นชมยินดี เพลิดเพลิน	to rejoice, to be glad, to enjoy	grupo	alternativoj	prononco
level	preni	ที่จะจับเพื่อยึดไว้	to take, to lay hold of	grupo	alternativoj	prononco
level	bovo	วัว วัว สัตว์โค	a cow, an ox, bovine animal	grupo	alternativoj	prononco
level	alia	อื่นอื่น ๆ อื่น ๆ	another, other, else	grupo	alternativoj	prononco
level	varma	ร้อนอบอุ่น	hot, warm	grupo	alternativoj	prononco
level	loĝi	อาศัย, อยู่, อาศัย, อาศัย	to reside, to live, to dwell, to inhabit	grupo	alternativoj	prononco
level	kredi	ที่จะเชื่อ	to believe	grupo	alternativoj	prononco
level	glacio	ดี	an ice	grupo	alternativoj	prononco
level	loko	สถานที่, สถานที่	a place, a location	grupo	alternativoj	prononco
level	ovo	ไข่	an egg	grupo	alternativoj	prononco
level	multa	มากมาย, มากมาย, มากมาย	a lot of, much, many	grupo	alternativoj	prononco
level	havaĵo	ครอบครอง	a possession	grupo	alternativoj	prononco
level	ŝafo	แกะ	a sheep	grupo	alternativoj	prononco
level	sono	เสียง	a sound	grupo	alternativoj	prononco
level	fiŝo	ปลา	a fish	grupo	alternativoj	prononco
level	bela	สวยหล่อสวย	beautiful, handsome, pretty	grupo	alternativoj	prononco
level	respondi	ตอบ, ตอบ, ตอบ	to answer, to respond, to reply	grupo	alternativoj	prononco
level	fojo	โอกาส, ช่วงเวลาหนึ่ง	an occasion, a time	grupo	alternativoj	prononco
level	demandi	ที่จะถาม	to ask	grupo	alternativoj	prononco
level	forta	แข็งแกร่ง	strong	grupo	alternativoj	prononco
level	preter ~	เกิน ~, ผ่าน ~, ผ่านมา	beyond ~, past ~, straight past	grupo	alternativoj	prononco
level	silento	ความเงียบ	a silence	grupo	alternativoj	prononco
level	infano	เด็ก ทารก	a child, an infant	grupo	alternativoj	prononco
level	feliĉa	มีความสุขโชคดีโชคดี	happy, lucky, fortunate	grupo	alternativoj	prononco
level	kapti	จับ, จับ, ต่อสู้	to catch, to capture, to grapple	grupo	alternativoj	prononco
level	deziri	ปรารถนาที่จะปรารถนา	to desire, to wish	grupo	alternativoj	prononco
level	longa	ยาว	long	grupo	alternativoj	prononco
level	mondo	โลก	a world	grupo	alternativoj	prononco
level	okazi	เกิดขึ้น, เกิดขึ้น, เกิดขึ้น	to occur, to happen, to come about	grupo	alternativoj	prononco
level	kampo	สนาม, สนาม	field, a field	grupo	alternativoj	prononco
level	filo	ลูกชาย	a son	grupo	alternativoj	prononco
level	montri	เพื่อแสดง, บ่งชี้, ชี้ให้เห็น	to show, to indicate, to point out	grupo	alternativoj	prononco
level	koro	หัวใจ	a heart	grupo	alternativoj	prononco
level	knabo	เด็กผู้ชาย	a boy	grupo	alternativoj	prononco
level	meti	วาง, วาง, นอนลง	to put, to place, to lay down	grupo	alternativoj	prononco
level	edzo	สามี	a husband	grupo	alternativoj	prononco
level	pako	บรรจุุภัณฑ์	package	grupo	alternativoj	prononco
level	rapida	รวดเร็วรวดเร็วรวดเร็ว	fast, quick, speedy	grupo	alternativoj	prononco
level	ŝajni	ดูเหมือน, ดูเหมือนจะเป็น	to seem, to appear to be	grupo	alternativoj	prononco
level	saluto	การทักทาย การทักทาย การทักทาย	a greeting, salute, salutation	grupo	alternativoj	prononco
level	skribi	เขียน	to write	grupo	alternativoj	prononco
level	peti	ขอ, ขอ, ขอ, ขอร้อง	to ask, to ask for, to request, to beg	grupo	alternativoj	prononco
level	flugi	ที่จะบิน	to fly	grupo	alternativoj	prononco
level	kapo	หัว, เสื้อคลุม	a head, a cape	grupo	alternativoj	prononco
level	krii	ตะโกน, ร้องไห้, กรีดร้อง, ตะโกน	to shout, to cry, to scream, to shout	grupo	alternativoj	prononco
level	ruĝa	สีแดง	red	grupo	alternativoj	prononco
level	sinjoro	นายสุภาพบุรุษ	a mister, a gentleman	grupo	alternativoj	prononco
level	teni	ที่จะถือที่จะแขวนไว้	to hold, to hang onto	grupo	alternativoj	prononco
level	tempo	เวลา, เวลา	time, a time	grupo	alternativoj	prononco
level	tuta	ทั้งหมด, ทั้งหมด, ทั้งหมด, ทั้งหมด, ทั้งหมด	total, all, whole, complete, overall	grupo	alternativoj	prononco
level	viro	ผู้ชาย	a man	grupo	alternativoj	prononco
level	vojo	วิธี, เส้นทาง, เส้นทาง	a way, a path, a route	grupo	alternativoj	prononco
level	movi	ย้าย	to move	grupo	alternativoj	prononco
level	militi	เพื่อทำสงคราม, ต่อสู้, ก่อสงคราม	to break a war, to fight, to wage war	grupo	alternativoj	prononco
level	kelka	ไม่กี่, หลายอย่าง	a few, several	grupo	alternativoj	prononco
level	dekstra	ขวา, ขวา (ด้านข้าง, ทิศทาง), ขวามือ	right, right (side, direction), righthand	grupo	alternativoj	prononco
level	fermi	ปิด, ปิด	to close, to shut	grupo	alternativoj	prononco
level	okupi	ที่จะครอบครอง, ที่จะใช้	to occupy, to take	grupo	alternativoj	prononco
level	levi	โยก, ยก, ยก	to lever, to lift, to raise	grupo	alternativoj	prononco
level	bati	ตี, ตี, ฟาด, ตบ, เฆี่ยนตี	to beat, to hit, to strike, to smak, to lash	grupo	alternativoj	prononco
level	bezoni	ต้องการ, ต้องการ, ต้องการ	to need, to want, to require	grupo	alternativoj	prononco
level	kompreni	เข้าใจตระหนักรู้	to understand, to realise	grupo	alternativoj	prononco
level	iri	ไป	to go	grupo	alternativoj	prononco
level	veni	ที่จะมา	to come	grupo	alternativoj	prononco
level	porti	พกพา, สวมใส่	to carry, to wear	grupo	alternativoj	prononco
level	kovri	ครอบคลุม	to cover	grupo	alternativoj	prononco
level	hela	สว่าง ชัดเจน และสว่าง	bright, clear and light	grupo	alternativoj	prononco
level	sana	สุขภาพดี	healthy	grupo	alternativoj	prononco
level	aperi	ปรากฏ, ปรากฏ	to appear, to emerge	grupo	alternativoj	prononco
level	libro	หนังสือ	a book	grupo	alternativoj	prononco
level	atendi	รอ, คาดหวัง, รอ	to wait, to expect, to wait for	grupo	alternativoj	prononco
level	mano	มือ	a hand	grupo	alternativoj	prononco
level	pentri	ทาสี	to paint	grupo	alternativoj	prononco
level	instrui	สอน, สอน	to teach, to instruct	grupo	alternativoj	prononco
level	sidi	นั่ง	to sit	grupo	alternativoj	prononco
level	stari	ยืน	to stand	grupo	alternativoj	prononco
level	afero	สิ่งของ, สิ่งของ, คดี, ความกังวล, เนื้อหา	a thing, an object, a case, a concern, a mater	grupo	alternativoj	prononco
level	plena	เต็ม, สมบูรณ์	full, complete	grupo	alternativoj	prononco
level	klara	ชัดเจน	clear	grupo	alternativoj	prononco
level	komenci	เพื่อเริ่มต้นเพื่อเริ่มต้น	to begin, to commence	grupo	alternativoj	prononco
level	dormi	นอนจะหลับ	to sleep, to be asleep	grupo	alternativoj	prononco
level	parto	ส่วนหนึ่งส่วนแบ่ง	a part, a share	grupo	alternativoj	prononco
level	mono	เงิน	money	grupo	alternativoj	prononco
level	ricevi	ที่จะได้รับ	to receive	grupo	alternativoj	prononco
level	ami	ที่จะรัก	to love	grupo	alternativoj	prononco
level	devi	จะต้อง, ต้อง, ควร, ควรจะ	to have to, must, should, ought to	grupo	alternativoj	prononco
level	povi	สามารถ, สามารถ	be able to, can	grupo	alternativoj	prononco
level	labori	ไปทำงานไปทำงาน	to work, to labor	grupo	alternativoj	prononco
level	dio	พระเจ้า	a god	grupo	alternativoj	prononco
level	urbo	เมือง, เมือง	a city, a town	grupo	alternativoj	prononco
level	ofta	บ่อยครั้งบ่อยครั้ง	freqent, often	grupo	alternativoj	prononco
level	soni	ทำให้เกิดเสียง ทำให้เกิดเสียง	to sound, to make sound	grupo	alternativoj	prononco
level	tero	ดินแผ่นดินดิน	earth, land, soil	grupo	alternativoj	prononco
level	vivi	มีชีวิตอยู่จะมีชีวิตอยู่	to live, to be alive	grupo	alternativoj	prononco
level	resti	จะอยู่ยังคงอยู่	to stay, to remain	grupo	alternativoj	prononco
level	ridi	หัวเราะ	to laugh	grupo	alternativoj	prononco
level	homo	มนุษย์ผู้ชาย	a human, a man	grupo	alternativoj	prononco
level	akvo	น้ำ	water	grupo	alternativoj	prononco
level	vorto	คำ	a word	grupo	alternativoj	prononco
level	certa	แน่นอนแน่นอน	certain, sure	grupo	alternativoj	prononco
