B.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	tio estas novaĵo por mi	det är en nyhet för mig	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	hörde du om ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	hörde du talas om esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Jag visste inte att ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	men jag visste inte att mitt namn är relaterat till det	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	faktiskt	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	hur är ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	hur är förhållandet?	how is the relation?	grupo	alternativoj	prononco
level	ho!	åh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	det är en lång historia	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	ska berätta för dig	will tell you	grupo	alternativoj	prononco
level	se vi volas	om du vill	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Jag berättar senare, om du vill	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	på den här platsen (på den här platsen)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	för mycket oväsen	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	på det här stället är det för mycket ljud	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ja du har rätt	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	ska vi dansa?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	bra idé!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	tack för en trevlig kväll	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	tack till dig)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	Det var mycket bra	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	en musik är tilltalande för ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	musiken var väldigt tilltalande för mig	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	även till mig	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	att dansa är väldigt roligt	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	att dansa med dig	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	det var väldigt roligt att dansa med dig	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	här är mitt visitkort	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	Om du vill ha det	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	här är mitt kort, om du vill	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	på den finns det också ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	på den finns också en adress	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	det finns en adress till en webbplats	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	en adress till en sida med kurs i Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	tack	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Jag skickar ett e-postmeddelande till dig	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Okej!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	vi ses igen, och god natt!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	vi ses!	see you!	grupo	alternativoj	prononco
level	aperas en ~	visas i ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	en instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ visas i snabbmeddelandet	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	är du den personen?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	den personen, som hade dansat med mig	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	lördag kväll	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	är du den personen som dansade med mig i lördags kväll?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ja det är jag	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Jag är glad att ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Jag är glad att du kom till sidan	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	är det tilltalande för dig? (gillar du det?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ja, jaja	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	Det är mycket vackert	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	verkar intressant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	det är väldigt vackert och verkar intressant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	inte ännu ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	är inte helt klar	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	det är ännu inte helt klart	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	men snart blir det	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Jag förstår (jag förstår)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	men det finns redan många hjälpverktyg	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	en ordbok	a dictionary	grupo	alternativoj	prononco
level	superrigardo	en översikt	an overview	grupo	alternativoj	prononco
level	ekzerco	en punktskatt	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	exempel ord, översikt, budbärare och exerces	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	en översikt över grammatiken	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	en instant messenger och olika övningar	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	det är en bra början	it is a good start	grupo	alternativoj	prononco
level	pardonon	ursäkta mig, jag är ledsen	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Jag måste prata med ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	att prata med en annan person	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Jag är ledsen, jag borde prata med en annan person	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	en språkhjälpare	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Jag är hennes språkhjälpare	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	och nu vill hon prata om ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	att prata om en övning	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	kommer snart tillbaka	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Jag kommer snart tillbaka till dig	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	efter flera minuter	after several minutes	grupo	alternativoj	prononco
level	finparolis	pratat färdigt	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nu har vi pratat klart om övningen	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	under tiden, ett tag	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Jag läste om esperanto under tiden	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Jag är inte säker	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	vet tillräckligt om ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Jag kan inte tillräckligt mycket om språket ännu	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	ett smart svar	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Jag ska titta på sidan	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	och ska försöka lära mig lite	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	vill du bli min språkhjälpare?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	villigt!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	Varsågod!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	inte värt ett tack, men värt en kyss	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	säger det på esperanto	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	Vad? Jag förstår inte	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	du kan titta i en ordbok	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	tyvärr	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Jag måste sluta från internet nu	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	Jag kommer tillbaka på kvällen	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Jag tror att jag kommer att vara på platsen vid det laget	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfekt!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	ja, vi ses då!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	vi ses senare!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	på kvällen, även på instant messenger	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Hej igen! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Hej igen!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Jag tittade på nästan alla sidor från webbplatsen	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	ganska bra! grymt bra!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Jag har flera frågor	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Har du tid?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ja, jag är ledig på kvällen	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	så skriv dina frågor	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	Jag ska försöka svara	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Jag läste att esperanto har en kultur	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	men jag förstår inte ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	var jag kan hitta en sådan kultur	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	du hittar överallt där ~ är	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	var som helst där människor talar esperanto	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	men inga människor använder esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	höger!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	men människor som talar esperanto	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	reser ofta och träffar andra esperantister	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	under dessa möten	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	de använder språket i de flesta olika situationer	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	så där hittar du ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	du hittar kulturen	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	kommer att hitta esperantos kultur	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	okej, finns musik?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	musik, litteratur, teater	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	etc	etc	grupo	alternativoj	prononco
level	same kiel ~	samma som ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	samma som för andra språk	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	kvantiteten är inte så stor	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	lika stor som på nationella språk	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	men det är inte viktigt	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	åtminstone inte för mig	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	om du vill lyssna ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	att lyssna på en sång på esperanto	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	här är låten &quot;Lisa målar bilder&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	lyssnar på låten	listens to the song	grupo	alternativoj	prononco
level	ne malbone	inte dåligt	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	och du hittar många böcker på esperanto	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	tittar på böckerna	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	tillräckligt många	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	läser du mycket på esperanto?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ja, ibland (då och då)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	om du någonsin lär dig språket	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Jag kommer att rekommendera dig några bra böcker	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	handlar om ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	min andra fråga handlar om mitt namn	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	du sa tidigare att ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	har en relation till ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	sa att det har en relation till esperanto	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	åh, ja, om det	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	en man med namnet ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	en gång bodde en man med namnet ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	han var mycket aktiv i esperantorörelsen	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	när det var helt nytt	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	översatte boken till ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	och översatte många böcker till esperanto	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	och det gjorde honom känd?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	en av de viktigaste för Esperanto på den tiden	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	och han hade mycket inflytande på språkstilen	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	nej, visst var han viktig och hade inflytande	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	men han övergav plötsligt rörelsen	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Jag föreställer mig att ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Jag inbillar mig att det var en stor chock för många	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	varför lämnade han esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Jag tror att ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	han var missnöjd med esperantisterna	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	han sa något liknande ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto måste läras av esperantister själva!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	vad menade han att säga med ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	vad menade han med det?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	det är troligt att ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	folk talade esperanto dåligt	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	det är troligt att folk talade illa	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	år 1911 lämnade han Esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	men jag tror att ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	är högre	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	idag är språknivån högre	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	esperantisternas språknivå	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	men jag tror att idag är nivån högre	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	så jag måste lära mig språket bra	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	för att vara en bra person	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	och du bör använda enkel stil	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	för det var väldigt viktigt för honom	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	det gläder mig (jag gillar det)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	på esperanto finns det till och med ett ord ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	det finns till och med ett ord &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	att överge rörelsen	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	ett ord &quot;kabei&quot;, vilket betyder att överge rörelsen	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	det är intressant!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	nu kan jag ett ord på esperanto	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	kommer aldrig glömma	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	och jag kommer nog aldrig att glömma det	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	på ett kafé efter flera veckor	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	han lyckades lära sig esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	och de använder språket	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	att bjuda in, en inbjudan	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	här, titta, en inbjudan till IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	Vad? Ee-jo-vad?	what? Ee-yo-what?	grupo	alternativoj	prononco
level	junulo, junularo	en ung person, en grupp ungdomar	a young person, a group of young people	grupo	alternativoj	prononco
level	I-J-K estas "Internacia Junulara Kongreso"	IJK är en internationell ungdomskongress	IJK is an International Youth Congress	grupo	alternativoj	prononco
level	mi planas iri al ĝi	Jag planerar att gå för det	I am planning to go for it	grupo	alternativoj	prononco
level	ĉu ankaŭ vi volas iri?	vill du också gå?	do you want to go too?	grupo	alternativoj	prononco
level	nu, "kongreso" ne sonas tre interese	&quot;kongress&quot; låter inte särskilt intressant	well, "congress" doesn't sound very interesting	grupo	alternativoj	prononco
level	sed estas (interese)!	men det är (intressant)	but it is (interesting)	grupo	alternativoj	prononco
level	ne pensu pri iu teda malvigla kongreso	tänk inte på något tråkigt trög kongress	do not think of something boring sluggish congress	grupo	alternativoj	prononco
level	simple temas pri ~	det handlar bara om ~	it's just about ~ 	grupo	alternativoj	prononco
level	simple temas pri renkonto kun junuloj	det handlar bara om att träffa unga	it's just about meeting young people	grupo	alternativoj	prononco
level	renkonto kun junuloj de multaj landoj	ett möte med ungdomar från många länder	a meeting with young people from many countries	grupo	alternativoj	prononco
level	300 ĝis 400 homoj estos tie	300 till 400 personer kommer att vara där	300 to 400 people will be there	grupo	alternativoj	prononco
level	verŝajne estos 300 ĝis 400 homoj tie	det kommer förmodligen att vara 300 till 400 personer där	there will probably be 300 to 400 people there	grupo	alternativoj	prononco
level	preskaŭ ĉiuj	nästan alla	almost everybody	grupo	alternativoj	prononco
level	kaj preskaŭ ĉiuj parolos Esperanton	och nästan alla kommer att tala esperanto	and almost everybody will speak Esperanto	grupo	alternativoj	prononco
level	ne bone parolas	talar inte bra	does not speak well	grupo	alternativoj	prononco
level	bone, sed mi ne bone parolas Esperanton	ok, men jag talar inte bra esperanto	ok, but I don't speak Esperanto well	grupo	alternativoj	prononco
level	ne gravas	det spelar ingen roll	it doesn't matter	grupo	alternativoj	prononco
level	eblas partopreni en ~	det är möjligt att ta del av ~	it is possible to take part in ~	grupo	alternativoj	prononco
level	partopreni en Esperanto-kursoj tie	att delta i esperantokurser där	to take part in Esperanto courses there	grupo	alternativoj	prononco
level	kutime	vanligtvis	usually	grupo	alternativoj	prononco
level	kutime estas du niveloj	vanligtvis finns det två nivåer	usually there are two levels	grupo	alternativoj	prononco
level	homoj, kiuj jam eklernis la lingvon	personer som redan hade lärt sig språket	people who had already learned the language	grupo	alternativoj	prononco
level	unu por komencantoj	en för nybörjare	one for beginners	grupo	alternativoj	prononco
level	kaj alia por homoj kiuj jam eklernis la lingvon	och den andra för dem som redan lärt sig språket	and the other for those who already learned the language	grupo	alternativoj	prononco
level	jes, kio?	jess, vadå?	jes, what?	grupo	alternativoj	prononco
level	vi diris, "kutime"	du sa &quot;vanligtvis&quot;	you said, "usually"	grupo	alternativoj	prononco
level	ha, IJK okazas ĉiu-jare	Åh, IJK händer varje år	oh, IJK happens every year	grupo	alternativoj	prononco
level	ĉiu-foje en alia lando	varje gång i ett annat land	every time in other country	grupo	alternativoj	prononco
level	pro tio, ĉiu IJK estas alispeca	av denna anledning är varje IJK annorlunda	for this reason, every IJK is different	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj	men det finns också program	but there are also programs	grupo	alternativoj	prononco
level	programeroj, kiuj ofte revenas	program som återkommer ofta	programs that returns often	grupo	alternativoj	prononco
level	sed ankaŭ estas programeroj, kiuj ofte revenas	men det finns också program som återkommer ofta	but there're also programs that returns often	grupo	alternativoj	prononco
level	ekzemple	till exempel	for example	grupo	alternativoj	prononco
level	ekzemple, preskaŭ ĉiam eblas sportumi, kart-ludi	till exempel är det nästan alltid möjligt att spela sport och kort	for example, it is almost always possible to play sports and cards	grupo	alternativoj	prononco
level	babili kun amikoj dum la tuta nokto	att prata med vänner hela natten	to talk with friends all night	grupo	alternativoj	prononco
level	kanti ĉirkaŭ fajro kaj danci	att sjunga runt elden och att dansa	to sing around fire and to dance	grupo	alternativoj	prononco
level	partopreni koncertojn, ktp	att delta i konserter och så vidare	to take part in concerts, and so forth	grupo	alternativoj	prononco
level	nu, tion mi povas fari ankaŭ hejme	det kan jag göra hemma också	well, I can do that at home too	grupo	alternativoj	prononco
level	prave, sed	rätt, men	right, but	grupo	alternativoj	prononco
level	sed la grava afero dum IJK estas ~	men det viktiga under IJK är ~	but the important thing during IJK is ~	grupo	alternativoj	prononco
level	venas de multaj diversaj landoj	kommer från många olika länder	comes from many different countries	grupo	alternativoj	prononco
level	estas ke la partoprenantoj venas de diversaj landoj	är att deltagarna kommer från olika länder	is that the participants come from different countries	grupo	alternativoj	prononco
level	pro tiu mikso de diversaj homoj	på grund av den blandningen av olika människor	because of that mix of different people	grupo	alternativoj	prononco
level	estas bona etoso, kiu tre plaĉas al mi	det är en bra atmosfär som jag gillar väldigt mycket	it's a good atmosphere that I like very much	grupo	alternativoj	prononco
level	bone, sonas interese	okej, låter som intresse	all right, sounds like interest	grupo	alternativoj	prononco
level	mi pripensos	Jag ska tänka på	I will think about	grupo	alternativoj	prononco
level	certe	Säkert	for sure	grupo	alternativoj	prononco
level	tamen, problemo estas ~	ett problem är dock ~	however, a problem is ~	grupo	alternativoj	prononco
level	tiom da mono	så mycket pengar	that much money	grupo	alternativoj	prononco
